id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,is  Root  Directory,In  Memory  File  System,boolean,,equals  get  Path  String,In  Memory  File  System,max  traversals  clock  root  Inode  Error  message  I  O  Exception  With  Error  error  Code  File  Not  Found  Exception  With  Error  error  Code  File  Access  Exception  With  Error  error  Code  Inode  Or  Errno,In  Memory  File  System  In  Memory  File  System  In  Memory  File  System  In  Memory  File  System  new  Root  Inode  base  Name  Or  Windows  Drive  get  File  System  Type  unlink  insert  insert  directory  Lookup  Errno  new  File  path  Walk  Errno  get  Directory  Errno  get  Directory  no  Follow  Stat  Errno  stat  stat  If  Found  stat  Nullable  inode  Stat  Errno  inode  Stat  resolve  One  Link  exists  is  Readable  set  Readable  is  Writable  set  Writable  is  Executable  set  Executable  supports  Modifications  supports  Symbolic  Links  Natively  supports  Hard  Links  Natively  is  File  Path  Case  Sensitive  create  Directory  create  Directory  And  Parents  create  Symbolic  Link  read  Symbolic  Link  get  File  Size  get  Directory  Entries  delete  get  Last  Modified  Time  set  Last  Modified  Time  get  Input  Stream  create  Readable  Byte  Channel  getxattr  get  Fast  Digest  get  Or  Create  Writable  Inode  get  Output  Stream  rename  To  create  F  S  Dependent  Hard  Link  Error  parent  Throwable  To  String  to  String  as  Inode  Or  Errno  exception  get  Error  I  O  Exception  With  Error  get  Error  to  String  File  Not  Found  Exception  With  Error  get  Error  to  String  File  Access  Exception  With  Error  get  Error  to  String  create  Inode  create  Error  inode  error  has  Error  value  Or  Throw,Path,os  separator  file  System  For  Serialization  path  drive  Str  Length  file  System,Path  get  File  System  For  Serialization  set  File  System  For  Serialization  create  create  Already  Normalized  create  Already  Normalized  get  Path  String  file  Path  For  File  Type  Matcher  get  Base  Name  get  Child  get  Relative  get  Relative  get  Relative  get  Parent  Directory  get  Drive  Str  relative  To  starts  With  starts  With  starts  With  get  File  System  as  Fragment  to  String  equals  hash  Code  compare  To  exists  exists  get  Directory  Entries  readdir  stat  stat  Nullable  stat  Nullable  stat  stat  If  Found  stat  If  Found  is  Directory  is  Directory  is  File  is  File  is  Special  File  is  Special  File  is  Symbolic  Link  get  Output  Stream  get  Output  Stream  create  Directory  create  Directory  And  Parents  create  Symbolic  Link  create  Symbolic  Link  read  Symbolic  Link  read  Symbolic  Link  Unchecked  create  Hard  Link  resolve  Symbolic  Links  rename  To  get  File  Size  get  File  Size  delete  delete  Tree  delete  Trees  Below  get  Last  Modified  Time  set  Last  Modified  Time  get  Last  Modified  Time  getxattr  getxattr  get  Fast  Digest  get  Digest  get  Directory  Digest  get  Input  Stream  create  Readable  Byte  Channel  get  Path  File  is  Writable  set  Writable  is  Executable  set  Executable  is  Readable  set  Readable  chmod  prefetch  Package  Async  check  Same  File  System  write  Object  read  Object,0,0
1,is  Root  Directory,In  Memory  File  System,boolean,,equals  get  Path  String,Path,os  separator  file  System  For  Serialization  path  drive  Str  Length  file  System,Path  get  File  System  For  Serialization  set  File  System  For  Serialization  create  create  Already  Normalized  create  Already  Normalized  get  Path  String  file  Path  For  File  Type  Matcher  get  Base  Name  get  Child  get  Relative  get  Relative  get  Relative  get  Parent  Directory  get  Drive  Str  relative  To  starts  With  starts  With  starts  With  get  File  System  as  Fragment  to  String  equals  hash  Code  compare  To  exists  exists  get  Directory  Entries  readdir  stat  stat  Nullable  stat  Nullable  stat  stat  If  Found  stat  If  Found  is  Directory  is  Directory  is  File  is  File  is  Special  File  is  Special  File  is  Symbolic  Link  get  Output  Stream  get  Output  Stream  create  Directory  create  Directory  And  Parents  create  Symbolic  Link  create  Symbolic  Link  read  Symbolic  Link  read  Symbolic  Link  Unchecked  create  Hard  Link  resolve  Symbolic  Links  rename  To  get  File  Size  get  File  Size  delete  delete  Tree  delete  Trees  Below  get  Last  Modified  Time  set  Last  Modified  Time  get  Last  Modified  Time  getxattr  getxattr  get  Fast  Digest  get  Digest  get  Directory  Digest  get  Input  Stream  create  Readable  Byte  Channel  get  Path  File  is  Writable  set  Writable  is  Executable  set  Executable  is  Readable  set  Readable  chmod  prefetch  Package  Async  check  Same  File  System  write  Object  read  Object,In  Memory  File  System,max  traversals  clock  root  Inode  Error  message  I  O  Exception  With  Error  error  Code  File  Not  Found  Exception  With  Error  error  Code  File  Access  Exception  With  Error  error  Code  Inode  Or  Errno,In  Memory  File  System  In  Memory  File  System  In  Memory  File  System  In  Memory  File  System  new  Root  Inode  base  Name  Or  Windows  Drive  get  File  System  Type  unlink  insert  insert  directory  Lookup  Errno  new  File  path  Walk  Errno  get  Directory  Errno  get  Directory  no  Follow  Stat  Errno  stat  stat  If  Found  stat  Nullable  inode  Stat  Errno  inode  Stat  resolve  One  Link  exists  is  Readable  set  Readable  is  Writable  set  Writable  is  Executable  set  Executable  supports  Modifications  supports  Symbolic  Links  Natively  supports  Hard  Links  Natively  is  File  Path  Case  Sensitive  create  Directory  create  Directory  And  Parents  create  Symbolic  Link  read  Symbolic  Link  get  File  Size  get  Directory  Entries  delete  get  Last  Modified  Time  set  Last  Modified  Time  get  Input  Stream  create  Readable  Byte  Channel  getxattr  get  Fast  Digest  get  Or  Create  Writable  Inode  get  Output  Stream  rename  To  create  F  S  Dependent  Hard  Link  Error  parent  Throwable  To  String  to  String  as  Inode  Or  Errno  exception  get  Error  I  O  Exception  With  Error  get  Error  to  String  File  Not  Found  Exception  With  Error  get  Error  to  String  File  Access  Exception  With  Error  get  Error  to  String  create  Inode  create  Error  inode  error  has  Error  value  Or  Throw,1,1
2,recreate  Directory,Path,void,,delete  Tree  create  Directory  And  Parents,Test  Strategy,test  tmp  root  execution  Options  bin  Tools  futures  tmp  Index  Test  Output  Format  Test  Summary  Format  Shard  Key  owner  shard,Test  Strategy  get  Args  expanded  Args  From  Action  add  Run  Under  Args  get  Test  Attempts  Per  Label  get  Tmp  Dir  Name  get  Tmp  Root  get  Mapping  close  Suppressed  prepare  File  System  prepare  File  System  is  Test  Keep  Going  get  Test  Cancel  Future  get  Test  Attempts  get  Test  Attempts  For  Flaky  Test  get  Test  Attempts  get  Timeout  post  Test  Result  get  Tmp  Dir  Name  parse  Test  Result  process  Test  Output  create  Streamed  Test  Output  Shard  Key  hash  Code  equals,Path,os  separator  file  System  For  Serialization  path  drive  Str  Length  file  System,Path  get  File  System  For  Serialization  set  File  System  For  Serialization  create  create  Already  Normalized  create  Already  Normalized  get  Path  String  file  Path  For  File  Type  Matcher  get  Base  Name  get  Child  get  Relative  get  Relative  get  Relative  get  Parent  Directory  get  Drive  Str  relative  To  starts  With  starts  With  starts  With  get  File  System  as  Fragment  to  String  equals  hash  Code  compare  To  exists  exists  get  Directory  Entries  readdir  stat  stat  Nullable  stat  Nullable  stat  stat  If  Found  stat  If  Found  is  Directory  is  Directory  is  File  is  File  is  Special  File  is  Special  File  is  Symbolic  Link  get  Output  Stream  get  Output  Stream  create  Directory  create  Directory  And  Parents  create  Symbolic  Link  create  Symbolic  Link  read  Symbolic  Link  read  Symbolic  Link  Unchecked  create  Hard  Link  resolve  Symbolic  Links  rename  To  get  File  Size  get  File  Size  delete  delete  Tree  delete  Trees  Below  get  Last  Modified  Time  set  Last  Modified  Time  get  Last  Modified  Time  getxattr  getxattr  get  Fast  Digest  get  Digest  get  Directory  Digest  get  Input  Stream  create  Readable  Byte  Channel  get  Path  File  is  Writable  set  Writable  is  Executable  set  Executable  is  Readable  set  Readable  chmod  prefetch  Package  Async  check  Same  File  System  write  Object  read  Object  is  Root  Directory,0,0
3,recreate  Directory,Path,void,,delete  Tree  create  Directory  And  Parents,Path,os  separator  file  System  For  Serialization  path  drive  Str  Length  file  System,Path  get  File  System  For  Serialization  set  File  System  For  Serialization  create  create  Already  Normalized  create  Already  Normalized  get  Path  String  file  Path  For  File  Type  Matcher  get  Base  Name  get  Child  get  Relative  get  Relative  get  Relative  get  Parent  Directory  get  Drive  Str  relative  To  starts  With  starts  With  starts  With  get  File  System  as  Fragment  to  String  equals  hash  Code  compare  To  exists  exists  get  Directory  Entries  readdir  stat  stat  Nullable  stat  Nullable  stat  stat  If  Found  stat  If  Found  is  Directory  is  Directory  is  File  is  File  is  Special  File  is  Special  File  is  Symbolic  Link  get  Output  Stream  get  Output  Stream  create  Directory  create  Directory  And  Parents  create  Symbolic  Link  create  Symbolic  Link  read  Symbolic  Link  read  Symbolic  Link  Unchecked  create  Hard  Link  resolve  Symbolic  Links  rename  To  get  File  Size  get  File  Size  delete  delete  Tree  delete  Trees  Below  get  Last  Modified  Time  set  Last  Modified  Time  get  Last  Modified  Time  getxattr  getxattr  get  Fast  Digest  get  Digest  get  Directory  Digest  get  Input  Stream  create  Readable  Byte  Channel  get  Path  File  is  Writable  set  Writable  is  Executable  set  Executable  is  Readable  set  Readable  chmod  prefetch  Package  Async  check  Same  File  System  write  Object  read  Object  is  Root  Directory,Test  Strategy,test  tmp  root  execution  Options  bin  Tools  futures  tmp  Index  Test  Output  Format  Test  Summary  Format  Shard  Key  owner  shard,Test  Strategy  get  Args  expanded  Args  From  Action  add  Run  Under  Args  get  Test  Attempts  Per  Label  get  Tmp  Dir  Name  get  Tmp  Root  get  Mapping  close  Suppressed  prepare  File  System  prepare  File  System  is  Test  Keep  Going  get  Test  Cancel  Future  get  Test  Attempts  get  Test  Attempts  For  Flaky  Test  get  Test  Attempts  get  Timeout  post  Test  Result  get  Tmp  Dir  Name  parse  Test  Result  process  Test  Output  create  Streamed  Test  Output  Shard  Key  hash  Code  equals,1,0
4,create  Symlinks,Path  Bin  Tools  Map  String  String  boolean  Symlink  Tree  Helper,void,,create  Symlinks  Using  Command  copy  Manifest,Symlink  Tree  Helper,build  runfiles  input  Manifest  symlink  Tree  Root  fileset  Tree  Directory  symlinks  directories,Symlink  Tree  Helper  process  Fileset  Links  get  Output  Manifest  create  Symlinks  Directly  copy  Manifest  create  Symlinks  Using  Command  create  Command  add  Symlink  walk  sync  Tree  Recursively,Out  Err,system  out  err  out  err  Switching  Print  Stream,Out  Err  create  create  Synchronized  Funnel  write  write  write  flush  close  close  get  System  Patcher  start  close  get  Output  Stream  get  Error  Stream  print  Out  print  Out  Ln  print  Err  print  Err  Ln  start  Switching  Print  Stream  switch  Back  To,0,0
5,create  Symlinks,Path  Bin  Tools  Map  String  String  boolean  Symlink  Tree  Helper,void,,create  Symlinks  Using  Command  copy  Manifest,Out  Err,system  out  err  out  err  Switching  Print  Stream,Out  Err  create  create  Synchronized  Funnel  write  write  write  flush  close  close  get  System  Patcher  start  close  get  Output  Stream  get  Error  Stream  print  Out  print  Out  Ln  print  Err  print  Err  Ln  start  Switching  Print  Stream  switch  Back  To,Symlink  Tree  Helper,build  runfiles  input  Manifest  symlink  Tree  Root  fileset  Tree  Directory  symlinks  directories,Symlink  Tree  Helper  process  Fileset  Links  get  Output  Manifest  create  Symlinks  Directly  copy  Manifest  create  Symlinks  Using  Command  create  Command  add  Symlink  walk  sync  Tree  Recursively,1,1
6,create  Symlinks,Path  Bin  Tools  Map  String  String  boolean  Symlink  Tree  Helper,void,,create  Symlinks  Using  Command  copy  Manifest,Symlink  Tree  Helper,build  runfiles  input  Manifest  symlink  Tree  Root  fileset  Tree  Directory  symlinks  directories,Symlink  Tree  Helper  process  Fileset  Links  get  Output  Manifest  create  Symlinks  Directly  copy  Manifest  create  Symlinks  Using  Command  create  Command  add  Symlink  walk  sync  Tree  Recursively,Path,os  separator  file  System  For  Serialization  path  drive  Str  Length  file  System,Path  get  File  System  For  Serialization  set  File  System  For  Serialization  create  create  Already  Normalized  create  Already  Normalized  get  Path  String  file  Path  For  File  Type  Matcher  get  Base  Name  get  Child  get  Relative  get  Relative  get  Relative  get  Parent  Directory  get  Drive  Str  relative  To  starts  With  starts  With  starts  With  get  File  System  as  Fragment  to  String  equals  hash  Code  compare  To  exists  exists  get  Directory  Entries  readdir  stat  stat  Nullable  stat  Nullable  stat  stat  If  Found  stat  If  Found  is  Directory  is  Directory  is  File  is  File  is  Special  File  is  Special  File  is  Symbolic  Link  get  Output  Stream  get  Output  Stream  create  Directory  create  Directory  And  Parents  create  Symbolic  Link  create  Symbolic  Link  read  Symbolic  Link  read  Symbolic  Link  Unchecked  create  Hard  Link  resolve  Symbolic  Links  rename  To  get  File  Size  get  File  Size  delete  delete  Tree  delete  Trees  Below  get  Last  Modified  Time  set  Last  Modified  Time  get  Last  Modified  Time  getxattr  getxattr  get  Fast  Digest  get  Digest  get  Directory  Digest  get  Input  Stream  create  Readable  Byte  Channel  get  Path  File  is  Writable  set  Writable  is  Executable  set  Executable  is  Readable  set  Readable  chmod  prefetch  Package  Async  check  Same  File  System  write  Object  read  Object  is  Root  Directory,0,0
7,create  Symlinks,Path  Bin  Tools  Map  String  String  boolean  Symlink  Tree  Helper,void,,create  Symlinks  Using  Command  copy  Manifest,Path,os  separator  file  System  For  Serialization  path  drive  Str  Length  file  System,Path  get  File  System  For  Serialization  set  File  System  For  Serialization  create  create  Already  Normalized  create  Already  Normalized  get  Path  String  file  Path  For  File  Type  Matcher  get  Base  Name  get  Child  get  Relative  get  Relative  get  Relative  get  Parent  Directory  get  Drive  Str  relative  To  starts  With  starts  With  starts  With  get  File  System  as  Fragment  to  String  equals  hash  Code  compare  To  exists  exists  get  Directory  Entries  readdir  stat  stat  Nullable  stat  Nullable  stat  stat  If  Found  stat  If  Found  is  Directory  is  Directory  is  File  is  File  is  Special  File  is  Special  File  is  Symbolic  Link  get  Output  Stream  get  Output  Stream  create  Directory  create  Directory  And  Parents  create  Symbolic  Link  create  Symbolic  Link  read  Symbolic  Link  read  Symbolic  Link  Unchecked  create  Hard  Link  resolve  Symbolic  Links  rename  To  get  File  Size  get  File  Size  delete  delete  Tree  delete  Trees  Below  get  Last  Modified  Time  set  Last  Modified  Time  get  Last  Modified  Time  getxattr  getxattr  get  Fast  Digest  get  Digest  get  Directory  Digest  get  Input  Stream  create  Readable  Byte  Channel  get  Path  File  is  Writable  set  Writable  is  Executable  set  Executable  is  Readable  set  Readable  chmod  prefetch  Package  Async  check  Same  File  System  write  Object  read  Object  is  Root  Directory,Symlink  Tree  Helper,build  runfiles  input  Manifest  symlink  Tree  Root  fileset  Tree  Directory  symlinks  directories,Symlink  Tree  Helper  process  Fileset  Links  get  Output  Manifest  create  Symlinks  Directly  copy  Manifest  create  Symlinks  Using  Command  create  Command  add  Symlink  walk  sync  Tree  Recursively,1,0
8,create  Symlinks,Path  Bin  Tools  Map  String  String  boolean  Symlink  Tree  Helper,void,,create  Symlinks  Using  Command  copy  Manifest,Symlink  Tree  Helper,build  runfiles  input  Manifest  symlink  Tree  Root  fileset  Tree  Directory  symlinks  directories,Symlink  Tree  Helper  process  Fileset  Links  get  Output  Manifest  create  Symlinks  Directly  copy  Manifest  create  Symlinks  Using  Command  create  Command  add  Symlink  walk  sync  Tree  Recursively,Bin  Tools,embedded  Binaries  Root  embedded  Tools  action  Inputs  Path  Action  Input  path  exec  Path  metadata,Bin  Tools  Bin  Tools  for  Production  empty  for  Embedded  Bin  for  Unit  Testing  for  Unit  Testing  for  Integration  Testing  scan  Directory  Recursively  get  Action  Input  get  Embedded  Path  Path  Action  Input  hash  write  To  is  Symlink  get  Bytes  get  Metadata  get  Exec  Path  String  get  Exec  Path,0,0
9,create  Symlinks,Path  Bin  Tools  Map  String  String  boolean  Symlink  Tree  Helper,void,,create  Symlinks  Using  Command  copy  Manifest,Bin  Tools,embedded  Binaries  Root  embedded  Tools  action  Inputs  Path  Action  Input  path  exec  Path  metadata,Bin  Tools  Bin  Tools  for  Production  empty  for  Embedded  Bin  for  Unit  Testing  for  Unit  Testing  for  Integration  Testing  scan  Directory  Recursively  get  Action  Input  get  Embedded  Path  Path  Action  Input  hash  write  To  is  Symlink  get  Bytes  get  Metadata  get  Exec  Path  String  get  Exec  Path,Symlink  Tree  Helper,build  runfiles  input  Manifest  symlink  Tree  Root  fileset  Tree  Directory  symlinks  directories,Symlink  Tree  Helper  process  Fileset  Links  get  Output  Manifest  create  Symlinks  Directly  copy  Manifest  create  Symlinks  Using  Command  create  Command  add  Symlink  walk  sync  Tree  Recursively,1,0
