id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,contains  Only  Conjunctions,Pig  Filter,boolean,,size  disjunctions,Pig  Filter,,Pig  Filter  copy  implement  get  Table  get  Pig  Filter  Statement  get  Single  Filter  Condition  get  Single  Filter  Condition  get  Literal  As  String,Rex  Node,describe  without  normalize  decrement  on  close  empty  digest,close  with  Normalize  skip  Normalize  need  Normalize  get  Type  is  Always  True  is  Always  False  is  A  is  A  get  Kind  to  String  to  String  Raw  node  Count  accept  accept  equals  hash  Code,0,0
1,contains  Only  Conjunctions,Pig  Filter,boolean,,size  disjunctions,Rex  Node,describe  without  normalize  decrement  on  close  empty  digest,close  with  Normalize  skip  Normalize  need  Normalize  get  Type  is  Always  True  is  Always  False  is  A  is  A  get  Kind  to  String  to  String  Raw  node  Count  accept  accept  equals  hash  Code,Pig  Filter,,Pig  Filter  copy  implement  get  Table  get  Pig  Filter  Statement  get  Single  Filter  Condition  get  Single  Filter  Condition  get  Literal  As  String,1,1
2,get  Literal  As  String,Rex  Literal,String,,string  Value,Pig  Filter,,Pig  Filter  copy  implement  get  Table  get  Pig  Filter  Statement  get  Single  Filter  Condition  get  Single  Filter  Condition,Rex  Literal,value  type  type  Name  time  units,Rex  Literal  compute  Digest  digest  Includes  Type  value  Matches  Type  to  Java  String  should  Include  Type  valid  Constant  get  Time  Units  interval  String  pad  width  print  As  Java  append  As  Java  from  Jdbc  String  get  Calendar  Format  get  Type  Name  get  Type  get  Kind  is  Null  get  Value  get  Value  get  Value  get  Value  get  Value  As  boolean  Value  is  Always  True  is  Always  False  equals  hash  Code  value  int  Value  string  Value  find  Value  is  Null  Literal  equals  accept  accept  to  String  Other,0,0
3,get  Literal  As  String,Rex  Literal,String,,string  Value,Rex  Literal,value  type  type  Name  time  units,Rex  Literal  compute  Digest  digest  Includes  Type  value  Matches  Type  to  Java  String  should  Include  Type  valid  Constant  get  Time  Units  interval  String  pad  width  print  As  Java  append  As  Java  from  Jdbc  String  get  Calendar  Format  get  Type  Name  get  Type  get  Kind  is  Null  get  Value  get  Value  get  Value  get  Value  get  Value  As  boolean  Value  is  Always  True  is  Always  False  equals  hash  Code  value  int  Value  string  Value  find  Value  is  Null  Literal  equals  accept  accept  to  String  Other,Pig  Filter,,Pig  Filter  copy  implement  get  Table  get  Pig  Filter  Statement  get  Single  Filter  Condition  get  Single  Filter  Condition,1,0
4,copy,Rel  Trait  Set  Rel  Node  List  Rel  Collation  Calc,Calc,,discard  copy,Calc,hints  program,Calc  Calc  Calc  copy  is  Valid  get  Program  get  Hints  estimate  Row  Count  compute  Self  Cost  explain  Terms  accept,Rex  Program,exprs  projects  condition  input  Row  Type  output  Row  Type  ref  Counts  Checker  internal  Expr  Type  List  Expansion  Shuttle  exprs  Constant  Finder  Marshaller  Reference  Counter,Rex  Program  get  Expr  List  get  Project  List  get  Named  Projects  size  get  get  Condition  create  create  create  to  String  explain  Calc  collect  Explain  Terms  collect  Explain  Terms  count  Trivial  get  Expr  Count  create  Identity  create  Identity  get  Input  Row  Type  contains  Aggs  get  Output  Row  Type  is  Valid  is  Null  expand  Local  Ref  split  get  Collations  deduce  Collations  projects  Identity  projects  Only  Identity  is  Trivial  get  Reference  Counts  is  Constant  gather  Expr  get  Source  Field  is  Permutation  get  Permutation  get  Correl  Variable  Names  visit  Correl  Variable  is  Normalized  normalize  normalize  get  Partial  Mapping  Checker  visit  Local  Ref  Expansion  Shuttle  visit  Local  Ref  visit  Local  Ref  visit  Over  visit  Correl  Variable  Marshaller  visit  Input  Ref  visit  Local  Ref  visit  Literal  visit  Call  visit  Over  visit  Correl  Variable  visit  Dynamic  Param  visit  Range  Ref  visit  Field  Access  Reference  Counter  visit  Local  Ref,0,0
5,copy,Rel  Trait  Set  Rel  Node  List  Rel  Collation  Calc,Calc,,discard  copy,Rex  Program,exprs  projects  condition  input  Row  Type  output  Row  Type  ref  Counts  Checker  internal  Expr  Type  List  Expansion  Shuttle  exprs  Constant  Finder  Marshaller  Reference  Counter,Rex  Program  get  Expr  List  get  Project  List  get  Named  Projects  size  get  get  Condition  create  create  create  to  String  explain  Calc  collect  Explain  Terms  collect  Explain  Terms  count  Trivial  get  Expr  Count  create  Identity  create  Identity  get  Input  Row  Type  contains  Aggs  get  Output  Row  Type  is  Valid  is  Null  expand  Local  Ref  split  get  Collations  deduce  Collations  projects  Identity  projects  Only  Identity  is  Trivial  get  Reference  Counts  is  Constant  gather  Expr  get  Source  Field  is  Permutation  get  Permutation  get  Correl  Variable  Names  visit  Correl  Variable  is  Normalized  normalize  normalize  get  Partial  Mapping  Checker  visit  Local  Ref  Expansion  Shuttle  visit  Local  Ref  visit  Local  Ref  visit  Over  visit  Correl  Variable  Marshaller  visit  Input  Ref  visit  Local  Ref  visit  Literal  visit  Call  visit  Over  visit  Correl  Variable  visit  Dynamic  Param  visit  Range  Ref  visit  Field  Access  Reference  Counter  visit  Local  Ref,Calc,hints  program,Calc  Calc  Calc  copy  is  Valid  get  Program  get  Hints  estimate  Row  Count  compute  Self  Cost  explain  Terms  accept,1,1
6,copy,Rel  Trait  Set  Rel  Node  List  Rel  Collation  Calc,Calc,,discard  copy,Calc,hints  program,Calc  Calc  Calc  copy  is  Valid  get  Program  get  Hints  estimate  Row  Count  compute  Self  Cost  explain  Terms  accept,Rel  Trait  Set,empty  traits  cache  traits  string  Cache  map,Rel  Trait  Set  create  Empty  get  Trait  get  Traits  get  is  Enabled  get  Trait  get  Traits  replace  replace  contains  Shallow  replace  replace  replace  Ifs  replace  If  apply  is  Default  is  Default  Sans  Convention  equals  Sans  Convention  get  Default  get  Default  Sans  Convention  get  Convention  get  Distribution  get  Collation  size  canonize  equals  hash  Code  satisfies  matches  contains  contains  If  Applicable  comprises  to  String  compute  String  find  Index  plus  plus  All  merge  difference  all  Simple  simplify  Cache  get  Or  Add,0,0
7,copy,Rel  Trait  Set  Rel  Node  List  Rel  Collation  Calc,Calc,,discard  copy,Rel  Trait  Set,empty  traits  cache  traits  string  Cache  map,Rel  Trait  Set  create  Empty  get  Trait  get  Traits  get  is  Enabled  get  Trait  get  Traits  replace  replace  contains  Shallow  replace  replace  replace  Ifs  replace  If  apply  is  Default  is  Default  Sans  Convention  equals  Sans  Convention  get  Default  get  Default  Sans  Convention  get  Convention  get  Distribution  get  Collation  size  canonize  equals  hash  Code  satisfies  matches  contains  contains  If  Applicable  comprises  to  String  compute  String  find  Index  plus  plus  All  merge  difference  all  Simple  simplify  Cache  get  Or  Add,Calc,hints  program,Calc  Calc  Calc  copy  is  Valid  get  Program  get  Hints  estimate  Row  Count  compute  Self  Cost  explain  Terms  accept,1,0
8,copy,Rel  Node  List  Rex  Node  Rel  Data  Type  int  Project,Project,,discard  copy,Project,exps  hints  Flags  anon  fields  boxed  none,Project  Project  Project  Project  copy  is  Boxed  get  Child  Exps  accept  get  Projects  get  Named  Projects  get  Hints  get  Flags  is  Valid  compute  Self  Cost  count  Trivial  explain  Terms  get  Mapping  get  Mapping  get  Partial  Mapping  get  Permutation  get  Permutation  is  Mapping,Rel  Trait  Set,empty  traits  cache  traits  string  Cache  map,Rel  Trait  Set  create  Empty  get  Trait  get  Traits  get  is  Enabled  get  Trait  get  Traits  replace  replace  contains  Shallow  replace  replace  replace  Ifs  replace  If  apply  is  Default  is  Default  Sans  Convention  equals  Sans  Convention  get  Default  get  Default  Sans  Convention  get  Convention  get  Distribution  get  Collation  size  canonize  equals  hash  Code  satisfies  matches  contains  contains  If  Applicable  comprises  to  String  compute  String  find  Index  plus  plus  All  merge  difference  all  Simple  simplify  Cache  get  Or  Add,0,0
9,copy,Rel  Node  List  Rex  Node  Rel  Data  Type  int  Project,Project,,discard  copy,Rel  Trait  Set,empty  traits  cache  traits  string  Cache  map,Rel  Trait  Set  create  Empty  get  Trait  get  Traits  get  is  Enabled  get  Trait  get  Traits  replace  replace  contains  Shallow  replace  replace  replace  Ifs  replace  If  apply  is  Default  is  Default  Sans  Convention  equals  Sans  Convention  get  Default  get  Default  Sans  Convention  get  Convention  get  Distribution  get  Collation  size  canonize  equals  hash  Code  satisfies  matches  contains  contains  If  Applicable  comprises  to  String  compute  String  find  Index  plus  plus  All  merge  difference  all  Simple  simplify  Cache  get  Or  Add,Project,exps  hints  Flags  anon  fields  boxed  none,Project  Project  Project  Project  copy  is  Boxed  get  Child  Exps  accept  get  Projects  get  Named  Projects  get  Hints  get  Flags  is  Valid  compute  Self  Cost  count  Trivial  explain  Terms  get  Mapping  get  Mapping  get  Partial  Mapping  get  Permutation  get  Permutation  is  Mapping,1,1
