id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,search  For  Array  Object,Array  Element  Transformer,Set  Local,vt  vt  vt  vt  vt  vt,get  Op  get  Op  get  Op  get  Op  add  get  Op  get  Op  get  Op  get  Op  add  get  Op  get  Op  add,Array  Element  Transformer,phis  tmp  current  Stmt  Array  Value  s  Index  Type  index  Type  s  parent  size  other  Parents  elements  stmt,transform  Report  Changed  merge  init  First  Frame  exec  use  travel  main,Ir  Method,is  Static  args  locals  name  owner  ret  stmts  traps  vars  phi  Labels,clone  to  String,0,0
1,search  For  Array  Object,Array  Element  Transformer,Set  Local,vt  vt  vt  vt  vt  vt,get  Op  get  Op  get  Op  get  Op  add  get  Op  get  Op  get  Op  get  Op  add  get  Op  get  Op  add,Ir  Method,is  Static  args  locals  name  owner  ret  stmts  traps  vars  phi  Labels,clone  to  String,Array  Element  Transformer,phis  tmp  current  Stmt  Array  Value  s  Index  Type  index  Type  s  parent  size  other  Parents  elements  stmt,transform  Report  Changed  merge  init  First  Frame  exec  use  travel  main,1,1
2,rm  Unused,Set  Label  Stmt  Clean  Label,void,,get  First  contains  get  Next  remove  get  Next,Clean  Label,,transform  add  Vars  add  Stmt  add  Trap,Stmt  List,Stmt  List  Iterator  current  next  list  first  last  index  size,Stmt  List  Iterator  has  Next  next  remove  add  add  All  clone  compare  contains  get  First  get  Last  get  Size  index  It  insert  After  insert  Before  insert  First  insert  Last  iterator  remove  replace  to  String  move  clear,0,0
3,rm  Unused,Set  Label  Stmt  Clean  Label,void,,get  First  contains  get  Next  remove  get  Next,Stmt  List,Stmt  List  Iterator  current  next  list  first  last  index  size,Stmt  List  Iterator  has  Next  next  remove  add  add  All  clone  compare  contains  get  First  get  Last  get  Size  index  It  insert  After  insert  Before  insert  First  insert  Last  iterator  remove  replace  to  String  move  clear,Clean  Label,,transform  add  Vars  add  Stmt  add  Trap,1,1
4,add  Stmt,Stmt  List  Set  Label  Stmt,void,,get  First  get  Next  add  get  Target  add  add,Clean  Label,,transform  add  Vars  add  Trap,Stmt  List,Stmt  List  Iterator  current  next  list  first  last  index  size,rm  Unused  Stmt  List  Iterator  has  Next  next  remove  add  add  All  clone  compare  contains  get  First  get  Last  get  Size  index  It  insert  After  insert  Before  insert  First  insert  Last  iterator  remove  replace  to  String  move  clear,0,0
5,add  Stmt,Stmt  List  Set  Label  Stmt,void,,get  First  get  Next  add  get  Target  add  add,Stmt  List,Stmt  List  Iterator  current  next  list  first  last  index  size,rm  Unused  Stmt  List  Iterator  has  Next  next  remove  add  add  All  clone  compare  contains  get  First  get  Last  get  Size  index  It  insert  After  insert  Before  insert  First  insert  Last  iterator  remove  replace  to  String  move  clear,Clean  Label,,transform  add  Vars  add  Trap,1,0
6,move  End,Stmt  List  Label  Stmt  End  Remover,void,target,n  Goto  insert  Before  get  Last  remove  get  Last  move,End  Remover,keep  Local,map  transform  move  Label,Stmt  List,Stmt  List  Iterator  current  next  list  first  last  index  size,rm  Unused  Stmt  List  Iterator  has  Next  next  remove  add  add  All  clone  compare  contains  get  First  get  Last  get  Size  index  It  insert  After  insert  Before  insert  First  insert  Last  iterator  remove  replace  to  String  move  clear,0,0
7,move  End,Stmt  List  Label  Stmt  End  Remover,void,target,n  Goto  insert  Before  get  Last  remove  get  Last  move,Stmt  List,Stmt  List  Iterator  current  next  list  first  last  index  size,rm  Unused  Stmt  List  Iterator  has  Next  next  remove  add  add  All  clone  compare  contains  get  First  get  Last  get  Size  index  It  insert  After  insert  Before  insert  First  insert  Last  iterator  remove  replace  to  String  move  clear,End  Remover,keep  Local,map  transform  move  Label,1,0
8,move  End,Stmt  List  Label  Stmt  End  Remover,void,target,n  Goto  insert  Before  get  Last  remove  get  Last  move,End  Remover,keep  Local,map  transform  move  Label,Stmt,E  Stmt  E  Stmt  op  E  Stmt  op  op  can  continue  can  brnanch  can  switch  can  throw  may  throw  st  config  cfg  froms  exception  Handlers  visited  frame  ts  default  next  et  id  list  next  pre  st,E  Stmt  E  Stmt  get  Op  set  Op  E  Stmt  get  Op  get  Op  set  Op  set  Op  st  can  Branch  can  Continue  can  Switch  may  Throw  can  Throw  Stmt  clone  get  Next  get  Op  get  Op  get  Op  get  Ops  get  Pre  set  Op  set  Op  set  Op  set  Ops,0,0
9,move  End,Stmt  List  Label  Stmt  End  Remover,void,target,n  Goto  insert  Before  get  Last  remove  get  Last  move,Stmt,E  Stmt  E  Stmt  op  E  Stmt  op  op  can  continue  can  brnanch  can  switch  can  throw  may  throw  st  config  cfg  froms  exception  Handlers  visited  frame  ts  default  next  et  id  list  next  pre  st,E  Stmt  E  Stmt  get  Op  set  Op  E  Stmt  get  Op  get  Op  set  Op  set  Op  st  can  Branch  can  Continue  can  Switch  may  Throw  can  Throw  Stmt  clone  get  Next  get  Op  get  Op  get  Op  get  Ops  get  Pre  set  Op  set  Op  set  Op  set  Ops,End  Remover,keep  Local,map  transform  move  Label,1,1
10,move  End,Stmt  List  Label  Stmt  End  Remover,void,target,n  Goto  insert  Before  get  Last  remove  get  Last  move,End  Remover,keep  Local,map  transform  move  Label,Label  Stmt,display  Name  line  Number  phis  tag,Label  Stmt  clone  get  Display  Name  to  String,0,0
11,move  End,Stmt  List  Label  Stmt  End  Remover,void,target,n  Goto  insert  Before  get  Last  remove  get  Last  move,Label  Stmt,display  Name  line  Number  phis  tag,Label  Stmt  clone  get  Display  Name  to  String,End  Remover,keep  Local,map  transform  move  Label,1,0
12,collect  Local  Used  In  Phi,Ir  Method,Set  Local,,add  get  Op  get  Ops  get  Op  add,Agg  Transformer,fail  success  Merge  Result  Replace  X  local  replace  With,transform  Report  Changed  local  Can  Exec  First  local  Can  Exec  First  on  Assign  on  Use  simple  Merge  Locals  on  Assign  on  Use  mod  Replace  is  Location  Insensitive  is  Location  Insensitive,Ir  Method,is  Static  args  locals  name  owner  ret  stmts  traps  vars  phi  Labels,clone  to  String  search  For  Array  Object,0,0
13,collect  Local  Used  In  Phi,Ir  Method,Set  Local,,add  get  Op  get  Ops  get  Op  add,Ir  Method,is  Static  args  locals  name  owner  ret  stmts  traps  vars  phi  Labels,clone  to  String  search  For  Array  Object,Agg  Transformer,fail  success  Merge  Result  Replace  X  local  replace  With,transform  Report  Changed  local  Can  Exec  First  local  Can  Exec  First  on  Assign  on  Use  simple  Merge  Locals  on  Assign  on  Use  mod  Replace  is  Location  Insensitive  is  Location  Insensitive,1,0
