id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,with  Link  Type,Resolved  Link,Resolved  Link,,get  Link  Type  get  Url  get  Attributes  get  Status,Resolved  Link,my  Link  Type  my  Url  my  Status  my  Attributes,Resolved  Link  Resolved  Link  get  Attributes  get  Non  Null  Attributes  Resolved  Link  with  Status  get  Link  Type  get  Status  with  Url  get  Url  get  Page  Ref  get  Anchor  Ref  with  Title  get  Title  with  Target  get  Target  equals  hash  Code,Link  Type,link  image  link  ref  image  ref  my  Name,Link  Type  get  Name  equals  hash  Code,0,0
1,with  Link  Type,Resolved  Link,Resolved  Link,,get  Link  Type  get  Url  get  Attributes  get  Status,Link  Type,link  image  link  ref  image  ref  my  Name,Link  Type  get  Name  equals  hash  Code,Resolved  Link,my  Link  Type  my  Url  my  Status  my  Attributes,Resolved  Link  Resolved  Link  get  Attributes  get  Non  Null  Attributes  Resolved  Link  with  Status  get  Link  Type  get  Status  with  Url  get  Url  get  Page  Ref  get  Anchor  Ref  with  Title  get  Title  with  Target  get  Target  equals  hash  Code,1,1
2,with  Status,Link  Status,Resolved  Link,my  Status,,Resolved  Link,my  Link  Type  my  Url  my  Status  my  Attributes,Resolved  Link  Resolved  Link  get  Attributes  get  Non  Null  Attributes  Resolved  Link  get  Link  Type  get  Status  with  Url  get  Url  get  Page  Ref  get  Anchor  Ref  with  Title  get  Title  with  Target  get  Target  equals  hash  Code,Link  Status,unknown  valid  invalid  unchecked  not  found  my  Name,Link  Status  get  Name  equals  hash  Code  is  Status,0,0
3,with  Status,Link  Status,Resolved  Link,my  Status,,Link  Status,unknown  valid  invalid  unchecked  not  found  my  Name,Link  Status  get  Name  equals  hash  Code  is  Status,Resolved  Link,my  Link  Type  my  Url  my  Status  my  Attributes,Resolved  Link  Resolved  Link  get  Attributes  get  Non  Null  Attributes  Resolved  Link  get  Link  Type  get  Status  with  Url  get  Url  get  Page  Ref  get  Anchor  Ref  with  Title  get  Title  with  Target  get  Target  equals  hash  Code,1,0
4,with  Status,Resolved  Content,Resolved  Content,,get  Status  get  Resolved  Link  get  Content,Resolved  Content,resolved  Link  status  content,Resolved  Content  with  Content  get  Resolved  Link  get  Status  get  Content  equals  hash  Code,Link  Status,unknown  valid  invalid  unchecked  not  found  my  Name,Link  Status  get  Name  equals  hash  Code  is  Status,0,0
5,with  Status,Resolved  Content,Resolved  Content,,get  Status  get  Resolved  Link  get  Content,Link  Status,unknown  valid  invalid  unchecked  not  found  my  Name,Link  Status  get  Name  equals  hash  Code  is  Status,Resolved  Content,resolved  Link  status  content,Resolved  Content  with  Content  get  Resolved  Link  get  Status  get  Content  equals  hash  Code,1,1
6,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,Heading,level  opening  Marker  text  closing  Marker  anchor  Ref  Id  explicit  Anchor  Ref  Id,get  Ast  Extra  get  Segments  get  Anchor  Ref  Text  get  Anchor  Ref  Id  set  Anchor  Ref  Id  is  Explicit  Anchor  Ref  Id  set  Explicit  Anchor  Ref  Id  Heading  Heading  Heading  Heading  is  Atx  Heading  is  Setext  Heading  get  Opening  Marker  set  Opening  Marker  get  Text  set  Text  get  Closing  Marker  set  Closing  Marker  get  Level  set  Level,0,0
7,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Heading,level  opening  Marker  text  closing  Marker  anchor  Ref  Id  explicit  Anchor  Ref  Id,get  Ast  Extra  get  Segments  get  Anchor  Ref  Text  get  Anchor  Ref  Id  set  Anchor  Ref  Id  is  Explicit  Anchor  Ref  Id  set  Explicit  Anchor  Ref  Id  Heading  Heading  Heading  Heading  is  Atx  Heading  is  Setext  Heading  get  Opening  Marker  set  Opening  Marker  get  Text  set  Text  get  Closing  Marker  set  Closing  Marker  get  Level  set  Level,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,1,1
8,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,Html  Writer,context  use  Attributes,Html  Writer  Html  Writer  Html  Writer  Html  Writer  set  Context  get  Context  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  with  Attr  with  Attr  with  Attr  with  Attr  tag,0,0
9,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Html  Writer,context  use  Attributes,Html  Writer  Html  Writer  Html  Writer  Html  Writer  set  Context  get  Context  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  with  Attr  with  Attr  with  Attr  with  Attr  tag,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,1,0
10,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,Html  Writer,context  use  Attributes,Html  Writer  Html  Writer  Html  Writer  Html  Writer  set  Context  get  Context  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  with  Attr  with  Attr  with  Attr  with  Attr  tag,0,0
11,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Html  Writer,context  use  Attributes,Html  Writer  Html  Writer  Html  Writer  Html  Writer  set  Context  get  Context  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  with  Attr  with  Attr  with  Attr  with  Attr  tag,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,1,0
12,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,Block  Quote,opening  Marker,get  Ast  Extra  get  Segments  Block  Quote  Block  Quote  Block  Quote  Block  Quote  get  Opening  Marker  set  Opening  Marker,0,0
13,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Block  Quote,opening  Marker,get  Ast  Extra  get  Segments  Block  Quote  Block  Quote  Block  Quote  Block  Quote  get  Opening  Marker  set  Opening  Marker,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,1,0
14,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,Html  Writer,context  use  Attributes,Html  Writer  Html  Writer  Html  Writer  Html  Writer  set  Context  get  Context  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  with  Attr  with  Attr  with  Attr  with  Attr  tag,0,0
15,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Html  Writer,context  use  Attributes,Html  Writer  Html  Writer  Html  Writer  Html  Writer  set  Context  get  Context  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  with  Attr  with  Attr  with  Attr  with  Attr  tag,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,1,0
