id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
2,has  Bound,Date  Range  Param,boolean,,is  Empty,Date  Range  Param,serial  Version  U  I  D  my  Lower  Bound  my  Upper  Bound,Date  Range  Param  Date  Range  Param  Date  Range  Param  Date  Range  Param  Date  Range  Param  Date  Range  Param  add  Param  equals  get  Lower  Bound  set  Lower  Bound  set  Lower  Bound  set  Lower  Bound  Inclusive  set  Upper  Bound  Inclusive  set  Lower  Bound  Exclusive  set  Upper  Bound  Exclusive  get  Lower  Bound  As  Date  Integer  get  Upper  Bound  As  Date  Integer  get  Lower  Bound  As  Instant  get  Upper  Bound  set  Upper  Bound  set  Upper  Bound  get  Upper  Bound  As  Instant  get  Values  As  Query  Tokens  hash  Code  is  Empty  set  Range  From  Dates  Inclusive  set  Range  From  Dates  Inclusive  set  Range  From  Dates  Inclusive  set  Range  From  Dates  Inclusive  set  Values  As  Query  Tokens  to  String  validate  And  Set,Date  Param,serial  Version  U  I  D  my  Value  Date  Param  Date  Time  Holder,Date  Param  Date  Param  Date  Param  Date  Param  Date  Param  Date  Param  Date  Param  do  Get  Query  Parameter  Qualifier  do  Get  Value  As  Query  Token  do  Set  Value  As  Query  Token  get  Precision  get  Value  get  Value  As  String  get  Values  As  Query  Tokens  is  Empty  set  Value  set  Value  set  Value  As  String  set  Values  As  Query  Tokens  equals  hash  Code  to  String  Date  Param  Date  Time  Holder  get  Default  Precision  For  Datatype  is  Precision  Allowed,0,0
3,has  Bound,Date  Range  Param,boolean,,is  Empty,Date  Param,serial  Version  U  I  D  my  Value  Date  Param  Date  Time  Holder,Date  Param  Date  Param  Date  Param  Date  Param  Date  Param  Date  Param  Date  Param  do  Get  Query  Parameter  Qualifier  do  Get  Value  As  Query  Token  do  Set  Value  As  Query  Token  get  Precision  get  Value  get  Value  As  String  get  Values  As  Query  Tokens  is  Empty  set  Value  set  Value  set  Value  As  String  set  Values  As  Query  Tokens  equals  hash  Code  to  String  Date  Param  Date  Time  Holder  get  Default  Precision  For  Datatype  is  Precision  Allowed,Date  Range  Param,serial  Version  U  I  D  my  Lower  Bound  my  Upper  Bound,Date  Range  Param  Date  Range  Param  Date  Range  Param  Date  Range  Param  Date  Range  Param  Date  Range  Param  add  Param  equals  get  Lower  Bound  set  Lower  Bound  set  Lower  Bound  set  Lower  Bound  Inclusive  set  Upper  Bound  Inclusive  set  Lower  Bound  Exclusive  set  Upper  Bound  Exclusive  get  Lower  Bound  As  Date  Integer  get  Upper  Bound  As  Date  Integer  get  Lower  Bound  As  Instant  get  Upper  Bound  set  Upper  Bound  set  Upper  Bound  get  Upper  Bound  As  Instant  get  Values  As  Query  Tokens  hash  Code  is  Empty  set  Range  From  Dates  Inclusive  set  Range  From  Dates  Inclusive  set  Range  From  Dates  Inclusive  set  Range  From  Dates  Inclusive  set  Values  As  Query  Tokens  to  String  validate  And  Set,1,1
4,get  Resource  Type,,String,,is  Not  Blank  is  Blank  get  Resource  Type,Reference  Param,my  Chain  my  Resource  Type  my  Base  Url  my  Value  my  Id  Part,Reference  Param  Reference  Param  Reference  Param  Reference  Param  Reference  Param  do  Get  Query  Parameter  Qualifier  do  Get  Value  As  Query  Token  do  Set  Value  As  Query  Token  get  Base  Url  get  Chain  set  Chain  get  Id  Part  get  Id  Part  As  Big  Decimal  get  Id  Part  As  Long  get  Value  set  Value  has  Resource  Type  is  Supports  Chain  to  Date  Param  to  Number  Param  to  Quantity  Param  to  String  to  String  Param  to  Token  Param  is  Id  Part  Valid  Long,Fhir  Context,empty  list  our  Log  my  Version  my  Add  Profile  Tag  When  Encoding  my  Class  To  Element  Definition  my  Custom  Types  my  Default  Type  For  Profile  my  Id  To  Resource  Definition  my  Initialized  my  Initializing  my  Localizer  my  Name  To  Element  Definition  my  Name  To  Resource  Definition  my  Name  To  Resource  Type  my  Narrative  Generator  my  Parser  Error  Handler  my  Parser  Options  my  Performance  Options  my  Resource  Types  To  Scan  my  Restful  Client  Factory  my  Runtime  Child  Undeclared  Extension  Definition  my  Validation  Support  my  Version  To  Name  To  Resource  Type,Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  create  Unknown  Resource  Name  Error  ensure  Custom  Type  List  get  Add  Profile  Tag  When  Encoding  set  Add  Profile  Tag  When  Encoding  get  All  Resource  Definitions  get  Default  Type  For  Profile  get  Element  Definition  get  Element  Definition  get  Element  Definitions  get  Localizer  set  Localizer  get  Narrative  Generator  set  Narrative  Generator  get  Parser  Options  set  Parser  Options  get  Performance  Options  set  Performance  Options  set  Performance  Options  get  Resource  Definition  get  Resource  Definition  get  Resource  Definition  get  Resource  Type  get  Resource  Type  get  Resource  Definition  get  Resource  Definition  By  Id  get  Resource  Definitions  With  Explicit  Id  get  Resource  Types  get  Restful  Client  Factory  set  Restful  Client  Factory  get  Runtime  Child  Undeclared  Extension  Definition  get  Validation  Support  set  Validation  Support  get  Version  has  Default  Type  For  Profile  new  Bundle  Factory  new  Fluent  Path  new  Fhir  Path  new  Json  Parser  new  R  D  F  Parser  new  Restful  Client  new  Restful  Generic  Client  new  Terser  new  Validator  new  View  Generator  new  Xml  Parser  register  Custom  Type  register  Custom  Types  scan  Datatype  scan  Resource  Type  scan  Resource  Types  set  Default  Type  For  Profile  set  Parser  Error  Handler  to  Element  List  validate  Initialized  to  String  for  Dstu  for  Dstu  Hl  Org  fordstu  for  Dstu  for  R  for  R  to  Collection  to  Collection  get  Resource  Type  Other,0,0
5,get  Resource  Type,,String,,is  Not  Blank  is  Blank  get  Resource  Type,Fhir  Context,empty  list  our  Log  my  Version  my  Add  Profile  Tag  When  Encoding  my  Class  To  Element  Definition  my  Custom  Types  my  Default  Type  For  Profile  my  Id  To  Resource  Definition  my  Initialized  my  Initializing  my  Localizer  my  Name  To  Element  Definition  my  Name  To  Resource  Definition  my  Name  To  Resource  Type  my  Narrative  Generator  my  Parser  Error  Handler  my  Parser  Options  my  Performance  Options  my  Resource  Types  To  Scan  my  Restful  Client  Factory  my  Runtime  Child  Undeclared  Extension  Definition  my  Validation  Support  my  Version  To  Name  To  Resource  Type,Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  create  Unknown  Resource  Name  Error  ensure  Custom  Type  List  get  Add  Profile  Tag  When  Encoding  set  Add  Profile  Tag  When  Encoding  get  All  Resource  Definitions  get  Default  Type  For  Profile  get  Element  Definition  get  Element  Definition  get  Element  Definitions  get  Localizer  set  Localizer  get  Narrative  Generator  set  Narrative  Generator  get  Parser  Options  set  Parser  Options  get  Performance  Options  set  Performance  Options  set  Performance  Options  get  Resource  Definition  get  Resource  Definition  get  Resource  Definition  get  Resource  Type  get  Resource  Type  get  Resource  Definition  get  Resource  Definition  By  Id  get  Resource  Definitions  With  Explicit  Id  get  Resource  Types  get  Restful  Client  Factory  set  Restful  Client  Factory  get  Runtime  Child  Undeclared  Extension  Definition  get  Validation  Support  set  Validation  Support  get  Version  has  Default  Type  For  Profile  new  Bundle  Factory  new  Fluent  Path  new  Fhir  Path  new  Json  Parser  new  R  D  F  Parser  new  Restful  Client  new  Restful  Generic  Client  new  Terser  new  Validator  new  View  Generator  new  Xml  Parser  register  Custom  Type  register  Custom  Types  scan  Datatype  scan  Resource  Type  scan  Resource  Types  set  Default  Type  For  Profile  set  Parser  Error  Handler  to  Element  List  validate  Initialized  to  String  for  Dstu  for  Dstu  Hl  Org  fordstu  for  Dstu  for  R  for  R  to  Collection  to  Collection  get  Resource  Type  Other,Reference  Param,my  Chain  my  Resource  Type  my  Base  Url  my  Value  my  Id  Part,Reference  Param  Reference  Param  Reference  Param  Reference  Param  Reference  Param  do  Get  Query  Parameter  Qualifier  do  Get  Value  As  Query  Token  do  Set  Value  As  Query  Token  get  Base  Url  get  Chain  set  Chain  get  Id  Part  get  Id  Part  As  Big  Decimal  get  Id  Part  As  Long  get  Value  set  Value  has  Resource  Type  is  Supports  Chain  to  Date  Param  to  Number  Param  to  Quantity  Param  to  String  to  String  Param  to  Token  Param  is  Id  Part  Valid  Long,1,0
6,to  Date  Param,Fhir  Context,Date  Param,,set  Value  As  Query  Token  get  Value  As  Query  Token,Reference  Param,my  Chain  my  Resource  Type  my  Base  Url  my  Value  my  Id  Part,Reference  Param  Reference  Param  Reference  Param  Reference  Param  Reference  Param  do  Get  Query  Parameter  Qualifier  do  Get  Value  As  Query  Token  do  Set  Value  As  Query  Token  get  Base  Url  get  Chain  set  Chain  get  Id  Part  get  Id  Part  As  Big  Decimal  get  Id  Part  As  Long  get  Resource  Type  get  Value  set  Value  has  Resource  Type  is  Supports  Chain  to  Number  Param  to  Quantity  Param  to  String  to  String  Param  to  Token  Param  is  Id  Part  Valid  Long,Fhir  Context,empty  list  our  Log  my  Version  my  Add  Profile  Tag  When  Encoding  my  Class  To  Element  Definition  my  Custom  Types  my  Default  Type  For  Profile  my  Id  To  Resource  Definition  my  Initialized  my  Initializing  my  Localizer  my  Name  To  Element  Definition  my  Name  To  Resource  Definition  my  Name  To  Resource  Type  my  Narrative  Generator  my  Parser  Error  Handler  my  Parser  Options  my  Performance  Options  my  Resource  Types  To  Scan  my  Restful  Client  Factory  my  Runtime  Child  Undeclared  Extension  Definition  my  Validation  Support  my  Version  To  Name  To  Resource  Type,Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  create  Unknown  Resource  Name  Error  ensure  Custom  Type  List  get  Add  Profile  Tag  When  Encoding  set  Add  Profile  Tag  When  Encoding  get  All  Resource  Definitions  get  Default  Type  For  Profile  get  Element  Definition  get  Element  Definition  get  Element  Definitions  get  Localizer  set  Localizer  get  Narrative  Generator  set  Narrative  Generator  get  Parser  Options  set  Parser  Options  get  Performance  Options  set  Performance  Options  set  Performance  Options  get  Resource  Definition  get  Resource  Definition  get  Resource  Definition  get  Resource  Type  get  Resource  Type  get  Resource  Type  get  Resource  Definition  get  Resource  Definition  By  Id  get  Resource  Definitions  With  Explicit  Id  get  Resource  Types  get  Restful  Client  Factory  set  Restful  Client  Factory  get  Runtime  Child  Undeclared  Extension  Definition  get  Validation  Support  set  Validation  Support  get  Version  has  Default  Type  For  Profile  new  Bundle  Factory  new  Fluent  Path  new  Fhir  Path  new  Json  Parser  new  R  D  F  Parser  new  Restful  Client  new  Restful  Generic  Client  new  Terser  new  Validator  new  View  Generator  new  Xml  Parser  register  Custom  Type  register  Custom  Types  scan  Datatype  scan  Resource  Type  scan  Resource  Types  set  Default  Type  For  Profile  set  Parser  Error  Handler  to  Element  List  validate  Initialized  to  String  for  Dstu  for  Dstu  Hl  Org  fordstu  for  Dstu  for  R  for  R  to  Collection  to  Collection  get  Resource  Type  Other,0,0
7,to  Date  Param,Fhir  Context,Date  Param,,set  Value  As  Query  Token  get  Value  As  Query  Token,Fhir  Context,empty  list  our  Log  my  Version  my  Add  Profile  Tag  When  Encoding  my  Class  To  Element  Definition  my  Custom  Types  my  Default  Type  For  Profile  my  Id  To  Resource  Definition  my  Initialized  my  Initializing  my  Localizer  my  Name  To  Element  Definition  my  Name  To  Resource  Definition  my  Name  To  Resource  Type  my  Narrative  Generator  my  Parser  Error  Handler  my  Parser  Options  my  Performance  Options  my  Resource  Types  To  Scan  my  Restful  Client  Factory  my  Runtime  Child  Undeclared  Extension  Definition  my  Validation  Support  my  Version  To  Name  To  Resource  Type,Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  create  Unknown  Resource  Name  Error  ensure  Custom  Type  List  get  Add  Profile  Tag  When  Encoding  set  Add  Profile  Tag  When  Encoding  get  All  Resource  Definitions  get  Default  Type  For  Profile  get  Element  Definition  get  Element  Definition  get  Element  Definitions  get  Localizer  set  Localizer  get  Narrative  Generator  set  Narrative  Generator  get  Parser  Options  set  Parser  Options  get  Performance  Options  set  Performance  Options  set  Performance  Options  get  Resource  Definition  get  Resource  Definition  get  Resource  Definition  get  Resource  Type  get  Resource  Type  get  Resource  Type  get  Resource  Definition  get  Resource  Definition  By  Id  get  Resource  Definitions  With  Explicit  Id  get  Resource  Types  get  Restful  Client  Factory  set  Restful  Client  Factory  get  Runtime  Child  Undeclared  Extension  Definition  get  Validation  Support  set  Validation  Support  get  Version  has  Default  Type  For  Profile  new  Bundle  Factory  new  Fluent  Path  new  Fhir  Path  new  Json  Parser  new  R  D  F  Parser  new  Restful  Client  new  Restful  Generic  Client  new  Terser  new  Validator  new  View  Generator  new  Xml  Parser  register  Custom  Type  register  Custom  Types  scan  Datatype  scan  Resource  Type  scan  Resource  Types  set  Default  Type  For  Profile  set  Parser  Error  Handler  to  Element  List  validate  Initialized  to  String  for  Dstu  for  Dstu  Hl  Org  fordstu  for  Dstu  for  R  for  R  to  Collection  to  Collection  get  Resource  Type  Other,Reference  Param,my  Chain  my  Resource  Type  my  Base  Url  my  Value  my  Id  Part,Reference  Param  Reference  Param  Reference  Param  Reference  Param  Reference  Param  do  Get  Query  Parameter  Qualifier  do  Get  Value  As  Query  Token  do  Set  Value  As  Query  Token  get  Base  Url  get  Chain  set  Chain  get  Id  Part  get  Id  Part  As  Big  Decimal  get  Id  Part  As  Long  get  Resource  Type  get  Value  set  Value  has  Resource  Type  is  Supports  Chain  to  Number  Param  to  Quantity  Param  to  String  to  String  Param  to  Token  Param  is  Id  Part  Valid  Long,1,0
8,to  Number  Param,Fhir  Context,Number  Param,,set  Value  As  Query  Token  get  Value  As  Query  Token,Reference  Param,my  Chain  my  Resource  Type  my  Base  Url  my  Value  my  Id  Part,Reference  Param  Reference  Param  Reference  Param  Reference  Param  Reference  Param  do  Get  Query  Parameter  Qualifier  do  Get  Value  As  Query  Token  do  Set  Value  As  Query  Token  get  Base  Url  get  Chain  set  Chain  get  Id  Part  get  Id  Part  As  Big  Decimal  get  Id  Part  As  Long  get  Resource  Type  get  Value  set  Value  has  Resource  Type  is  Supports  Chain  to  Date  Param  to  Quantity  Param  to  String  to  String  Param  to  Token  Param  is  Id  Part  Valid  Long,Fhir  Context,empty  list  our  Log  my  Version  my  Add  Profile  Tag  When  Encoding  my  Class  To  Element  Definition  my  Custom  Types  my  Default  Type  For  Profile  my  Id  To  Resource  Definition  my  Initialized  my  Initializing  my  Localizer  my  Name  To  Element  Definition  my  Name  To  Resource  Definition  my  Name  To  Resource  Type  my  Narrative  Generator  my  Parser  Error  Handler  my  Parser  Options  my  Performance  Options  my  Resource  Types  To  Scan  my  Restful  Client  Factory  my  Runtime  Child  Undeclared  Extension  Definition  my  Validation  Support  my  Version  To  Name  To  Resource  Type,Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  create  Unknown  Resource  Name  Error  ensure  Custom  Type  List  get  Add  Profile  Tag  When  Encoding  set  Add  Profile  Tag  When  Encoding  get  All  Resource  Definitions  get  Default  Type  For  Profile  get  Element  Definition  get  Element  Definition  get  Element  Definitions  get  Localizer  set  Localizer  get  Narrative  Generator  set  Narrative  Generator  get  Parser  Options  set  Parser  Options  get  Performance  Options  set  Performance  Options  set  Performance  Options  get  Resource  Definition  get  Resource  Definition  get  Resource  Definition  get  Resource  Type  get  Resource  Type  get  Resource  Type  get  Resource  Definition  get  Resource  Definition  By  Id  get  Resource  Definitions  With  Explicit  Id  get  Resource  Types  get  Restful  Client  Factory  set  Restful  Client  Factory  get  Runtime  Child  Undeclared  Extension  Definition  get  Validation  Support  set  Validation  Support  get  Version  has  Default  Type  For  Profile  new  Bundle  Factory  new  Fluent  Path  new  Fhir  Path  new  Json  Parser  new  R  D  F  Parser  new  Restful  Client  new  Restful  Generic  Client  new  Terser  new  Validator  new  View  Generator  new  Xml  Parser  register  Custom  Type  register  Custom  Types  scan  Datatype  scan  Resource  Type  scan  Resource  Types  set  Default  Type  For  Profile  set  Parser  Error  Handler  to  Element  List  validate  Initialized  to  String  for  Dstu  for  Dstu  Hl  Org  fordstu  for  Dstu  for  R  for  R  to  Collection  to  Collection  get  Resource  Type  Other,0,0
9,to  Number  Param,Fhir  Context,Number  Param,,set  Value  As  Query  Token  get  Value  As  Query  Token,Fhir  Context,empty  list  our  Log  my  Version  my  Add  Profile  Tag  When  Encoding  my  Class  To  Element  Definition  my  Custom  Types  my  Default  Type  For  Profile  my  Id  To  Resource  Definition  my  Initialized  my  Initializing  my  Localizer  my  Name  To  Element  Definition  my  Name  To  Resource  Definition  my  Name  To  Resource  Type  my  Narrative  Generator  my  Parser  Error  Handler  my  Parser  Options  my  Performance  Options  my  Resource  Types  To  Scan  my  Restful  Client  Factory  my  Runtime  Child  Undeclared  Extension  Definition  my  Validation  Support  my  Version  To  Name  To  Resource  Type,Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  create  Unknown  Resource  Name  Error  ensure  Custom  Type  List  get  Add  Profile  Tag  When  Encoding  set  Add  Profile  Tag  When  Encoding  get  All  Resource  Definitions  get  Default  Type  For  Profile  get  Element  Definition  get  Element  Definition  get  Element  Definitions  get  Localizer  set  Localizer  get  Narrative  Generator  set  Narrative  Generator  get  Parser  Options  set  Parser  Options  get  Performance  Options  set  Performance  Options  set  Performance  Options  get  Resource  Definition  get  Resource  Definition  get  Resource  Definition  get  Resource  Type  get  Resource  Type  get  Resource  Type  get  Resource  Definition  get  Resource  Definition  By  Id  get  Resource  Definitions  With  Explicit  Id  get  Resource  Types  get  Restful  Client  Factory  set  Restful  Client  Factory  get  Runtime  Child  Undeclared  Extension  Definition  get  Validation  Support  set  Validation  Support  get  Version  has  Default  Type  For  Profile  new  Bundle  Factory  new  Fluent  Path  new  Fhir  Path  new  Json  Parser  new  R  D  F  Parser  new  Restful  Client  new  Restful  Generic  Client  new  Terser  new  Validator  new  View  Generator  new  Xml  Parser  register  Custom  Type  register  Custom  Types  scan  Datatype  scan  Resource  Type  scan  Resource  Types  set  Default  Type  For  Profile  set  Parser  Error  Handler  to  Element  List  validate  Initialized  to  String  for  Dstu  for  Dstu  Hl  Org  fordstu  for  Dstu  for  R  for  R  to  Collection  to  Collection  get  Resource  Type  Other,Reference  Param,my  Chain  my  Resource  Type  my  Base  Url  my  Value  my  Id  Part,Reference  Param  Reference  Param  Reference  Param  Reference  Param  Reference  Param  do  Get  Query  Parameter  Qualifier  do  Get  Value  As  Query  Token  do  Set  Value  As  Query  Token  get  Base  Url  get  Chain  set  Chain  get  Id  Part  get  Id  Part  As  Big  Decimal  get  Id  Part  As  Long  get  Resource  Type  get  Value  set  Value  has  Resource  Type  is  Supports  Chain  to  Date  Param  to  Quantity  Param  to  String  to  String  Param  to  Token  Param  is  Id  Part  Valid  Long,1,0
10,to  Quantity  Param,Fhir  Context,Quantity  Param,,set  Value  As  Query  Token  get  Value  As  Query  Token,Reference  Param,my  Chain  my  Resource  Type  my  Base  Url  my  Value  my  Id  Part,Reference  Param  Reference  Param  Reference  Param  Reference  Param  Reference  Param  do  Get  Query  Parameter  Qualifier  do  Get  Value  As  Query  Token  do  Set  Value  As  Query  Token  get  Base  Url  get  Chain  set  Chain  get  Id  Part  get  Id  Part  As  Big  Decimal  get  Id  Part  As  Long  get  Resource  Type  get  Value  set  Value  has  Resource  Type  is  Supports  Chain  to  Date  Param  to  Number  Param  to  String  to  String  Param  to  Token  Param  is  Id  Part  Valid  Long,Fhir  Context,empty  list  our  Log  my  Version  my  Add  Profile  Tag  When  Encoding  my  Class  To  Element  Definition  my  Custom  Types  my  Default  Type  For  Profile  my  Id  To  Resource  Definition  my  Initialized  my  Initializing  my  Localizer  my  Name  To  Element  Definition  my  Name  To  Resource  Definition  my  Name  To  Resource  Type  my  Narrative  Generator  my  Parser  Error  Handler  my  Parser  Options  my  Performance  Options  my  Resource  Types  To  Scan  my  Restful  Client  Factory  my  Runtime  Child  Undeclared  Extension  Definition  my  Validation  Support  my  Version  To  Name  To  Resource  Type,Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  create  Unknown  Resource  Name  Error  ensure  Custom  Type  List  get  Add  Profile  Tag  When  Encoding  set  Add  Profile  Tag  When  Encoding  get  All  Resource  Definitions  get  Default  Type  For  Profile  get  Element  Definition  get  Element  Definition  get  Element  Definitions  get  Localizer  set  Localizer  get  Narrative  Generator  set  Narrative  Generator  get  Parser  Options  set  Parser  Options  get  Performance  Options  set  Performance  Options  set  Performance  Options  get  Resource  Definition  get  Resource  Definition  get  Resource  Definition  get  Resource  Type  get  Resource  Type  get  Resource  Type  get  Resource  Definition  get  Resource  Definition  By  Id  get  Resource  Definitions  With  Explicit  Id  get  Resource  Types  get  Restful  Client  Factory  set  Restful  Client  Factory  get  Runtime  Child  Undeclared  Extension  Definition  get  Validation  Support  set  Validation  Support  get  Version  has  Default  Type  For  Profile  new  Bundle  Factory  new  Fluent  Path  new  Fhir  Path  new  Json  Parser  new  R  D  F  Parser  new  Restful  Client  new  Restful  Generic  Client  new  Terser  new  Validator  new  View  Generator  new  Xml  Parser  register  Custom  Type  register  Custom  Types  scan  Datatype  scan  Resource  Type  scan  Resource  Types  set  Default  Type  For  Profile  set  Parser  Error  Handler  to  Element  List  validate  Initialized  to  String  for  Dstu  for  Dstu  Hl  Org  fordstu  for  Dstu  for  R  for  R  to  Collection  to  Collection  get  Resource  Type  Other,0,0
11,to  Quantity  Param,Fhir  Context,Quantity  Param,,set  Value  As  Query  Token  get  Value  As  Query  Token,Fhir  Context,empty  list  our  Log  my  Version  my  Add  Profile  Tag  When  Encoding  my  Class  To  Element  Definition  my  Custom  Types  my  Default  Type  For  Profile  my  Id  To  Resource  Definition  my  Initialized  my  Initializing  my  Localizer  my  Name  To  Element  Definition  my  Name  To  Resource  Definition  my  Name  To  Resource  Type  my  Narrative  Generator  my  Parser  Error  Handler  my  Parser  Options  my  Performance  Options  my  Resource  Types  To  Scan  my  Restful  Client  Factory  my  Runtime  Child  Undeclared  Extension  Definition  my  Validation  Support  my  Version  To  Name  To  Resource  Type,Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  Fhir  Context  create  Unknown  Resource  Name  Error  ensure  Custom  Type  List  get  Add  Profile  Tag  When  Encoding  set  Add  Profile  Tag  When  Encoding  get  All  Resource  Definitions  get  Default  Type  For  Profile  get  Element  Definition  get  Element  Definition  get  Element  Definitions  get  Localizer  set  Localizer  get  Narrative  Generator  set  Narrative  Generator  get  Parser  Options  set  Parser  Options  get  Performance  Options  set  Performance  Options  set  Performance  Options  get  Resource  Definition  get  Resource  Definition  get  Resource  Definition  get  Resource  Type  get  Resource  Type  get  Resource  Type  get  Resource  Definition  get  Resource  Definition  By  Id  get  Resource  Definitions  With  Explicit  Id  get  Resource  Types  get  Restful  Client  Factory  set  Restful  Client  Factory  get  Runtime  Child  Undeclared  Extension  Definition  get  Validation  Support  set  Validation  Support  get  Version  has  Default  Type  For  Profile  new  Bundle  Factory  new  Fluent  Path  new  Fhir  Path  new  Json  Parser  new  R  D  F  Parser  new  Restful  Client  new  Restful  Generic  Client  new  Terser  new  Validator  new  View  Generator  new  Xml  Parser  register  Custom  Type  register  Custom  Types  scan  Datatype  scan  Resource  Type  scan  Resource  Types  set  Default  Type  For  Profile  set  Parser  Error  Handler  to  Element  List  validate  Initialized  to  String  for  Dstu  for  Dstu  Hl  Org  fordstu  for  Dstu  for  R  for  R  to  Collection  to  Collection  get  Resource  Type  Other,Reference  Param,my  Chain  my  Resource  Type  my  Base  Url  my  Value  my  Id  Part,Reference  Param  Reference  Param  Reference  Param  Reference  Param  Reference  Param  do  Get  Query  Parameter  Qualifier  do  Get  Value  As  Query  Token  do  Set  Value  As  Query  Token  get  Base  Url  get  Chain  set  Chain  get  Id  Part  get  Id  Part  As  Big  Decimal  get  Id  Part  As  Long  get  Resource  Type  get  Value  set  Value  has  Resource  Type  is  Supports  Chain  to  Date  Param  to  Number  Param  to  String  to  String  Param  to  Token  Param  is  Id  Part  Valid  Long,1,0
