id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,save  Database,String  Argument  Processor,void,,println  lang  load  For  Save  From  Preferences  of  get  Encoding  save  Database  has  Encoding  Problems  println  lang  lang  display  Name  get  Encoding  get  Encoding  Problems  println  lang  get  Localized  Message,Argument  Processor,logger  cli  parser  Results  startup  Mode  no  G  U  I  Needed  Mode,Argument  Processor  import  To  Open  Base  import  Bibtex  To  Open  Base  import  File  import  File  get  Parser  Results  has  Parser  Results  process  Arguments  export  Matches  do  Aux  Import  import  And  Open  Files  generate  Aux  export  File  import  Preferences  reset  Preferences  automatically  Set  File  Links  regenerate  Bibtex  Keys  fetch  is  Blank  should  Shut  Down,Bib  Database,logger  resolve  content  pattern  entries  bibtex  Strings  event  Bus  preamble  epilog  shared  Database  I  D,Bib  Database  Bib  Database  get  Text  get  Entry  Count  has  Entries  get  Entries  Sorted  contains  Entry  With  Id  get  Entries  get  All  Visible  Fields  get  Entry  By  Key  get  Entries  By  Key  insert  Entry  insert  Entry  insert  Entries  insert  Entries  insert  Entries  remove  Entry  remove  Entry  remove  Entries  remove  Entries  get  Preamble  set  Preamble  add  String  set  Strings  remove  String  get  String  Key  Set  get  String  Values  get  String  get  String  By  Name  get  String  Count  has  No  Strings  copy  Preamble  has  String  By  Name  resolve  For  Strings  get  Used  Strings  resolve  For  Strings  resolve  For  Strings  resolve  String  resolve  Content  get  Epilog  set  Epilog  register  Listener  unregister  Listener  relay  Entry  Change  Event  get  Referenced  Entry  get  Shared  Database  I  D  set  Shared  Database  I  D  is  Shared  clear  Shared  Database  I  D  generate  Shared  Database  I  D  get  Number  Of  Key  Occurrences  is  Duplicate  Cite  Key  Existing,0,0
1,save  Database,String  Argument  Processor,void,,println  lang  load  For  Save  From  Preferences  of  get  Encoding  save  Database  has  Encoding  Problems  println  lang  lang  display  Name  get  Encoding  get  Encoding  Problems  println  lang  get  Localized  Message,Bib  Database,logger  resolve  content  pattern  entries  bibtex  Strings  event  Bus  preamble  epilog  shared  Database  I  D,Bib  Database  Bib  Database  get  Text  get  Entry  Count  has  Entries  get  Entries  Sorted  contains  Entry  With  Id  get  Entries  get  All  Visible  Fields  get  Entry  By  Key  get  Entries  By  Key  insert  Entry  insert  Entry  insert  Entries  insert  Entries  insert  Entries  remove  Entry  remove  Entry  remove  Entries  remove  Entries  get  Preamble  set  Preamble  add  String  set  Strings  remove  String  get  String  Key  Set  get  String  Values  get  String  get  String  By  Name  get  String  Count  has  No  Strings  copy  Preamble  has  String  By  Name  resolve  For  Strings  get  Used  Strings  resolve  For  Strings  resolve  For  Strings  resolve  String  resolve  Content  get  Epilog  set  Epilog  register  Listener  unregister  Listener  relay  Entry  Change  Event  get  Referenced  Entry  get  Shared  Database  I  D  set  Shared  Database  I  D  is  Shared  clear  Shared  Database  I  D  generate  Shared  Database  I  D  get  Number  Of  Key  Occurrences  is  Duplicate  Cite  Key  Existing,Argument  Processor,logger  cli  parser  Results  startup  Mode  no  G  U  I  Needed  Mode,Argument  Processor  import  To  Open  Base  import  Bibtex  To  Open  Base  import  File  import  File  get  Parser  Results  has  Parser  Results  process  Arguments  export  Matches  do  Aux  Import  import  And  Open  Files  generate  Aux  export  File  import  Preferences  reset  Preferences  automatically  Set  File  Links  regenerate  Bibtex  Keys  fetch  is  Blank  should  Shut  Down,1,1
2,populate,Observable  List  Menu  Item  Collection  Bib  Entry  Type  Undo  Manager  Change  Entry  Type  Menu,void,,add  create  Menu  Item  get  Type,Change  Entry  Type  Menu,,Change  Entry  Type  Menu  create  Menu  Item  get  Change  Entry  Type  Popup  Menu  get  Change  Entry  Type  Menu  populate  Complete  populate  Sub  Menu,Bib  Entry,default  type  logger  remove  trailing  whitespace  shared  Bib  Entry  Data  fields  As  Words  latex  Free  Fields  fields  As  Keywords  event  Bus  id  type  fields  parsed  Serialization  comments  Before  Entry  changed,Bib  Entry  Bib  Entry  set  Month  get  Resolved  Field  Or  Alias  get  Source  Field  get  Resolved  Field  Or  Alias  get  Resolved  Field  Or  Alias  Latex  Free  generic  Get  Resolved  Field  Or  Alias  get  Id  set  Id  set  Cite  Key  with  Cite  Key  get  Cite  Key  Optional  has  Cite  Key  get  Type  type  Property  set  Type  set  Type  get  Fields  get  Field  has  Field  generic  Get  Field  Or  Alias  get  D  O  I  get  Field  Or  Alias  Latex  Free  get  Field  Or  Alias  set  Field  set  Field  set  Field  clear  Field  clear  Field  all  Fields  Present  clone  to  String  get  Author  Title  Year  get  Title  get  Publication  Date  get  Parsed  Serialization  set  Parsed  Serialization  set  Comments  Before  Entry  has  Changed  set  Changed  put  Keywords  put  Keywords  add  Keyword  add  Keyword  add  Keywords  get  Keywords  get  Resolved  Keywords  remove  Keywords  replace  Keywords  get  Field  Values  get  Field  Map  get  Shared  Bib  Entry  Data  equals  hash  Code  register  Listener  unregister  Listener  with  Field  get  User  Comments  get  Entry  Link  List  set  Entry  Link  List  get  Field  As  Words  get  Field  As  Keywords  clear  Cite  Key  invalidate  Field  Cache  get  Latex  Free  Field  set  Files  get  Files  set  Date  get  Month  get  Field  Binding  get  Cite  Key  Binding  add  File  add  File  get  Fields  Observable  get  Observables,0,0
3,populate,Observable  List  Menu  Item  Collection  Bib  Entry  Type  Undo  Manager  Change  Entry  Type  Menu,void,,add  create  Menu  Item  get  Type,Bib  Entry,default  type  logger  remove  trailing  whitespace  shared  Bib  Entry  Data  fields  As  Words  latex  Free  Fields  fields  As  Keywords  event  Bus  id  type  fields  parsed  Serialization  comments  Before  Entry  changed,Bib  Entry  Bib  Entry  set  Month  get  Resolved  Field  Or  Alias  get  Source  Field  get  Resolved  Field  Or  Alias  get  Resolved  Field  Or  Alias  Latex  Free  generic  Get  Resolved  Field  Or  Alias  get  Id  set  Id  set  Cite  Key  with  Cite  Key  get  Cite  Key  Optional  has  Cite  Key  get  Type  type  Property  set  Type  set  Type  get  Fields  get  Field  has  Field  generic  Get  Field  Or  Alias  get  D  O  I  get  Field  Or  Alias  Latex  Free  get  Field  Or  Alias  set  Field  set  Field  set  Field  clear  Field  clear  Field  all  Fields  Present  clone  to  String  get  Author  Title  Year  get  Title  get  Publication  Date  get  Parsed  Serialization  set  Parsed  Serialization  set  Comments  Before  Entry  has  Changed  set  Changed  put  Keywords  put  Keywords  add  Keyword  add  Keyword  add  Keywords  get  Keywords  get  Resolved  Keywords  remove  Keywords  replace  Keywords  get  Field  Values  get  Field  Map  get  Shared  Bib  Entry  Data  equals  hash  Code  register  Listener  unregister  Listener  with  Field  get  User  Comments  get  Entry  Link  List  set  Entry  Link  List  get  Field  As  Words  get  Field  As  Keywords  clear  Cite  Key  invalidate  Field  Cache  get  Latex  Free  Field  set  Files  get  Files  set  Date  get  Month  get  Field  Binding  get  Cite  Key  Binding  add  File  add  File  get  Fields  Observable  get  Observables,Change  Entry  Type  Menu,,Change  Entry  Type  Menu  create  Menu  Item  get  Change  Entry  Type  Popup  Menu  get  Change  Entry  Type  Menu  populate  Complete  populate  Sub  Menu,1,1
4,create  Bib  String  Diff,Change  Scanner,Database  Change  View  Model,,get  Original  String  get  New  String  get  New  String  get  Original  String  equals  get  Name  get  Original  String  get  Name  get  New  String  get  Original  String  get  New  String  get  Original  String  get  New  String,Change  Scanner,logger  database,Change  Scanner  scan  For  Changes  create  Bib  Entry  Diff,Bib  String  Diff,original  String  new  String,Bib  String  Diff  compare  get  Original  String  get  New  String,0,0
5,create  Bib  String  Diff,Change  Scanner,Database  Change  View  Model,,get  Original  String  get  New  String  get  New  String  get  Original  String  equals  get  Name  get  Original  String  get  Name  get  New  String  get  Original  String  get  New  String  get  Original  String  get  New  String,Bib  String  Diff,original  String  new  String,Bib  String  Diff  compare  get  Original  String  get  New  String,Change  Scanner,logger  database,Change  Scanner  scan  For  Changes  create  Bib  Entry  Diff,1,1
6,create  Bib  Entry  Diff,Bib  Entry  Diff,Database  Change  View  Model,,get  Original  Entry  get  New  Entry  get  New  Entry  get  Original  Entry  get  Original  Entry  get  New  Entry,Change  Scanner,logger  database,Change  Scanner  scan  For  Changes,Bib  Entry  Diff,original  Entry  new  Entry,Bib  Entry  Diff  get  Original  Entry  get  New  Entry,0,0
7,create  Bib  Entry  Diff,Bib  Entry  Diff,Database  Change  View  Model,,get  Original  Entry  get  New  Entry  get  New  Entry  get  Original  Entry  get  Original  Entry  get  New  Entry,Bib  Entry  Diff,original  Entry  new  Entry,Bib  Entry  Diff  get  Original  Entry  get  New  Entry,Change  Scanner,logger  database,Change  Scanner  scan  For  Changes,1,0
8,move  To,Group  Node  View  Model,void,,move  To  get  Group  Node  get  Group  Node,Group  Node  View  Model,display  Name  is  Root  children  database  Context  state  Manager  group  Node  matched  Entries  has  Children  expanded  Property  any  Selected  Entries  Matched  all  Selected  Entries  Matched  task  Executor  local  Drag  Board  entries  List  preferences  Service,Group  Node  View  Model  Group  Node  View  Model  get  All  Entries  Group  to  View  Model  add  Entries  To  Group  expanded  Property  any  Selected  Entries  Matched  Property  all  Selected  Entries  Matched  Property  has  Children  Property  get  Display  Name  is  Root  get  Description  get  Hits  equals  to  String  hash  Code  get  Icon  create  Default  Icon  parse  Icon  get  Children  get  Group  Node  on  Database  Changed  update  Matched  Entries  add  Subgroup  toggle  Expansion  is  Matched  By  get  Color  get  Path  get  Child  By  Path  acceptable  Drop  get  Parent  dragged  On  get  Position  In  Parent,Group  Tree  Node,path  delemiter  group,Group  Tree  Node  from  Group  get  Group  set  Group  set  Group  get  Search  Matcher  get  Search  Matcher  equals  hash  Code  get  Containing  Groups  get  Matching  Groups  get  Matching  Groups  get  Entries  In  Group  get  Name  add  Subgroup  copy  Node  find  Matches  find  Matches  matches  get  Path  to  String  get  Child  By  Path  add  Entries  To  Group  remove  Entries  From  Group  is  Same  Group  As  move  To  Other,0,0
9,move  To,Group  Node  View  Model,void,,move  To  get  Group  Node  get  Group  Node,Group  Tree  Node,path  delemiter  group,Group  Tree  Node  from  Group  get  Group  set  Group  set  Group  get  Search  Matcher  get  Search  Matcher  equals  hash  Code  get  Containing  Groups  get  Matching  Groups  get  Matching  Groups  get  Entries  In  Group  get  Name  add  Subgroup  copy  Node  find  Matches  find  Matches  matches  get  Path  to  String  get  Child  By  Path  add  Entries  To  Group  remove  Entries  From  Group  is  Same  Group  As  move  To  Other,Group  Node  View  Model,display  Name  is  Root  children  database  Context  state  Manager  group  Node  matched  Entries  has  Children  expanded  Property  any  Selected  Entries  Matched  all  Selected  Entries  Matched  task  Executor  local  Drag  Board  entries  List  preferences  Service,Group  Node  View  Model  Group  Node  View  Model  get  All  Entries  Group  to  View  Model  add  Entries  To  Group  expanded  Property  any  Selected  Entries  Matched  Property  all  Selected  Entries  Matched  Property  has  Children  Property  get  Display  Name  is  Root  get  Description  get  Hits  equals  to  String  hash  Code  get  Icon  create  Default  Icon  parse  Icon  get  Children  get  Group  Node  on  Database  Changed  update  Matched  Entries  add  Subgroup  toggle  Expansion  is  Matched  By  get  Color  get  Path  get  Child  By  Path  acceptable  Drop  get  Parent  dragged  On  get  Position  In  Parent,1,0
