id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,add  Content  Panel,Tabbed  Pane,void,,put  get  Open  Tabs  get  Node  add,Tabbed  Pane,log  serial  Version  U  I  D  main  Window  open  Tabs  jumps,Tabbed  Pane  get  Main  Window  show  Code  show  Resource  show  Simple  Node  code  Jump  get  Current  Position  nav  Back  nav  Forward  close  Code  Panel  get  Content  Panel  make  Content  Panel  get  Selected  Code  Panel  make  Tab  Component  close  All  Tabs  get  Open  Tabs  load  Settings,Content  Panel,serial  Version  U  I  D  tabbed  Pane  node,Content  Panel  load  Settings  get  Tabbed  Pane  get  Node  get  Tab  Tooltip,0,0
1,add  Content  Panel,Tabbed  Pane,void,,put  get  Open  Tabs  get  Node  add,Content  Panel,serial  Version  U  I  D  tabbed  Pane  node,Content  Panel  load  Settings  get  Tabbed  Pane  get  Node  get  Tab  Tooltip,Tabbed  Pane,log  serial  Version  U  I  D  main  Window  open  Tabs  jumps,Tabbed  Pane  get  Main  Window  show  Code  show  Resource  show  Simple  Node  code  Jump  get  Current  Position  nav  Back  nav  Forward  close  Code  Panel  get  Content  Panel  make  Content  Panel  get  Selected  Code  Panel  make  Tab  Component  close  All  Tabs  get  Open  Tabs  load  Settings,1,1
2,close  Code  Panel,Content  Panel,void,,remove  get  Node  remove,Tabbed  Pane,log  serial  Version  U  I  D  main  Window  open  Tabs  jumps,Tabbed  Pane  get  Main  Window  show  Code  show  Resource  show  Simple  Node  code  Jump  get  Current  Position  nav  Back  nav  Forward  get  Content  Panel  make  Content  Panel  get  Selected  Code  Panel  make  Tab  Component  close  All  Tabs  get  Open  Tabs  load  Settings,Content  Panel,serial  Version  U  I  D  tabbed  Pane  node,Content  Panel  load  Settings  get  Tabbed  Pane  get  Node  get  Tab  Tooltip  add  Content  Panel,0,0
3,close  Code  Panel,Content  Panel,void,,remove  get  Node  remove,Content  Panel,serial  Version  U  I  D  tabbed  Pane  node,Content  Panel  load  Settings  get  Tabbed  Pane  get  Node  get  Tab  Tooltip  add  Content  Panel,Tabbed  Pane,log  serial  Version  U  I  D  main  Window  open  Tabs  jumps,Tabbed  Pane  get  Main  Window  show  Code  show  Resource  show  Simple  Node  code  Jump  get  Current  Position  nav  Back  nav  Forward  get  Content  Panel  make  Content  Panel  get  Selected  Code  Panel  make  Tab  Component  close  All  Tabs  get  Open  Tabs  load  Settings,1,0
4,make  Content  Panel,J  Node,Content  Panel,,get  Res  File  get  Type,Tabbed  Pane,log  serial  Version  U  I  D  main  Window  open  Tabs  jumps,Tabbed  Pane  get  Main  Window  show  Code  show  Resource  show  Simple  Node  code  Jump  get  Current  Position  nav  Back  nav  Forward  close  Code  Panel  get  Content  Panel  get  Selected  Code  Panel  make  Tab  Component  close  All  Tabs  get  Open  Tabs  load  Settings,J  Node,serial  Version  U  I  D,get  J  Parent  get  Root  Class  get  Java  Node  get  Content  get  Smali  get  Syntax  Name  get  Line  get  Code  Info  get  Source  Line  get  Java  Node  At  Position  get  Icon  get  Name  make  String  make  String  Html  make  Desc  String  has  Desc  String  make  Long  String  make  Long  String  Html  to  String,0,0
5,make  Content  Panel,J  Node,Content  Panel,,get  Res  File  get  Type,J  Node,serial  Version  U  I  D,get  J  Parent  get  Root  Class  get  Java  Node  get  Content  get  Smali  get  Syntax  Name  get  Line  get  Code  Info  get  Source  Line  get  Java  Node  At  Position  get  Icon  get  Name  make  String  make  String  Html  make  Desc  String  has  Desc  String  make  Long  String  make  Long  String  Html  to  String,Tabbed  Pane,log  serial  Version  U  I  D  main  Window  open  Tabs  jumps,Tabbed  Pane  get  Main  Window  show  Code  show  Resource  show  Simple  Node  code  Jump  get  Current  Position  nav  Back  nav  Forward  close  Code  Panel  get  Content  Panel  get  Selected  Code  Panel  make  Tab  Component  close  All  Tabs  get  Open  Tabs  load  Settings,1,0
6,get  Node  Full  Name,Content  Panel,String,,get  Node  get  Root  Class  get  Full  Name  get  Name,Tab  Component,serial  Version  U  I  D  icon  close  icon  close  inactive  tabbed  Pane  content  Panel  label,Tab  Component  load  Settings  get  Label  Font  init  mouse  Clicked  create  Tab  Popup  Menu,Content  Panel,serial  Version  U  I  D  tabbed  Pane  node,Content  Panel  load  Settings  get  Tabbed  Pane  get  Node  get  Tab  Tooltip  add  Content  Panel,0,0
7,get  Node  Full  Name,Content  Panel,String,,get  Node  get  Root  Class  get  Full  Name  get  Name,Content  Panel,serial  Version  U  I  D  tabbed  Pane  node,Content  Panel  load  Settings  get  Tabbed  Pane  get  Node  get  Tab  Tooltip  add  Content  Panel,Tab  Component,serial  Version  U  I  D  icon  close  icon  close  inactive  tabbed  Pane  content  Panel  label,Tab  Component  load  Settings  get  Label  Font  init  mouse  Clicked  create  Tab  Popup  Menu,1,0
8,get  Resource  By  Name,String  J  Root,J  Resource,,get  Files  equals  get  Name,J  Root,serial  Version  U  I  D  root  icon  wrapper  flat  Packages,J  Root  update  get  Hierarchy  Resources  search  Class  In  Tree  is  Flat  Packages  set  Flat  Packages  get  Icon  get  J  Parent  get  Line  make  String,J  Resource,serial  Version  U  I  D  root  icon  folder  icon  file  icon  manifest  icon  java  icon  error  icon  J  Res  Type  name  short  Name  files  type  res  File  loaded  content  extension  to  file  syntax,J  Resource  J  Resource  update  load  Node  get  Name  get  Files  get  Code  Info  get  Content  load  Current  Single  Res  load  Sub  Nodes  add  Path  get  Res  Dir  get  Syntax  Name  get  Syntax  By  Extension  get  Icon  is  Supported  For  View  get  Res  File  get  J  Parent  compare  To  make  String  equals  hash  Code,0,0
9,get  Resource  By  Name,String  J  Root,J  Resource,,get  Files  equals  get  Name,J  Resource,serial  Version  U  I  D  root  icon  folder  icon  file  icon  manifest  icon  java  icon  error  icon  J  Res  Type  name  short  Name  files  type  res  File  loaded  content  extension  to  file  syntax,J  Resource  J  Resource  update  load  Node  get  Name  get  Files  get  Code  Info  get  Content  load  Current  Single  Res  load  Sub  Nodes  add  Path  get  Res  Dir  get  Syntax  Name  get  Syntax  By  Extension  get  Icon  is  Supported  For  View  get  Res  File  get  J  Parent  compare  To  make  String  equals  hash  Code,J  Root,serial  Version  U  I  D  root  icon  wrapper  flat  Packages,J  Root  update  get  Hierarchy  Resources  search  Class  In  Tree  is  Flat  Packages  set  Flat  Packages  get  Icon  get  J  Parent  get  Line  make  String,1,1
