id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,add  Row,Data  Set,void,length  length,get  Input  Size  get  Input  get  Input  Size  get  Output  Size  get  Desired  Output  get  Output  Size  add  get  Rows,Data  Set,serial  Version  U  I  D  rows  input  Size  output  Size  column  Names  is  Supervised  label  file  Path,Data  Set  Data  Set  add  Row  remove  Row  At  iterator  get  Rows  get  Row  At  clear  is  Empty  is  Supervised  size  get  Label  set  Label  get  Column  Names  set  Column  Names  get  Column  Name  set  Column  Name  set  File  Path  get  File  Path  to  String  to  C  S  V  save  save  save  As  Txt  load  create  From  File  create  Training  And  Test  Subsets  sample  sample  get  Output  Size  get  Input  Size  shuffle,Data  Set  Row,serial  Version  U  I  D  input  desired  Output  label,Data  Set  Row  Data  Set  Row  Data  Set  Row  Data  Set  Row  Data  Set  Row  get  Input  set  Input  get  Desired  Output  set  Desired  Output  get  Label  set  Label  is  Supervised  to  String  to  C  S  V,0,0
1,add  Row,Data  Set,void,length  length,get  Input  Size  get  Input  get  Input  Size  get  Output  Size  get  Desired  Output  get  Output  Size  add  get  Rows,Data  Set  Row,serial  Version  U  I  D  input  desired  Output  label,Data  Set  Row  Data  Set  Row  Data  Set  Row  Data  Set  Row  Data  Set  Row  get  Input  set  Input  get  Desired  Output  set  Desired  Output  get  Label  set  Label  is  Supervised  to  String  to  C  S  V,Data  Set,serial  Version  U  I  D  rows  input  Size  output  Size  column  Names  is  Supervised  label  file  Path,Data  Set  Data  Set  add  Row  remove  Row  At  iterator  get  Rows  get  Row  At  clear  is  Empty  is  Supervised  size  get  Label  set  Label  get  Column  Names  set  Column  Names  get  Column  Name  set  Column  Name  set  File  Path  get  File  Path  to  String  to  C  S  V  save  save  save  As  Txt  load  create  From  File  create  Training  And  Test  Subsets  sample  sample  get  Output  Size  get  Input  Size  shuffle,1,1
2,learn,Data  Set,void,current  Iteration  current  Iteration  paused  Learning  paused  Learning,set  Training  Set  on  Start  is  Stopped  before  Epoch  do  Learning  Epoch  after  Epoch  has  Reached  Stop  Condition  stop  Learning  fire  Learning  Event  wait  on  Stop  fire  Learning  Event,Iterative  Learning,serial  Version  U  I  D  learning  Rate  current  Iteration  max  Iterations  iterations  Limited  stop  Conditions  paused  Learning,Iterative  Learning  get  Learning  Rate  set  Learning  Rate  set  Max  Iterations  get  Max  Iterations  is  Iterations  Limited  get  Current  Iteration  is  Paused  Learning  pause  resume  on  Start  before  Epoch  after  Epoch  has  Reached  Stop  Condition  learn  do  One  Learning  Iteration  do  Learning  Epoch,Data  Set,serial  Version  U  I  D  rows  input  Size  output  Size  column  Names  is  Supervised  label  file  Path,Data  Set  Data  Set  add  Row  add  Row  remove  Row  At  iterator  get  Rows  get  Row  At  clear  is  Empty  is  Supervised  size  get  Label  set  Label  get  Column  Names  set  Column  Names  get  Column  Name  set  Column  Name  set  File  Path  get  File  Path  to  String  to  C  S  V  save  save  save  As  Txt  load  create  From  File  create  Training  And  Test  Subsets  sample  sample  get  Output  Size  get  Input  Size  shuffle,0,0
3,learn,Data  Set,void,current  Iteration  current  Iteration  paused  Learning  paused  Learning,set  Training  Set  on  Start  is  Stopped  before  Epoch  do  Learning  Epoch  after  Epoch  has  Reached  Stop  Condition  stop  Learning  fire  Learning  Event  wait  on  Stop  fire  Learning  Event,Data  Set,serial  Version  U  I  D  rows  input  Size  output  Size  column  Names  is  Supervised  label  file  Path,Data  Set  Data  Set  add  Row  add  Row  remove  Row  At  iterator  get  Rows  get  Row  At  clear  is  Empty  is  Supervised  size  get  Label  set  Label  get  Column  Names  set  Column  Names  get  Column  Name  set  Column  Name  set  File  Path  get  File  Path  to  String  to  C  S  V  save  save  save  As  Txt  load  create  From  File  create  Training  And  Test  Subsets  sample  sample  get  Output  Size  get  Input  Size  shuffle,Iterative  Learning,serial  Version  U  I  D  learning  Rate  current  Iteration  max  Iterations  iterations  Limited  stop  Conditions  paused  Learning,Iterative  Learning  get  Learning  Rate  set  Learning  Rate  set  Max  Iterations  get  Max  Iterations  is  Iterations  Limited  get  Current  Iteration  is  Paused  Learning  pause  resume  on  Start  before  Epoch  after  Epoch  has  Reached  Stop  Condition  learn  do  One  Learning  Iteration  do  Learning  Epoch,1,0
4,learn,Data  Set  double,void,max  Error,learn,Supervised  Learning,serial  Version  U  I  D  total  Network  Error  total  Squared  Error  Sum  previous  Epoch  Error  max  Error  min  Error  Change  min  Error  Change  Iterations  Limit  min  Error  Change  Iterations  Count  batch  Mode  error  Function  training  Set  Size,Supervised  Learning  learn  on  Start  before  Epoch  after  Epoch  do  Learning  Epoch  learn  Pattern  do  Batch  Weights  Update  calculate  Output  Error  is  In  Batch  Mode  set  Batch  Mode  set  Max  Error  get  Max  Error  get  Total  Network  Error  get  Previous  Epoch  Error  get  Min  Error  Change  set  Min  Error  Change  get  Min  Error  Change  Iterations  Limit  set  Min  Error  Change  Iterations  Limit  get  Min  Error  Change  Iterations  Count  get  Error  Function  set  Error  Function  add  To  Squared  Error  Sum  update  Network  Weights,Data  Set,serial  Version  U  I  D  rows  input  Size  output  Size  column  Names  is  Supervised  label  file  Path,Data  Set  Data  Set  add  Row  add  Row  remove  Row  At  iterator  get  Rows  get  Row  At  clear  is  Empty  is  Supervised  size  get  Label  set  Label  get  Column  Names  set  Column  Names  get  Column  Name  set  Column  Name  set  File  Path  get  File  Path  to  String  to  C  S  V  save  save  save  As  Txt  load  create  From  File  create  Training  And  Test  Subsets  sample  sample  get  Output  Size  get  Input  Size  shuffle,0,0
5,learn,Data  Set  double,void,max  Error,learn,Data  Set,serial  Version  U  I  D  rows  input  Size  output  Size  column  Names  is  Supervised  label  file  Path,Data  Set  Data  Set  add  Row  add  Row  remove  Row  At  iterator  get  Rows  get  Row  At  clear  is  Empty  is  Supervised  size  get  Label  set  Label  get  Column  Names  set  Column  Names  get  Column  Name  set  Column  Name  set  File  Path  get  File  Path  to  String  to  C  S  V  save  save  save  As  Txt  load  create  From  File  create  Training  And  Test  Subsets  sample  sample  get  Output  Size  get  Input  Size  shuffle,Supervised  Learning,serial  Version  U  I  D  total  Network  Error  total  Squared  Error  Sum  previous  Epoch  Error  max  Error  min  Error  Change  min  Error  Change  Iterations  Limit  min  Error  Change  Iterations  Count  batch  Mode  error  Function  training  Set  Size,Supervised  Learning  learn  on  Start  before  Epoch  after  Epoch  do  Learning  Epoch  learn  Pattern  do  Batch  Weights  Update  calculate  Output  Error  is  In  Batch  Mode  set  Batch  Mode  set  Max  Error  get  Max  Error  get  Total  Network  Error  get  Previous  Epoch  Error  get  Min  Error  Change  set  Min  Error  Change  get  Min  Error  Change  Iterations  Limit  set  Min  Error  Change  Iterations  Limit  get  Min  Error  Change  Iterations  Count  get  Error  Function  set  Error  Function  add  To  Squared  Error  Sum  update  Network  Weights,1,0
6,learn,Data  Set  double,void,max  Error,learn,Supervised  Learning,serial  Version  U  I  D  total  Network  Error  total  Squared  Error  Sum  previous  Epoch  Error  max  Error  min  Error  Change  min  Error  Change  Iterations  Limit  min  Error  Change  Iterations  Count  batch  Mode  error  Function  training  Set  Size,Supervised  Learning  learn  on  Start  before  Epoch  after  Epoch  do  Learning  Epoch  learn  Pattern  do  Batch  Weights  Update  calculate  Output  Error  is  In  Batch  Mode  set  Batch  Mode  set  Max  Error  get  Max  Error  get  Total  Network  Error  get  Previous  Epoch  Error  get  Min  Error  Change  set  Min  Error  Change  get  Min  Error  Change  Iterations  Limit  set  Min  Error  Change  Iterations  Limit  get  Min  Error  Change  Iterations  Count  get  Error  Function  set  Error  Function  add  To  Squared  Error  Sum  update  Network  Weights,Data  Set,serial  Version  U  I  D  rows  input  Size  output  Size  column  Names  is  Supervised  label  file  Path,Data  Set  Data  Set  add  Row  add  Row  remove  Row  At  iterator  get  Rows  get  Row  At  clear  is  Empty  is  Supervised  size  get  Label  set  Label  get  Column  Names  set  Column  Names  get  Column  Name  set  Column  Name  set  File  Path  get  File  Path  to  String  to  C  S  V  save  save  save  As  Txt  load  create  From  File  create  Training  And  Test  Subsets  sample  sample  get  Output  Size  get  Input  Size  shuffle,0,0
7,learn,Data  Set  double,void,max  Error,learn,Data  Set,serial  Version  U  I  D  rows  input  Size  output  Size  column  Names  is  Supervised  label  file  Path,Data  Set  Data  Set  add  Row  add  Row  remove  Row  At  iterator  get  Rows  get  Row  At  clear  is  Empty  is  Supervised  size  get  Label  set  Label  get  Column  Names  set  Column  Names  get  Column  Name  set  Column  Name  set  File  Path  get  File  Path  to  String  to  C  S  V  save  save  save  As  Txt  load  create  From  File  create  Training  And  Test  Subsets  sample  sample  get  Output  Size  get  Input  Size  shuffle,Supervised  Learning,serial  Version  U  I  D  total  Network  Error  total  Squared  Error  Sum  previous  Epoch  Error  max  Error  min  Error  Change  min  Error  Change  Iterations  Limit  min  Error  Change  Iterations  Count  batch  Mode  error  Function  training  Set  Size,Supervised  Learning  learn  on  Start  before  Epoch  after  Epoch  do  Learning  Epoch  learn  Pattern  do  Batch  Weights  Update  calculate  Output  Error  is  In  Batch  Mode  set  Batch  Mode  set  Max  Error  get  Max  Error  get  Total  Network  Error  get  Previous  Epoch  Error  get  Min  Error  Change  set  Min  Error  Change  get  Min  Error  Change  Iterations  Limit  set  Min  Error  Change  Iterations  Limit  get  Min  Error  Change  Iterations  Count  get  Error  Function  set  Error  Function  add  To  Squared  Error  Sum  update  Network  Weights,1,0
8,remove  Neuron,Layer,void,,index  Of  remove  Neuron  At,Layer,serial  Version  U  I  D  parent  Network  neurons  label,Layer  Layer  Layer  set  Parent  Network  get  Parent  Network  get  Neurons  add  Neuron  add  Neuron  set  Neuron  remove  Neuron  At  remove  All  Neurons  get  Neuron  At  index  Of  get  Neurons  Count  calculate  reset  initialize  Weights  get  Label  set  Label  is  Empty,Neuron,serial  Version  U  I  D  parent  Layer  input  Connections  out  Connections  net  Input  output  error  input  Function  transfer  Function  label,Neuron  Neuron  calculate  reset  set  Input  get  Net  Input  get  Output  has  Input  Connections  has  Output  Connection  To  has  Input  Connection  From  add  Input  Connection  add  Input  Connection  add  Input  Connection  add  Output  Connection  get  Input  Connections  get  Out  Connections  remove  Input  Connection  remove  Output  Connection  remove  Input  Connection  From  remove  Output  Connection  To  remove  All  Input  Connections  remove  All  Output  Connections  remove  All  Connections  get  Connection  From  set  Input  Function  set  Transfer  Function  get  Input  Function  get  Transfer  Function  set  Parent  Layer  get  Parent  Layer  get  Weights  get  Error  set  Error  set  Output  initialize  Weights  get  Label  set  Label,0,0
9,remove  Neuron,Layer,void,,index  Of  remove  Neuron  At,Neuron,serial  Version  U  I  D  parent  Layer  input  Connections  out  Connections  net  Input  output  error  input  Function  transfer  Function  label,Neuron  Neuron  calculate  reset  set  Input  get  Net  Input  get  Output  has  Input  Connections  has  Output  Connection  To  has  Input  Connection  From  add  Input  Connection  add  Input  Connection  add  Input  Connection  add  Output  Connection  get  Input  Connections  get  Out  Connections  remove  Input  Connection  remove  Output  Connection  remove  Input  Connection  From  remove  Output  Connection  To  remove  All  Input  Connections  remove  All  Output  Connections  remove  All  Connections  get  Connection  From  set  Input  Function  set  Transfer  Function  get  Input  Function  get  Transfer  Function  set  Parent  Layer  get  Parent  Layer  get  Weights  get  Error  set  Error  set  Output  initialize  Weights  get  Label  set  Label,Layer,serial  Version  U  I  D  parent  Network  neurons  label,Layer  Layer  Layer  set  Parent  Network  get  Parent  Network  get  Neurons  add  Neuron  add  Neuron  set  Neuron  remove  Neuron  At  remove  All  Neurons  get  Neuron  At  index  Of  get  Neurons  Count  calculate  reset  initialize  Weights  get  Label  set  Label  is  Empty,1,1
