id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,create  Internal,I  Mock  Configuration  Class  Loader  Java  Mock  Factory,Object,,is  Final  get  Modifiers  get  Type  get  Type  is  Global  get  Type  get  Meta  Class  get  Type  create  get  Type  get  Additional  Interfaces  get  Constructor  Args  is  Use  Objenesis  get  Nature  get  Instance  deep  Copy  Fields  get  Instance,Java  Mock  Factory,instance,can  Create  create  create  Detached,Specification,,thrown  thrown  not  Thrown  no  Exception  Thrown  old  with  with  verify  All  verify  All  verify  All,0,0
1,create  Internal,I  Mock  Configuration  Class  Loader  Java  Mock  Factory,Object,,is  Final  get  Modifiers  get  Type  get  Type  is  Global  get  Type  get  Meta  Class  get  Type  create  get  Type  get  Additional  Interfaces  get  Constructor  Args  is  Use  Objenesis  get  Nature  get  Instance  deep  Copy  Fields  get  Instance,Specification,,thrown  thrown  not  Thrown  no  Exception  Thrown  old  with  with  verify  All  verify  All  verify  All,Java  Mock  Factory,instance,can  Create  create  create  Detached,1,1
2,attach  Mock,Object  Specification,void,,attach  as  Mock,Mock  Util,,is  Mock  as  Mock  detach  Mock  create  Detached  Mock  create  Detached  Mock,Specification,,thrown  thrown  not  Thrown  no  Exception  Thrown  old  with  with  verify  All  verify  All  verify  All  create  Internal,0,0
3,attach  Mock,Object  Specification,void,,attach  as  Mock,Specification,,thrown  thrown  not  Thrown  no  Exception  Thrown  old  with  with  verify  All  verify  All  verify  All  create  Internal,Mock  Util,,is  Mock  as  Mock  detach  Mock  create  Detached  Mock  create  Detached  Mock,1,0
4,contains,Text  Region,boolean,,compare  To  get  Start  compare  To  get  End,Text  Region,not  available  start  end,Text  Region  get  Start  get  End  shift  Vertically  equals  hash  Code  to  String  of  create,Text  Position,not  available  serial  Version  U  I  D  line  column,Text  Position  get  Line  get  Column  get  Line  Index  get  Column  Index  shift  Vertically  equals  hash  Code  to  String  compare  To  start  Of  start  Of  end  Of  create,0,0
5,contains,Text  Region,boolean,,compare  To  get  Start  compare  To  get  End,Text  Position,not  available  serial  Version  U  I  D  line  column,Text  Position  get  Line  get  Column  get  Line  Index  get  Column  Index  shift  Vertically  equals  hash  Code  to  String  compare  To  start  Of  start  Of  end  Of  create,Text  Region,not  available  start  end,Text  Region  get  Start  get  End  shift  Vertically  equals  hash  Code  to  String  of  create,1,1
6,sort  Features  In  Declaration  Order,Stepwise  Extension,void,,get  Features  set  Execution  Order  get  Declaration  Order,Stepwise  Extension,,visit  Spec  Annotation  include  Features  Before  Last  Included  Feature  skip  Features  After  First  Failing  Feature  error,Spec  Info,fields  setup  Interceptors  cleanup  Interceptors  setup  Spec  Interceptors  cleanup  Spec  Interceptors  shared  Initializer  Interceptors  initializer  Interceptors  listeners  pkg  filename  narrative  super  Spec  sub  Spec  specs  Top  To  Bottom  specs  Bottom  To  Top  initializer  Method  shared  Initializer  Method  setup  Methods  cleanup  Methods  setup  Spec  Methods  cleanup  Spec  Methods  features,get  Package  set  Package  get  Filename  set  Filename  get  Narrative  set  Narrative  get  Super  Spec  set  Super  Spec  get  Sub  Spec  set  Sub  Spec  get  Top  Spec  get  Is  Top  Spec  get  Bottom  Spec  get  Is  Bottom  Spec  get  Specs  Top  To  Bottom  get  Specs  Bottom  To  Top  get  Initializer  Method  set  Initializer  Method  get  Shared  Initializer  Method  set  Shared  Initializer  Method  get  Setup  Methods  add  Setup  Method  get  Cleanup  Methods  add  Cleanup  Method  get  Setup  Spec  Methods  add  Setup  Spec  Method  get  Cleanup  Spec  Methods  add  Cleanup  Spec  Method  get  Fixture  Methods  get  All  Fixture  Methods  get  Fields  get  All  Fields  add  Field  get  Features  get  All  Features  get  All  Features  In  Execution  Order  add  Feature  get  Setup  Interceptors  add  Setup  Interceptor  get  Cleanup  Interceptors  add  Cleanup  Interceptor  get  Setup  Spec  Interceptors  add  Setup  Spec  Interceptor  get  Cleanup  Spec  Interceptors  add  Cleanup  Spec  Interceptor  get  Shared  Initializer  Interceptors  add  Shared  Initializer  Interceptor  get  Initializer  Interceptors  add  Initializer  Interceptor  get  Listeners  add  Listener  filter  Features  sort  Features  is  Initializer  Or  Fixture  Method  to  Feature  Name,0,0
7,sort  Features  In  Declaration  Order,Stepwise  Extension,void,,get  Features  set  Execution  Order  get  Declaration  Order,Spec  Info,fields  setup  Interceptors  cleanup  Interceptors  setup  Spec  Interceptors  cleanup  Spec  Interceptors  shared  Initializer  Interceptors  initializer  Interceptors  listeners  pkg  filename  narrative  super  Spec  sub  Spec  specs  Top  To  Bottom  specs  Bottom  To  Top  initializer  Method  shared  Initializer  Method  setup  Methods  cleanup  Methods  setup  Spec  Methods  cleanup  Spec  Methods  features,get  Package  set  Package  get  Filename  set  Filename  get  Narrative  set  Narrative  get  Super  Spec  set  Super  Spec  get  Sub  Spec  set  Sub  Spec  get  Top  Spec  get  Is  Top  Spec  get  Bottom  Spec  get  Is  Bottom  Spec  get  Specs  Top  To  Bottom  get  Specs  Bottom  To  Top  get  Initializer  Method  set  Initializer  Method  get  Shared  Initializer  Method  set  Shared  Initializer  Method  get  Setup  Methods  add  Setup  Method  get  Cleanup  Methods  add  Cleanup  Method  get  Setup  Spec  Methods  add  Setup  Spec  Method  get  Cleanup  Spec  Methods  add  Cleanup  Spec  Method  get  Fixture  Methods  get  All  Fixture  Methods  get  Fields  get  All  Fields  add  Field  get  Features  get  All  Features  get  All  Features  In  Execution  Order  add  Feature  get  Setup  Interceptors  add  Setup  Interceptor  get  Cleanup  Interceptors  add  Cleanup  Interceptor  get  Setup  Spec  Interceptors  add  Setup  Spec  Interceptor  get  Cleanup  Spec  Interceptors  add  Cleanup  Spec  Interceptor  get  Shared  Initializer  Interceptors  add  Shared  Initializer  Interceptor  get  Initializer  Interceptors  add  Initializer  Interceptor  get  Listeners  add  Listener  filter  Features  sort  Features  is  Initializer  Or  Fixture  Method  to  Feature  Name,Stepwise  Extension,,visit  Spec  Annotation  include  Features  Before  Last  Included  Feature  skip  Features  After  First  Failing  Feature  error,1,1
8,include  Features  Before  Last  Included  Feature,Spec  Info,void,,get  Features  size  get  set  Excluded  is  Excluded,Stepwise  Extension,,visit  Spec  Annotation  skip  Features  After  First  Failing  Feature  error,Spec  Info,fields  setup  Interceptors  cleanup  Interceptors  setup  Spec  Interceptors  cleanup  Spec  Interceptors  shared  Initializer  Interceptors  initializer  Interceptors  listeners  pkg  filename  narrative  super  Spec  sub  Spec  specs  Top  To  Bottom  specs  Bottom  To  Top  initializer  Method  shared  Initializer  Method  setup  Methods  cleanup  Methods  setup  Spec  Methods  cleanup  Spec  Methods  features,get  Package  set  Package  get  Filename  set  Filename  get  Narrative  set  Narrative  get  Super  Spec  set  Super  Spec  get  Sub  Spec  set  Sub  Spec  get  Top  Spec  get  Is  Top  Spec  get  Bottom  Spec  get  Is  Bottom  Spec  get  Specs  Top  To  Bottom  get  Specs  Bottom  To  Top  get  Initializer  Method  set  Initializer  Method  get  Shared  Initializer  Method  set  Shared  Initializer  Method  get  Setup  Methods  add  Setup  Method  get  Cleanup  Methods  add  Cleanup  Method  get  Setup  Spec  Methods  add  Setup  Spec  Method  get  Cleanup  Spec  Methods  add  Cleanup  Spec  Method  get  Fixture  Methods  get  All  Fixture  Methods  get  Fields  get  All  Fields  add  Field  get  Features  get  All  Features  get  All  Features  In  Execution  Order  add  Feature  get  Setup  Interceptors  add  Setup  Interceptor  get  Cleanup  Interceptors  add  Cleanup  Interceptor  get  Setup  Spec  Interceptors  add  Setup  Spec  Interceptor  get  Cleanup  Spec  Interceptors  add  Cleanup  Spec  Interceptor  get  Shared  Initializer  Interceptors  add  Shared  Initializer  Interceptor  get  Initializer  Interceptors  add  Initializer  Interceptor  get  Listeners  add  Listener  filter  Features  sort  Features  is  Initializer  Or  Fixture  Method  to  Feature  Name  sort  Features  In  Declaration  Order,0,0
9,include  Features  Before  Last  Included  Feature,Spec  Info,void,,get  Features  size  get  set  Excluded  is  Excluded,Spec  Info,fields  setup  Interceptors  cleanup  Interceptors  setup  Spec  Interceptors  cleanup  Spec  Interceptors  shared  Initializer  Interceptors  initializer  Interceptors  listeners  pkg  filename  narrative  super  Spec  sub  Spec  specs  Top  To  Bottom  specs  Bottom  To  Top  initializer  Method  shared  Initializer  Method  setup  Methods  cleanup  Methods  setup  Spec  Methods  cleanup  Spec  Methods  features,get  Package  set  Package  get  Filename  set  Filename  get  Narrative  set  Narrative  get  Super  Spec  set  Super  Spec  get  Sub  Spec  set  Sub  Spec  get  Top  Spec  get  Is  Top  Spec  get  Bottom  Spec  get  Is  Bottom  Spec  get  Specs  Top  To  Bottom  get  Specs  Bottom  To  Top  get  Initializer  Method  set  Initializer  Method  get  Shared  Initializer  Method  set  Shared  Initializer  Method  get  Setup  Methods  add  Setup  Method  get  Cleanup  Methods  add  Cleanup  Method  get  Setup  Spec  Methods  add  Setup  Spec  Method  get  Cleanup  Spec  Methods  add  Cleanup  Spec  Method  get  Fixture  Methods  get  All  Fixture  Methods  get  Fields  get  All  Fields  add  Field  get  Features  get  All  Features  get  All  Features  In  Execution  Order  add  Feature  get  Setup  Interceptors  add  Setup  Interceptor  get  Cleanup  Interceptors  add  Cleanup  Interceptor  get  Setup  Spec  Interceptors  add  Setup  Spec  Interceptor  get  Cleanup  Spec  Interceptors  add  Cleanup  Spec  Interceptor  get  Shared  Initializer  Interceptors  add  Shared  Initializer  Interceptor  get  Initializer  Interceptors  add  Initializer  Interceptor  get  Listeners  add  Listener  filter  Features  sort  Features  is  Initializer  Or  Fixture  Method  to  Feature  Name  sort  Features  In  Declaration  Order,Stepwise  Extension,,visit  Spec  Annotation  skip  Features  After  First  Failing  Feature  error,1,0
10,skip  Features  After  First  Failing  Feature,Spec  Info,void,,add  Listener  get  Bottom  Spec,Stepwise  Extension,,visit  Spec  Annotation  include  Features  Before  Last  Included  Feature  error,Spec  Info,fields  setup  Interceptors  cleanup  Interceptors  setup  Spec  Interceptors  cleanup  Spec  Interceptors  shared  Initializer  Interceptors  initializer  Interceptors  listeners  pkg  filename  narrative  super  Spec  sub  Spec  specs  Top  To  Bottom  specs  Bottom  To  Top  initializer  Method  shared  Initializer  Method  setup  Methods  cleanup  Methods  setup  Spec  Methods  cleanup  Spec  Methods  features,get  Package  set  Package  get  Filename  set  Filename  get  Narrative  set  Narrative  get  Super  Spec  set  Super  Spec  get  Sub  Spec  set  Sub  Spec  get  Top  Spec  get  Is  Top  Spec  get  Bottom  Spec  get  Is  Bottom  Spec  get  Specs  Top  To  Bottom  get  Specs  Bottom  To  Top  get  Initializer  Method  set  Initializer  Method  get  Shared  Initializer  Method  set  Shared  Initializer  Method  get  Setup  Methods  add  Setup  Method  get  Cleanup  Methods  add  Cleanup  Method  get  Setup  Spec  Methods  add  Setup  Spec  Method  get  Cleanup  Spec  Methods  add  Cleanup  Spec  Method  get  Fixture  Methods  get  All  Fixture  Methods  get  Fields  get  All  Fields  add  Field  get  Features  get  All  Features  get  All  Features  In  Execution  Order  add  Feature  get  Setup  Interceptors  add  Setup  Interceptor  get  Cleanup  Interceptors  add  Cleanup  Interceptor  get  Setup  Spec  Interceptors  add  Setup  Spec  Interceptor  get  Cleanup  Spec  Interceptors  add  Cleanup  Spec  Interceptor  get  Shared  Initializer  Interceptors  add  Shared  Initializer  Interceptor  get  Initializer  Interceptors  add  Initializer  Interceptor  get  Listeners  add  Listener  filter  Features  sort  Features  is  Initializer  Or  Fixture  Method  to  Feature  Name  sort  Features  In  Declaration  Order,0,0
11,skip  Features  After  First  Failing  Feature,Spec  Info,void,,add  Listener  get  Bottom  Spec,Spec  Info,fields  setup  Interceptors  cleanup  Interceptors  setup  Spec  Interceptors  cleanup  Spec  Interceptors  shared  Initializer  Interceptors  initializer  Interceptors  listeners  pkg  filename  narrative  super  Spec  sub  Spec  specs  Top  To  Bottom  specs  Bottom  To  Top  initializer  Method  shared  Initializer  Method  setup  Methods  cleanup  Methods  setup  Spec  Methods  cleanup  Spec  Methods  features,get  Package  set  Package  get  Filename  set  Filename  get  Narrative  set  Narrative  get  Super  Spec  set  Super  Spec  get  Sub  Spec  set  Sub  Spec  get  Top  Spec  get  Is  Top  Spec  get  Bottom  Spec  get  Is  Bottom  Spec  get  Specs  Top  To  Bottom  get  Specs  Bottom  To  Top  get  Initializer  Method  set  Initializer  Method  get  Shared  Initializer  Method  set  Shared  Initializer  Method  get  Setup  Methods  add  Setup  Method  get  Cleanup  Methods  add  Cleanup  Method  get  Setup  Spec  Methods  add  Setup  Spec  Method  get  Cleanup  Spec  Methods  add  Cleanup  Spec  Method  get  Fixture  Methods  get  All  Fixture  Methods  get  Fields  get  All  Fields  add  Field  get  Features  get  All  Features  get  All  Features  In  Execution  Order  add  Feature  get  Setup  Interceptors  add  Setup  Interceptor  get  Cleanup  Interceptors  add  Cleanup  Interceptor  get  Setup  Spec  Interceptors  add  Setup  Spec  Interceptor  get  Cleanup  Spec  Interceptors  add  Cleanup  Spec  Interceptor  get  Shared  Initializer  Interceptors  add  Shared  Initializer  Interceptor  get  Initializer  Interceptors  add  Initializer  Interceptor  get  Listeners  add  Listener  filter  Features  sort  Features  is  Initializer  Or  Fixture  Method  to  Feature  Name  sort  Features  In  Declaration  Order,Stepwise  Extension,,visit  Spec  Annotation  include  Features  Before  Last  Included  Feature  error,1,0
