id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,do  Jta  Suspend,Jta  Transaction  Manager,Object,,get  Transaction  Manager  suspend  get  Transaction  Manager,Jta  Transaction  Manager,default  user  transaction  name  fallback  transaction  manager  names  default  transaction  synchronization  registry  name  jndi  Template  user  Transaction  user  Transaction  Name  autodetect  User  Transaction  cache  User  Transaction  user  Transaction  Obtained  From  Jndi  transaction  Manager  transaction  Manager  Name  autodetect  Transaction  Manager  transaction  Synchronization  Registry  transaction  Synchronization  Registry  Name  autodetect  Transaction  Synchronization  Registry  allow  Custom  Isolation  Levels,Jta  Transaction  Manager  Jta  Transaction  Manager  Jta  Transaction  Manager  Jta  Transaction  Manager  set  Jndi  Template  get  Jndi  Template  set  Jndi  Environment  get  Jndi  Environment  set  User  Transaction  get  User  Transaction  set  User  Transaction  Name  set  Autodetect  User  Transaction  set  Cache  User  Transaction  set  Transaction  Manager  get  Transaction  Manager  set  Transaction  Manager  Name  set  Autodetect  Transaction  Manager  set  Transaction  Synchronization  Registry  get  Transaction  Synchronization  Registry  set  Transaction  Synchronization  Registry  Name  set  Autodetect  Transaction  Synchronization  Registry  set  Allow  Custom  Isolation  Levels  after  Properties  Set  init  User  Transaction  And  Transaction  Manager  check  User  Transaction  And  Transaction  Manager  init  Transaction  Synchronization  Registry  build  User  Transaction  lookup  User  Transaction  lookup  Transaction  Manager  lookup  Transaction  Synchronization  Registry  retrieve  User  Transaction  retrieve  Transaction  Manager  retrieve  Transaction  Synchronization  Registry  find  User  Transaction  find  Transaction  Manager  find  Transaction  Synchronization  Registry  do  Get  Transaction  do  Get  Jta  Transaction  is  Existing  Transaction  use  Savepoint  For  Nested  Transaction  do  Begin  do  Jta  Begin  apply  Isolation  Level  apply  Timeout  do  Suspend  do  Resume  do  Jta  Resume  should  Commit  On  Global  Rollback  Only  do  Commit  do  Rollback  do  Set  Rollback  Only  register  After  Completion  With  Existing  Transaction  do  Register  After  Completion  With  Jta  Transaction  do  Cleanup  After  Completion  create  Transaction  supports  Resource  Adapter  Managed  Transactions  read  Object,Jta  Transaction  Object,user  Transaction  reset  Transaction  Timeout,Jta  Transaction  Object  get  User  Transaction  is  Rollback  Only  flush,0,0
1,do  Jta  Suspend,Jta  Transaction  Manager,Object,,get  Transaction  Manager  suspend  get  Transaction  Manager,Jta  Transaction  Object,user  Transaction  reset  Transaction  Timeout,Jta  Transaction  Object  get  User  Transaction  is  Rollback  Only  flush,Jta  Transaction  Manager,default  user  transaction  name  fallback  transaction  manager  names  default  transaction  synchronization  registry  name  jndi  Template  user  Transaction  user  Transaction  Name  autodetect  User  Transaction  cache  User  Transaction  user  Transaction  Obtained  From  Jndi  transaction  Manager  transaction  Manager  Name  autodetect  Transaction  Manager  transaction  Synchronization  Registry  transaction  Synchronization  Registry  Name  autodetect  Transaction  Synchronization  Registry  allow  Custom  Isolation  Levels,Jta  Transaction  Manager  Jta  Transaction  Manager  Jta  Transaction  Manager  Jta  Transaction  Manager  set  Jndi  Template  get  Jndi  Template  set  Jndi  Environment  get  Jndi  Environment  set  User  Transaction  get  User  Transaction  set  User  Transaction  Name  set  Autodetect  User  Transaction  set  Cache  User  Transaction  set  Transaction  Manager  get  Transaction  Manager  set  Transaction  Manager  Name  set  Autodetect  Transaction  Manager  set  Transaction  Synchronization  Registry  get  Transaction  Synchronization  Registry  set  Transaction  Synchronization  Registry  Name  set  Autodetect  Transaction  Synchronization  Registry  set  Allow  Custom  Isolation  Levels  after  Properties  Set  init  User  Transaction  And  Transaction  Manager  check  User  Transaction  And  Transaction  Manager  init  Transaction  Synchronization  Registry  build  User  Transaction  lookup  User  Transaction  lookup  Transaction  Manager  lookup  Transaction  Synchronization  Registry  retrieve  User  Transaction  retrieve  Transaction  Manager  retrieve  Transaction  Synchronization  Registry  find  User  Transaction  find  Transaction  Manager  find  Transaction  Synchronization  Registry  do  Get  Transaction  do  Get  Jta  Transaction  is  Existing  Transaction  use  Savepoint  For  Nested  Transaction  do  Begin  do  Jta  Begin  apply  Isolation  Level  apply  Timeout  do  Suspend  do  Resume  do  Jta  Resume  should  Commit  On  Global  Rollback  Only  do  Commit  do  Rollback  do  Set  Rollback  Only  register  After  Completion  With  Existing  Transaction  do  Register  After  Completion  With  Jta  Transaction  do  Cleanup  After  Completion  create  Transaction  supports  Resource  Adapter  Managed  Transactions  read  Object,1,1
2,prepare  Synchronization,Transaction  Definition  Abstract  Platform  Transaction  Manager,void,,is  New  Synchronization  set  Actual  Transaction  Active  has  Transaction  set  Current  Transaction  Isolation  Level  get  Isolation  Level  get  Isolation  Level  set  Current  Transaction  Read  Only  is  Read  Only  set  Current  Transaction  Name  get  Name  init  Synchronization,Abstract  Platform  Transaction  Manager,synchronization  always  synchronization  on  actual  transaction  synchronization  never  constants  logger  transaction  Synchronization  default  Timeout  nested  Transaction  Allowed  validate  Existing  Transaction  global  Rollback  On  Participation  Failure  fail  Early  On  Global  Rollback  Only  rollback  On  Commit  Failure  Suspended  Resources  Holder  suspended  Resources  suspended  Synchronizations  name  read  Only  isolation  Level  was  Active,set  Transaction  Synchronization  Name  set  Transaction  Synchronization  get  Transaction  Synchronization  set  Default  Timeout  get  Default  Timeout  set  Nested  Transaction  Allowed  is  Nested  Transaction  Allowed  set  Validate  Existing  Transaction  is  Validate  Existing  Transaction  set  Global  Rollback  On  Participation  Failure  is  Global  Rollback  On  Participation  Failure  set  Fail  Early  On  Global  Rollback  Only  is  Fail  Early  On  Global  Rollback  Only  set  Rollback  On  Commit  Failure  is  Rollback  On  Commit  Failure  get  Transaction  start  Transaction  handle  Existing  Transaction  prepare  Transaction  Status  new  Transaction  Status  determine  Timeout  suspend  resume  resume  After  Begin  Exception  do  Suspend  Synchronization  do  Resume  Synchronization  commit  process  Commit  rollback  process  Rollback  do  Rollback  On  Commit  Exception  trigger  Before  Commit  trigger  Before  Completion  trigger  After  Commit  trigger  After  Completion  invoke  After  Completion  cleanup  After  Completion  do  Get  Transaction  is  Existing  Transaction  use  Savepoint  For  Nested  Transaction  do  Begin  do  Suspend  do  Resume  should  Commit  On  Global  Rollback  Only  prepare  For  Commit  do  Commit  do  Rollback  do  Set  Rollback  Only  register  After  Completion  With  Existing  Transaction  do  Cleanup  After  Completion  read  Object  Suspended  Resources  Holder  Suspended  Resources  Holder,Default  Transaction  Status,transaction  new  Transaction  new  Synchronization  read  Only  debug  suspended  Resources,Default  Transaction  Status  get  Transaction  has  Transaction  is  New  Transaction  is  New  Synchronization  is  Read  Only  is  Debug  get  Suspended  Resources  is  Global  Rollback  Only  get  Savepoint  Manager  is  Transaction  Savepoint  Manager  flush,0,0
3,prepare  Synchronization,Transaction  Definition  Abstract  Platform  Transaction  Manager,void,,is  New  Synchronization  set  Actual  Transaction  Active  has  Transaction  set  Current  Transaction  Isolation  Level  get  Isolation  Level  get  Isolation  Level  set  Current  Transaction  Read  Only  is  Read  Only  set  Current  Transaction  Name  get  Name  init  Synchronization,Default  Transaction  Status,transaction  new  Transaction  new  Synchronization  read  Only  debug  suspended  Resources,Default  Transaction  Status  get  Transaction  has  Transaction  is  New  Transaction  is  New  Synchronization  is  Read  Only  is  Debug  get  Suspended  Resources  is  Global  Rollback  Only  get  Savepoint  Manager  is  Transaction  Savepoint  Manager  flush,Abstract  Platform  Transaction  Manager,synchronization  always  synchronization  on  actual  transaction  synchronization  never  constants  logger  transaction  Synchronization  default  Timeout  nested  Transaction  Allowed  validate  Existing  Transaction  global  Rollback  On  Participation  Failure  fail  Early  On  Global  Rollback  Only  rollback  On  Commit  Failure  Suspended  Resources  Holder  suspended  Resources  suspended  Synchronizations  name  read  Only  isolation  Level  was  Active,set  Transaction  Synchronization  Name  set  Transaction  Synchronization  get  Transaction  Synchronization  set  Default  Timeout  get  Default  Timeout  set  Nested  Transaction  Allowed  is  Nested  Transaction  Allowed  set  Validate  Existing  Transaction  is  Validate  Existing  Transaction  set  Global  Rollback  On  Participation  Failure  is  Global  Rollback  On  Participation  Failure  set  Fail  Early  On  Global  Rollback  Only  is  Fail  Early  On  Global  Rollback  Only  set  Rollback  On  Commit  Failure  is  Rollback  On  Commit  Failure  get  Transaction  start  Transaction  handle  Existing  Transaction  prepare  Transaction  Status  new  Transaction  Status  determine  Timeout  suspend  resume  resume  After  Begin  Exception  do  Suspend  Synchronization  do  Resume  Synchronization  commit  process  Commit  rollback  process  Rollback  do  Rollback  On  Commit  Exception  trigger  Before  Commit  trigger  Before  Completion  trigger  After  Commit  trigger  After  Completion  invoke  After  Completion  cleanup  After  Completion  do  Get  Transaction  is  Existing  Transaction  use  Savepoint  For  Nested  Transaction  do  Begin  do  Suspend  do  Resume  should  Commit  On  Global  Rollback  Only  prepare  For  Commit  do  Commit  do  Rollback  do  Set  Rollback  Only  register  After  Completion  With  Existing  Transaction  do  Cleanup  After  Completion  read  Object  Suspended  Resources  Holder  Suspended  Resources  Holder,1,1
4,prepare  Synchronization,Transaction  Synchronization  Manager  Transaction  Definition  Abstract  Reactive  Transaction  Manager,void,,is  New  Synchronization  set  Actual  Transaction  Active  has  Transaction  set  Current  Transaction  Isolation  Level  get  Isolation  Level  get  Isolation  Level  set  Current  Transaction  Read  Only  is  Read  Only  set  Current  Transaction  Name  get  Name  init  Synchronization,Abstract  Reactive  Transaction  Manager,logger  Suspended  Resources  Holder  suspended  Resources  suspended  Synchronizations  name  read  Only  isolation  Level  was  Active  Error  Predicates,get  Reactive  Transaction  handle  Existing  Transaction  prepare  Reactive  Transaction  new  Reactive  Transaction  suspend  resume  resume  After  Begin  Exception  do  Suspend  Synchronization  do  Resume  Synchronization  commit  process  Commit  rollback  process  Rollback  do  Rollback  On  Commit  Exception  trigger  Before  Commit  trigger  Before  Completion  trigger  After  Commit  trigger  After  Completion  invoke  After  Completion  cleanup  After  Completion  do  Get  Transaction  is  Existing  Transaction  do  Begin  do  Suspend  do  Resume  prepare  For  Commit  do  Commit  do  Rollback  do  Set  Rollback  Only  register  After  Completion  With  Existing  Transaction  do  Cleanup  After  Completion  read  Object  Suspended  Resources  Holder  Suspended  Resources  Holder  test  test  test  test,Generic  Reactive  Transaction,transaction  new  Transaction  new  Synchronization  read  Only  debug  suspended  Resources  rollback  Only  completed,Generic  Reactive  Transaction  get  Transaction  has  Transaction  is  New  Transaction  is  New  Synchronization  is  Read  Only  is  Debug  get  Suspended  Resources  set  Rollback  Only  is  Rollback  Only  set  Completed  is  Completed,0,0
5,prepare  Synchronization,Transaction  Synchronization  Manager  Transaction  Definition  Abstract  Reactive  Transaction  Manager,void,,is  New  Synchronization  set  Actual  Transaction  Active  has  Transaction  set  Current  Transaction  Isolation  Level  get  Isolation  Level  get  Isolation  Level  set  Current  Transaction  Read  Only  is  Read  Only  set  Current  Transaction  Name  get  Name  init  Synchronization,Generic  Reactive  Transaction,transaction  new  Transaction  new  Synchronization  read  Only  debug  suspended  Resources  rollback  Only  completed,Generic  Reactive  Transaction  get  Transaction  has  Transaction  is  New  Transaction  is  New  Synchronization  is  Read  Only  is  Debug  get  Suspended  Resources  set  Rollback  Only  is  Rollback  Only  set  Completed  is  Completed,Abstract  Reactive  Transaction  Manager,logger  Suspended  Resources  Holder  suspended  Resources  suspended  Synchronizations  name  read  Only  isolation  Level  was  Active  Error  Predicates,get  Reactive  Transaction  handle  Existing  Transaction  prepare  Reactive  Transaction  new  Reactive  Transaction  suspend  resume  resume  After  Begin  Exception  do  Suspend  Synchronization  do  Resume  Synchronization  commit  process  Commit  rollback  process  Rollback  do  Rollback  On  Commit  Exception  trigger  Before  Commit  trigger  Before  Completion  trigger  After  Commit  trigger  After  Completion  invoke  After  Completion  cleanup  After  Completion  do  Get  Transaction  is  Existing  Transaction  do  Begin  do  Suspend  do  Resume  prepare  For  Commit  do  Commit  do  Rollback  do  Set  Rollback  Only  register  After  Completion  With  Existing  Transaction  do  Cleanup  After  Completion  read  Object  Suspended  Resources  Holder  Suspended  Resources  Holder  test  test  test  test,1,1
6,prepare  Synchronization,Transaction  Synchronization  Manager  Transaction  Definition  Abstract  Reactive  Transaction  Manager,void,,is  New  Synchronization  set  Actual  Transaction  Active  has  Transaction  set  Current  Transaction  Isolation  Level  get  Isolation  Level  get  Isolation  Level  set  Current  Transaction  Read  Only  is  Read  Only  set  Current  Transaction  Name  get  Name  init  Synchronization,Abstract  Reactive  Transaction  Manager,logger  Suspended  Resources  Holder  suspended  Resources  suspended  Synchronizations  name  read  Only  isolation  Level  was  Active  Error  Predicates,get  Reactive  Transaction  handle  Existing  Transaction  prepare  Reactive  Transaction  new  Reactive  Transaction  suspend  resume  resume  After  Begin  Exception  do  Suspend  Synchronization  do  Resume  Synchronization  commit  process  Commit  rollback  process  Rollback  do  Rollback  On  Commit  Exception  trigger  Before  Commit  trigger  Before  Completion  trigger  After  Commit  trigger  After  Completion  invoke  After  Completion  cleanup  After  Completion  do  Get  Transaction  is  Existing  Transaction  do  Begin  do  Suspend  do  Resume  prepare  For  Commit  do  Commit  do  Rollback  do  Set  Rollback  Only  register  After  Completion  With  Existing  Transaction  do  Cleanup  After  Completion  read  Object  Suspended  Resources  Holder  Suspended  Resources  Holder  test  test  test  test,Transaction  Synchronization  Manager,logger  transaction  Context,Transaction  Synchronization  Manager  for  Current  Transaction  has  Resource  get  Resource  do  Get  Resource  bind  Resource  unbind  Resource  unbind  Resource  If  Possible  do  Unbind  Resource  is  Synchronization  Active  init  Synchronization  register  Synchronization  get  Synchronizations  clear  Synchronization  set  Current  Transaction  Name  get  Current  Transaction  Name  set  Current  Transaction  Read  Only  is  Current  Transaction  Read  Only  set  Current  Transaction  Isolation  Level  get  Current  Transaction  Isolation  Level  set  Actual  Transaction  Active  is  Actual  Transaction  Active  clear,0,0
7,prepare  Synchronization,Transaction  Synchronization  Manager  Transaction  Definition  Abstract  Reactive  Transaction  Manager,void,,is  New  Synchronization  set  Actual  Transaction  Active  has  Transaction  set  Current  Transaction  Isolation  Level  get  Isolation  Level  get  Isolation  Level  set  Current  Transaction  Read  Only  is  Read  Only  set  Current  Transaction  Name  get  Name  init  Synchronization,Transaction  Synchronization  Manager,logger  transaction  Context,Transaction  Synchronization  Manager  for  Current  Transaction  has  Resource  get  Resource  do  Get  Resource  bind  Resource  unbind  Resource  unbind  Resource  If  Possible  do  Unbind  Resource  is  Synchronization  Active  init  Synchronization  register  Synchronization  get  Synchronizations  clear  Synchronization  set  Current  Transaction  Name  get  Current  Transaction  Name  set  Current  Transaction  Read  Only  is  Current  Transaction  Read  Only  set  Current  Transaction  Isolation  Level  get  Current  Transaction  Isolation  Level  set  Actual  Transaction  Active  is  Actual  Transaction  Active  clear,Abstract  Reactive  Transaction  Manager,logger  Suspended  Resources  Holder  suspended  Resources  suspended  Synchronizations  name  read  Only  isolation  Level  was  Active  Error  Predicates,get  Reactive  Transaction  handle  Existing  Transaction  prepare  Reactive  Transaction  new  Reactive  Transaction  suspend  resume  resume  After  Begin  Exception  do  Suspend  Synchronization  do  Resume  Synchronization  commit  process  Commit  rollback  process  Rollback  do  Rollback  On  Commit  Exception  trigger  Before  Commit  trigger  Before  Completion  trigger  After  Commit  trigger  After  Completion  invoke  After  Completion  cleanup  After  Completion  do  Get  Transaction  is  Existing  Transaction  do  Begin  do  Suspend  do  Resume  prepare  For  Commit  do  Commit  do  Rollback  do  Set  Rollback  Only  register  After  Completion  With  Existing  Transaction  do  Cleanup  After  Completion  read  Object  Suspended  Resources  Holder  Suspended  Resources  Holder  test  test  test  test,1,0
8,do  Suspend  Synchronization,Transaction  Synchronization  Manager,Mono  List  Transaction  Synchronization,,get  Synchronizations  then  concat  Map  from  Iterable  defer  clear  Synchronization  just,Abstract  Reactive  Transaction  Manager,logger  Suspended  Resources  Holder  suspended  Resources  suspended  Synchronizations  name  read  Only  isolation  Level  was  Active  Error  Predicates,get  Reactive  Transaction  handle  Existing  Transaction  prepare  Reactive  Transaction  new  Reactive  Transaction  suspend  resume  resume  After  Begin  Exception  do  Resume  Synchronization  commit  process  Commit  rollback  process  Rollback  do  Rollback  On  Commit  Exception  trigger  Before  Commit  trigger  Before  Completion  trigger  After  Commit  trigger  After  Completion  invoke  After  Completion  cleanup  After  Completion  do  Get  Transaction  is  Existing  Transaction  do  Begin  do  Suspend  do  Resume  prepare  For  Commit  do  Commit  do  Rollback  do  Set  Rollback  Only  register  After  Completion  With  Existing  Transaction  do  Cleanup  After  Completion  read  Object  Suspended  Resources  Holder  Suspended  Resources  Holder  test  test  test  test,Transaction  Synchronization  Manager,logger  transaction  Context,Transaction  Synchronization  Manager  for  Current  Transaction  has  Resource  get  Resource  do  Get  Resource  bind  Resource  unbind  Resource  unbind  Resource  If  Possible  do  Unbind  Resource  is  Synchronization  Active  init  Synchronization  register  Synchronization  get  Synchronizations  clear  Synchronization  set  Current  Transaction  Name  get  Current  Transaction  Name  set  Current  Transaction  Read  Only  is  Current  Transaction  Read  Only  set  Current  Transaction  Isolation  Level  get  Current  Transaction  Isolation  Level  set  Actual  Transaction  Active  is  Actual  Transaction  Active  clear,0,0
9,do  Suspend  Synchronization,Transaction  Synchronization  Manager,Mono  List  Transaction  Synchronization,,get  Synchronizations  then  concat  Map  from  Iterable  defer  clear  Synchronization  just,Transaction  Synchronization  Manager,logger  transaction  Context,Transaction  Synchronization  Manager  for  Current  Transaction  has  Resource  get  Resource  do  Get  Resource  bind  Resource  unbind  Resource  unbind  Resource  If  Possible  do  Unbind  Resource  is  Synchronization  Active  init  Synchronization  register  Synchronization  get  Synchronizations  clear  Synchronization  set  Current  Transaction  Name  get  Current  Transaction  Name  set  Current  Transaction  Read  Only  is  Current  Transaction  Read  Only  set  Current  Transaction  Isolation  Level  get  Current  Transaction  Isolation  Level  set  Actual  Transaction  Active  is  Actual  Transaction  Active  clear,Abstract  Reactive  Transaction  Manager,logger  Suspended  Resources  Holder  suspended  Resources  suspended  Synchronizations  name  read  Only  isolation  Level  was  Active  Error  Predicates,get  Reactive  Transaction  handle  Existing  Transaction  prepare  Reactive  Transaction  new  Reactive  Transaction  suspend  resume  resume  After  Begin  Exception  do  Resume  Synchronization  commit  process  Commit  rollback  process  Rollback  do  Rollback  On  Commit  Exception  trigger  Before  Commit  trigger  Before  Completion  trigger  After  Commit  trigger  After  Completion  invoke  After  Completion  cleanup  After  Completion  do  Get  Transaction  is  Existing  Transaction  do  Begin  do  Suspend  do  Resume  prepare  For  Commit  do  Commit  do  Rollback  do  Set  Rollback  Only  register  After  Completion  With  Existing  Transaction  do  Cleanup  After  Completion  read  Object  Suspended  Resources  Holder  Suspended  Resources  Holder  test  test  test  test,1,0
