id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,csv  Format,Csv  Reader,Csv  Format,,quote  Char  set  Quote  quote  Char  escape  Char  set  Quote  Escape  escape  Char  separator  set  Delimiter  separator  line  Ending  set  Line  Separator  line  Ending  comment  Prefix  set  Comment  comment  Prefix,Csv  Reader,instance,register  Csv  Reader  get  Reader  And  Column  Types  read  read  print  Column  Types  detect  Column  Types  csv  Parser  read,Csv  Read  Options,column  Types  separator  quote  Char  escape  Char  line  Ending  max  Number  Of  Columns  comment  Prefix  line  Separator  Detection  Enabled  sample  Size  Builder  separator  quote  Char  escape  Char  line  Ending  column  Types  max  Number  Of  Columns  comment  Prefix  line  Separator  Detection  Enabled  sample  Size,Csv  Read  Options  builder  builder  builder  builder  builder  From  File  builder  From  String  builder  From  Url  builder  builder  column  Types  separator  quote  Char  escape  Char  line  Ending  line  Separator  Detection  Enabled  max  Number  Of  Columns  comment  Prefix  max  Chars  Per  Column  sample  Size  Builder  Builder  Builder  Builder  Builder  column  Types  separator  quote  Char  escape  Char  line  Ending  max  Number  Of  Columns  comment  Prefix  sample  Size  build  header  table  Name  sample  date  Format  time  Format  date  Time  Format  date  Format  time  Format  date  Time  Format  max  Chars  Per  Column  locale  missing  Value  Indicator  minimize  Column  Sizes  ignore  Zero  Decimal,0,0
1,csv  Format,Csv  Reader,Csv  Format,,quote  Char  set  Quote  quote  Char  escape  Char  set  Quote  Escape  escape  Char  separator  set  Delimiter  separator  line  Ending  set  Line  Separator  line  Ending  comment  Prefix  set  Comment  comment  Prefix,Csv  Read  Options,column  Types  separator  quote  Char  escape  Char  line  Ending  max  Number  Of  Columns  comment  Prefix  line  Separator  Detection  Enabled  sample  Size  Builder  separator  quote  Char  escape  Char  line  Ending  column  Types  max  Number  Of  Columns  comment  Prefix  line  Separator  Detection  Enabled  sample  Size,Csv  Read  Options  builder  builder  builder  builder  builder  From  File  builder  From  String  builder  From  Url  builder  builder  column  Types  separator  quote  Char  escape  Char  line  Ending  line  Separator  Detection  Enabled  max  Number  Of  Columns  comment  Prefix  max  Chars  Per  Column  sample  Size  Builder  Builder  Builder  Builder  Builder  column  Types  separator  quote  Char  escape  Char  line  Ending  max  Number  Of  Columns  comment  Prefix  sample  Size  build  header  table  Name  sample  date  Format  time  Format  date  Time  Format  date  Format  time  Format  date  Time  Format  max  Chars  Per  Column  locale  missing  Value  Indicator  minimize  Column  Sizes  ignore  Zero  Decimal,Csv  Reader,instance,register  Csv  Reader  get  Reader  And  Column  Types  read  read  print  Column  Types  detect  Column  Types  csv  Parser  read,1,1
2,get  Reader  And  Column  Types,Fixed  Width  Reader,Pair  Reader,,column  Types  create  Reader  source  file  source  get  Bytes  to  String  create  Reader  source  detect  Column  Types  create  create  Reader  source,Fixed  Width  Reader,instance,register  Fixed  Width  Reader  read  read  print  Column  Types  detect  Column  Types  fixed  Width  Parser  fixed  Width  Format  read,Fixed  Width  Read  Options,column  Types  column  Specs  line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  max  Number  Of  Columns  Builder  column  Specs  line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  column  Types  max  Number  Of  Columns,Fixed  Width  Read  Options  builder  builder  builder  builder  builder  column  Types  column  Specs  line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  max  Number  Of  Columns  Builder  Builder  Builder  Builder  Builder  column  Specs  max  Chars  Per  Column  line  Ending  system  Line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  column  Types  max  Number  Of  Columns  build  header  table  Name  sample  date  Format  time  Format  date  Time  Format  date  Format  time  Format  date  Time  Format  locale  missing  Value  Indicator  minimize  Column  Sizes  ignore  Zero  Decimal,0,0
3,get  Reader  And  Column  Types,Fixed  Width  Reader,Pair  Reader,,column  Types  create  Reader  source  file  source  get  Bytes  to  String  create  Reader  source  detect  Column  Types  create  create  Reader  source,Fixed  Width  Read  Options,column  Types  column  Specs  line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  max  Number  Of  Columns  Builder  column  Specs  line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  column  Types  max  Number  Of  Columns,Fixed  Width  Read  Options  builder  builder  builder  builder  builder  column  Types  column  Specs  line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  max  Number  Of  Columns  Builder  Builder  Builder  Builder  Builder  column  Specs  max  Chars  Per  Column  line  Ending  system  Line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  column  Types  max  Number  Of  Columns  build  header  table  Name  sample  date  Format  time  Format  date  Time  Format  date  Format  time  Format  date  Time  Format  locale  missing  Value  Indicator  minimize  Column  Sizes  ignore  Zero  Decimal,Fixed  Width  Reader,instance,register  Fixed  Width  Reader  read  read  print  Column  Types  detect  Column  Types  fixed  Width  Parser  fixed  Width  Format  read,1,1
4,fixed  Width  Format,Fixed  Width  Read  Options,Fixed  Width  Format,,padding  set  Padding  padding  lookup  Wildcard  set  Lookup  Wildcard  lookup  Wildcard  line  Ending  set  Line  Separator  line  Ending,Fixed  Width  Reader,instance,register  Fixed  Width  Reader  read  read  print  Column  Types  detect  Column  Types  fixed  Width  Parser  read,Fixed  Width  Read  Options,column  Types  column  Specs  line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  max  Number  Of  Columns  Builder  column  Specs  line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  column  Types  max  Number  Of  Columns,Fixed  Width  Read  Options  builder  builder  builder  builder  builder  column  Types  column  Specs  line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  max  Number  Of  Columns  get  Reader  And  Column  Types  Builder  Builder  Builder  Builder  Builder  column  Specs  max  Chars  Per  Column  line  Ending  system  Line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  column  Types  max  Number  Of  Columns  build  header  table  Name  sample  date  Format  time  Format  date  Time  Format  date  Format  time  Format  date  Time  Format  locale  missing  Value  Indicator  minimize  Column  Sizes  ignore  Zero  Decimal,0,0
5,fixed  Width  Format,Fixed  Width  Read  Options,Fixed  Width  Format,,padding  set  Padding  padding  lookup  Wildcard  set  Lookup  Wildcard  lookup  Wildcard  line  Ending  set  Line  Separator  line  Ending,Fixed  Width  Read  Options,column  Types  column  Specs  line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  max  Number  Of  Columns  Builder  column  Specs  line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  column  Types  max  Number  Of  Columns,Fixed  Width  Read  Options  builder  builder  builder  builder  builder  column  Types  column  Specs  line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  max  Number  Of  Columns  get  Reader  And  Column  Types  Builder  Builder  Builder  Builder  Builder  column  Specs  max  Chars  Per  Column  line  Ending  system  Line  Ending  padding  lookup  Wildcard  skip  Trailing  Chars  Until  Newline  record  Ends  On  Newline  skip  Invalid  Rows  column  Types  max  Number  Of  Columns  build  header  table  Name  sample  date  Format  time  Format  date  Time  Format  date  Format  time  Format  date  Time  Format  locale  missing  Value  Indicator  minimize  Column  Sizes  ignore  Zero  Decimal,Fixed  Width  Reader,instance,register  Fixed  Width  Reader  read  read  print  Column  Types  detect  Column  Types  fixed  Width  Parser  read,1,0
6,fixed  Width  Format,Fixed  Width  Writer,Fixed  Width  Format,,padding  set  Padding  padding  lookup  Wildcard  set  Lookup  Wildcard  lookup  Wildcard  comment  set  Comment  comment  line  Separator  set  Line  Separator  line  Separator  line  Separator  String  set  Line  Separator  line  Separator  String  normalized  Newline  set  Normalized  Newline  normalized  Newline,Fixed  Width  Writer,instance,register  write  fixed  Width  Writer  Settings  column  Row  Settings  error  Settings  skip  Ignore  Settings  write,Fixed  Width  Write  Options,header  line  Separator  line  Separator  String  column  Specs  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline  Builder  header  line  Separator  line  Separator  String  column  Specs  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline,Fixed  Width  Write  Options  header  line  Separator  line  Separator  String  column  Specs  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline  builder  builder  builder  builder  builder  Builder  Builder  Builder  Builder  line  Separator  line  Separator  String  header  header  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline  build,0,0
7,fixed  Width  Format,Fixed  Width  Writer,Fixed  Width  Format,,padding  set  Padding  padding  lookup  Wildcard  set  Lookup  Wildcard  lookup  Wildcard  comment  set  Comment  comment  line  Separator  set  Line  Separator  line  Separator  line  Separator  String  set  Line  Separator  line  Separator  String  normalized  Newline  set  Normalized  Newline  normalized  Newline,Fixed  Width  Write  Options,header  line  Separator  line  Separator  String  column  Specs  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline  Builder  header  line  Separator  line  Separator  String  column  Specs  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline,Fixed  Width  Write  Options  header  line  Separator  line  Separator  String  column  Specs  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline  builder  builder  builder  builder  builder  Builder  Builder  Builder  Builder  line  Separator  line  Separator  String  header  header  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline  build,Fixed  Width  Writer,instance,register  write  fixed  Width  Writer  Settings  column  Row  Settings  error  Settings  skip  Ignore  Settings  write,1,1
8,column  Row  Settings,Fixed  Width  Writer  Settings  Fixed  Width  Write  Options,void,,default  Alignment  For  Headers  set  Default  Alignment  For  Headers  default  Alignment  For  Headers  column  Reordering  Enabled  set  Column  Reordering  Enabled  column  Reordering  Enabled  expand  Incomplete  Rows  set  Expand  Incomplete  Rows  expand  Incomplete  Rows  default  Padding  For  Headers  set  Use  Default  Padding  For  Headers  default  Padding  For  Headers  write  Line  Separator  After  Record  set  Write  Line  Separator  After  Record  write  Line  Separator  After  Record,Fixed  Width  Writer,instance,register  write  fixed  Width  Writer  Settings  error  Settings  skip  Ignore  Settings  write,Fixed  Width  Write  Options,header  line  Separator  line  Separator  String  column  Specs  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline  Builder  header  line  Separator  line  Separator  String  column  Specs  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline,Fixed  Width  Write  Options  header  line  Separator  line  Separator  String  column  Specs  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline  builder  builder  builder  builder  builder  fixed  Width  Format  Builder  Builder  Builder  Builder  line  Separator  line  Separator  String  header  header  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline  build,0,0
9,column  Row  Settings,Fixed  Width  Writer  Settings  Fixed  Width  Write  Options,void,,default  Alignment  For  Headers  set  Default  Alignment  For  Headers  default  Alignment  For  Headers  column  Reordering  Enabled  set  Column  Reordering  Enabled  column  Reordering  Enabled  expand  Incomplete  Rows  set  Expand  Incomplete  Rows  expand  Incomplete  Rows  default  Padding  For  Headers  set  Use  Default  Padding  For  Headers  default  Padding  For  Headers  write  Line  Separator  After  Record  set  Write  Line  Separator  After  Record  write  Line  Separator  After  Record,Fixed  Width  Write  Options,header  line  Separator  line  Separator  String  column  Specs  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline  Builder  header  line  Separator  line  Separator  String  column  Specs  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline,Fixed  Width  Write  Options  header  line  Separator  line  Separator  String  column  Specs  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline  builder  builder  builder  builder  builder  fixed  Width  Format  Builder  Builder  Builder  Builder  line  Separator  line  Separator  String  header  header  default  Padding  For  Headers  skip  Bits  As  Whitespace  default  Alignment  For  Headers  skip  Empty  Lines  expand  Incomplete  Rows  auto  Configuration  Enabled  error  Content  Length  write  Line  Separator  After  Record  ignore  Trailing  Whitespaces  ignore  Leading  Whitespaces  column  Reordering  Enabled  empty  Value  null  Value  comment  padding  lookup  Wildcard  normalized  Newline  build,Fixed  Width  Writer,instance,register  write  fixed  Width  Writer  Settings  error  Settings  skip  Ignore  Settings  write,1,0
