id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
0,check  Ring,Polygon,void,,length,Polygon,empty  polygon  holes  has  Alt,Polygon  Polygon  Polygon  type  get  Number  Of  Holes  get  Polygon  get  Hole  visit  is  Empty  has  Z  to  String  equals  hash  Code,Linear  Ring  List  Linear  Ring  Linear  Ring  int  e  Object,Linear  Ring,empty,Linear  Ring  Linear  Ring  Linear  Ring  type  visit  to  String,double  double  double  double  double  e  Polygon,0,0
1,check  Ring,Polygon,void,,length,Linear  Ring,empty,Linear  Ring  Linear  Ring  Linear  Ring  type  visit  to  String,double  double  double  double  double  e  Polygon,Polygon,empty  polygon  holes  has  Alt,Polygon  Polygon  Polygon  type  get  Number  Of  Holes  get  Polygon  get  Hole  visit  is  Empty  has  Z  to  String  equals  hash  Code,Linear  Ring  List  Linear  Ring  Linear  Ring  int  e  Object,1,1
2,add  Optional  Field,X  Content  Builder  Object  Datafeed  Update,void,,field  get  Preferred  Name,Datafeed  Update,parser  id  query  Delay  frequency  indices  query  aggregations  script  Fields  scroll  Size  chunking  Config  delayed  Data  Check  Config  max  Empty  Searches  indices  Options  Builder  id  query  Delay  frequency  indices  query  aggregations  script  Fields  scroll  Size  chunking  Config  delayed  Data  Check  Config  max  Empty  Searches  indices  Options,parse  Bytes  Datafeed  Update  get  Id  to  X  Content  get  Query  Delay  get  Frequency  get  Indices  get  Scroll  Size  get  Query  get  Aggregations  get  Script  Fields  get  Chunking  Config  get  Delayed  Data  Check  Config  get  Max  Empty  Searches  get  Indices  Options  as  Map  equals  hash  Code  builder  Builder  Builder  set  Indices  set  Indices  set  Query  Delay  set  Frequency  set  Query  set  Query  set  Query  set  Aggregations  set  Aggregations  set  Aggregations  set  Script  Fields  set  Scroll  Size  set  Chunking  Config  set  Delayed  Data  Check  Config  set  Max  Empty  Searches  set  Indices  Options  build  x  Content  To  Bytes,X  Content  Parser  String  Time  Value  Time  Value  List  String  Bytes  Reference  Bytes  Reference  List  Search  Source  Builder  Script  Field  Integer  Chunking  Config  Delayed  Data  Check  Config  Integer  Indices  Options  X  Content  Builder  Params  Bytes  Reference  Object  String  String  Datafeed  Update  List  String  String  Time  Value  Time  Value  Bytes  Reference  String  Query  Builder  Bytes  Reference  String  Aggregator  Factories  Builder  List  Search  Source  Builder  Script  Field  int  Chunking  Config  Delayed  Data  Check  Config  int  Indices  Options  To  X  Content  Object,Parse  Field,name  deprecated  Names  all  Replaced  With  all  Names  fully  Deprecated  empty  Common  Fields  field  fields  format  missing  time  zone,Parse  Field  get  Preferred  Name  get  All  Names  Included  Deprecated  with  Deprecation  with  All  Deprecated  with  All  Deprecated  match  match  to  String  get  All  Replaced  With  get  Deprecated  Names,String  String  String  String  String  Deprecation  Handler  String  Supplier  X  Content  Location  String  Deprecation  Handler  X  Content  Builder  Object  Datafeed  Update,0,0
3,add  Optional  Field,X  Content  Builder  Object  Datafeed  Update,void,,field  get  Preferred  Name,Parse  Field,name  deprecated  Names  all  Replaced  With  all  Names  fully  Deprecated  empty  Common  Fields  field  fields  format  missing  time  zone,Parse  Field  get  Preferred  Name  get  All  Names  Included  Deprecated  with  Deprecation  with  All  Deprecated  with  All  Deprecated  match  match  to  String  get  All  Replaced  With  get  Deprecated  Names,String  String  String  String  String  Deprecation  Handler  String  Supplier  X  Content  Location  String  Deprecation  Handler  X  Content  Builder  Object  Datafeed  Update,Datafeed  Update,parser  id  query  Delay  frequency  indices  query  aggregations  script  Fields  scroll  Size  chunking  Config  delayed  Data  Check  Config  max  Empty  Searches  indices  Options  Builder  id  query  Delay  frequency  indices  query  aggregations  script  Fields  scroll  Size  chunking  Config  delayed  Data  Check  Config  max  Empty  Searches  indices  Options,parse  Bytes  Datafeed  Update  get  Id  to  X  Content  get  Query  Delay  get  Frequency  get  Indices  get  Scroll  Size  get  Query  get  Aggregations  get  Script  Fields  get  Chunking  Config  get  Delayed  Data  Check  Config  get  Max  Empty  Searches  get  Indices  Options  as  Map  equals  hash  Code  builder  Builder  Builder  set  Indices  set  Indices  set  Query  Delay  set  Frequency  set  Query  set  Query  set  Query  set  Aggregations  set  Aggregations  set  Aggregations  set  Script  Fields  set  Scroll  Size  set  Chunking  Config  set  Delayed  Data  Check  Config  set  Max  Empty  Searches  set  Indices  Options  build  x  Content  To  Bytes,X  Content  Parser  String  Time  Value  Time  Value  List  String  Bytes  Reference  Bytes  Reference  List  Search  Source  Builder  Script  Field  Integer  Chunking  Config  Delayed  Data  Check  Config  Integer  Indices  Options  X  Content  Builder  Params  Bytes  Reference  Object  String  String  Datafeed  Update  List  String  String  Time  Value  Time  Value  Bytes  Reference  String  Query  Builder  Bytes  Reference  String  Aggregator  Factories  Builder  List  Search  Source  Builder  Script  Field  int  Chunking  Config  Delayed  Data  Check  Config  int  Indices  Options  To  X  Content  Object,1,1
4,add  Optional  Field,X  Content  Builder  Parse  Field  Object,void,,field  get  Preferred  Name,Tree  Node,name  decision  type  threshold  left  child  right  child  default  left  split  feature  node  index  split  gain  leaf  value  number  samples  parser  operator  threshold  split  Feature  node  Index  split  Gain  leaf  Value  default  Left  left  Child  right  Child  number  Samples  Builder  operator  threshold  split  Feature  node  Index  split  Gain  leaf  Value  default  Left  left  Child  right  Child  number  Samples,from  X  Content  Tree  Node  get  Operator  get  Threshold  get  Split  Feature  get  Node  Index  get  Split  Gain  get  Leaf  Value  is  Default  Left  get  Left  Child  get  Right  Child  get  Number  Samples  to  X  Content  equals  hash  Code  to  String  builder  Builder  Builder  set  Operator  set  Threshold  set  Split  Feature  set  Node  Index  set  Split  Gain  set  Leaf  Value  set  Default  Left  set  Left  Child  get  Left  Child  set  Right  Child  get  Right  Child  set  Number  Samples  build,X  Content  Parser  Operator  Double  Integer  int  Double  List  Double  Boolean  Integer  Integer  Long  X  Content  Builder  Params  X  Content  Builder  Parse  Field  Object  Object  int  int  Operator  Double  Integer  int  Double  List  Double  Boolean  Integer  Integer  Long,Parse  Field,name  deprecated  Names  all  Replaced  With  all  Names  fully  Deprecated  empty  Common  Fields  field  fields  format  missing  time  zone,Parse  Field  get  Preferred  Name  get  All  Names  Included  Deprecated  with  Deprecation  with  All  Deprecated  with  All  Deprecated  match  match  to  String  get  All  Replaced  With  get  Deprecated  Names,String  String  String  String  String  Deprecation  Handler  String  Supplier  X  Content  Location  String  Deprecation  Handler  X  Content  Builder  Object  Datafeed  Update,0,0
5,add  Optional  Field,X  Content  Builder  Parse  Field  Object,void,,field  get  Preferred  Name,Parse  Field,name  deprecated  Names  all  Replaced  With  all  Names  fully  Deprecated  empty  Common  Fields  field  fields  format  missing  time  zone,Parse  Field  get  Preferred  Name  get  All  Names  Included  Deprecated  with  Deprecation  with  All  Deprecated  with  All  Deprecated  match  match  to  String  get  All  Replaced  With  get  Deprecated  Names,String  String  String  String  String  Deprecation  Handler  String  Supplier  X  Content  Location  String  Deprecation  Handler  X  Content  Builder  Object  Datafeed  Update,Tree  Node,name  decision  type  threshold  left  child  right  child  default  left  split  feature  node  index  split  gain  leaf  value  number  samples  parser  operator  threshold  split  Feature  node  Index  split  Gain  leaf  Value  default  Left  left  Child  right  Child  number  Samples  Builder  operator  threshold  split  Feature  node  Index  split  Gain  leaf  Value  default  Left  left  Child  right  Child  number  Samples,from  X  Content  Tree  Node  get  Operator  get  Threshold  get  Split  Feature  get  Node  Index  get  Split  Gain  get  Leaf  Value  is  Default  Left  get  Left  Child  get  Right  Child  get  Number  Samples  to  X  Content  equals  hash  Code  to  String  builder  Builder  Builder  set  Operator  set  Threshold  set  Split  Feature  set  Node  Index  set  Split  Gain  set  Leaf  Value  set  Default  Left  set  Left  Child  get  Left  Child  set  Right  Child  get  Right  Child  set  Number  Samples  build,X  Content  Parser  Operator  Double  Integer  int  Double  List  Double  Boolean  Integer  Integer  Long  X  Content  Builder  Params  X  Content  Builder  Parse  Field  Object  Object  int  int  Operator  Double  Integer  int  Double  List  Double  Boolean  Integer  Integer  Long,1,0
6,add  Max  Index  Age  Condition,Rollover  Request,Rollover  Request,,contains  Key  get  Conditions  name  name  put  get  Conditions  name,Rollover  Request,alias  new  Index  Name  dry  Run  conditions  create  Index  Request,Rollover  Request  get  Alias  get  New  Index  Name  dry  Run  is  Dry  Run  add  Max  Index  Docs  Condition  add  Max  Index  Size  Condition  get  Conditions  get  Create  Index  Request  to  X  Content,String  String  boolean  long  Byte  Size  Value  X  Content  Builder  Params,Time  Value,nsec  per  msec  minus  one  zero  c  c  c  c  c  c  c  duration  time  Unit,Time  Value  Time  Value  time  Value  Nanos  time  Value  Millis  time  Value  Seconds  time  Value  Minutes  time  Value  Hours  time  Value  Days  time  Unit  duration  nanos  get  Nanos  micros  get  Micros  millis  get  Millis  seconds  get  Seconds  minutes  get  Minutes  hours  get  Hours  days  get  Days  micros  Frac  get  Micros  Frac  millis  Frac  get  Millis  Frac  seconds  Frac  get  Seconds  Frac  minutes  Frac  get  Minutes  Frac  hours  Frac  get  Hours  Frac  days  Frac  get  Days  Frac  to  String  to  Human  Readable  String  format  Decimal  get  String  Rep  parse  Time  Value  parse  Time  Value  parse  equals  hash  Code  nsec  To  M  Sec  compare  To,long  long  Time  Unit  long  long  long  long  long  long  int  double  int  String  String  String  Time  Value  String  String  String  String  String  Object  long  Time  Value  Rollover  Request,0,0
7,add  Max  Index  Age  Condition,Rollover  Request,Rollover  Request,,contains  Key  get  Conditions  name  name  put  get  Conditions  name,Time  Value,nsec  per  msec  minus  one  zero  c  c  c  c  c  c  c  duration  time  Unit,Time  Value  Time  Value  time  Value  Nanos  time  Value  Millis  time  Value  Seconds  time  Value  Minutes  time  Value  Hours  time  Value  Days  time  Unit  duration  nanos  get  Nanos  micros  get  Micros  millis  get  Millis  seconds  get  Seconds  minutes  get  Minutes  hours  get  Hours  days  get  Days  micros  Frac  get  Micros  Frac  millis  Frac  get  Millis  Frac  seconds  Frac  get  Seconds  Frac  minutes  Frac  get  Minutes  Frac  hours  Frac  get  Hours  Frac  days  Frac  get  Days  Frac  to  String  to  Human  Readable  String  format  Decimal  get  String  Rep  parse  Time  Value  parse  Time  Value  parse  equals  hash  Code  nsec  To  M  Sec  compare  To,long  long  Time  Unit  long  long  long  long  long  long  int  double  int  String  String  String  Time  Value  String  String  String  String  String  Object  long  Time  Value  Rollover  Request,Rollover  Request,alias  new  Index  Name  dry  Run  conditions  create  Index  Request,Rollover  Request  get  Alias  get  New  Index  Name  dry  Run  is  Dry  Run  add  Max  Index  Docs  Condition  add  Max  Index  Size  Condition  get  Conditions  get  Create  Index  Request  to  X  Content,String  String  boolean  long  Byte  Size  Value  X  Content  Builder  Params,1,1
8,add  Max  Index  Size  Condition,Byte  Size  Value,Rollover  Request,conditions  conditions,contains  Key  name  put  name,Rollover  Request,alias  new  Index  Name  dry  Run  conditions  create  Index  Request,Rollover  Request  get  Alias  get  New  Index  Name  dry  Run  is  Dry  Run  add  Max  Index  Docs  Condition  get  Conditions  get  Create  Index  Request  to  X  Content,String  String  boolean  long  Byte  Size  Value  X  Content  Builder  Params,Byte  Size  Value,Deprecation  Logger  Holder  deprecation  Logger  zero  size  unit,validate  Total  Circuit  Breaker  Limit  Byte  Size  Value  write  To  Byte  Size  Value  Byte  Size  Value  get  Size  get  Unit  bytes  As  Int  get  Bytes  get  Kb  get  Mb  get  Gb  get  Tb  get  Pb  get  Kb  Frac  get  Mb  Frac  get  Gb  Frac  get  Tb  Frac  get  Pb  Frac  get  String  Rep  to  String  parse  Bytes  Size  Value  parse  Bytes  Size  Value  parse  equals  hash  Code  compare  To  to  X  Content,Hierarchy  Circuit  Breaker  Service  Stream  Input  Stream  Output  long  long  Byte  Size  Unit  String  String  String  Byte  Size  Value  String  String  String  String  Byte  Size  Unit  String  Object  Byte  Size  Value  X  Content  Builder  Params,0,0
9,add  Max  Index  Size  Condition,Byte  Size  Value,Rollover  Request,conditions  conditions,contains  Key  name  put  name,Byte  Size  Value,Deprecation  Logger  Holder  deprecation  Logger  zero  size  unit,validate  Total  Circuit  Breaker  Limit  Byte  Size  Value  write  To  Byte  Size  Value  Byte  Size  Value  get  Size  get  Unit  bytes  As  Int  get  Bytes  get  Kb  get  Mb  get  Gb  get  Tb  get  Pb  get  Kb  Frac  get  Mb  Frac  get  Gb  Frac  get  Tb  Frac  get  Pb  Frac  get  String  Rep  to  String  parse  Bytes  Size  Value  parse  Bytes  Size  Value  parse  equals  hash  Code  compare  To  to  X  Content,Hierarchy  Circuit  Breaker  Service  Stream  Input  Stream  Output  long  long  Byte  Size  Unit  String  String  String  Byte  Size  Value  String  String  String  String  Byte  Size  Unit  String  Object  Byte  Size  Value  X  Content  Builder  Params,Rollover  Request,alias  new  Index  Name  dry  Run  conditions  create  Index  Request,Rollover  Request  get  Alias  get  New  Index  Name  dry  Run  is  Dry  Run  add  Max  Index  Docs  Condition  get  Conditions  get  Create  Index  Request  to  X  Content,String  String  boolean  long  Byte  Size  Value  X  Content  Builder  Params,1,0
10,alias,Alias,Create  Index  Request,aliases,add,Create  Index  Request,mappings  settings  aliases  index  settings  mappings  mappings  X  Content  Type  aliases  wait  For  Active  Shards,Create  Index  Request  index  settings  settings  settings  settings  settings  settings  mappings  mappings  X  Content  Type  mapping  mapping  mapping  mapping  aliases  aliases  aliases  aliases  aliases  source  source  source  source  wait  For  Active  Shards  wait  For  Active  Shards  to  X  Content  inner  To  X  Content,String  Settings  Builder  Settings  String  X  Content  Type  X  Content  Builder    String  X  Content  Type  X  Content  Builder    Bytes  Reference  X  Content  Type    X  Content  Builder  String  X  Content  Type  Alias  Collection  Alias  String  X  Content  Type  X  Content  Builder  Bytes  Reference  X  Content  Type    Active  Shard  Count  X  Content  Builder  Params  X  Content  Builder  Params,Alias,filter  routing  index  routing  search  routing  is  write  index  is  hidden  name  filter  index  Routing  search  Routing  write  Index  is  Hidden,Alias  Alias  name  filter  filter  filter  filter  routing  index  Routing  index  Routing  search  Routing  search  Routing  write  Index  write  Index  is  Hidden  is  Hidden  write  To  from  X  Content  to  X  Content  to  String  equals  hash  Code,Stream  Input  String  String  Object  Query  Builder  String  String  String  Boolean  Boolean  Stream  Output  X  Content  Parser  X  Content  Builder  Params  Object  Put  Index  Template  Request,0,0
11,alias,Alias,Create  Index  Request,aliases,add,Alias,filter  routing  index  routing  search  routing  is  write  index  is  hidden  name  filter  index  Routing  search  Routing  write  Index  is  Hidden,Alias  Alias  name  filter  filter  filter  filter  routing  index  Routing  index  Routing  search  Routing  search  Routing  write  Index  write  Index  is  Hidden  is  Hidden  write  To  from  X  Content  to  X  Content  to  String  equals  hash  Code,Stream  Input  String  String  Object  Query  Builder  String  String  String  Boolean  Boolean  Stream  Output  X  Content  Parser  X  Content  Builder  Params  Object  Put  Index  Template  Request,Create  Index  Request,mappings  settings  aliases  index  settings  mappings  mappings  X  Content  Type  aliases  wait  For  Active  Shards,Create  Index  Request  index  settings  settings  settings  settings  settings  settings  mappings  mappings  X  Content  Type  mapping  mapping  mapping  mapping  aliases  aliases  aliases  aliases  aliases  source  source  source  source  wait  For  Active  Shards  wait  For  Active  Shards  to  X  Content  inner  To  X  Content,String  Settings  Builder  Settings  String  X  Content  Type  X  Content  Builder    String  X  Content  Type  X  Content  Builder    Bytes  Reference  X  Content  Type    X  Content  Builder  String  X  Content  Type  Alias  Collection  Alias  String  X  Content  Type  X  Content  Builder  Bytes  Reference  X  Content  Type    Active  Shard  Count  X  Content  Builder  Params  X  Content  Builder  Params,1,0
