id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
0,with  Link  Type,Resolved  Link,Resolved  Link,,get  Link  Type  get  Url  get  Attributes  get  Status,Resolved  Link,my  Link  Type  my  Url  my  Status  my  Attributes,Resolved  Link  Resolved  Link  get  Attributes  get  Non  Null  Attributes  Resolved  Link  with  Status  get  Link  Type  get  Status  with  Url  get  Url  get  Page  Ref  get  Anchor  Ref  with  Title  get  Title  with  Target  get  Target  equals  hash  Code,Link  Type  Char  Sequence  Link  Type  Char  Sequence  Attributes  Link  Type  Char  Sequence  Attributes  Link  Status  Link  Status  Char  Sequence  Char  Sequence  Char  Sequence  Object,Link  Type,link  image  link  ref  image  ref  my  Name,Link  Type  get  Name  equals  hash  Code,String  Object  Resolved  Link,0,0
1,with  Link  Type,Resolved  Link,Resolved  Link,,get  Link  Type  get  Url  get  Attributes  get  Status,Link  Type,link  image  link  ref  image  ref  my  Name,Link  Type  get  Name  equals  hash  Code,String  Object  Resolved  Link,Resolved  Link,my  Link  Type  my  Url  my  Status  my  Attributes,Resolved  Link  Resolved  Link  get  Attributes  get  Non  Null  Attributes  Resolved  Link  with  Status  get  Link  Type  get  Status  with  Url  get  Url  get  Page  Ref  get  Anchor  Ref  with  Title  get  Title  with  Target  get  Target  equals  hash  Code,Link  Type  Char  Sequence  Link  Type  Char  Sequence  Attributes  Link  Type  Char  Sequence  Attributes  Link  Status  Link  Status  Char  Sequence  Char  Sequence  Char  Sequence  Object,1,1
2,with  Status,Link  Status,Resolved  Link,my  Status,,Resolved  Link,my  Link  Type  my  Url  my  Status  my  Attributes,Resolved  Link  Resolved  Link  get  Attributes  get  Non  Null  Attributes  Resolved  Link  get  Link  Type  get  Status  with  Url  get  Url  get  Page  Ref  get  Anchor  Ref  with  Title  get  Title  with  Target  get  Target  equals  hash  Code,Link  Type  Char  Sequence  Link  Type  Char  Sequence  Attributes  Link  Type  Char  Sequence  Attributes  Link  Status  Link  Status  Char  Sequence  Char  Sequence  Char  Sequence  Object,Link  Status,unknown  valid  invalid  unchecked  not  found  my  Name,Link  Status  get  Name  equals  hash  Code  is  Status,String  Object  Char  Sequence  Resolved  Content,0,0
3,with  Status,Link  Status,Resolved  Link,my  Status,,Link  Status,unknown  valid  invalid  unchecked  not  found  my  Name,Link  Status  get  Name  equals  hash  Code  is  Status,String  Object  Char  Sequence  Resolved  Content,Resolved  Link,my  Link  Type  my  Url  my  Status  my  Attributes,Resolved  Link  Resolved  Link  get  Attributes  get  Non  Null  Attributes  Resolved  Link  get  Link  Type  get  Status  with  Url  get  Url  get  Page  Ref  get  Anchor  Ref  with  Title  get  Title  with  Target  get  Target  equals  hash  Code,Link  Type  Char  Sequence  Link  Type  Char  Sequence  Attributes  Link  Type  Char  Sequence  Attributes  Link  Status  Link  Status  Char  Sequence  Char  Sequence  Char  Sequence  Object,1,0
4,with  Status,Resolved  Content,Resolved  Content,,get  Status  get  Resolved  Link  get  Content,Resolved  Content,resolved  Link  status  content,Resolved  Content  with  Content  get  Resolved  Link  get  Status  get  Content  equals  hash  Code,Resolved  Link  Link  Status  byte  byte  Object,Link  Status,unknown  valid  invalid  unchecked  not  found  my  Name,Link  Status  get  Name  equals  hash  Code  is  Status,String  Object  Char  Sequence  Resolved  Content,0,0
5,with  Status,Resolved  Content,Resolved  Content,,get  Status  get  Resolved  Link  get  Content,Link  Status,unknown  valid  invalid  unchecked  not  found  my  Name,Link  Status  get  Name  equals  hash  Code  is  Status,String  Object  Char  Sequence  Resolved  Content,Resolved  Content,resolved  Link  status  content,Resolved  Content  with  Content  get  Resolved  Link  get  Status  get  Content  equals  hash  Code,Resolved  Link  Link  Status  byte  byte  Object,1,1
6,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,Data  Holder  Document  Node  Renderer  Context  Html  Writer  Block  Quote  Node  Renderer  Context  Html  Writer  Fenced  Code  Block  Node  Renderer  Context  Html  Writer  Thematic  Break  Node  Renderer  Context  Html  Writer  Indented  Code  Block  Node  Renderer  Context  Html  Writer  Code  Block  Node  Renderer  Context  Html  Writer  Bullet  List  Node  Renderer  Context  Html  Writer  Ordered  List  Node  Renderer  Context  Html  Writer  Bullet  List  Item  Node  Renderer  Context  Html  Writer  Ordered  List  Item  Node  Renderer  Context  Html  Writer  List  Item  Node  Renderer  Context  Html  Writer  Paragraph  Node  Renderer  Context  Html  Writer  boolean  Node  Node  Node  Html  Writer  Node  Html  Writer  boolean  Paragraph  Node  Renderer  Context  Html  Writer  Paragraph  Node  Renderer  Context  Html  Writer  String  String  Node  Node  Renderer  Context  Html  Writer  Soft  Line  Break  Node  Renderer  Context  Html  Writer  Hard  Line  Break  Node  Renderer  Context  Html  Writer  Emphasis  Node  Renderer  Context  Html  Writer  Strong  Emphasis  Node  Renderer  Context  Html  Writer  Text  Node  Renderer  Context  Html  Writer  Text  Base  Node  Renderer  Context  Html  Writer  Code  Node  Renderer  Context  Html  Writer  Html  Block  Node  Renderer  Context  Html  Writer  Html  Comment  Block  Node  Renderer  Context  Html  Writer  Html  Inner  Block  Node  Renderer  Context  Html  Writer  Html  Inner  Block  Comment  Node  Renderer  Context  Html  Writer  Html  Block  Base  Node  Renderer  Context  Html  Writer  boolean  boolean  boolean  Html  Inline  Node  Renderer  Context  Html  Writer  Html  Inline  Comment  Node  Renderer  Context  Html  Writer  Html  Inline  Base  Node  Renderer  Context  Html  Writer  boolean  boolean  Reference  Node  Renderer  Context  Html  Writer  Html  Entity  Node  Renderer  Context  Html  Writer  Char  Sequence  Node  Renderer  Context  Auto  Link  Node  Renderer  Context  Html  Writer  Mail  Link  Node  Renderer  Context  Html  Writer  Image  Node  Renderer  Context  Html  Writer  Link  Node  Renderer  Context  Html  Writer  Node  Based  Sequence  Node  Renderer  Context  Html  Writer  Image  Ref  Node  Renderer  Context  Html  Writer  Link  Ref  Node  Renderer  Context  Html  Writer  Data  Holder,Heading,level  opening  Marker  text  closing  Marker  anchor  Ref  Id  explicit  Anchor  Ref  Id,get  Ast  Extra  get  Segments  get  Anchor  Ref  Text  get  Anchor  Ref  Id  set  Anchor  Ref  Id  is  Explicit  Anchor  Ref  Id  set  Explicit  Anchor  Ref  Id  Heading  Heading  Heading  Heading  is  Atx  Heading  is  Setext  Heading  get  Opening  Marker  set  Opening  Marker  get  Text  set  Text  get  Closing  Marker  set  Closing  Marker  get  Level  set  Level,String  Builder  String  boolean  Based  Sequence  Based  Sequence  List  Based  Sequence  Block  Content  Based  Sequence  Based  Sequence  Based  Sequence  int  Node  Renderer  Context  Html  Writer  Core  Node  Renderer,0,0
7,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Heading,level  opening  Marker  text  closing  Marker  anchor  Ref  Id  explicit  Anchor  Ref  Id,get  Ast  Extra  get  Segments  get  Anchor  Ref  Text  get  Anchor  Ref  Id  set  Anchor  Ref  Id  is  Explicit  Anchor  Ref  Id  set  Explicit  Anchor  Ref  Id  Heading  Heading  Heading  Heading  is  Atx  Heading  is  Setext  Heading  get  Opening  Marker  set  Opening  Marker  get  Text  set  Text  get  Closing  Marker  set  Closing  Marker  get  Level  set  Level,String  Builder  String  boolean  Based  Sequence  Based  Sequence  List  Based  Sequence  Block  Content  Based  Sequence  Based  Sequence  Based  Sequence  int  Node  Renderer  Context  Html  Writer  Core  Node  Renderer,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,Data  Holder  Document  Node  Renderer  Context  Html  Writer  Block  Quote  Node  Renderer  Context  Html  Writer  Fenced  Code  Block  Node  Renderer  Context  Html  Writer  Thematic  Break  Node  Renderer  Context  Html  Writer  Indented  Code  Block  Node  Renderer  Context  Html  Writer  Code  Block  Node  Renderer  Context  Html  Writer  Bullet  List  Node  Renderer  Context  Html  Writer  Ordered  List  Node  Renderer  Context  Html  Writer  Bullet  List  Item  Node  Renderer  Context  Html  Writer  Ordered  List  Item  Node  Renderer  Context  Html  Writer  List  Item  Node  Renderer  Context  Html  Writer  Paragraph  Node  Renderer  Context  Html  Writer  boolean  Node  Node  Node  Html  Writer  Node  Html  Writer  boolean  Paragraph  Node  Renderer  Context  Html  Writer  Paragraph  Node  Renderer  Context  Html  Writer  String  String  Node  Node  Renderer  Context  Html  Writer  Soft  Line  Break  Node  Renderer  Context  Html  Writer  Hard  Line  Break  Node  Renderer  Context  Html  Writer  Emphasis  Node  Renderer  Context  Html  Writer  Strong  Emphasis  Node  Renderer  Context  Html  Writer  Text  Node  Renderer  Context  Html  Writer  Text  Base  Node  Renderer  Context  Html  Writer  Code  Node  Renderer  Context  Html  Writer  Html  Block  Node  Renderer  Context  Html  Writer  Html  Comment  Block  Node  Renderer  Context  Html  Writer  Html  Inner  Block  Node  Renderer  Context  Html  Writer  Html  Inner  Block  Comment  Node  Renderer  Context  Html  Writer  Html  Block  Base  Node  Renderer  Context  Html  Writer  boolean  boolean  boolean  Html  Inline  Node  Renderer  Context  Html  Writer  Html  Inline  Comment  Node  Renderer  Context  Html  Writer  Html  Inline  Base  Node  Renderer  Context  Html  Writer  boolean  boolean  Reference  Node  Renderer  Context  Html  Writer  Html  Entity  Node  Renderer  Context  Html  Writer  Char  Sequence  Node  Renderer  Context  Auto  Link  Node  Renderer  Context  Html  Writer  Mail  Link  Node  Renderer  Context  Html  Writer  Image  Node  Renderer  Context  Html  Writer  Link  Node  Renderer  Context  Html  Writer  Node  Based  Sequence  Node  Renderer  Context  Html  Writer  Image  Ref  Node  Renderer  Context  Html  Writer  Link  Ref  Node  Renderer  Context  Html  Writer  Data  Holder,1,1
8,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,Data  Holder  Document  Node  Renderer  Context  Html  Writer  Block  Quote  Node  Renderer  Context  Html  Writer  Fenced  Code  Block  Node  Renderer  Context  Html  Writer  Thematic  Break  Node  Renderer  Context  Html  Writer  Indented  Code  Block  Node  Renderer  Context  Html  Writer  Code  Block  Node  Renderer  Context  Html  Writer  Bullet  List  Node  Renderer  Context  Html  Writer  Ordered  List  Node  Renderer  Context  Html  Writer  Bullet  List  Item  Node  Renderer  Context  Html  Writer  Ordered  List  Item  Node  Renderer  Context  Html  Writer  List  Item  Node  Renderer  Context  Html  Writer  Paragraph  Node  Renderer  Context  Html  Writer  boolean  Node  Node  Node  Html  Writer  Node  Html  Writer  boolean  Paragraph  Node  Renderer  Context  Html  Writer  Paragraph  Node  Renderer  Context  Html  Writer  String  String  Node  Node  Renderer  Context  Html  Writer  Soft  Line  Break  Node  Renderer  Context  Html  Writer  Hard  Line  Break  Node  Renderer  Context  Html  Writer  Emphasis  Node  Renderer  Context  Html  Writer  Strong  Emphasis  Node  Renderer  Context  Html  Writer  Text  Node  Renderer  Context  Html  Writer  Text  Base  Node  Renderer  Context  Html  Writer  Code  Node  Renderer  Context  Html  Writer  Html  Block  Node  Renderer  Context  Html  Writer  Html  Comment  Block  Node  Renderer  Context  Html  Writer  Html  Inner  Block  Node  Renderer  Context  Html  Writer  Html  Inner  Block  Comment  Node  Renderer  Context  Html  Writer  Html  Block  Base  Node  Renderer  Context  Html  Writer  boolean  boolean  boolean  Html  Inline  Node  Renderer  Context  Html  Writer  Html  Inline  Comment  Node  Renderer  Context  Html  Writer  Html  Inline  Base  Node  Renderer  Context  Html  Writer  boolean  boolean  Reference  Node  Renderer  Context  Html  Writer  Html  Entity  Node  Renderer  Context  Html  Writer  Char  Sequence  Node  Renderer  Context  Auto  Link  Node  Renderer  Context  Html  Writer  Mail  Link  Node  Renderer  Context  Html  Writer  Image  Node  Renderer  Context  Html  Writer  Link  Node  Renderer  Context  Html  Writer  Node  Based  Sequence  Node  Renderer  Context  Html  Writer  Image  Ref  Node  Renderer  Context  Html  Writer  Link  Ref  Node  Renderer  Context  Html  Writer  Data  Holder,Html  Writer,context  use  Attributes,Html  Writer  Html  Writer  Html  Writer  Html  Writer  set  Context  get  Context  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  with  Attr  with  Attr  with  Attr  with  Attr  tag,int  int  Html  Writer  boolean  int  int  boolean  boolean  Appendable  int  int  boolean  boolean  Node  Renderer  Context  Based  Sequence  Based  Sequence  Based  Sequence  int  int  Attributable  Part  Link  Status  Resolved  Link  Char  Sequence  boolean,0,0
9,render,Node  Renderer  Context  Html  Writer  Core  Node  Renderer,void,render  Header  Id  source  Position  Paragraph  Lines,get  Html  Options  get  Node  Id  attr  get  Html  Options  tag  Line  with  Attr  src  Pos  get  Chars  get  Level  tag  with  Attr  src  Pos  get  Text  render  Children  tag  tag  Line  with  Attr  src  Pos  get  Text  get  Level  render  Children,Html  Writer,context  use  Attributes,Html  Writer  Html  Writer  Html  Writer  Html  Writer  set  Context  get  Context  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  src  Pos  With  E  O  L  src  Pos  With  Trailing  E  O  L  src  Pos  with  Attr  with  Attr  with  Attr  with  Attr  tag,int  int  Html  Writer  boolean  int  int  boolean  boolean  Appendable  int  int  boolean  boolean  Node  Renderer  Context  Based  Sequence  Based  Sequence  Based  Sequence  int  int  Attributable  Part  Link  Status  Resolved  Link  Char  Sequence  boolean,Core  Node  Renderer,loose  list  item  tight  list  item  paragraph  line  code  content  list  Options  obfuscate  Email  obfuscate  Email  Random  reference  Repository  recheck  Undefined  References  code  Content  Block  code  Soft  Line  Breaks  my  Lines  my  E  O  Ls  my  Next  Line  next  Line  Start  Offset  Factory,Core  Node  Renderer  get  Node  Rendering  Handlers  render  render  render  render  render  render  render  render  render  render  List  Item  render  Text  Block  Paragraph  Lines  output  Source  Line  Span  output  Next  Line  Break  Span  render  Loose  Paragraph  render  render  Line  Break  render  render  render  render  render  render  render  render  render  render  render  render  Html  Block  render  render  render  Inline  Html  render  render  is  Suppressed  Link  Prefix  render  render  render  render  render  Children  Source  Line  Wrapped  render  render  apply,Data  Holder  Document  Node  Renderer  Context  Html  Writer  Block  Quote  Node  Renderer  Context  Html  Writer  Fenced  Code  Block  Node  Renderer  Context  Html  Writer  Thematic  Break  Node  Renderer  Context  Html  Writer  Indented  Code  Block  Node  Renderer  Context  Html  Writer  Code  Block  Node  Renderer  Context  Html  Writer  Bullet  List  Node  Renderer  Context  Html  Writer  Ordered  List  Node  Renderer  Context  Html  Writer  Bullet  List  Item  Node  Renderer  Context  Html  Writer  Ordered  List  Item  Node  Renderer  Context  Html  Writer  List  Item  Node  Renderer  Context  Html  Writer  Paragraph  Node  Renderer  Context  Html  Writer  boolean  Node  Node  Node  Html  Writer  Node  Html  Writer  boolean  Paragraph  Node  Renderer  Context  Html  Writer  Paragraph  Node  Renderer  Context  Html  Writer  String  String  Node  Node  Renderer  Context  Html  Writer  Soft  Line  Break  Node  Renderer  Context  Html  Writer  Hard  Line  Break  Node  Renderer  Context  Html  Writer  Emphasis  Node  Renderer  Context  Html  Writer  Strong  Emphasis  Node  Renderer  Context  Html  Writer  Text  Node  Renderer  Context  Html  Writer  Text  Base  Node  Renderer  Context  Html  Writer  Code  Node  Renderer  Context  Html  Writer  Html  Block  Node  Renderer  Context  Html  Writer  Html  Comment  Block  Node  Renderer  Context  Html  Writer  Html  Inner  Block  Node  Renderer  Context  Html  Writer  Html  Inner  Block  Comment  Node  Renderer  Context  Html  Writer  Html  Block  Base  Node  Renderer  Context  Html  Writer  boolean  boolean  boolean  Html  Inline  Node  Renderer  Context  Html  Writer  Html  Inline  Comment  Node  Renderer  Context  Html  Writer  Html  Inline  Base  Node  Renderer  Context  Html  Writer  boolean  boolean  Reference  Node  Renderer  Context  Html  Writer  Html  Entity  Node  Renderer  Context  Html  Writer  Char  Sequence  Node  Renderer  Context  Auto  Link  Node  Renderer  Context  Html  Writer  Mail  Link  Node  Renderer  Context  Html  Writer  Image  Node  Renderer  Context  Html  Writer  Link  Node  Renderer  Context  Html  Writer  Node  Based  Sequence  Node  Renderer  Context  Html  Writer  Image  Ref  Node  Renderer  Context  Html  Writer  Link  Ref  Node  Renderer  Context  Html  Writer  Data  Holder,1,0
