id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
0,wrap,Wrapper,Entity,,set  Table  Name  wrap  get  Table  Name  entry  Set  set  wrap  get  Key  get  Value,Wrapper,pre  Wrap  Quote  suf  Wrap  Quote,Wrapper  Wrapper  Wrapper  get  Pre  Wrap  Quote  set  Pre  Wrap  Quote  get  Suf  Wrap  Quote  set  Suf  Wrap  Quote  wrap  wrap  wrap,Character  Character  Character  Character  Character  String  String  Collection  String  Condition,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String,String  t  t  boolean  boolean  t  String  String  boolean  String  Collection  String  String  String  t  t  boolean  boolean  String  String  Object  String  Object  String  String  String  String  String  String  String  Charset  String  Wrapper,0,0
1,wrap,Wrapper,Entity,,set  Table  Name  wrap  get  Table  Name  entry  Set  set  wrap  get  Key  get  Value,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String,String  t  t  boolean  boolean  t  String  String  boolean  String  Collection  String  String  String  t  t  boolean  boolean  String  String  Object  String  Object  String  String  String  String  String  String  String  Charset  String  Wrapper,Wrapper,pre  Wrap  Quote  suf  Wrap  Quote,Wrapper  Wrapper  Wrapper  get  Pre  Wrap  Quote  set  Pre  Wrap  Quote  get  Suf  Wrap  Quote  set  Suf  Wrap  Quote  wrap  wrap  wrap,Character  Character  Character  Character  Character  String  String  Collection  String  Condition,1,1
2,insert,Entity,int,,get  Connection  insert  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Data  Source  Dialect  Connection  String  Object  String  Object  String  Class  T  Object  String  Object  String  Object  String  Object  String  Rs  Handler  T  Object  String  Rs  Handler  T  Object  String  Object  String  Object  String  Object  String  Entity  Entity  String  Collection  Entity  Entity  Entity  String  String  Object  Entity  Entity  Entity  String  String  t  Entity  Collection  String  Entity  Rs  Handler  T  Collection  String  Entity  Entity  Rs  Handler  T  String  Entity  Entity  Class  T  Entity  Entity  Class  T  String  String  String  Object  String  Condition  String  String  String  Like  Type  Entity  Collection  String  Entity  int  int  Rs  Handler  T  Entity  int  int  Rs  Handler  T  Entity  int  int  Entity  Page  Entity  Page  Rs  Handler  T  Collection  String  Entity  Page  Rs  Handler  T  Collection  String  Entity  int  int  Collection  String  Entity  Page  Entity  int  int  Entity  Page  boolean  Sql  Conn  Runner  Character  Wrapper  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,String  t  t  boolean  boolean  t  String  String  boolean  String  Collection  String  String  String  t  t  boolean  boolean  String  String  Object  String  Object  String  String  String  String  String  String  String  Charset  String  Wrapper,0,0
3,insert,Entity,int,,get  Connection  insert  close  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,String  t  t  boolean  boolean  t  String  String  boolean  String  Collection  String  String  String  t  t  boolean  boolean  String  String  Object  String  Object  String  String  String  String  String  String  String  Charset  String  Wrapper,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Data  Source  Dialect  Connection  String  Object  String  Object  String  Class  T  Object  String  Object  String  Object  String  Object  String  Rs  Handler  T  Object  String  Rs  Handler  T  Object  String  Object  String  Object  String  Object  String  Entity  Entity  String  Collection  Entity  Entity  Entity  String  String  Object  Entity  Entity  Entity  String  String  t  Entity  Collection  String  Entity  Rs  Handler  T  Collection  String  Entity  Entity  Rs  Handler  T  String  Entity  Entity  Class  T  Entity  Entity  Class  T  String  String  String  Object  String  Condition  String  String  String  Like  Type  Entity  Collection  String  Entity  int  int  Rs  Handler  T  Entity  int  int  Rs  Handler  T  Entity  int  int  Entity  Page  Entity  Page  Rs  Handler  T  Collection  String  Entity  Page  Rs  Handler  T  Collection  String  Entity  int  int  Collection  String  Entity  Page  Entity  int  int  Entity  Page  boolean  Sql  Conn  Runner  Character  Wrapper  Connection,1,0
4,insert  Or  Update,Entity  String,int,,get  Connection  insert  Or  Update  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Data  Source  Dialect  Connection  String  Object  String  Object  String  Class  T  Object  String  Object  String  Object  String  Object  String  Rs  Handler  T  Object  String  Rs  Handler  T  Object  String  Object  String  Object  String  Object  String  Entity  Entity  String  Collection  Entity  Entity  Entity  String  String  Object  Entity  Entity  Entity  String  String  t  Entity  Collection  String  Entity  Rs  Handler  T  Collection  String  Entity  Entity  Rs  Handler  T  String  Entity  Entity  Class  T  Entity  Entity  Class  T  String  String  String  Object  String  Condition  String  String  String  Like  Type  Entity  Collection  String  Entity  int  int  Rs  Handler  T  Entity  int  int  Rs  Handler  T  Entity  int  int  Entity  Page  Entity  Page  Rs  Handler  T  Collection  String  Entity  Page  Rs  Handler  T  Collection  String  Entity  int  int  Collection  String  Entity  Page  Entity  int  int  Entity  Page  boolean  Sql  Conn  Runner  Character  Wrapper  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,String  t  t  boolean  boolean  t  String  String  boolean  String  Collection  String  String  String  t  t  boolean  boolean  String  String  Object  String  Object  String  String  String  String  String  String  String  Charset  String  Wrapper,0,0
5,insert  Or  Update,Entity  String,int,,get  Connection  insert  Or  Update  close  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,String  t  t  boolean  boolean  t  String  String  boolean  String  Collection  String  String  String  t  t  boolean  boolean  String  String  Object  String  Object  String  String  String  String  String  String  String  Charset  String  Wrapper,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Data  Source  Dialect  Connection  String  Object  String  Object  String  Class  T  Object  String  Object  String  Object  String  Object  String  Rs  Handler  T  Object  String  Rs  Handler  T  Object  String  Object  String  Object  String  Object  String  Entity  Entity  String  Collection  Entity  Entity  Entity  String  String  Object  Entity  Entity  Entity  String  String  t  Entity  Collection  String  Entity  Rs  Handler  T  Collection  String  Entity  Entity  Rs  Handler  T  String  Entity  Entity  Class  T  Entity  Entity  Class  T  String  String  String  Object  String  Condition  String  String  String  Like  Type  Entity  Collection  String  Entity  int  int  Rs  Handler  T  Entity  int  int  Rs  Handler  T  Entity  int  int  Entity  Page  Entity  Page  Rs  Handler  T  Collection  String  Entity  Page  Rs  Handler  T  Collection  String  Entity  int  int  Collection  String  Entity  Page  Entity  int  int  Entity  Page  boolean  Sql  Conn  Runner  Character  Wrapper  Connection,1,0
6,insert  For  Generated  Keys,Entity,List  Object,,get  Connection  insert  For  Generated  Keys  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Data  Source  Dialect  Connection  String  Object  String  Object  String  Class  T  Object  String  Object  String  Object  String  Object  String  Rs  Handler  T  Object  String  Rs  Handler  T  Object  String  Object  String  Object  String  Object  String  Entity  Entity  String  Collection  Entity  Entity  Entity  String  String  Object  Entity  Entity  Entity  String  String  t  Entity  Collection  String  Entity  Rs  Handler  T  Collection  String  Entity  Entity  Rs  Handler  T  String  Entity  Entity  Class  T  Entity  Entity  Class  T  String  String  String  Object  String  Condition  String  String  String  Like  Type  Entity  Collection  String  Entity  int  int  Rs  Handler  T  Entity  int  int  Rs  Handler  T  Entity  int  int  Entity  Page  Entity  Page  Rs  Handler  T  Collection  String  Entity  Page  Rs  Handler  T  Collection  String  Entity  int  int  Collection  String  Entity  Page  Entity  int  int  Entity  Page  boolean  Sql  Conn  Runner  Character  Wrapper  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,String  t  t  boolean  boolean  t  String  String  boolean  String  Collection  String  String  String  t  t  boolean  boolean  String  String  Object  String  Object  String  String  String  String  String  String  String  Charset  String  Wrapper,0,0
7,insert  For  Generated  Keys,Entity,List  Object,,get  Connection  insert  For  Generated  Keys  close  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,String  t  t  boolean  boolean  t  String  String  boolean  String  Collection  String  String  String  t  t  boolean  boolean  String  String  Object  String  Object  String  String  String  String  String  String  String  Charset  String  Wrapper,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Data  Source  Dialect  Connection  String  Object  String  Object  String  Class  T  Object  String  Object  String  Object  String  Object  String  Rs  Handler  T  Object  String  Rs  Handler  T  Object  String  Object  String  Object  String  Object  String  Entity  Entity  String  Collection  Entity  Entity  Entity  String  String  Object  Entity  Entity  Entity  String  String  t  Entity  Collection  String  Entity  Rs  Handler  T  Collection  String  Entity  Entity  Rs  Handler  T  String  Entity  Entity  Class  T  Entity  Entity  Class  T  String  String  String  Object  String  Condition  String  String  String  Like  Type  Entity  Collection  String  Entity  int  int  Rs  Handler  T  Entity  int  int  Rs  Handler  T  Entity  int  int  Entity  Page  Entity  Page  Rs  Handler  T  Collection  String  Entity  Page  Rs  Handler  T  Collection  String  Entity  int  int  Collection  String  Entity  Page  Entity  int  int  Entity  Page  boolean  Sql  Conn  Runner  Character  Wrapper  Connection,1,0
8,insert  For  Generated  Key,Entity,Long,,get  Connection  insert  For  Generated  Key  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Data  Source  Dialect  Connection  String  Object  String  Object  String  Class  T  Object  String  Object  String  Object  String  Object  String  Rs  Handler  T  Object  String  Rs  Handler  T  Object  String  Object  String  Object  String  Object  String  Entity  Entity  String  Collection  Entity  Entity  Entity  String  String  Object  Entity  Entity  Entity  String  String  t  Entity  Collection  String  Entity  Rs  Handler  T  Collection  String  Entity  Entity  Rs  Handler  T  String  Entity  Entity  Class  T  Entity  Entity  Class  T  String  String  String  Object  String  Condition  String  String  String  Like  Type  Entity  Collection  String  Entity  int  int  Rs  Handler  T  Entity  int  int  Rs  Handler  T  Entity  int  int  Entity  Page  Entity  Page  Rs  Handler  T  Collection  String  Entity  Page  Rs  Handler  T  Collection  String  Entity  int  int  Collection  String  Entity  Page  Entity  int  int  Entity  Page  boolean  Sql  Conn  Runner  Character  Wrapper  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,String  t  t  boolean  boolean  t  String  String  boolean  String  Collection  String  String  String  t  t  boolean  boolean  String  String  Object  String  Object  String  String  String  String  String  String  String  Charset  String  Wrapper,0,0
9,insert  For  Generated  Key,Entity,Long,,get  Connection  insert  For  Generated  Key  close  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,String  t  t  boolean  boolean  t  String  String  boolean  String  Collection  String  String  String  t  t  boolean  boolean  String  String  Object  String  Object  String  String  String  String  String  String  String  Charset  String  Wrapper,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Data  Source  Dialect  Connection  String  Object  String  Object  String  Class  T  Object  String  Object  String  Object  String  Object  String  Rs  Handler  T  Object  String  Rs  Handler  T  Object  String  Object  String  Object  String  Object  String  Entity  Entity  String  Collection  Entity  Entity  Entity  String  String  Object  Entity  Entity  Entity  String  String  t  Entity  Collection  String  Entity  Rs  Handler  T  Collection  String  Entity  Entity  Rs  Handler  T  String  Entity  Entity  Class  T  Entity  Entity  Class  T  String  String  String  Object  String  Condition  String  String  String  Like  Type  Entity  Collection  String  Entity  int  int  Rs  Handler  T  Entity  int  int  Rs  Handler  T  Entity  int  int  Entity  Page  Entity  Page  Rs  Handler  T  Collection  String  Entity  Page  Rs  Handler  T  Collection  String  Entity  int  int  Collection  String  Entity  Page  Entity  int  int  Entity  Page  boolean  Sql  Conn  Runner  Character  Wrapper  Connection,1,0
