id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
0,get  Ground  Truth  List  From  Sparse  Matrix,Eval  Context,Recommended  List,,row  Size  add  List  row  column  get  add,Eval  Context,ground  Truth  List  recommended  List  similarity  Matrix  similarities  conf  recommender,Eval  Context  Eval  Context  Eval  Context  Eval  Context  get  Ground  Truth  List  From  Data  Set  get  Ground  Truth  List  From  Sparse  Tensor  get  Ground  Truth  List  set  Ground  Truth  List  get  Recommended  List  set  Recommended  List  get  Similarity  Matrix  set  Similarity  Matrix  get  Similarities  set  Similarities  get  Conf  set  Conf,Configuration  Recommended  List  Sequential  Access  Sparse  Matrix  Symm  Matrix  Recommender  Similarity  Configuration  Recommended  List  Sequential  Access  Sparse  Matrix  Configuration  Recommender  Data  Set  Configuration  Recommender  Data  Set  Symm  Matrix  Recommender  Similarity  Data  Set  Sparse  Tensor  Recommended  List  Recommended  List  Symm  Matrix  Recommender  Similarity  Configuration,Sequential  Access  Sparse  Matrix,serial  Version  U  I  D  row  Matrix  row  To  Column  Position  Map  column  To  Row  Position  Map  column  Indices  Sparse  Matrix  Iterator  matrix  Entry  Sequential  Sparse  Matrix  Entry  row  column  Position  matrix  Entry  Position  temp  Vector,Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  construct  Column  Indices  construct  Map  mean  row  column  view  Row  view  Column  reshape  column  Based  Row  Indices  clone  get  Row  Matrix  get  set  set  At  Column  Position  get  At  Column  Position  set  At  Row  Position  get  At  Row  Position  row  Columns  Cache  load  row  Columns  Set  Cache  load  column  Rows  Cache  load  get  Data  Table  is  Random  Access  get  Num  Entries  iterator  has  Next  next  advance  Offset  get  Matrix  Entry  Position  row  column  get  column  Position  set  row  Position,int  int  int  int  Number  Row  Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  int  int  Data  Frame  Data  Frame  Index  int  int  Row  Sequential  Access  Sparse  Matrix  boolean  Sequential  Access  Sparse  Matrix  boolean  Row  Sequential  Access  Sparse  Matrix  int  int  int  int  int  int  int  int  double  int  int  double  int  int  int  int  double  int  int  String  Integer  String  Integer  String  Integer  Eval  Context  double,0,0
1,get  Ground  Truth  List  From  Sparse  Matrix,Eval  Context,Recommended  List,,row  Size  add  List  row  column  get  add,Sequential  Access  Sparse  Matrix,serial  Version  U  I  D  row  Matrix  row  To  Column  Position  Map  column  To  Row  Position  Map  column  Indices  Sparse  Matrix  Iterator  matrix  Entry  Sequential  Sparse  Matrix  Entry  row  column  Position  matrix  Entry  Position  temp  Vector,Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  construct  Column  Indices  construct  Map  mean  row  column  view  Row  view  Column  reshape  column  Based  Row  Indices  clone  get  Row  Matrix  get  set  set  At  Column  Position  get  At  Column  Position  set  At  Row  Position  get  At  Row  Position  row  Columns  Cache  load  row  Columns  Set  Cache  load  column  Rows  Cache  load  get  Data  Table  is  Random  Access  get  Num  Entries  iterator  has  Next  next  advance  Offset  get  Matrix  Entry  Position  row  column  get  column  Position  set  row  Position,int  int  int  int  Number  Row  Sequential  Access  Sparse  Matrix  Sequential  Access  Sparse  Matrix  int  int  Data  Frame  Data  Frame  Index  int  int  Row  Sequential  Access  Sparse  Matrix  boolean  Sequential  Access  Sparse  Matrix  boolean  Row  Sequential  Access  Sparse  Matrix  int  int  int  int  int  int  int  int  double  int  int  double  int  int  int  int  double  int  int  String  Integer  String  Integer  String  Integer  Eval  Context  double,Eval  Context,ground  Truth  List  recommended  List  similarity  Matrix  similarities  conf  recommender,Eval  Context  Eval  Context  Eval  Context  Eval  Context  get  Ground  Truth  List  From  Data  Set  get  Ground  Truth  List  From  Sparse  Tensor  get  Ground  Truth  List  set  Ground  Truth  List  get  Recommended  List  set  Recommended  List  get  Similarity  Matrix  set  Similarity  Matrix  get  Similarities  set  Similarities  get  Conf  set  Conf,Configuration  Recommended  List  Sequential  Access  Sparse  Matrix  Symm  Matrix  Recommender  Similarity  Configuration  Recommended  List  Sequential  Access  Sparse  Matrix  Configuration  Recommender  Data  Set  Configuration  Recommender  Data  Set  Symm  Matrix  Recommender  Similarity  Data  Set  Sparse  Tensor  Recommended  List  Recommended  List  Symm  Matrix  Recommender  Similarity  Configuration,1,1
2,get  Ground  Truth  List  From  Sparse  Tensor,Sparse  Tensor,Recommended  List,,get  User  Dimension  get  Item  Dimension  dimensions  add  List  key  key  get  add,Eval  Context,ground  Truth  List  recommended  List  similarity  Matrix  similarities  conf  recommender,Eval  Context  Eval  Context  Eval  Context  Eval  Context  get  Ground  Truth  List  From  Data  Set  get  Ground  Truth  List  set  Ground  Truth  List  get  Recommended  List  set  Recommended  List  get  Similarity  Matrix  set  Similarity  Matrix  get  Similarities  set  Similarities  get  Conf  set  Conf,Configuration  Recommended  List  Sequential  Access  Sparse  Matrix  Symm  Matrix  Recommender  Similarity  Configuration  Recommended  List  Sequential  Access  Sparse  Matrix  Configuration  Recommender  Data  Set  Configuration  Recommender  Data  Set  Symm  Matrix  Recommender  Similarity  Data  Set  Sparse  Tensor  Recommended  List  Recommended  List  Symm  Matrix  Recommender  Similarity  Configuration,Sparse  Tensor,log  serial  Version  U  I  D  Tensor  Iterator  index  entry  Sparse  Tensor  Entry  index  num  Dimensions  dimensions  nd  Keys  values  key  Indices  indexed  Dimensions  indexed  Dimensions  Set  user  Dimension  item  Dimension,has  Next  next  remove  update  key  get  set  remove  to  String  keys  Sparse  Tensor  Sparse  Tensor  clone  add  set  remove  get  Indices  get  Target  Key  From  Sub  Key  find  Index  fiber  contains  is  Indexed  is  Cubical  is  Diagonal  get  shuffle  build  Index  build  Indices  get  Index  keys  key  value  get  Relevant  Keys  size  slice  matricization  mode  Product  mode  Product  rate  Matrix  iterator  norm  mean  inner  Product  is  Dim  Match  get  User  Dimension  get  Index  Dimension  set  User  Dimension  get  Item  Dimension  set  Item  Dimension  dimensions  num  Dimensions  to  String  main,int  int  double  int  int  List  Integer  List  Double  double  int  double  int  int  int  int  Integer  int  int  int  int  int  int  int  int  int  int  int  int  int  int  int  int  int  int  int  int  Dense  Matrix  int  Dense  Vector  int  Sparse  Tensor  Sparse  Tensor  int  int  int  String,0,0
3,get  Ground  Truth  List  From  Sparse  Tensor,Sparse  Tensor,Recommended  List,,get  User  Dimension  get  Item  Dimension  dimensions  add  List  key  key  get  add,Sparse  Tensor,log  serial  Version  U  I  D  Tensor  Iterator  index  entry  Sparse  Tensor  Entry  index  num  Dimensions  dimensions  nd  Keys  values  key  Indices  indexed  Dimensions  indexed  Dimensions  Set  user  Dimension  item  Dimension,has  Next  next  remove  update  key  get  set  remove  to  String  keys  Sparse  Tensor  Sparse  Tensor  clone  add  set  remove  get  Indices  get  Target  Key  From  Sub  Key  find  Index  fiber  contains  is  Indexed  is  Cubical  is  Diagonal  get  shuffle  build  Index  build  Indices  get  Index  keys  key  value  get  Relevant  Keys  size  slice  matricization  mode  Product  mode  Product  rate  Matrix  iterator  norm  mean  inner  Product  is  Dim  Match  get  User  Dimension  get  Index  Dimension  set  User  Dimension  get  Item  Dimension  set  Item  Dimension  dimensions  num  Dimensions  to  String  main,int  int  double  int  int  List  Integer  List  Double  double  int  double  int  int  int  int  Integer  int  int  int  int  int  int  int  int  int  int  int  int  int  int  int  int  int  int  int  int  Dense  Matrix  int  Dense  Vector  int  Sparse  Tensor  Sparse  Tensor  int  int  int  String,Eval  Context,ground  Truth  List  recommended  List  similarity  Matrix  similarities  conf  recommender,Eval  Context  Eval  Context  Eval  Context  Eval  Context  get  Ground  Truth  List  From  Data  Set  get  Ground  Truth  List  set  Ground  Truth  List  get  Recommended  List  set  Recommended  List  get  Similarity  Matrix  set  Similarity  Matrix  get  Similarities  set  Similarities  get  Conf  set  Conf,Configuration  Recommended  List  Sequential  Access  Sparse  Matrix  Symm  Matrix  Recommender  Similarity  Configuration  Recommended  List  Sequential  Access  Sparse  Matrix  Configuration  Recommender  Data  Set  Configuration  Recommender  Data  Set  Symm  Matrix  Recommender  Similarity  Data  Set  Sparse  Tensor  Recommended  List  Recommended  List  Symm  Matrix  Recommender  Similarity  Configuration,1,0
4,to  Sparse  Matrix,Data  Frame,Sequential  Access  Sparse  Matrix,,equals  get  equals  get  to  Sparse  Matrix  to  Sparse  Matrix  get  Double  equals  get  to  Sparse  Matrix  split  get  to  Sparse  Matrix  split  get  get  Double,Data  Frame,log  Multi  Index  labels  levels  features  Inner  Mapping  name  header  attr  Type  data  rating  Scale,Data  Frame  Data  Frame  size  add  add  Data  set  Header  to  Sparse  Matrix  to  Sparse  Matrix  to  Sparse  Matrix  to  Sparse  Matrix  to  Sparse  Matrix  to  Sparse  Matrix  to  Sparse  Tensor  to  Sparse  Tensor  to  Sparse  Tensor  set  Id  get  Id  get  Inner  Mapping  clear  Inner  Mapping  add  Header  get  Header  get  Header  get  get  User  Id  get  Item  Id  flush  Cache  get  User  Ids  get  Item  Ids  merge  load  Arff  set  Attr  Type  set  Header  get  Data  set  Data  get  Name  set  Name  get  Attr  Type  set  Attr  Type  num  Users  num  Items  get  Rating  Scale  to  String,Data  Frame  String  int  String  String  double  String  String  double  String  int  int  int  int  int  int  double  String  String  int  int  String  String  String  String  String  String  int  int  int  String  String  List  Integer  Data  Frame  Data  Frame  String  String  List  String  List  List  Object  String  List  String,Configuration,log  cache  classes  properties  class  Loader  load  Defaults  resources  default  Resources  Resource  resource  name,Configuration  Configuration  Resource  Resource  get  Name  get  Resource  to  String  add  Default  Resource  iterator  add  Resource  overlay  set  get  set  Strings  get  Strings  get  Float  set  Float  get  Float  set  Double  get  Double  get  Double  get  set  Long  get  Long  get  Long  set  Int  get  Int  get  Int  set  Ints  get  Ints  get  Trimmed  Strings  set  Boolean  get  Boolean  get  Boolean  get  Props  load  Resources  load  Property  get  Resource  get  Class  By  Name  get  Class  By  Name,boolean  Data  Frame  Object  Object  String  String  Resource  Properties  Properties  String  String  String  String  String  String  String  Float  String  float  String  String  double  String  Double  String  String  String  String  long  String  Long  String  String  int  String  Integer  String  String  int  String  String  String  boolean  String  String  boolean  Properties  Array  List  Resource  Properties  Resource  String  String  String  String,0,0
5,to  Sparse  Matrix,Data  Frame,Sequential  Access  Sparse  Matrix,,equals  get  equals  get  to  Sparse  Matrix  to  Sparse  Matrix  get  Double  equals  get  to  Sparse  Matrix  split  get  to  Sparse  Matrix  split  get  get  Double,Configuration,log  cache  classes  properties  class  Loader  load  Defaults  resources  default  Resources  Resource  resource  name,Configuration  Configuration  Resource  Resource  get  Name  get  Resource  to  String  add  Default  Resource  iterator  add  Resource  overlay  set  get  set  Strings  get  Strings  get  Float  set  Float  get  Float  set  Double  get  Double  get  Double  get  set  Long  get  Long  get  Long  set  Int  get  Int  get  Int  set  Ints  get  Ints  get  Trimmed  Strings  set  Boolean  get  Boolean  get  Boolean  get  Props  load  Resources  load  Property  get  Resource  get  Class  By  Name  get  Class  By  Name,boolean  Data  Frame  Object  Object  String  String  Resource  Properties  Properties  String  String  String  String  String  String  String  Float  String  float  String  String  double  String  Double  String  String  String  String  long  String  Long  String  String  int  String  Integer  String  String  int  String  String  String  boolean  String  String  boolean  Properties  Array  List  Resource  Properties  Resource  String  String  String  String,Data  Frame,log  Multi  Index  labels  levels  features  Inner  Mapping  name  header  attr  Type  data  rating  Scale,Data  Frame  Data  Frame  size  add  add  Data  set  Header  to  Sparse  Matrix  to  Sparse  Matrix  to  Sparse  Matrix  to  Sparse  Matrix  to  Sparse  Matrix  to  Sparse  Matrix  to  Sparse  Tensor  to  Sparse  Tensor  to  Sparse  Tensor  set  Id  get  Id  get  Inner  Mapping  clear  Inner  Mapping  add  Header  get  Header  get  Header  get  get  User  Id  get  Item  Id  flush  Cache  get  User  Ids  get  Item  Ids  merge  load  Arff  set  Attr  Type  set  Header  get  Data  set  Data  get  Name  set  Name  get  Attr  Type  set  Attr  Type  num  Users  num  Items  get  Rating  Scale  to  String,Data  Frame  String  int  String  String  double  String  String  double  String  int  int  int  int  int  int  double  String  String  int  int  String  String  String  String  String  String  int  int  int  String  String  List  Integer  Data  Frame  Data  Frame  String  String  List  String  List  List  Object  String  List  String,1,1
6,set,int  int  double,void,,,Dense  Matrix,serial  Version  U  I  D  values  Dense  Matrix  Iterator  matrix  Entry  max  Column  max  Row  Dense  Matrix  Entry  row  column,Dense  Matrix  Dense  Matrix  Dense  Matrix  Dense  Matrix  assign  assign  init  init  init  clone  get  get  Num  Entries  row  column  view  Row  view  Column  plus  plus  plus  minus  times  times  times  transpose  norm  covariance  cholesky  inverse  is  Random  Access  iterator  get  Values  has  Next  next  row  column  get  set  row  Position  column  Position,double  double  boolean  int  int  Dense  Matrix  Dense  Matrix  Matrix  Assigner  double  double  double  int  int  int  int  double  int  int  int  int  int  int  double  double  Matrix  Matrix  double  Matrix  Vector  double,Dense  Vector,,Dense  Vector  init  init  init  aggregate  normalize  normalize  dot  outer  clone  assign  assign  plus  plus  get  Values  plus  minus  times  times  is  Dense  is  Sequential  Access  get  Lookup  Cost  get  Iterator  Advance  Cost  is  Add  Constant  Time  get  Num  Entries  set  Other,int  double  double  double  Double  Double  Function  Double  Function  double  Vector  Dense  Vector  Double  Function  Vector  Assigner  double  int  double  Vector  Vector  double  Dense  Vector  int  Dense  Matrix,0,0
7,set,int  int  double,void,,,Dense  Vector,,Dense  Vector  init  init  init  aggregate  normalize  normalize  dot  outer  clone  assign  assign  plus  plus  get  Values  plus  minus  times  times  is  Dense  is  Sequential  Access  get  Lookup  Cost  get  Iterator  Advance  Cost  is  Add  Constant  Time  get  Num  Entries  set  Other,int  double  double  double  Double  Double  Function  Double  Function  double  Vector  Dense  Vector  Double  Function  Vector  Assigner  double  int  double  Vector  Vector  double  Dense  Vector  int  Dense  Matrix,Dense  Matrix,serial  Version  U  I  D  values  Dense  Matrix  Iterator  matrix  Entry  max  Column  max  Row  Dense  Matrix  Entry  row  column,Dense  Matrix  Dense  Matrix  Dense  Matrix  Dense  Matrix  assign  assign  init  init  init  clone  get  get  Num  Entries  row  column  view  Row  view  Column  plus  plus  plus  minus  times  times  times  transpose  norm  covariance  cholesky  inverse  is  Random  Access  iterator  get  Values  has  Next  next  row  column  get  set  row  Position  column  Position,double  double  boolean  int  int  Dense  Matrix  Dense  Matrix  Matrix  Assigner  double  double  double  int  int  int  int  double  int  int  int  int  int  int  double  double  Matrix  Matrix  double  Matrix  Vector  double,1,0
8,assign,Double  Function,Dense  Vector,,cardinality  set  apply  get,Dense  Vector,,Dense  Vector  init  init  init  aggregate  normalize  normalize  dot  outer  clone  assign  plus  plus  get  Values  plus  minus  times  times  is  Dense  is  Sequential  Access  get  Lookup  Cost  get  Iterator  Advance  Cost  is  Add  Constant  Time  get  Num  Entries  set  Other,int  double  double  double  Double  Double  Function  Double  Function  double  Vector  Dense  Vector  Double  Function  Vector  Assigner  double  int  double  Vector  Vector  double  Dense  Vector  int  Dense  Matrix,Double  Function,,apply  is  Densifying,double,0,0
9,assign,Double  Function,Dense  Vector,,cardinality  set  apply  get,Double  Function,,apply  is  Densifying,double,Dense  Vector,,Dense  Vector  init  init  init  aggregate  normalize  normalize  dot  outer  clone  assign  plus  plus  get  Values  plus  minus  times  times  is  Dense  is  Sequential  Access  get  Lookup  Cost  get  Iterator  Advance  Cost  is  Add  Constant  Time  get  Num  Entries  set  Other,int  double  double  double  Double  Double  Function  Double  Function  double  Vector  Dense  Vector  Double  Function  Vector  Assigner  double  int  double  Vector  Vector  double  Dense  Vector  int  Dense  Matrix,1,0
