id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,on  Content  Aspect  Ratio  Changed,float  View  Player  View,void,,set  Aspect  Ratio,Player  View,show  buffering  never  show  buffering  when  playing  show  buffering  always  surface  type  none  surface  type  surface  view  surface  type  texture  view  surface  type  spherical  gl  surface  view  surface  type  video  decoder  gl  surface  view  component  Listener  content  Frame  shutter  View  surface  View  artwork  View  subtitle  View  buffering  View  error  Message  View  controller  ad  Overlay  Frame  Layout  overlay  Frame  Layout  player  use  Controller  controller  Visibility  Listener  use  Artwork  default  Artwork  show  Buffering  keep  Content  On  Player  Reset  use  Sensor  Rotation  error  Message  Provider  custom  Error  Message  controller  Show  Timeout  Ms  controller  Auto  Show  controller  Hide  During  Ads  controller  Hide  On  Touch  texture  View  Rotation  is  Touching  picture  type  front  cover  picture  type  not  set  Component  Listener,Player  View  Player  View  Player  View  switch  Target  View  get  Player  set  Player  set  Visibility  set  Resize  Mode  get  Resize  Mode  get  Use  Artwork  set  Use  Artwork  get  Default  Artwork  set  Default  Artwork  set  Default  Artwork  get  Use  Controller  set  Use  Controller  set  Shutter  Background  Color  set  Keep  Content  On  Player  Reset  set  Use  Sensor  Rotation  set  Show  Buffering  set  Show  Buffering  set  Error  Message  Provider  set  Custom  Error  Message  dispatch  Key  Event  dispatch  Media  Key  Event  is  Controller  Visible  show  Controller  hide  Controller  get  Controller  Show  Timeout  Ms  set  Controller  Show  Timeout  Ms  get  Controller  Hide  On  Touch  set  Controller  Hide  On  Touch  get  Controller  Auto  Show  set  Controller  Auto  Show  set  Controller  Hide  During  Ads  set  Controller  Visibility  Listener  set  Playback  Preparer  set  Control  Dispatcher  set  Rewind  Increment  Ms  set  Fast  Forward  Increment  Ms  set  Repeat  Toggle  Modes  set  Show  Shuffle  Button  set  Show  Multi  Window  Time  Bar  set  Extra  Ad  Group  Markers  set  Aspect  Ratio  Listener  get  Video  Surface  View  get  Overlay  Frame  Layout  get  Subtitle  View  on  Touch  Event  perform  Click  on  Trackball  Event  on  Resume  on  Pause  get  Ad  View  Group  get  Ad  Overlay  Views  use  Controller  use  Artwork  toggle  Controller  Visibility  maybe  Show  Controller  should  Show  Controller  Indefinitely  show  Controller  is  Playing  Ad  update  For  Current  Track  Selections  set  Artwork  From  Metadata  set  Drawable  Artwork  hide  Artwork  close  Shutter  update  Buffering  update  Error  Message  update  Content  Description  configure  Edit  Mode  Logo  V  configure  Edit  Mode  Logo  set  Resize  Mode  Raw  apply  Texture  View  Rotation  is  Dpad  Key  on  Cues  on  Video  Size  Changed  on  Rendered  First  Frame  on  Tracks  Changed  on  Player  State  Changed  on  Position  Discontinuity  on  Layout  Change  on  Single  Tap  Up  on  Visibility  Change,Aspect  Ratio  Frame  Layout,resize  mode  fit  resize  mode  fixed  width  resize  mode  fixed  height  resize  mode  fill  resize  mode  zoom  max  aspect  ratio  deformation  fraction  aspect  Ratio  Update  Dispatcher  aspect  Ratio  Listener  video  Aspect  Ratio  resize  Mode  Aspect  Ratio  Update  Dispatcher  target  Aspect  Ratio  natural  Aspect  Ratio  aspect  Ratio  Mismatch  is  Scheduled,on  Aspect  Ratio  Updated  Aspect  Ratio  Frame  Layout  Aspect  Ratio  Frame  Layout  set  Aspect  Ratio  set  Aspect  Ratio  Listener  get  Resize  Mode  set  Resize  Mode  on  Measure  schedule  Update  run,0,0
1,on  Content  Aspect  Ratio  Changed,float  View  Player  View,void,,set  Aspect  Ratio,Aspect  Ratio  Frame  Layout,resize  mode  fit  resize  mode  fixed  width  resize  mode  fixed  height  resize  mode  fill  resize  mode  zoom  max  aspect  ratio  deformation  fraction  aspect  Ratio  Update  Dispatcher  aspect  Ratio  Listener  video  Aspect  Ratio  resize  Mode  Aspect  Ratio  Update  Dispatcher  target  Aspect  Ratio  natural  Aspect  Ratio  aspect  Ratio  Mismatch  is  Scheduled,on  Aspect  Ratio  Updated  Aspect  Ratio  Frame  Layout  Aspect  Ratio  Frame  Layout  set  Aspect  Ratio  set  Aspect  Ratio  Listener  get  Resize  Mode  set  Resize  Mode  on  Measure  schedule  Update  run,Player  View,show  buffering  never  show  buffering  when  playing  show  buffering  always  surface  type  none  surface  type  surface  view  surface  type  texture  view  surface  type  spherical  gl  surface  view  surface  type  video  decoder  gl  surface  view  component  Listener  content  Frame  shutter  View  surface  View  artwork  View  subtitle  View  buffering  View  error  Message  View  controller  ad  Overlay  Frame  Layout  overlay  Frame  Layout  player  use  Controller  controller  Visibility  Listener  use  Artwork  default  Artwork  show  Buffering  keep  Content  On  Player  Reset  use  Sensor  Rotation  error  Message  Provider  custom  Error  Message  controller  Show  Timeout  Ms  controller  Auto  Show  controller  Hide  During  Ads  controller  Hide  On  Touch  texture  View  Rotation  is  Touching  picture  type  front  cover  picture  type  not  set  Component  Listener,Player  View  Player  View  Player  View  switch  Target  View  get  Player  set  Player  set  Visibility  set  Resize  Mode  get  Resize  Mode  get  Use  Artwork  set  Use  Artwork  get  Default  Artwork  set  Default  Artwork  set  Default  Artwork  get  Use  Controller  set  Use  Controller  set  Shutter  Background  Color  set  Keep  Content  On  Player  Reset  set  Use  Sensor  Rotation  set  Show  Buffering  set  Show  Buffering  set  Error  Message  Provider  set  Custom  Error  Message  dispatch  Key  Event  dispatch  Media  Key  Event  is  Controller  Visible  show  Controller  hide  Controller  get  Controller  Show  Timeout  Ms  set  Controller  Show  Timeout  Ms  get  Controller  Hide  On  Touch  set  Controller  Hide  On  Touch  get  Controller  Auto  Show  set  Controller  Auto  Show  set  Controller  Hide  During  Ads  set  Controller  Visibility  Listener  set  Playback  Preparer  set  Control  Dispatcher  set  Rewind  Increment  Ms  set  Fast  Forward  Increment  Ms  set  Repeat  Toggle  Modes  set  Show  Shuffle  Button  set  Show  Multi  Window  Time  Bar  set  Extra  Ad  Group  Markers  set  Aspect  Ratio  Listener  get  Video  Surface  View  get  Overlay  Frame  Layout  get  Subtitle  View  on  Touch  Event  perform  Click  on  Trackball  Event  on  Resume  on  Pause  get  Ad  View  Group  get  Ad  Overlay  Views  use  Controller  use  Artwork  toggle  Controller  Visibility  maybe  Show  Controller  should  Show  Controller  Indefinitely  show  Controller  is  Playing  Ad  update  For  Current  Track  Selections  set  Artwork  From  Metadata  set  Drawable  Artwork  hide  Artwork  close  Shutter  update  Buffering  update  Error  Message  update  Content  Description  configure  Edit  Mode  Logo  V  configure  Edit  Mode  Logo  set  Resize  Mode  Raw  apply  Texture  View  Rotation  is  Dpad  Key  on  Cues  on  Video  Size  Changed  on  Rendered  First  Frame  on  Tracks  Changed  on  Player  State  Changed  on  Position  Discontinuity  on  Layout  Change  on  Single  Tap  Up  on  Visibility  Change,1,1
2,build  Label  String,Default  Track  Name  Provider,String,,is  Empty,Default  Track  Name  Provider,resources,Default  Track  Name  Provider  get  Track  Name  build  Resolution  String  build  Bitrate  String  build  Audio  Channel  String  build  Language  Or  Label  String  build  Language  String  build  Role  String  join  With  Separator  infer  Primary  Track  Type,Format,no  value  offset  sample  relative  id  label  selection  Flags  role  Flags  bitrate  codecs  metadata  container  Mime  Type  sample  Mime  Type  max  Input  Size  initialization  Data  drm  Init  Data  subsample  Offset  Us  width  height  frame  Rate  rotation  Degrees  pixel  Width  Height  Ratio  stereo  Mode  projection  Data  color  Info  channel  Count  sample  Rate  pcm  Encoding  encoder  Delay  encoder  Padding  language  accessibility  Channel  exo  Media  Crypto  Type  hash  Code  creator,create  Video  Container  Format  create  Video  Container  Format  create  Video  Sample  Format  create  Video  Sample  Format  create  Video  Sample  Format  create  Audio  Container  Format  create  Audio  Container  Format  create  Audio  Sample  Format  create  Audio  Sample  Format  create  Audio  Sample  Format  create  Text  Container  Format  create  Text  Container  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Image  Sample  Format  create  Container  Format  create  Container  Format  create  Sample  Format  create  Sample  Format  Format  Format  copy  With  Max  Input  Size  copy  With  Subsample  Offset  Us  copy  With  Label  copy  With  Container  Info  copy  With  Manifest  Format  Info  copy  With  Gapless  Info  copy  With  Frame  Rate  copy  With  Drm  Init  Data  copy  With  Metadata  copy  With  Adjustments  copy  With  Rotation  Degrees  copy  With  Bitrate  copy  With  Video  Size  copy  With  Exo  Media  Crypto  Type  get  Pixel  Count  to  String  hash  Code  equals  initialization  Data  Equals  to  Log  String  describe  Contents  write  To  Parcel  create  From  Parcel  new  Array,0,0
3,build  Label  String,Default  Track  Name  Provider,String,,is  Empty,Format,no  value  offset  sample  relative  id  label  selection  Flags  role  Flags  bitrate  codecs  metadata  container  Mime  Type  sample  Mime  Type  max  Input  Size  initialization  Data  drm  Init  Data  subsample  Offset  Us  width  height  frame  Rate  rotation  Degrees  pixel  Width  Height  Ratio  stereo  Mode  projection  Data  color  Info  channel  Count  sample  Rate  pcm  Encoding  encoder  Delay  encoder  Padding  language  accessibility  Channel  exo  Media  Crypto  Type  hash  Code  creator,create  Video  Container  Format  create  Video  Container  Format  create  Video  Sample  Format  create  Video  Sample  Format  create  Video  Sample  Format  create  Audio  Container  Format  create  Audio  Container  Format  create  Audio  Sample  Format  create  Audio  Sample  Format  create  Audio  Sample  Format  create  Text  Container  Format  create  Text  Container  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Image  Sample  Format  create  Container  Format  create  Container  Format  create  Sample  Format  create  Sample  Format  Format  Format  copy  With  Max  Input  Size  copy  With  Subsample  Offset  Us  copy  With  Label  copy  With  Container  Info  copy  With  Manifest  Format  Info  copy  With  Gapless  Info  copy  With  Frame  Rate  copy  With  Drm  Init  Data  copy  With  Metadata  copy  With  Adjustments  copy  With  Rotation  Degrees  copy  With  Bitrate  copy  With  Video  Size  copy  With  Exo  Media  Crypto  Type  get  Pixel  Count  to  String  hash  Code  equals  initialization  Data  Equals  to  Log  String  describe  Contents  write  To  Parcel  create  From  Parcel  new  Array,Default  Track  Name  Provider,resources,Default  Track  Name  Provider  get  Track  Name  build  Resolution  String  build  Bitrate  String  build  Audio  Channel  String  build  Language  Or  Label  String  build  Language  String  build  Role  String  join  With  Separator  infer  Primary  Track  Type,1,1
4,build  Language  String,Format,String,,is  Empty  equals  for  Language  Tag  get  Display  Name,Default  Track  Name  Provider,resources,Default  Track  Name  Provider  get  Track  Name  build  Resolution  String  build  Bitrate  String  build  Audio  Channel  String  build  Language  Or  Label  String  build  Role  String  join  With  Separator  infer  Primary  Track  Type,Format,no  value  offset  sample  relative  id  label  selection  Flags  role  Flags  bitrate  codecs  metadata  container  Mime  Type  sample  Mime  Type  max  Input  Size  initialization  Data  drm  Init  Data  subsample  Offset  Us  width  height  frame  Rate  rotation  Degrees  pixel  Width  Height  Ratio  stereo  Mode  projection  Data  color  Info  channel  Count  sample  Rate  pcm  Encoding  encoder  Delay  encoder  Padding  language  accessibility  Channel  exo  Media  Crypto  Type  hash  Code  creator,create  Video  Container  Format  create  Video  Container  Format  create  Video  Sample  Format  create  Video  Sample  Format  create  Video  Sample  Format  create  Audio  Container  Format  create  Audio  Container  Format  create  Audio  Sample  Format  create  Audio  Sample  Format  create  Audio  Sample  Format  create  Text  Container  Format  create  Text  Container  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Image  Sample  Format  create  Container  Format  create  Container  Format  create  Sample  Format  create  Sample  Format  Format  Format  copy  With  Max  Input  Size  copy  With  Subsample  Offset  Us  copy  With  Label  copy  With  Container  Info  copy  With  Manifest  Format  Info  copy  With  Gapless  Info  copy  With  Frame  Rate  copy  With  Drm  Init  Data  copy  With  Metadata  copy  With  Adjustments  copy  With  Rotation  Degrees  copy  With  Bitrate  copy  With  Video  Size  copy  With  Exo  Media  Crypto  Type  get  Pixel  Count  to  String  hash  Code  equals  initialization  Data  Equals  to  Log  String  describe  Contents  write  To  Parcel  create  From  Parcel  new  Array  build  Label  String,0,0
5,build  Language  String,Format,String,,is  Empty  equals  for  Language  Tag  get  Display  Name,Format,no  value  offset  sample  relative  id  label  selection  Flags  role  Flags  bitrate  codecs  metadata  container  Mime  Type  sample  Mime  Type  max  Input  Size  initialization  Data  drm  Init  Data  subsample  Offset  Us  width  height  frame  Rate  rotation  Degrees  pixel  Width  Height  Ratio  stereo  Mode  projection  Data  color  Info  channel  Count  sample  Rate  pcm  Encoding  encoder  Delay  encoder  Padding  language  accessibility  Channel  exo  Media  Crypto  Type  hash  Code  creator,create  Video  Container  Format  create  Video  Container  Format  create  Video  Sample  Format  create  Video  Sample  Format  create  Video  Sample  Format  create  Audio  Container  Format  create  Audio  Container  Format  create  Audio  Sample  Format  create  Audio  Sample  Format  create  Audio  Sample  Format  create  Text  Container  Format  create  Text  Container  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Text  Sample  Format  create  Image  Sample  Format  create  Container  Format  create  Container  Format  create  Sample  Format  create  Sample  Format  Format  Format  copy  With  Max  Input  Size  copy  With  Subsample  Offset  Us  copy  With  Label  copy  With  Container  Info  copy  With  Manifest  Format  Info  copy  With  Gapless  Info  copy  With  Frame  Rate  copy  With  Drm  Init  Data  copy  With  Metadata  copy  With  Adjustments  copy  With  Rotation  Degrees  copy  With  Bitrate  copy  With  Video  Size  copy  With  Exo  Media  Crypto  Type  get  Pixel  Count  to  String  hash  Code  equals  initialization  Data  Equals  to  Log  String  describe  Contents  write  To  Parcel  create  From  Parcel  new  Array  build  Label  String,Default  Track  Name  Provider,resources,Default  Track  Name  Provider  get  Track  Name  build  Resolution  String  build  Bitrate  String  build  Audio  Channel  String  build  Language  Or  Label  String  build  Role  String  join  With  Separator  infer  Primary  Track  Type,1,0
6,reset,byte,void,,reset,Parsable  Bit  Array,data  byte  Offset  bit  Offset  byte  Limit,Parsable  Bit  Array  Parsable  Bit  Array  Parsable  Bit  Array  reset  bits  Left  get  Position  get  Byte  Position  set  Position  skip  Bit  skip  Bits  read  Bit  read  Bits  read  Bits  To  Long  read  Bits  byte  Align  read  Bytes  skip  Bytes  put  Int  assert  Valid  Offset,Parsable  Byte  Array,data  position  limit,Parsable  Byte  Array  Parsable  Byte  Array  Parsable  Byte  Array  Parsable  Byte  Array  reset  reset  reset  bytes  Left  limit  set  Limit  get  Position  capacity  set  Position  skip  Bytes  read  Bytes  read  Bytes  read  Bytes  peek  Unsigned  Byte  peek  Char  read  Unsigned  Byte  read  Unsigned  Short  read  Little  Endian  Unsigned  Short  read  Short  read  Little  Endian  Short  read  Unsigned  Int  read  Int  read  Little  Endian  Int  read  Little  Endian  Unsigned  Int  read  Unsigned  Int  read  Little  Endian  Unsigned  Int  read  Int  read  Little  Endian  Int  read  Long  read  Little  Endian  Long  read  Unsigned  Fixed  Point  read  Synch  Safe  Int  read  Unsigned  Int  To  Int  read  Little  Endian  Unsigned  Int  To  Int  read  Unsigned  Long  To  Long  read  Float  read  Double  read  String  read  String  read  Null  Terminated  String  read  Null  Terminated  String  read  Line  read  Utf  Encoded  Long  reset  Other,0,0
7,reset,byte,void,,reset,Parsable  Byte  Array,data  position  limit,Parsable  Byte  Array  Parsable  Byte  Array  Parsable  Byte  Array  Parsable  Byte  Array  reset  reset  reset  bytes  Left  limit  set  Limit  get  Position  capacity  set  Position  skip  Bytes  read  Bytes  read  Bytes  read  Bytes  peek  Unsigned  Byte  peek  Char  read  Unsigned  Byte  read  Unsigned  Short  read  Little  Endian  Unsigned  Short  read  Short  read  Little  Endian  Short  read  Unsigned  Int  read  Int  read  Little  Endian  Int  read  Little  Endian  Unsigned  Int  read  Unsigned  Int  read  Little  Endian  Unsigned  Int  read  Int  read  Little  Endian  Int  read  Long  read  Little  Endian  Long  read  Unsigned  Fixed  Point  read  Synch  Safe  Int  read  Unsigned  Int  To  Int  read  Little  Endian  Unsigned  Int  To  Int  read  Unsigned  Long  To  Long  read  Float  read  Double  read  String  read  String  read  Null  Terminated  String  read  Null  Terminated  String  read  Line  read  Utf  Encoded  Long  reset  Other,Parsable  Bit  Array,data  byte  Offset  bit  Offset  byte  Limit,Parsable  Bit  Array  Parsable  Bit  Array  Parsable  Bit  Array  reset  bits  Left  get  Position  get  Byte  Position  set  Position  skip  Bit  skip  Bits  read  Bit  read  Bits  read  Bits  To  Long  read  Bits  byte  Align  read  Bytes  skip  Bytes  put  Int  assert  Valid  Offset,1,0
8,read  Bytes,Parsable  Bit  Array  int,void,,read  Bytes  set  Position,Parsable  Byte  Array,data  position  limit,Parsable  Byte  Array  Parsable  Byte  Array  Parsable  Byte  Array  Parsable  Byte  Array  reset  reset  reset  reset  bytes  Left  limit  set  Limit  get  Position  capacity  set  Position  skip  Bytes  read  Bytes  read  Bytes  peek  Unsigned  Byte  peek  Char  read  Unsigned  Byte  read  Unsigned  Short  read  Little  Endian  Unsigned  Short  read  Short  read  Little  Endian  Short  read  Unsigned  Int  read  Int  read  Little  Endian  Int  read  Little  Endian  Unsigned  Int  read  Unsigned  Int  read  Little  Endian  Unsigned  Int  read  Int  read  Little  Endian  Int  read  Long  read  Little  Endian  Long  read  Unsigned  Fixed  Point  read  Synch  Safe  Int  read  Unsigned  Int  To  Int  read  Little  Endian  Unsigned  Int  To  Int  read  Unsigned  Long  To  Long  read  Float  read  Double  read  String  read  String  read  Null  Terminated  String  read  Null  Terminated  String  read  Line  read  Utf  Encoded  Long  reset  Other,Parsable  Bit  Array,data  byte  Offset  bit  Offset  byte  Limit,Parsable  Bit  Array  Parsable  Bit  Array  Parsable  Bit  Array  reset  reset  bits  Left  get  Position  get  Byte  Position  set  Position  skip  Bit  skip  Bits  read  Bit  read  Bits  read  Bits  To  Long  read  Bits  byte  Align  skip  Bytes  put  Int  assert  Valid  Offset,0,0
9,read  Bytes,Parsable  Bit  Array  int,void,,read  Bytes  set  Position,Parsable  Bit  Array,data  byte  Offset  bit  Offset  byte  Limit,Parsable  Bit  Array  Parsable  Bit  Array  Parsable  Bit  Array  reset  reset  bits  Left  get  Position  get  Byte  Position  set  Position  skip  Bit  skip  Bits  read  Bit  read  Bits  read  Bits  To  Long  read  Bits  byte  Align  skip  Bytes  put  Int  assert  Valid  Offset,Parsable  Byte  Array,data  position  limit,Parsable  Byte  Array  Parsable  Byte  Array  Parsable  Byte  Array  Parsable  Byte  Array  reset  reset  reset  reset  bytes  Left  limit  set  Limit  get  Position  capacity  set  Position  skip  Bytes  read  Bytes  read  Bytes  peek  Unsigned  Byte  peek  Char  read  Unsigned  Byte  read  Unsigned  Short  read  Little  Endian  Unsigned  Short  read  Short  read  Little  Endian  Short  read  Unsigned  Int  read  Int  read  Little  Endian  Int  read  Little  Endian  Unsigned  Int  read  Unsigned  Int  read  Little  Endian  Unsigned  Int  read  Int  read  Little  Endian  Int  read  Long  read  Little  Endian  Long  read  Unsigned  Fixed  Point  read  Synch  Safe  Int  read  Unsigned  Int  To  Int  read  Little  Endian  Unsigned  Int  To  Int  read  Unsigned  Long  To  Long  read  Float  read  Double  read  String  read  String  read  Null  Terminated  String  read  Null  Terminated  String  read  Line  read  Utf  Encoded  Long  reset  Other,1,0
