id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,check  Avatar,Hash  Set  Long  Js  Binding  Module,boolean,,get  Small  Image  contains  get  File  Id  get  File  Reference  get  Small  Image  get  Full  Image  contains  get  File  Id  get  File  Reference  get  Full  Image  get  Large  Image  contains  get  File  Id  get  File  Reference  get  Large  Image,Js  Binding  Module,messenger  users  groups  users  Onlines  users  Bloked  group  Onlines  typing  online  State  dialogs  List  contacts  List  search  List  message  Lists  global  Counter  temp  Global  Counter  dialogs  Grouped  List  calls  event  Bus  Callbacks  stickers,Js  Binding  Module  broadcast  Event  subscribe  Event  Bus  unsubscribe  Event  Bus  get  Dialogs  Grouped  List  on  Changed  get  Stickers  on  Changed  get  Online  Status  on  Changed  on  Changed  get  User  on  Changed  on  Changed  on  Changed  get  User  Online  on  Changed  get  User  Blocked  on  Changed  get  Group  on  Changed  get  Group  Online  on  Changed  get  Call  on  Changed  on  Changed  on  Changed  on  Changed  get  Typing  get  Shared  Search  List  get  Shared  Contact  List  get  Shared  Dialog  List  get  Shared  Message  List  get  Global  Counter  on  Changed  get  Temp  Global  Counter  on  Changed  on  File  Loaded,Avatar,record  id  small  Image  large  Image  full  Image,Avatar  Avatar  Avatar  get  Small  Image  get  Large  Image  get  Full  Image  parse  serialize  apply  Wrapped  equals  hash  Code  create  Instance,0,0
1,check  Avatar,Hash  Set  Long  Js  Binding  Module,boolean,,get  Small  Image  contains  get  File  Id  get  File  Reference  get  Small  Image  get  Full  Image  contains  get  File  Id  get  File  Reference  get  Full  Image  get  Large  Image  contains  get  File  Id  get  File  Reference  get  Large  Image,Avatar,record  id  small  Image  large  Image  full  Image,Avatar  Avatar  Avatar  get  Small  Image  get  Large  Image  get  Full  Image  parse  serialize  apply  Wrapped  equals  hash  Code  create  Instance,Js  Binding  Module,messenger  users  groups  users  Onlines  users  Bloked  group  Onlines  typing  online  State  dialogs  List  contacts  List  search  List  message  Lists  global  Counter  temp  Global  Counter  dialogs  Grouped  List  calls  event  Bus  Callbacks  stickers,Js  Binding  Module  broadcast  Event  subscribe  Event  Bus  unsubscribe  Event  Bus  get  Dialogs  Grouped  List  on  Changed  get  Stickers  on  Changed  get  Online  Status  on  Changed  on  Changed  get  User  on  Changed  on  Changed  on  Changed  get  User  Online  on  Changed  get  User  Blocked  on  Changed  get  Group  on  Changed  get  Group  Online  on  Changed  get  Call  on  Changed  on  Changed  on  Changed  on  Changed  get  Typing  get  Shared  Search  List  get  Shared  Contact  List  get  Shared  Dialog  List  get  Shared  Message  List  get  Global  Counter  on  Changed  get  Temp  Global  Counter  on  Changed  on  File  Loaded,1,1
2,get  Small  Avatar  Url,Avatar,String,,get  Small  Image  get  File  Url  get  File  Reference  get  Small  Image,Js  Messenger,tag  instance  js  Idle  Module  js  Binding  Module  files  Module  file  System  Provider  is  Electron,Js  Messenger  on  Event  on  Changed  get  Instance  get  Js  Idle  Module  is  Electron  send  Photo  on  Resized  send  Photo  send  Animation  on  Resized  send  Clipboard  Photo  load  More  Dialogs  load  Archived  Dialogs  load  More  History  get  Js  User  get  Js  User  Online  get  Js  User  Blocked  get  Js  Group  get  Js  Group  Online  get  Js  Call  get  Typing  get  Online  Status  get  Global  Counter  get  Temp  Global  Counter  build  Peer  Info  get  Shared  Dialog  List  get  Shared  Contact  List  get  Shared  Search  List  get  Shared  Chat  List  get  Dialogs  Grouped  List  get  Stickers  broadcast  Event  subscribe  Event  Bus  unsubscribe  Event  Bus  get  File  Url,Avatar,record  id  small  Image  large  Image  full  Image,Avatar  Avatar  Avatar  get  Small  Image  get  Large  Image  get  Full  Image  parse  serialize  apply  Wrapped  equals  hash  Code  create  Instance  check  Avatar,0,0
3,get  Small  Avatar  Url,Avatar,String,,get  Small  Image  get  File  Url  get  File  Reference  get  Small  Image,Avatar,record  id  small  Image  large  Image  full  Image,Avatar  Avatar  Avatar  get  Small  Image  get  Large  Image  get  Full  Image  parse  serialize  apply  Wrapped  equals  hash  Code  create  Instance  check  Avatar,Js  Messenger,tag  instance  js  Idle  Module  js  Binding  Module  files  Module  file  System  Provider  is  Electron,Js  Messenger  on  Event  on  Changed  get  Instance  get  Js  Idle  Module  is  Electron  send  Photo  on  Resized  send  Photo  send  Animation  on  Resized  send  Clipboard  Photo  load  More  Dialogs  load  Archived  Dialogs  load  More  History  get  Js  User  get  Js  User  Online  get  Js  User  Blocked  get  Js  Group  get  Js  Group  Online  get  Js  Call  get  Typing  get  Online  Status  get  Global  Counter  get  Temp  Global  Counter  build  Peer  Info  get  Shared  Dialog  List  get  Shared  Contact  List  get  Shared  Search  List  get  Shared  Chat  List  get  Dialogs  Grouped  List  get  Stickers  broadcast  Event  subscribe  Event  Bus  unsubscribe  Event  Bus  get  File  Url,1,0
4,format  Dialog  Text,In  Engine,String,,get  Sender  Id  format  Content  Text  get  Sender  Id  get  Message  Type  get  Text  get  Related  Uid  is  Channel  get  Peer  Type  get  Peer  is  Channel  is  Large  Dialog  Message  get  Message  Type  format  Performer  Name  get  Sender  Id,In  Engine,tag  supported  locales  female  male  default  you  modules,In  Engine  create  get  App  Name  format  Typing  format  Typing  format  Typing  format  Typing  format  Presence  format  Group  Online  format  Group  Members  is  Large  Dialog  Message  format  Notification  Text  format  Content  Text  format  Full  Service  Message  format  Error  Text  format  Error  Text  format  Messages  Export  compare  compare  get  Template  Named  get  Template  format  Performer  Name  get  Subject  Name  get  User,Dialog,entity  name  max  length  creator  peer  dialog  Title  dialog  Avatar  is  Bot  is  Channel  unread  Count  rid  sort  Date  sender  Id  date  known  Read  Date  known  Receive  Date  message  Type  text  related  Uid,create  Instance  Dialog  Dialog  from  Bytes  get  Peer  get  Dialog  Title  get  Dialog  Avatar  is  Bot  is  Channel  get  Unread  Count  get  Rid  get  Sort  Date  get  Sender  Id  get  Date  get  Message  Type  get  Text  get  Related  Uid  get  Known  Read  Date  get  Known  Receive  Date  is  Read  is  Received  edit  Peer  Info  parse  serialize  get  Engine  Id  get  Engine  Sort  get  Engine  Search,0,0
5,format  Dialog  Text,In  Engine,String,,get  Sender  Id  format  Content  Text  get  Sender  Id  get  Message  Type  get  Text  get  Related  Uid  is  Channel  get  Peer  Type  get  Peer  is  Channel  is  Large  Dialog  Message  get  Message  Type  format  Performer  Name  get  Sender  Id,Dialog,entity  name  max  length  creator  peer  dialog  Title  dialog  Avatar  is  Bot  is  Channel  unread  Count  rid  sort  Date  sender  Id  date  known  Read  Date  known  Receive  Date  message  Type  text  related  Uid,create  Instance  Dialog  Dialog  from  Bytes  get  Peer  get  Dialog  Title  get  Dialog  Avatar  is  Bot  is  Channel  get  Unread  Count  get  Rid  get  Sort  Date  get  Sender  Id  get  Date  get  Message  Type  get  Text  get  Related  Uid  get  Known  Read  Date  get  Known  Receive  Date  is  Read  is  Received  edit  Peer  Info  parse  serialize  get  Engine  Id  get  Engine  Sort  get  Engine  Search,In  Engine,tag  supported  locales  female  male  default  you  modules,In  Engine  create  get  App  Name  format  Typing  format  Typing  format  Typing  format  Typing  format  Presence  format  Group  Online  format  Group  Members  is  Large  Dialog  Message  format  Notification  Text  format  Content  Text  format  Full  Service  Message  format  Error  Text  format  Error  Text  format  Messages  Export  compare  compare  get  Template  Named  get  Template  format  Performer  Name  get  Subject  Name  get  User,1,1
6,change  Endpoints,Api  Module,void,,put  Bytes  get  Preferences  context  to  Byte  Array  change  Endpoints  get  Actor  Api,Api  Module,actor  Api  persistent  Requests  auth  Key  Storage  Actor  Api  Callback  Impl,Api  Module  get  Actor  Api  get  Auth  Key  Storage  perform  Persist  Request  perform  Persist  Cursor  Request  change  Endpoint  reset  To  Default  Endpoints  check  Is  Current  Auth  Id  on  Bus  Event  on  Auth  Id  Invalidated  on  New  Session  Created  on  Update  Received  on  Connections  Changed,Endpoints,round  Robin  endpoints  trusted  Keys,Endpoints  Endpoints  from  Bytes  get  Trusted  Keys  fetch  Endpoint  equals  parse  serialize,0,0
7,change  Endpoints,Api  Module,void,,put  Bytes  get  Preferences  context  to  Byte  Array  change  Endpoints  get  Actor  Api,Endpoints,round  Robin  endpoints  trusted  Keys,Endpoints  Endpoints  from  Bytes  get  Trusted  Keys  fetch  Endpoint  equals  parse  serialize,Api  Module,actor  Api  persistent  Requests  auth  Key  Storage  Actor  Api  Callback  Impl,Api  Module  get  Actor  Api  get  Auth  Key  Storage  perform  Persist  Request  perform  Persist  Cursor  Request  change  Endpoint  reset  To  Default  Endpoints  check  Is  Current  Auth  Id  on  Bus  Event  on  Auth  Id  Invalidated  on  New  Session  Created  on  Update  Received  on  Connections  Changed,1,1
8,send  Signal,long  Call  Bus  Actor,void,,d  send  Message  build  Container  print  Stack  Trace,Call  Bus  Actor,timeout  stash  self  Settings  peer  Callback  call  Bus  Callback  is  Master  Ready  master  Device  Id  peer  Call  is  Connected  is  Enabled  Join  Bus  bus  Id  Join  Master  Bus  bus  Id  device  Id  Audio  Enabled  enabled  Video  Enabled  enabled  On  Answered  Callback  Wrapper  call  Callback,Call  Bus  Actor  pre  Start  on  Bus  Started  on  Offer  on  Answer  on  Candidate  on  Negotiation  Successful  on  Negotiation  Needed  on  Media  Streams  Changed  on  Peer  State  Changed  on  Track  Added  on  Track  Removed  on  Own  Track  Added  on  Own  Track  Removed  on  Change  Audio  Enabled  on  Change  Video  Enabled  on  Own  Answered  on  Device  Connected  on  Device  Disconnected  on  Message  Received  post  Stop  on  Receive  Join  Bus  get  Bus  Id  Join  Master  Bus  get  Bus  Id  get  Device  Id  Audio  Enabled  is  Enabled  Video  Enabled  is  Enabled  Callback  Wrapper  on  Offer  on  Answer  on  Candidate  on  Negotiation  Successful  on  Negotiation  Needed  on  Media  Streams  Changed  on  Peer  State  Changed  on  Track  Added  on  Track  Removed  on  Own  Track  Added  on  Own  Track  Removed,Api  Web  R  T  C  Signaling,,from  Bytes  get  Header  build  Container,0,0
9,send  Signal,long  Call  Bus  Actor,void,,d  send  Message  build  Container  print  Stack  Trace,Api  Web  R  T  C  Signaling,,from  Bytes  get  Header  build  Container,Call  Bus  Actor,timeout  stash  self  Settings  peer  Callback  call  Bus  Callback  is  Master  Ready  master  Device  Id  peer  Call  is  Connected  is  Enabled  Join  Bus  bus  Id  Join  Master  Bus  bus  Id  device  Id  Audio  Enabled  enabled  Video  Enabled  enabled  On  Answered  Callback  Wrapper  call  Callback,Call  Bus  Actor  pre  Start  on  Bus  Started  on  Offer  on  Answer  on  Candidate  on  Negotiation  Successful  on  Negotiation  Needed  on  Media  Streams  Changed  on  Peer  State  Changed  on  Track  Added  on  Track  Removed  on  Own  Track  Added  on  Own  Track  Removed  on  Change  Audio  Enabled  on  Change  Video  Enabled  on  Own  Answered  on  Device  Connected  on  Device  Disconnected  on  Message  Received  post  Stop  on  Receive  Join  Bus  get  Bus  Id  Join  Master  Bus  get  Bus  Id  get  Device  Id  Audio  Enabled  is  Enabled  Video  Enabled  is  Enabled  Callback  Wrapper  on  Offer  on  Answer  on  Candidate  on  Negotiation  Successful  on  Negotiation  Needed  on  Media  Streams  Changed  on  Peer  State  Changed  on  Track  Added  on  Track  Removed  on  Own  Track  Added  on  Own  Track  Removed,1,1
