id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,is  Array  Length  Access,Same  Len  Transfer,boolean,,equals  get  Field  Name  get  Kind  get  Type  get  Receiver,Same  Len  Transfer,a  Type  Factory  unknown,Same  Len  Transfer  get  Length  Receiver  visit  Assignment  propagate  Combined  Same  Len  refine  Eq  get  Anno  strengthen  Annotation  Of  Equal  To  add  Information  From  Preconditions,Node,block  lvalue  assignment  Context  in  Source  type,Node  get  Block  set  Block  get  Tree  get  Type  accept  is  L  Value  set  L  Value  get  In  Source  set  In  Source  get  Assignment  Context  set  Assignment  Context  get  Operands  get  Transitive  Operands,0,0
1,is  Array  Length  Access,Same  Len  Transfer,boolean,,equals  get  Field  Name  get  Kind  get  Type  get  Receiver,Node,block  lvalue  assignment  Context  in  Source  type,Node  get  Block  set  Block  get  Tree  get  Type  accept  is  L  Value  set  L  Value  get  In  Source  set  In  Source  get  Assignment  Context  set  Assignment  Context  get  Operands  get  Transitive  Operands,Same  Len  Transfer,a  Type  Factory  unknown,Same  Len  Transfer  get  Length  Receiver  visit  Assignment  propagate  Combined  Same  Len  refine  Eq  get  Anno  strengthen  Annotation  Of  Equal  To  add  Information  From  Preconditions,1,1
2,eval  Constant  Term,Flow  Expressions  Receiver  Offset  Equation,Integer,,get  Value  equals  to  String  get  Simple  Name  get  Element  get  Receiver  get  Value  length  get  Element  get  Exact  Value  get  Type  Factory  Of  Subchecker  int  Value,Offset  Equation,zero  neg  one  added  Terms  subtracted  Terms  int  Value  error,Offset  Equation  Offset  Equation  has  Error  get  Error  equals  hash  Code  to  String  remove  Sequence  Lengths  copy  Add  plus  minus  less  Than  Or  Equal  is  Int  get  Int  is  Neg  One  is  Non  Negative  is  Negative  Or  Zero  standardize  And  Viewpoint  Adapt  Expressions  standardize  And  Viewpoint  Adapt  Expressions  standardize  And  Viewpoint  Adapt  Expressions  add  Term  add  Int  get  Int  Offset  Equation  create  Offset  For  Int  create  Offset  From  Java  Expression  is  Int  parse  Int  index  Of  create  Offset  From  Nodes  Value  create  Offset  From  Node  create  Offset  From  Node,Base  Annotated  Type  Factory,,Base  Annotated  Type  Factory  Base  Annotated  Type  Factory  create  Flow  Analysis,0,0
3,eval  Constant  Term,Flow  Expressions  Receiver  Offset  Equation,Integer,,get  Value  equals  to  String  get  Simple  Name  get  Element  get  Receiver  get  Value  length  get  Element  get  Exact  Value  get  Type  Factory  Of  Subchecker  int  Value,Base  Annotated  Type  Factory,,Base  Annotated  Type  Factory  Base  Annotated  Type  Factory  create  Flow  Analysis,Offset  Equation,zero  neg  one  added  Terms  subtracted  Terms  int  Value  error,Offset  Equation  Offset  Equation  has  Error  get  Error  equals  hash  Code  to  String  remove  Sequence  Lengths  copy  Add  plus  minus  less  Than  Or  Equal  is  Int  get  Int  is  Neg  One  is  Non  Negative  is  Negative  Or  Zero  standardize  And  Viewpoint  Adapt  Expressions  standardize  And  Viewpoint  Adapt  Expressions  standardize  And  Viewpoint  Adapt  Expressions  add  Term  add  Int  get  Int  Offset  Equation  create  Offset  For  Int  create  Offset  From  Java  Expression  is  Int  parse  Int  index  Of  create  Offset  From  Nodes  Value  create  Offset  From  Node  create  Offset  From  Node,1,1
4,test  Same  Len,Less  Than  Length  Of  List  String  String  Upper  Bound  Visitor,boolean,,is  Less  Than  Length  Qualifier  is  Valid  Replacement,Upper  Bound  Visitor,upper  bound  upper  bound  const  upper  bound  range  to  not  ltel  not  final  hss,Upper  Bound  Visitor  visit  Array  Access  visit  Annotation  check  Effectively  Final  And  Parsable  visit  Access  common  Assignment  Check  common  Assignment  Check  relaxed  Common  Assignment  get  Receiver  And  Offset  From  Java  Expression  String  get  Receiver  From  Java  Expression  String  negate  String  check  Min  Len  relaxed  Common  Assignment  Check  process  Subsequence  For  L  H  S  test  Min  Len,U  B  Qualifier,Less  Than  Length  Of  map  Upper  Bound  Unknown  Qualifier  unknown  Upper  Bound  Bottom  Qualifier  bottom  Poly  Qualifier  poly,create  U  B  Qualifier  create  U  B  Qualifier  parse  L  T  Length  Of  parse  L  T  Eq  Length  Of  parse  L  T  O  M  Length  Of  create  U  B  Qualifier  create  U  B  Qualifier  create  U  B  Qualifier  create  U  B  Qualifier  plus  Offset  plus  Offset  minus  Offset  minus  Offset  is  Less  Than  Length  Qualifier  is  Unknown  is  Bottom  is  Poly  is  Subtype  lub  widen  Upper  Bound  glb  is  Less  Than  Length  Of  is  Less  Than  Length  Of  Any  has  Sequence  With  Offset  has  Sequence  With  Offset  is  Less  Than  Or  Equal  To  Less  Than  Length  Of  has  Sequence  With  Offset  has  Sequence  With  Offset  is  Less  Than  Or  Equal  To  is  Less  Than  Length  Of  Any  is  Less  Than  Length  Of  convert  To  Annotation  convert  To  Substring  Index  Annotation  convert  To  Annotation  equals  contains  Same  hash  Code  is  Less  Than  Length  Qualifier  is  Subtype  is  Subtype  Offset  lub  widen  Upper  Bound  widen  Lub  glb  simplify  Offsets  plus  Offset  minus  Offset  pluse  Or  Minus  Offset  plus  Offset  minus  Offset  remove  Sequence  Length  Access  compute  remove  Sequence  Length  Access  And  Neg  compute  add  Offset  compute  divide  compute  is  Value  Plus  Offset  Less  Than  Min  Len  is  Valid  Replacement  to  String  get  Sequences  remove  Offset  compute  compute  New  Offsets  Upper  Bound  Unknown  Qualifier  is  Subtype  is  Unknown  lub  glb  to  String  is  Bottom  is  Subtype  lub  glb  to  String  is  Poly  is  Subtype  lub  glb,0,0
5,test  Same  Len,Less  Than  Length  Of  List  String  String  Upper  Bound  Visitor,boolean,,is  Less  Than  Length  Qualifier  is  Valid  Replacement,U  B  Qualifier,Less  Than  Length  Of  map  Upper  Bound  Unknown  Qualifier  unknown  Upper  Bound  Bottom  Qualifier  bottom  Poly  Qualifier  poly,create  U  B  Qualifier  create  U  B  Qualifier  parse  L  T  Length  Of  parse  L  T  Eq  Length  Of  parse  L  T  O  M  Length  Of  create  U  B  Qualifier  create  U  B  Qualifier  create  U  B  Qualifier  create  U  B  Qualifier  plus  Offset  plus  Offset  minus  Offset  minus  Offset  is  Less  Than  Length  Qualifier  is  Unknown  is  Bottom  is  Poly  is  Subtype  lub  widen  Upper  Bound  glb  is  Less  Than  Length  Of  is  Less  Than  Length  Of  Any  has  Sequence  With  Offset  has  Sequence  With  Offset  is  Less  Than  Or  Equal  To  Less  Than  Length  Of  has  Sequence  With  Offset  has  Sequence  With  Offset  is  Less  Than  Or  Equal  To  is  Less  Than  Length  Of  Any  is  Less  Than  Length  Of  convert  To  Annotation  convert  To  Substring  Index  Annotation  convert  To  Annotation  equals  contains  Same  hash  Code  is  Less  Than  Length  Qualifier  is  Subtype  is  Subtype  Offset  lub  widen  Upper  Bound  widen  Lub  glb  simplify  Offsets  plus  Offset  minus  Offset  pluse  Or  Minus  Offset  plus  Offset  minus  Offset  remove  Sequence  Length  Access  compute  remove  Sequence  Length  Access  And  Neg  compute  add  Offset  compute  divide  compute  is  Value  Plus  Offset  Less  Than  Min  Len  is  Valid  Replacement  to  String  get  Sequences  remove  Offset  compute  compute  New  Offsets  Upper  Bound  Unknown  Qualifier  is  Subtype  is  Unknown  lub  glb  to  String  is  Bottom  is  Subtype  lub  glb  to  String  is  Poly  is  Subtype  lub  glb,Upper  Bound  Visitor,upper  bound  upper  bound  const  upper  bound  range  to  not  ltel  not  final  hss,Upper  Bound  Visitor  visit  Array  Access  visit  Annotation  check  Effectively  Final  And  Parsable  visit  Access  common  Assignment  Check  common  Assignment  Check  relaxed  Common  Assignment  get  Receiver  And  Offset  From  Java  Expression  String  get  Receiver  From  Java  Expression  String  negate  String  check  Min  Len  relaxed  Common  Assignment  Check  process  Subsequence  For  L  H  S  test  Min  Len,1,1
6,add  Upper  Bound  Type  From  Value  Type,Annotated  Type  Mirror  Upper  Bound  Annotated  Type  Factory,void,,contains  Same  By  Class  get  Annotations  replace  Annotation,Upper  Bound  Annotated  Type  Factory,unknown  bottom  poly  imf  Upper  Bound  Type  Annotator  Upper  Bound  Qualifier  Hierarchy  Upper  Bound  Tree  Annotator,Upper  Bound  Annotated  Type  Factory  get  Method  Identifier  create  Supported  Type  Qualifiers  get  Value  Annotated  Type  Factory  get  Search  Index  Annotated  Type  Factory  get  Substring  Index  Annotated  Type  Factory  get  Same  Len  Annotated  Type  Factory  get  Lower  Bound  Annotated  Type  Factory  get  Less  Than  Annotated  Type  Factory  add  Computed  Type  Annotations  add  Computed  Type  Annotations  create  Type  Annotator  Upper  Bound  Type  Annotator  scan  create  Dependent  Types  Helper  same  Len  Annotation  From  Tree  is  Math  Min  is  Random  Next  Int  create  L  T  Length  Of  Annotation  create  L  T  Eq  Length  Of  Annotation  has  Lower  Bound  Type  By  Class  create  Qualifier  Hierarchy  Upper  Bound  Qualifier  Hierarchy  greatest  Lower  Bound  least  Upper  Bound  widened  Upper  Bound  number  Of  Iterations  Before  Widening  is  Subtype  create  Tree  Annotator  Upper  Bound  Tree  Annotator  visit  Method  Invocation  visit  Unary  add  Annotation  For  Bitwise  Complement  visit  Compound  Assignment  visit  Binary  add  Annotation  For  Right  Shift  add  Annotation  For  And  get  Length  Sequence  Tree  add  Annotation  For  Remainder  add  Annotation  For  Divide  plus  Tree  Divide  By  Val  check  For  Math  Random  Special  Case  add  Annotation  For  Multiply  convert  U  B  Qualifier  To  Annotation  from  Less  Than  from  Less  Than  Or  Equal  from  Less  Than  Or  Equal,Annotated  Type  Mirror,equality  comparer  hashcode  visitor  atype  Factory  actual  Type  annotations  uninferred  Type  Argument  Scanner  Annotated  Declared  Type  type  Args  was  Raw  enclosing  Type  declaration  Annotated  Executable  Type  element  param  Types  receiver  Type  return  Type  throws  Types  type  Var  Types  Annotated  Array  Type  component  Type  Annotated  Type  Variable  lower  Bound  upper  Bound  declaration  in  Upper  Bounds  Annotated  No  Type  Annotated  Null  Type  Annotated  Primitive  Type  Annotated  Wildcard  Type  super  Bound  extends  Bound  type  Variable  uninferred  Type  Argument  Annotated  Intersection  Type  supertypes  Annotated  Union  Type  alternatives,create  Type  Annotated  Type  Mirror  equals  hash  Code  accept  get  Kind  get  Underlying  Type  is  Declaration  as  Use  is  Annotated  In  Hierarchy  get  Annotation  In  Hierarchy  get  Effective  Annotation  In  Hierarchy  get  Annotations  get  Annotations  Field  get  Effective  Annotations  get  Annotation  get  Explicit  Annotations  has  Annotation  has  Annotation  get  Effective  Annotation  has  Effective  Annotation  has  Effective  Annotation  has  Explicit  Annotation  has  Annotation  Relaxed  has  Effective  Annotation  Relaxed  has  Explicit  Annotation  Relaxed  has  Explicit  Annotation  add  Annotation  replace  Annotation  add  Annotation  add  Annotations  add  Missing  Annotations  replace  Annotations  remove  Annotation  remove  Annotation  remove  Annotation  In  Hierarchy  remove  Non  Top  Annotation  In  Hierarchy  remove  Annotations  clear  Annotations  to  String  to  String  get  Erased  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  contains  Uninferred  Type  Arguments  default  Action  reduce  create  Type  Of  Object  Annotated  Declared  Type  is  Declaration  deep  Copy  deep  Copy  as  Use  accept  set  Type  Arguments  get  Type  Arguments  was  Raw  set  Was  Raw  get  Underlying  Type  direct  Super  Types  shallow  Copy  shallow  Copy  get  Erased  set  Enclosing  Type  get  Enclosing  Type  Annotated  Executable  Type  is  Var  Args  accept  get  Underlying  Type  add  Annotation  set  Parameter  Types  get  Parameter  Types  set  Return  Type  get  Return  Type  set  Receiver  Type  get  Receiver  Type  set  Thrown  Types  get  Thrown  Types  set  Type  Variables  get  Type  Variables  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  get  Element  set  Element  get  Erased  erasure  List  Annotated  Array  Type  accept  get  Underlying  Type  set  Component  Type  get  Component  Type  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  get  Erased  check  Bound  Annotated  Type  Variable  is  Declaration  add  Annotation  set  Declaration  as  Use  accept  get  Underlying  Type  set  Lower  Bound  get  Lower  Bound  Field  get  Lower  Bound  fixup  Bound  Annotations  replace  Upper  Bound  Annotations  set  Upper  Bound  get  Upper  Bound  Field  get  Upper  Bound  get  Bounds  get  Bound  Fields  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  get  Erased  Annotated  No  Type  accept  get  Underlying  Type  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  Annotated  Null  Type  accept  get  Underlying  Type  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  Annotated  Primitive  Type  accept  get  Underlying  Type  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  Annotated  Wildcard  Type  add  Annotation  set  Super  Bound  get  Super  Bound  Field  get  Super  Bound  set  Extends  Bound  get  Extends  Bound  Field  get  Extends  Bound  fixup  Bound  Annotations  set  Type  Variable  set  Type  Variable  get  Type  Variable  accept  get  Underlying  Type  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  get  Erased  set  Uninferred  Type  Argument  is  Uninferred  Type  Argument  Annotated  Intersection  Type  accept  get  Underlying  Type  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  direct  Super  Types  direct  Super  Types  Field  set  Direct  Super  Types  Annotated  Union  Type  accept  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  get  Alternatives  direct  Super  Types,0,0
7,add  Upper  Bound  Type  From  Value  Type,Annotated  Type  Mirror  Upper  Bound  Annotated  Type  Factory,void,,contains  Same  By  Class  get  Annotations  replace  Annotation,Annotated  Type  Mirror,equality  comparer  hashcode  visitor  atype  Factory  actual  Type  annotations  uninferred  Type  Argument  Scanner  Annotated  Declared  Type  type  Args  was  Raw  enclosing  Type  declaration  Annotated  Executable  Type  element  param  Types  receiver  Type  return  Type  throws  Types  type  Var  Types  Annotated  Array  Type  component  Type  Annotated  Type  Variable  lower  Bound  upper  Bound  declaration  in  Upper  Bounds  Annotated  No  Type  Annotated  Null  Type  Annotated  Primitive  Type  Annotated  Wildcard  Type  super  Bound  extends  Bound  type  Variable  uninferred  Type  Argument  Annotated  Intersection  Type  supertypes  Annotated  Union  Type  alternatives,create  Type  Annotated  Type  Mirror  equals  hash  Code  accept  get  Kind  get  Underlying  Type  is  Declaration  as  Use  is  Annotated  In  Hierarchy  get  Annotation  In  Hierarchy  get  Effective  Annotation  In  Hierarchy  get  Annotations  get  Annotations  Field  get  Effective  Annotations  get  Annotation  get  Explicit  Annotations  has  Annotation  has  Annotation  get  Effective  Annotation  has  Effective  Annotation  has  Effective  Annotation  has  Explicit  Annotation  has  Annotation  Relaxed  has  Effective  Annotation  Relaxed  has  Explicit  Annotation  Relaxed  has  Explicit  Annotation  add  Annotation  replace  Annotation  add  Annotation  add  Annotations  add  Missing  Annotations  replace  Annotations  remove  Annotation  remove  Annotation  remove  Annotation  In  Hierarchy  remove  Non  Top  Annotation  In  Hierarchy  remove  Annotations  clear  Annotations  to  String  to  String  get  Erased  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  contains  Uninferred  Type  Arguments  default  Action  reduce  create  Type  Of  Object  Annotated  Declared  Type  is  Declaration  deep  Copy  deep  Copy  as  Use  accept  set  Type  Arguments  get  Type  Arguments  was  Raw  set  Was  Raw  get  Underlying  Type  direct  Super  Types  shallow  Copy  shallow  Copy  get  Erased  set  Enclosing  Type  get  Enclosing  Type  Annotated  Executable  Type  is  Var  Args  accept  get  Underlying  Type  add  Annotation  set  Parameter  Types  get  Parameter  Types  set  Return  Type  get  Return  Type  set  Receiver  Type  get  Receiver  Type  set  Thrown  Types  get  Thrown  Types  set  Type  Variables  get  Type  Variables  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  get  Element  set  Element  get  Erased  erasure  List  Annotated  Array  Type  accept  get  Underlying  Type  set  Component  Type  get  Component  Type  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  get  Erased  check  Bound  Annotated  Type  Variable  is  Declaration  add  Annotation  set  Declaration  as  Use  accept  get  Underlying  Type  set  Lower  Bound  get  Lower  Bound  Field  get  Lower  Bound  fixup  Bound  Annotations  replace  Upper  Bound  Annotations  set  Upper  Bound  get  Upper  Bound  Field  get  Upper  Bound  get  Bounds  get  Bound  Fields  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  get  Erased  Annotated  No  Type  accept  get  Underlying  Type  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  Annotated  Null  Type  accept  get  Underlying  Type  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  Annotated  Primitive  Type  accept  get  Underlying  Type  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  Annotated  Wildcard  Type  add  Annotation  set  Super  Bound  get  Super  Bound  Field  get  Super  Bound  set  Extends  Bound  get  Extends  Bound  Field  get  Extends  Bound  fixup  Bound  Annotations  set  Type  Variable  set  Type  Variable  get  Type  Variable  accept  get  Underlying  Type  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  get  Erased  set  Uninferred  Type  Argument  is  Uninferred  Type  Argument  Annotated  Intersection  Type  accept  get  Underlying  Type  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  direct  Super  Types  direct  Super  Types  Field  set  Direct  Super  Types  Annotated  Union  Type  accept  deep  Copy  deep  Copy  shallow  Copy  shallow  Copy  get  Alternatives  direct  Super  Types,Upper  Bound  Annotated  Type  Factory,unknown  bottom  poly  imf  Upper  Bound  Type  Annotator  Upper  Bound  Qualifier  Hierarchy  Upper  Bound  Tree  Annotator,Upper  Bound  Annotated  Type  Factory  get  Method  Identifier  create  Supported  Type  Qualifiers  get  Value  Annotated  Type  Factory  get  Search  Index  Annotated  Type  Factory  get  Substring  Index  Annotated  Type  Factory  get  Same  Len  Annotated  Type  Factory  get  Lower  Bound  Annotated  Type  Factory  get  Less  Than  Annotated  Type  Factory  add  Computed  Type  Annotations  add  Computed  Type  Annotations  create  Type  Annotator  Upper  Bound  Type  Annotator  scan  create  Dependent  Types  Helper  same  Len  Annotation  From  Tree  is  Math  Min  is  Random  Next  Int  create  L  T  Length  Of  Annotation  create  L  T  Eq  Length  Of  Annotation  has  Lower  Bound  Type  By  Class  create  Qualifier  Hierarchy  Upper  Bound  Qualifier  Hierarchy  greatest  Lower  Bound  least  Upper  Bound  widened  Upper  Bound  number  Of  Iterations  Before  Widening  is  Subtype  create  Tree  Annotator  Upper  Bound  Tree  Annotator  visit  Method  Invocation  visit  Unary  add  Annotation  For  Bitwise  Complement  visit  Compound  Assignment  visit  Binary  add  Annotation  For  Right  Shift  add  Annotation  For  And  get  Length  Sequence  Tree  add  Annotation  For  Remainder  add  Annotation  For  Divide  plus  Tree  Divide  By  Val  check  For  Math  Random  Special  Case  add  Annotation  For  Multiply  convert  U  B  Qualifier  To  Annotation  from  Less  Than  from  Less  Than  Or  Equal  from  Less  Than  Or  Equal,1,1
8,is  Length  Of  Method  Invocation,Tree,boolean,,get  Kind  is  Length  Of  Method  Invocation  element  From  Use,Index  Method  Identifier,math  Random  random  Next  Double  random  Next  Int  string  Length  math  Min  Methods  math  Max  Methods  factory,Index  Method  Identifier  is  Math  Min  is  Math  Max  is  Math  Random  is  Random  Next  Double  is  Random  Next  Int  is  Length  Of  Method  Invocation  is  Length  Of  Method  Invocation,Node,block  lvalue  assignment  Context  in  Source  type,Node  get  Block  set  Block  get  Tree  get  Type  accept  is  L  Value  set  L  Value  get  In  Source  set  In  Source  get  Assignment  Context  set  Assignment  Context  get  Operands  get  Transitive  Operands  is  Array  Length  Access,0,0
9,is  Length  Of  Method  Invocation,Tree,boolean,,get  Kind  is  Length  Of  Method  Invocation  element  From  Use,Node,block  lvalue  assignment  Context  in  Source  type,Node  get  Block  set  Block  get  Tree  get  Type  accept  is  L  Value  set  L  Value  get  In  Source  set  In  Source  get  Assignment  Context  set  Assignment  Context  get  Operands  get  Transitive  Operands  is  Array  Length  Access,Index  Method  Identifier,math  Random  random  Next  Double  random  Next  Int  string  Length  math  Min  Methods  math  Max  Methods  factory,Index  Method  Identifier  is  Math  Min  is  Math  Max  is  Math  Random  is  Random  Next  Double  is  Random  Next  Int  is  Length  Of  Method  Invocation  is  Length  Of  Method  Invocation,1,0
