id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,is  Node  Value  Defined,D  M  N  Node  D  M  N  Node  D  M  N  Runtime  Impl,boolean,,equals  get  Model  Namespace  or  Else  scope  Namespace  get  Context  get  Namespace  get  Model  is  Defined  get  Context  get  Name  get  Model  Import  Alias  For  get  Model  Namespace  get  Model  Name  is  Present  get  get  Context  get  contains  Key  get  Name,D  M  N  Runtime  Impl,logger  event  Manager  knowledge  Base  override  Runtime  Type  Check,D  M  N  Runtime  Impl  get  Models  get  Model  get  Model  By  Id  evaluate  All  evaluate  Decision  By  Name  evaluate  Decision  By  Id  evaluate  By  Name  evaluate  By  Name  Internal  evaluate  By  Id  evaluate  By  Id  Internal  add  Listener  remove  Listener  has  Listeners  get  Listeners  create  Result  evaluate  Decision  Service  evaluate  Decision  Service  evaluate  B  K  M  walk  Into  Import  Scope  evaluate  Decision  check  Dependency  Value  Is  Valid  get  Identifier  get  Dependency  Identifier  perform  Runtime  Type  Check  set  Option  report  Failure  new  Context  get  Runtime  get  Profiles  get  Root  Class  Loader,D  M  N  Result  Impl,context  messages  decision  Results  model,D  M  N  Result  Impl  set  Context  get  Context  get  Messages  add  All  add  Message  add  Message  add  Message  get  Messages  add  Message  has  Errors  get  Decision  Results  get  Decision  Result  By  Name  get  Decision  Result  By  Id  add  Decision  Result  to  String  get  Model  add  All  Unfiltered,0,0
1,is  Node  Value  Defined,D  M  N  Node  D  M  N  Node  D  M  N  Runtime  Impl,boolean,,equals  get  Model  Namespace  or  Else  scope  Namespace  get  Context  get  Namespace  get  Model  is  Defined  get  Context  get  Name  get  Model  Import  Alias  For  get  Model  Namespace  get  Model  Name  is  Present  get  get  Context  get  contains  Key  get  Name,D  M  N  Result  Impl,context  messages  decision  Results  model,D  M  N  Result  Impl  set  Context  get  Context  get  Messages  add  All  add  Message  add  Message  add  Message  get  Messages  add  Message  has  Errors  get  Decision  Results  get  Decision  Result  By  Name  get  Decision  Result  By  Id  add  Decision  Result  to  String  get  Model  add  All  Unfiltered,D  M  N  Runtime  Impl,logger  event  Manager  knowledge  Base  override  Runtime  Type  Check,D  M  N  Runtime  Impl  get  Models  get  Model  get  Model  By  Id  evaluate  All  evaluate  Decision  By  Name  evaluate  Decision  By  Id  evaluate  By  Name  evaluate  By  Name  Internal  evaluate  By  Id  evaluate  By  Id  Internal  add  Listener  remove  Listener  has  Listeners  get  Listeners  create  Result  evaluate  Decision  Service  evaluate  Decision  Service  evaluate  B  K  M  walk  Into  Import  Scope  evaluate  Decision  check  Dependency  Value  Is  Valid  get  Identifier  get  Dependency  Identifier  perform  Runtime  Type  Check  set  Option  report  Failure  new  Context  get  Runtime  get  Profiles  get  Root  Class  Loader,1,1
2,check  Dependency  Value  Is  Valid,D  M  N  Node  D  M  N  Result  Impl,boolean,,get  Type  is  Assignable  Value  get  get  Context  get  Name,D  M  N  Runtime  Impl,logger  event  Manager  knowledge  Base  override  Runtime  Type  Check,D  M  N  Runtime  Impl  get  Models  get  Model  get  Model  By  Id  evaluate  All  evaluate  Decision  By  Name  evaluate  Decision  By  Id  evaluate  By  Name  evaluate  By  Name  Internal  evaluate  By  Id  evaluate  By  Id  Internal  add  Listener  remove  Listener  has  Listeners  get  Listeners  create  Result  evaluate  Decision  Service  evaluate  Decision  Service  evaluate  B  K  M  walk  Into  Import  Scope  evaluate  Decision  get  Identifier  get  Dependency  Identifier  perform  Runtime  Type  Check  set  Option  report  Failure  new  Context  get  Runtime  get  Profiles  get  Root  Class  Loader,D  M  N  Result  Impl,context  messages  decision  Results  model,D  M  N  Result  Impl  set  Context  get  Context  get  Messages  add  All  add  Message  add  Message  add  Message  get  Messages  add  Message  has  Errors  get  Decision  Results  get  Decision  Result  By  Name  get  Decision  Result  By  Id  add  Decision  Result  to  String  get  Model  add  All  Unfiltered  is  Node  Value  Defined,0,0
3,check  Dependency  Value  Is  Valid,D  M  N  Node  D  M  N  Result  Impl,boolean,,get  Type  is  Assignable  Value  get  get  Context  get  Name,D  M  N  Result  Impl,context  messages  decision  Results  model,D  M  N  Result  Impl  set  Context  get  Context  get  Messages  add  All  add  Message  add  Message  add  Message  get  Messages  add  Message  has  Errors  get  Decision  Results  get  Decision  Result  By  Name  get  Decision  Result  By  Id  add  Decision  Result  to  String  get  Model  add  All  Unfiltered  is  Node  Value  Defined,D  M  N  Runtime  Impl,logger  event  Manager  knowledge  Base  override  Runtime  Type  Check,D  M  N  Runtime  Impl  get  Models  get  Model  get  Model  By  Id  evaluate  All  evaluate  Decision  By  Name  evaluate  Decision  By  Id  evaluate  By  Name  evaluate  By  Name  Internal  evaluate  By  Id  evaluate  By  Id  Internal  add  Listener  remove  Listener  has  Listeners  get  Listeners  create  Result  evaluate  Decision  Service  evaluate  Decision  Service  evaluate  B  K  M  walk  Into  Import  Scope  evaluate  Decision  get  Identifier  get  Dependency  Identifier  perform  Runtime  Type  Check  set  Option  report  Failure  new  Context  get  Runtime  get  Profiles  get  Root  Class  Loader,1,0
4,report  Failure,D  M  N  Decision  Result  Impl  D  M  N  Message  D  M  N  Decision  Result  Decision  Evaluation  Status,void,,add  get  Messages  set  Evaluation  Status,D  M  N  Runtime  Impl,logger  event  Manager  knowledge  Base  override  Runtime  Type  Check,D  M  N  Runtime  Impl  get  Models  get  Model  get  Model  By  Id  evaluate  All  evaluate  Decision  By  Name  evaluate  Decision  By  Id  evaluate  By  Name  evaluate  By  Name  Internal  evaluate  By  Id  evaluate  By  Id  Internal  add  Listener  remove  Listener  has  Listeners  get  Listeners  create  Result  evaluate  Decision  Service  evaluate  Decision  Service  evaluate  B  K  M  walk  Into  Import  Scope  evaluate  Decision  check  Dependency  Value  Is  Valid  get  Identifier  get  Dependency  Identifier  perform  Runtime  Type  Check  set  Option  new  Context  get  Runtime  get  Profiles  get  Root  Class  Loader,D  M  N  Decision  Result  Impl,decision  Id  decision  Name  result  messages  status,D  M  N  Decision  Result  Impl  D  M  N  Decision  Result  Impl  get  Decision  Id  set  Decision  Id  get  Decision  Name  set  Decision  Name  get  Evaluation  Status  set  Evaluation  Status  get  Result  set  Result  get  Messages  set  Messages  has  Errors  to  String,0,0
5,report  Failure,D  M  N  Decision  Result  Impl  D  M  N  Message  D  M  N  Decision  Result  Decision  Evaluation  Status,void,,add  get  Messages  set  Evaluation  Status,D  M  N  Decision  Result  Impl,decision  Id  decision  Name  result  messages  status,D  M  N  Decision  Result  Impl  D  M  N  Decision  Result  Impl  get  Decision  Id  set  Decision  Id  get  Decision  Name  set  Decision  Name  get  Evaluation  Status  set  Evaluation  Status  get  Result  set  Result  get  Messages  set  Messages  has  Errors  to  String,D  M  N  Runtime  Impl,logger  event  Manager  knowledge  Base  override  Runtime  Type  Check,D  M  N  Runtime  Impl  get  Models  get  Model  get  Model  By  Id  evaluate  All  evaluate  Decision  By  Name  evaluate  Decision  By  Id  evaluate  By  Name  evaluate  By  Name  Internal  evaluate  By  Id  evaluate  By  Id  Internal  add  Listener  remove  Listener  has  Listeners  get  Listeners  create  Result  evaluate  Decision  Service  evaluate  Decision  Service  evaluate  B  K  M  walk  Into  Import  Scope  evaluate  Decision  check  Dependency  Value  Is  Valid  get  Identifier  get  Dependency  Identifier  perform  Runtime  Type  Check  set  Option  new  Context  get  Runtime  get  Profiles  get  Root  Class  Loader,1,0
6,is  Duplicate  Event,Msg  Message  D  M  N  Element  D  M  N  F  E  E  L  Helper,boolean,,any  Match  stream  get  Messages  get  Message  Type  get  Type  get  Source  Id  get  Id  get  Source  Id  get  Id  equals  get  Source  Id  get  Id,D  M  N  F  E  E  L  Helper,logger  class  Loader  feel  listener  feel  Profiles  F  E  E  L  Events  Listener  Impl  feel  Events,D  M  N  F  E  E  L  Helper  D  M  N  F  E  E  L  Helper  create  F  E  E  L  Instance  new  F  E  E  L  Instance  value  Matches  In  Unary  Tests  compile  Feel  Expression  evaluate  Function  Def  evaluate  Function  Def  evaluate  Unary  Tests  process  Events  generate  Unary  Tests  Source  on  Event  get  Feel  Events  new  Evaluation  Context  evaluate  Unary  Tests  new  Compiler  Context  compile  generate  Feel  Expression  Source,D  M  N  Model  Impl,Serialization  Format  serialized  As  resource  definitions  inputs  decisions  bkms  item  Defs  decision  Services  messages  types  runtime  Type  Check  import  Aliases  import  Chain  Import  Chain  alias  node  children,D  M  N  Model  Impl  D  M  N  Model  Impl  wire  Type  Registry  get  Type  Registry  get  Namespace  get  Name  get  Definitions  set  Definitions  name  In  Current  Model  add  Input  get  Input  By  Id  get  Input  By  Name  get  Inputs  add  Decision  compute  D  R  G  Element  Model  Local  Id  get  Decision  By  Id  get  Decision  By  Name  get  Decisions  get  Required  Inputs  For  Decision  Name  get  Required  Inputs  For  Decision  Id  add  Decision  Service  get  Decision  Service  By  Id  get  Decision  Service  By  Name  get  Decision  Services  add  Business  Knowledge  Model  get  Business  Knowledge  Model  By  Id  get  Business  Knowledge  Model  By  Name  get  Business  Knowledge  Models  collect  Required  Inputs  add  Item  Definition  get  Item  Definition  By  Id  get  Item  Definition  By  Name  get  Item  Definitions  get  Messages  get  Messages  has  Errors  add  All  add  Message  add  Message  add  Message  add  Message  remove  D  M  N  Node  From  Indexes  set  Resource  get  Resource  is  Runtime  Type  Check  set  Runtime  Type  Check  write  External  read  External  set  Import  Alias  For  N  S  get  Import  Aliases  For  N  S  get  Import  Alias  For  get  Import  Namespace  And  Namefor  Alias  add  Import  Chain  Child  get  Import  Chain  get  Import  Chain  Aliases  Import  Chain  Import  Chain  from  get  Import  Chain  Aliases  add  All  Unfiltered,0,0
7,is  Duplicate  Event,Msg  Message  D  M  N  Element  D  M  N  F  E  E  L  Helper,boolean,,any  Match  stream  get  Messages  get  Message  Type  get  Type  get  Source  Id  get  Id  get  Source  Id  get  Id  equals  get  Source  Id  get  Id,D  M  N  Model  Impl,Serialization  Format  serialized  As  resource  definitions  inputs  decisions  bkms  item  Defs  decision  Services  messages  types  runtime  Type  Check  import  Aliases  import  Chain  Import  Chain  alias  node  children,D  M  N  Model  Impl  D  M  N  Model  Impl  wire  Type  Registry  get  Type  Registry  get  Namespace  get  Name  get  Definitions  set  Definitions  name  In  Current  Model  add  Input  get  Input  By  Id  get  Input  By  Name  get  Inputs  add  Decision  compute  D  R  G  Element  Model  Local  Id  get  Decision  By  Id  get  Decision  By  Name  get  Decisions  get  Required  Inputs  For  Decision  Name  get  Required  Inputs  For  Decision  Id  add  Decision  Service  get  Decision  Service  By  Id  get  Decision  Service  By  Name  get  Decision  Services  add  Business  Knowledge  Model  get  Business  Knowledge  Model  By  Id  get  Business  Knowledge  Model  By  Name  get  Business  Knowledge  Models  collect  Required  Inputs  add  Item  Definition  get  Item  Definition  By  Id  get  Item  Definition  By  Name  get  Item  Definitions  get  Messages  get  Messages  has  Errors  add  All  add  Message  add  Message  add  Message  add  Message  remove  D  M  N  Node  From  Indexes  set  Resource  get  Resource  is  Runtime  Type  Check  set  Runtime  Type  Check  write  External  read  External  set  Import  Alias  For  N  S  get  Import  Aliases  For  N  S  get  Import  Alias  For  get  Import  Namespace  And  Namefor  Alias  add  Import  Chain  Child  get  Import  Chain  get  Import  Chain  Aliases  Import  Chain  Import  Chain  from  get  Import  Chain  Aliases  add  All  Unfiltered,D  M  N  F  E  E  L  Helper,logger  class  Loader  feel  listener  feel  Profiles  F  E  E  L  Events  Listener  Impl  feel  Events,D  M  N  F  E  E  L  Helper  D  M  N  F  E  E  L  Helper  create  F  E  E  L  Instance  new  F  E  E  L  Instance  value  Matches  In  Unary  Tests  compile  Feel  Expression  evaluate  Function  Def  evaluate  Function  Def  evaluate  Unary  Tests  process  Events  generate  Unary  Tests  Source  on  Event  get  Feel  Events  new  Evaluation  Context  evaluate  Unary  Tests  new  Compiler  Context  compile  generate  Feel  Expression  Source,1,1
8,import  From  Model,D  M  N  Model  Impl  D  M  N  Model  String,void,,add  Import  Chain  Child  get  Import  Chain  get  Item  Definitions  register  Type  get  Type  Registry  get  Type  get  Inputs  add  Input  get  Business  Knowledge  Models  add  Business  Knowledge  Model  get  Decisions  add  Decision  get  Decision  Services  add  Decision  Service,D  M  N  Compiler  Impl,logger  evaluator  Compiler  dmn  Compiler  Config  drg  Compilers,D  M  N  Compiler  Impl  D  M  N  Compiler  Impl  add  D  R  G  Element  Compiler  add  D  R  G  Element  Compilers  compile  compile  get  Marshaller  compile  process  Item  Definitions  process  Drg  Elements  detect  Cycles  detect  Cycles  link  Requirements  get  Id  build  Type  Def  resolve  Type  Ref  get  Namespace  And  Name  get  Dmn  Compiler  Config  get  Registered  Extensions  get  Evaluator  Compiler  compile  Node,D  M  N  Model  Impl,Serialization  Format  serialized  As  resource  definitions  inputs  decisions  bkms  item  Defs  decision  Services  messages  types  runtime  Type  Check  import  Aliases  import  Chain  Import  Chain  alias  node  children,is  Duplicate  Event  D  M  N  Model  Impl  D  M  N  Model  Impl  wire  Type  Registry  get  Type  Registry  get  Namespace  get  Name  get  Definitions  set  Definitions  name  In  Current  Model  add  Input  get  Input  By  Id  get  Input  By  Name  get  Inputs  add  Decision  compute  D  R  G  Element  Model  Local  Id  get  Decision  By  Id  get  Decision  By  Name  get  Decisions  get  Required  Inputs  For  Decision  Name  get  Required  Inputs  For  Decision  Id  add  Decision  Service  get  Decision  Service  By  Id  get  Decision  Service  By  Name  get  Decision  Services  add  Business  Knowledge  Model  get  Business  Knowledge  Model  By  Id  get  Business  Knowledge  Model  By  Name  get  Business  Knowledge  Models  collect  Required  Inputs  add  Item  Definition  get  Item  Definition  By  Id  get  Item  Definition  By  Name  get  Item  Definitions  get  Messages  get  Messages  has  Errors  add  All  add  Message  add  Message  add  Message  add  Message  remove  D  M  N  Node  From  Indexes  set  Resource  get  Resource  is  Runtime  Type  Check  set  Runtime  Type  Check  write  External  read  External  set  Import  Alias  For  N  S  get  Import  Aliases  For  N  S  get  Import  Alias  For  get  Import  Namespace  And  Namefor  Alias  add  Import  Chain  Child  get  Import  Chain  get  Import  Chain  Aliases  Import  Chain  Import  Chain  from  get  Import  Chain  Aliases  add  All  Unfiltered,0,0
9,import  From  Model,D  M  N  Model  Impl  D  M  N  Model  String,void,,add  Import  Chain  Child  get  Import  Chain  get  Item  Definitions  register  Type  get  Type  Registry  get  Type  get  Inputs  add  Input  get  Business  Knowledge  Models  add  Business  Knowledge  Model  get  Decisions  add  Decision  get  Decision  Services  add  Decision  Service,D  M  N  Model  Impl,Serialization  Format  serialized  As  resource  definitions  inputs  decisions  bkms  item  Defs  decision  Services  messages  types  runtime  Type  Check  import  Aliases  import  Chain  Import  Chain  alias  node  children,is  Duplicate  Event  D  M  N  Model  Impl  D  M  N  Model  Impl  wire  Type  Registry  get  Type  Registry  get  Namespace  get  Name  get  Definitions  set  Definitions  name  In  Current  Model  add  Input  get  Input  By  Id  get  Input  By  Name  get  Inputs  add  Decision  compute  D  R  G  Element  Model  Local  Id  get  Decision  By  Id  get  Decision  By  Name  get  Decisions  get  Required  Inputs  For  Decision  Name  get  Required  Inputs  For  Decision  Id  add  Decision  Service  get  Decision  Service  By  Id  get  Decision  Service  By  Name  get  Decision  Services  add  Business  Knowledge  Model  get  Business  Knowledge  Model  By  Id  get  Business  Knowledge  Model  By  Name  get  Business  Knowledge  Models  collect  Required  Inputs  add  Item  Definition  get  Item  Definition  By  Id  get  Item  Definition  By  Name  get  Item  Definitions  get  Messages  get  Messages  has  Errors  add  All  add  Message  add  Message  add  Message  add  Message  remove  D  M  N  Node  From  Indexes  set  Resource  get  Resource  is  Runtime  Type  Check  set  Runtime  Type  Check  write  External  read  External  set  Import  Alias  For  N  S  get  Import  Aliases  For  N  S  get  Import  Alias  For  get  Import  Namespace  And  Namefor  Alias  add  Import  Chain  Child  get  Import  Chain  get  Import  Chain  Aliases  Import  Chain  Import  Chain  from  get  Import  Chain  Aliases  add  All  Unfiltered,D  M  N  Compiler  Impl,logger  evaluator  Compiler  dmn  Compiler  Config  drg  Compilers,D  M  N  Compiler  Impl  D  M  N  Compiler  Impl  add  D  R  G  Element  Compiler  add  D  R  G  Element  Compilers  compile  compile  get  Marshaller  compile  process  Item  Definitions  process  Drg  Elements  detect  Cycles  detect  Cycles  link  Requirements  get  Id  build  Type  Def  resolve  Type  Ref  get  Namespace  And  Name  get  Dmn  Compiler  Config  get  Registered  Extensions  get  Evaluator  Compiler  compile  Node,1,0
