id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,groups  Fields,Ordering,boolean,,size  size  get  Involved  Indexes  size  contains  get  get  Involved  Indexes,Ordering,indexes  types  orders,Ordering  Ordering  append  Ordering  get  Number  Of  Fields  get  Involved  Indexes  get  Field  Number  get  Type  get  Order  get  Types  get  Field  Positions  get  Field  Orders  get  Field  Sort  Directions  is  Met  By  is  Order  Equal  On  First  N  Fields  create  New  Ordering  Up  To  Index  clone  hash  Code  equals  to  String,Field  Set,empty  set  collection,Field  Set  Field  Set  Field  Set  Field  Set  Field  Set  Field  Set  Field  Set  Field  Set  add  Field  add  Fields  add  Fields  contains  size  iterator  to  Field  List  to  Array  is  Valid  Subset  hash  Code  equals  to  String  clone  get  Description  Prefix  get  Description  Suffix,0,0
1,groups  Fields,Ordering,boolean,,size  size  get  Involved  Indexes  size  contains  get  get  Involved  Indexes,Field  Set,empty  set  collection,Field  Set  Field  Set  Field  Set  Field  Set  Field  Set  Field  Set  Field  Set  Field  Set  add  Field  add  Fields  add  Fields  contains  size  iterator  to  Field  List  to  Array  is  Valid  Subset  hash  Code  equals  to  String  clone  get  Description  Prefix  get  Description  Suffix,Ordering,indexes  types  orders,Ordering  Ordering  append  Ordering  get  Number  Of  Fields  get  Involved  Indexes  get  Field  Number  get  Type  get  Order  get  Types  get  Field  Positions  get  Field  Orders  get  Field  Sort  Directions  is  Met  By  is  Order  Equal  On  First  N  Fields  create  New  Ordering  Up  To  Index  clone  hash  Code  equals  to  String,1,1
2,path  To  File,Local  File  System,File,,to  File  get  get  Path,Local  File  System,log  local  uri  instance  working  Dir  home  Dir  host  Name,Local  File  System  get  File  Block  Locations  get  File  Status  get  Uri  get  Working  Directory  get  Home  Directory  open  open  create  Recoverable  Writer  exists  list  Status  delete  delete  mkdirs  mkdirs  Internal  create  rename  is  Distributed  F  S  get  Kind  get  Local  Fs  U  R  I  get  Shared  Instance,Path,serial  Version  U  I  D  separator  separator  char  cur  dir  windows  root  dir  regex  uri,Path  Path  Path  Path  Path  Path  check  Path  Arg  Path  Path  initialize  normalize  Path  to  Uri  get  File  System  is  Absolute  get  Name  get  Path  get  Parent  suffix  to  String  equals  hash  Code  compare  To  depth  make  Qualified  read  write  has  Windows  Drive  has  Windows  Drive  from  Local  File,0,0
3,path  To  File,Local  File  System,File,,to  File  get  get  Path,Path,serial  Version  U  I  D  separator  separator  char  cur  dir  windows  root  dir  regex  uri,Path  Path  Path  Path  Path  Path  check  Path  Arg  Path  Path  initialize  normalize  Path  to  Uri  get  File  System  is  Absolute  get  Name  get  Path  get  Parent  suffix  to  String  equals  hash  Code  compare  To  depth  make  Qualified  read  write  has  Windows  Drive  has  Windows  Drive  from  Local  File,Local  File  System,log  local  uri  instance  working  Dir  home  Dir  host  Name,Local  File  System  get  File  Block  Locations  get  File  Status  get  Uri  get  Working  Directory  get  Home  Directory  open  open  create  Recoverable  Writer  exists  list  Status  delete  delete  mkdirs  mkdirs  Internal  create  rename  is  Distributed  F  S  get  Kind  get  Local  Fs  U  R  I  get  Shared  Instance,1,1
4,make  Qualified,File  System,Path,,is  Absolute  get  Working  Directory  to  Uri  get  Uri  get  Scheme  get  Authority  get  Authority  get  Scheme  get  Authority  get  Path,Path,serial  Version  U  I  D  separator  separator  char  cur  dir  windows  root  dir  regex  uri,Path  Path  Path  Path  Path  Path  check  Path  Arg  Path  Path  initialize  normalize  Path  to  Uri  get  File  System  is  Absolute  get  Name  get  Path  get  Parent  suffix  to  String  equals  hash  Code  compare  To  depth  read  write  has  Windows  Drive  has  Windows  Drive  from  Local  File  path  To  File,File  System,Write  Mode  log  output  directory  init  lock  lock  cache  fs  factories  fallback  factory  directly  supported  filesystem  allowed  fallback  filesystems  default  Scheme  F  S  Key  scheme  authority,initialize  initialize  Without  Plugins  initialize  get  Local  File  System  get  get  Unguarded  File  System  get  Default  Fs  Uri  get  Working  Directory  get  Home  Directory  get  Uri  get  File  Status  get  File  Block  Locations  open  open  create  Recoverable  Writer  get  Default  Block  Size  list  Status  exists  delete  mkdirs  create  create  create  rename  is  Distributed  F  S  get  Kind  init  Out  Path  Local  F  S  init  Out  Path  Dist  F  S  load  File  System  Factories  add  All  Factories  To  List  load  Hadoop  Fs  Factory  F  S  Key  equals  hash  Code  to  String,0,0
5,make  Qualified,File  System,Path,,is  Absolute  get  Working  Directory  to  Uri  get  Uri  get  Scheme  get  Authority  get  Authority  get  Scheme  get  Authority  get  Path,File  System,Write  Mode  log  output  directory  init  lock  lock  cache  fs  factories  fallback  factory  directly  supported  filesystem  allowed  fallback  filesystems  default  Scheme  F  S  Key  scheme  authority,initialize  initialize  Without  Plugins  initialize  get  Local  File  System  get  get  Unguarded  File  System  get  Default  Fs  Uri  get  Working  Directory  get  Home  Directory  get  Uri  get  File  Status  get  File  Block  Locations  open  open  create  Recoverable  Writer  get  Default  Block  Size  list  Status  exists  delete  mkdirs  create  create  create  rename  is  Distributed  F  S  get  Kind  init  Out  Path  Local  F  S  init  Out  Path  Dist  F  S  load  File  System  Factories  add  All  Factories  To  List  load  Hadoop  Fs  Factory  F  S  Key  equals  hash  Code  to  String,Path,serial  Version  U  I  D  separator  separator  char  cur  dir  windows  root  dir  regex  uri,Path  Path  Path  Path  Path  Path  check  Path  Arg  Path  Path  initialize  normalize  Path  to  Uri  get  File  System  is  Absolute  get  Name  get  Path  get  Parent  suffix  to  String  equals  hash  Code  compare  To  depth  read  write  has  Windows  Drive  has  Windows  Drive  from  Local  File  path  To  File,1,0
6,check  Is  Castable  To  Defined  Type,Map  String  String  Required  Parameters,void,,has  Type  is  Castable  To  Defined  Type  get  get  Name  get  Name  get  Type,Required  Parameters,help  text  param  delimiter  help  text  line  delimiter  help  text  length  per  param  data,Required  Parameters  add  add  apply  To  check  And  Apply  Default  Value  check  Choices  has  No  Default  Value  And  No  Value  Passed  On  Alternative  Name  check  Ambiguous  Values  get  Help  get  Help  help  Text  missing  Arguments  Text,Option,long  Name  short  Name  default  Value  choices  help  Text  type,Option  alt  type  default  Value  choices  help  get  Name  has  Alt  has  Type  get  Type  get  Alt  get  Help  Text  get  Choices  has  Default  Value  get  Default  Value  set  Default  Value  is  Castable  To  Defined  Type,0,0
7,check  Is  Castable  To  Defined  Type,Map  String  String  Required  Parameters,void,,has  Type  is  Castable  To  Defined  Type  get  get  Name  get  Name  get  Type,Option,long  Name  short  Name  default  Value  choices  help  Text  type,Option  alt  type  default  Value  choices  help  get  Name  has  Alt  has  Type  get  Type  get  Alt  get  Help  Text  get  Choices  has  Default  Value  get  Default  Value  set  Default  Value  is  Castable  To  Defined  Type,Required  Parameters,help  text  param  delimiter  help  text  line  delimiter  help  text  length  per  param  data,Required  Parameters  add  add  apply  To  check  And  Apply  Default  Value  check  Choices  has  No  Default  Value  And  No  Value  Passed  On  Alternative  Name  check  Ambiguous  Values  get  Help  get  Help  help  Text  missing  Arguments  Text,1,1
8,check  Choices,Option  Map  String  String,void,,size  get  Choices  contains  get  Choices  get  get  Name  get  get  Name  get  Name,Required  Parameters,help  text  param  delimiter  help  text  line  delimiter  help  text  length  per  param  data,Required  Parameters  add  add  apply  To  check  And  Apply  Default  Value  has  No  Default  Value  And  No  Value  Passed  On  Alternative  Name  check  Ambiguous  Values  get  Help  get  Help  help  Text  missing  Arguments  Text,Option,long  Name  short  Name  default  Value  choices  help  Text  type,Option  alt  type  default  Value  choices  help  get  Name  has  Alt  has  Type  get  Type  get  Alt  get  Help  Text  get  Choices  has  Default  Value  get  Default  Value  set  Default  Value  is  Castable  To  Defined  Type  check  Is  Castable  To  Defined  Type,0,0
9,check  Choices,Option  Map  String  String,void,,size  get  Choices  contains  get  Choices  get  get  Name  get  get  Name  get  Name,Option,long  Name  short  Name  default  Value  choices  help  Text  type,Option  alt  type  default  Value  choices  help  get  Name  has  Alt  has  Type  get  Type  get  Alt  get  Help  Text  get  Choices  has  Default  Value  get  Default  Value  set  Default  Value  is  Castable  To  Defined  Type  check  Is  Castable  To  Defined  Type,Required  Parameters,help  text  param  delimiter  help  text  line  delimiter  help  text  length  per  param  data,Required  Parameters  add  add  apply  To  check  And  Apply  Default  Value  has  No  Default  Value  And  No  Value  Passed  On  Alternative  Name  check  Ambiguous  Values  get  Help  get  Help  help  Text  missing  Arguments  Text,1,0
10,has  No  Default  Value  And  No  Value  Passed  On  Alternative  Name,Option  Map  String  String,boolean,,has  Alt  contains  Key  get  Alt  put  get  Name  get  get  Alt  has  Default  Value  put  get  Name  get  Default  Value  has  Alt  put  get  Alt  get  Default  Value,Required  Parameters,help  text  param  delimiter  help  text  line  delimiter  help  text  length  per  param  data,Required  Parameters  add  add  apply  To  check  And  Apply  Default  Value  check  Choices  check  Ambiguous  Values  get  Help  get  Help  help  Text  missing  Arguments  Text,Option,long  Name  short  Name  default  Value  choices  help  Text  type,Option  alt  type  default  Value  choices  help  get  Name  has  Alt  has  Type  get  Type  get  Alt  get  Help  Text  get  Choices  has  Default  Value  get  Default  Value  set  Default  Value  is  Castable  To  Defined  Type  check  Is  Castable  To  Defined  Type,0,0
11,has  No  Default  Value  And  No  Value  Passed  On  Alternative  Name,Option  Map  String  String,boolean,,has  Alt  contains  Key  get  Alt  put  get  Name  get  get  Alt  has  Default  Value  put  get  Name  get  Default  Value  has  Alt  put  get  Alt  get  Default  Value,Option,long  Name  short  Name  default  Value  choices  help  Text  type,Option  alt  type  default  Value  choices  help  get  Name  has  Alt  has  Type  get  Type  get  Alt  get  Help  Text  get  Choices  has  Default  Value  get  Default  Value  set  Default  Value  is  Castable  To  Defined  Type  check  Is  Castable  To  Defined  Type,Required  Parameters,help  text  param  delimiter  help  text  line  delimiter  help  text  length  per  param  data,Required  Parameters  add  add  apply  To  check  And  Apply  Default  Value  check  Choices  check  Ambiguous  Values  get  Help  get  Help  help  Text  missing  Arguments  Text,1,0
12,to  Java  Map,Logical  Type  Binary  Map  Data,Map,,to  Object  Array  key  Array  to  Object  Array  value  Array  put,Binary  Map  Data,keys  values,Binary  Map  Data  size  point  To  key  Array  value  Array  copy  copy  hash  Code  value  Of,Logical  Type,is  Nullable  type  Root,Logical  Type  is  Nullable  get  Type  Root  copy  copy  as  Serializable  String  as  Summary  String  supports  Input  Conversion  supports  Output  Conversion  get  Default  Conversion  get  Children  accept  to  String  equals  hash  Code  with  Nullability  conversion  Set,0,0
13,to  Java  Map,Logical  Type  Binary  Map  Data,Map,,to  Object  Array  key  Array  to  Object  Array  value  Array  put,Logical  Type,is  Nullable  type  Root,Logical  Type  is  Nullable  get  Type  Root  copy  copy  as  Serializable  String  as  Summary  String  supports  Input  Conversion  supports  Output  Conversion  get  Default  Conversion  get  Children  accept  to  String  equals  hash  Code  with  Nullability  conversion  Set,Binary  Map  Data,keys  values,Binary  Map  Data  size  point  To  key  Array  value  Array  copy  copy  hash  Code  value  Of,1,1
14,to  Object  Array,Logical  Type,t,,to  Internal  Conversion  Class  new  Instance  is  Null  At  get,Binary  Array  Data,byte  array  base  offset  boolean  array  offset  short  array  offset  int  array  offset  long  array  offset  float  array  offset  double  array  offset  size  element  Offset,calculate  Header  In  Bytes  calculate  Fix  Length  Part  Size  Binary  Array  Data  assert  Index  Is  Valid  get  Element  Offset  size  point  To  is  Null  At  set  Null  At  set  Not  Null  At  get  Long  set  Long  set  Null  Long  get  Int  set  Int  set  Null  Int  get  String  get  Decimal  get  Timestamp  get  Raw  Value  get  Binary  get  Array  get  Map  get  Row  get  Boolean  set  Boolean  set  Null  Boolean  get  Byte  set  Byte  set  Null  Byte  get  Short  set  Short  set  Null  Short  get  Float  set  Float  set  Null  Float  get  Double  set  Double  set  Null  Double  set  Decimal  set  Timestamp  any  Null  check  No  Null  to  Boolean  Array  to  Byte  Array  to  Short  Array  to  Int  Array  to  Long  Array  to  Float  Array  to  Double  Array  copy  copy  hash  Code  from  Primitive  Array  from  Primitive  Array  from  Primitive  Array  from  Primitive  Array  from  Primitive  Array  from  Primitive  Array  from  Primitive  Array  from  Primitive  Array,Logical  Type,is  Nullable  type  Root,Logical  Type  is  Nullable  get  Type  Root  copy  copy  as  Serializable  String  as  Summary  String  supports  Input  Conversion  supports  Output  Conversion  get  Default  Conversion  get  Children  accept  to  String  equals  hash  Code  with  Nullability  conversion  Set  to  Java  Map,0,0
