id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,execute,Http  Uri  Request  Header  String  Client,Http  Response,,starts  With  execute  Path  Only  execute  U  R  I,Client,empty  header  array  log  http  Client  cluster  ssl  Enabled  resp  http  Get  extra  Headers  auth  cookie  auth  cookie  eq  cookie,Client  initialize  Client  Client  shutdown  get  Http  Client  add  Extra  Header  get  Extra  Header  get  Extra  Headers  remove  Extra  Header  execute  Path  Only  execute  U  R  I  negotiate  inject  Token  get  Cluster  set  Cluster  head  head  get  get  get  get  get  get  Response  Body  get  put  put  put  put  put  put  post  post  post  post  post  post  delete  delete  delete  delete,Cluster,nodes  last  Host,Cluster  Cluster  is  Empty  add  add  remove  remove  to  String,0,0
1,execute,Http  Uri  Request  Header  String  Client,Http  Response,,starts  With  execute  Path  Only  execute  U  R  I,Cluster,nodes  last  Host,Cluster  Cluster  is  Empty  add  add  remove  remove  to  String,Client,empty  header  array  log  http  Client  cluster  ssl  Enabled  resp  http  Get  extra  Headers  auth  cookie  auth  cookie  eq  cookie,Client  initialize  Client  Client  shutdown  get  Http  Client  add  Extra  Header  get  Extra  Header  get  Extra  Headers  remove  Extra  Header  execute  Path  Only  execute  U  R  I  negotiate  inject  Token  get  Cluster  set  Cluster  head  head  get  get  get  get  get  get  Response  Body  get  put  put  put  put  put  put  post  post  post  post  post  post  delete  delete  delete  delete,1,1
2,head,String,Response,,head,Client,empty  header  array  log  http  Client  cluster  ssl  Enabled  resp  http  Get  extra  Headers  auth  cookie  auth  cookie  eq  cookie,Client  initialize  Client  Client  shutdown  get  Http  Client  add  Extra  Header  get  Extra  Header  get  Extra  Headers  remove  Extra  Header  execute  Path  Only  execute  U  R  I  negotiate  inject  Token  get  Cluster  set  Cluster  head  get  get  get  get  get  get  Response  Body  get  put  put  put  put  put  put  post  post  post  post  post  post  delete  delete  delete  delete,Cluster,nodes  last  Host,Cluster  Cluster  is  Empty  add  add  remove  remove  to  String  execute,0,0
3,head,String,Response,,head,Cluster,nodes  last  Host,Cluster  Cluster  is  Empty  add  add  remove  remove  to  String  execute,Client,empty  header  array  log  http  Client  cluster  ssl  Enabled  resp  http  Get  extra  Headers  auth  cookie  auth  cookie  eq  cookie,Client  initialize  Client  Client  shutdown  get  Http  Client  add  Extra  Header  get  Extra  Header  get  Extra  Headers  remove  Extra  Header  execute  Path  Only  execute  U  R  I  negotiate  inject  Token  get  Cluster  set  Cluster  head  get  get  get  get  get  get  Response  Body  get  put  put  put  put  put  put  post  post  post  post  post  post  delete  delete  delete  delete,1,0
4,get,String,Response,,get,Client,empty  header  array  log  http  Client  cluster  ssl  Enabled  resp  http  Get  extra  Headers  auth  cookie  auth  cookie  eq  cookie,Client  initialize  Client  Client  shutdown  get  Http  Client  add  Extra  Header  get  Extra  Header  get  Extra  Headers  remove  Extra  Header  execute  Path  Only  execute  U  R  I  negotiate  inject  Token  get  Cluster  set  Cluster  head  head  get  get  get  get  get  Response  Body  get  put  put  put  put  put  put  post  post  post  post  post  post  delete  delete  delete  delete,Cluster,nodes  last  Host,Cluster  Cluster  is  Empty  add  add  remove  remove  to  String  execute,0,0
5,get,String,Response,,get,Cluster,nodes  last  Host,Cluster  Cluster  is  Empty  add  add  remove  remove  to  String  execute,Client,empty  header  array  log  http  Client  cluster  ssl  Enabled  resp  http  Get  extra  Headers  auth  cookie  auth  cookie  eq  cookie,Client  initialize  Client  Client  shutdown  get  Http  Client  add  Extra  Header  get  Extra  Header  get  Extra  Headers  remove  Extra  Header  execute  Path  Only  execute  U  R  I  negotiate  inject  Token  get  Cluster  set  Cluster  head  head  get  get  get  get  get  Response  Body  get  put  put  put  put  put  put  post  post  post  post  post  post  delete  delete  delete  delete,1,0
6,put,String  String  byte,Response,,put,Client,empty  header  array  log  http  Client  cluster  ssl  Enabled  resp  http  Get  extra  Headers  auth  cookie  auth  cookie  eq  cookie,Client  initialize  Client  Client  shutdown  get  Http  Client  add  Extra  Header  get  Extra  Header  get  Extra  Headers  remove  Extra  Header  execute  Path  Only  execute  U  R  I  negotiate  inject  Token  get  Cluster  set  Cluster  head  head  get  get  get  get  get  get  Response  Body  get  put  put  put  put  put  post  post  post  post  post  post  delete  delete  delete  delete,Cluster,nodes  last  Host,Cluster  Cluster  is  Empty  add  add  remove  remove  to  String  execute,0,0
7,put,String  String  byte,Response,,put,Cluster,nodes  last  Host,Cluster  Cluster  is  Empty  add  add  remove  remove  to  String  execute,Client,empty  header  array  log  http  Client  cluster  ssl  Enabled  resp  http  Get  extra  Headers  auth  cookie  auth  cookie  eq  cookie,Client  initialize  Client  Client  shutdown  get  Http  Client  add  Extra  Header  get  Extra  Header  get  Extra  Headers  remove  Extra  Header  execute  Path  Only  execute  U  R  I  negotiate  inject  Token  get  Cluster  set  Cluster  head  head  get  get  get  get  get  get  Response  Body  get  put  put  put  put  put  post  post  post  post  post  post  delete  delete  delete  delete,1,0
8,put,String  String  byte,Response,,put,Client,empty  header  array  log  http  Client  cluster  ssl  Enabled  resp  http  Get  extra  Headers  auth  cookie  auth  cookie  eq  cookie,Client  initialize  Client  Client  shutdown  get  Http  Client  add  Extra  Header  get  Extra  Header  get  Extra  Headers  remove  Extra  Header  execute  Path  Only  execute  U  R  I  negotiate  inject  Token  get  Cluster  set  Cluster  head  head  get  get  get  get  get  get  Response  Body  get  put  put  put  put  put  post  post  post  post  post  post  delete  delete  delete  delete,Cluster,nodes  last  Host,Cluster  Cluster  is  Empty  add  add  remove  remove  to  String  execute,0,0
9,put,String  String  byte,Response,,put,Cluster,nodes  last  Host,Cluster  Cluster  is  Empty  add  add  remove  remove  to  String  execute,Client,empty  header  array  log  http  Client  cluster  ssl  Enabled  resp  http  Get  extra  Headers  auth  cookie  auth  cookie  eq  cookie,Client  initialize  Client  Client  shutdown  get  Http  Client  add  Extra  Header  get  Extra  Header  get  Extra  Headers  remove  Extra  Header  execute  Path  Only  execute  U  R  I  negotiate  inject  Token  get  Cluster  set  Cluster  head  head  get  get  get  get  get  get  Response  Body  get  put  put  put  put  put  post  post  post  post  post  post  delete  delete  delete  delete,1,0
