id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,interpolate  Morph  Track,double  Clip  Action,void,,get  Target  get  Morph  State  get  Data  At  Time  set  Morph  State,Clip  Action,clip  transform,Clip  Action  do  Interpolate  interpolate  Transform  Track  reset  to  String  get  Targets  collect  Transform  jme  Clone  clone  Fields,Morph  Track,length  target  weights  interpolator  times  nb  Morph  Targets,Morph  Track  Morph  Track  get  Weights  get  Times  set  Times  set  Keyframes  get  Length  get  Data  At  Time  set  Frame  Interpolator  get  Target  set  Target  write  read  jme  Clone  clone  Fields,0,0
1,interpolate  Morph  Track,double  Clip  Action,void,,get  Target  get  Morph  State  get  Data  At  Time  set  Morph  State,Morph  Track,length  target  weights  interpolator  times  nb  Morph  Targets,Morph  Track  Morph  Track  get  Weights  get  Times  set  Times  set  Keyframes  get  Length  get  Data  At  Time  set  Frame  Interpolator  get  Target  set  Target  write  read  jme  Clone  clone  Fields,Clip  Action,clip  transform,Clip  Action  do  Interpolate  interpolate  Transform  Track  reset  to  String  get  Targets  collect  Transform  jme  Clone  clone  Fields,1,1
2,find  Joint,String  Armature  Mask,Joint,,get  Joint,Armature  Mask,affected  Joints,contains  create  Mask  create  Mask  add  Bones  add  From  Joint  recurse  Add  Joint,Armature,root  Joints  joint  List  skinning  Matrixes  model  Transform  Class,Armature  Armature  update  create  Skinning  Matrices  set  Model  Transform  Class  instanciate  Joint  Model  Transform  get  Roots  get  Joint  List  get  Joint  get  Joint  get  Joint  Index  get  Joint  Index  save  Bind  Pose  apply  Bind  Pose  save  Initial  Pose  apply  Initial  Pose  compute  Skinning  Matrices  get  Joint  Count  jme  Clone  clone  Fields  read  write,0,0
3,find  Joint,String  Armature  Mask,Joint,,get  Joint,Armature,root  Joints  joint  List  skinning  Matrixes  model  Transform  Class,Armature  Armature  update  create  Skinning  Matrices  set  Model  Transform  Class  instanciate  Joint  Model  Transform  get  Roots  get  Joint  List  get  Joint  get  Joint  get  Joint  Index  get  Joint  Index  save  Bind  Pose  apply  Bind  Pose  save  Initial  Pose  apply  Initial  Pose  compute  Skinning  Matrices  get  Joint  Count  jme  Clone  clone  Fields  read  write,Armature  Mask,affected  Joints,contains  create  Mask  create  Mask  add  Bones  add  From  Joint  recurse  Add  Joint,1,1
4,init  Cpu  Morph  Target,Morph  Control,Morph  Target,,get  Morph  Targets  get  Mesh  get  Buffer  set  Buffer  create  Float  Buffer  capacity  get  Buffer  set  Buffer  create  Float  Buffer  capacity  is  Approximate  Tangents  get  Buffer  set  Buffer  create  Float  Buffer  capacity,Morph  Control,logger  max  morph  buffers  min  weight  targets  target  Locator  approximate  Tangents  null  Number  Of  Bones  tmp  Pos  Array  tmp  Norm  Array  tmp  Tan  Array  buffer  Types  Target  Locator,control  Update  control  Render  get  Max  G  P  U  Targets  bind  Morphtarget  Buffer  write  Cpu  Buffer  merge  Morph  Targets  ensure  Tmp  Arrays  Capacity  merge  Target  Buffer  activate  Buffer  ensure  Capacity  get  Target  Num  Buffers  get  Remaining  Buffers  set  Approximate  Tangents  is  Approximate  Tangents  visit,Geometry,savable  version  logger  mesh  lod  Level  material  ignore  Transform  cached  World  Mat  group  Node  start  Index  morph  State  dirty  Morph  fallback  Morph  Target  nb  Simultaneous  G  P  U  Morph,Geometry  Geometry  Geometry  check  Culling  is  Ignore  Transform  set  Ignore  Transform  set  Lod  Level  get  Lod  Level  get  Vertex  Count  get  Triangle  Count  set  Mesh  get  Mesh  set  Material  get  Material  get  Model  Bound  update  Model  Bound  update  World  Bound  update  World  Transforms  update  World  Light  List  associate  With  Group  Node  unassociate  From  Group  Node  remove  From  Parent  set  Parent  compute  World  Matrix  get  World  Matrix  set  Model  Bound  collide  With  depth  First  Traversal  breadth  First  Traversal  is  Grouped  is  Batched  clone  clone  deep  Clone  old  Deep  Clone  clone  Fields  set  Morph  State  set  Morph  State  is  Dirty  Morph  set  Dirty  Morph  get  Morph  State  get  Morph  State  get  Nb  Simultaneous  G  P  U  Morph  set  Nb  Simultaneous  G  P  U  Morph  get  Fallback  Morph  Target  set  Fallback  Morph  Target  write  read,0,0
5,init  Cpu  Morph  Target,Morph  Control,Morph  Target,,get  Morph  Targets  get  Mesh  get  Buffer  set  Buffer  create  Float  Buffer  capacity  get  Buffer  set  Buffer  create  Float  Buffer  capacity  is  Approximate  Tangents  get  Buffer  set  Buffer  create  Float  Buffer  capacity,Geometry,savable  version  logger  mesh  lod  Level  material  ignore  Transform  cached  World  Mat  group  Node  start  Index  morph  State  dirty  Morph  fallback  Morph  Target  nb  Simultaneous  G  P  U  Morph,Geometry  Geometry  Geometry  check  Culling  is  Ignore  Transform  set  Ignore  Transform  set  Lod  Level  get  Lod  Level  get  Vertex  Count  get  Triangle  Count  set  Mesh  get  Mesh  set  Material  get  Material  get  Model  Bound  update  Model  Bound  update  World  Bound  update  World  Transforms  update  World  Light  List  associate  With  Group  Node  unassociate  From  Group  Node  remove  From  Parent  set  Parent  compute  World  Matrix  get  World  Matrix  set  Model  Bound  collide  With  depth  First  Traversal  breadth  First  Traversal  is  Grouped  is  Batched  clone  clone  deep  Clone  old  Deep  Clone  clone  Fields  set  Morph  State  set  Morph  State  is  Dirty  Morph  set  Dirty  Morph  get  Morph  State  get  Morph  State  get  Nb  Simultaneous  G  P  U  Morph  set  Nb  Simultaneous  G  P  U  Morph  get  Fallback  Morph  Target  set  Fallback  Morph  Target  write  read,Morph  Control,logger  max  morph  buffers  min  weight  targets  target  Locator  approximate  Tangents  null  Number  Of  Bones  tmp  Pos  Array  tmp  Norm  Array  tmp  Tan  Array  buffer  Types  Target  Locator,control  Update  control  Render  get  Max  G  P  U  Targets  bind  Morphtarget  Buffer  write  Cpu  Buffer  merge  Morph  Targets  ensure  Tmp  Arrays  Capacity  merge  Target  Buffer  activate  Buffer  ensure  Capacity  get  Target  Num  Buffers  get  Remaining  Buffers  set  Approximate  Tangents  is  Approximate  Tangents  visit,1,1
6,get  Target  Num  Buffers,Morph  Target,int,,get  Buffer  get  Buffer  get  Buffer,Morph  Control,logger  max  morph  buffers  min  weight  targets  target  Locator  approximate  Tangents  null  Number  Of  Bones  tmp  Pos  Array  tmp  Norm  Array  tmp  Tan  Array  buffer  Types  Target  Locator,control  Update  control  Render  get  Max  G  P  U  Targets  bind  Morphtarget  Buffer  write  Cpu  Buffer  merge  Morph  Targets  ensure  Tmp  Arrays  Capacity  merge  Target  Buffer  activate  Buffer  ensure  Capacity  get  Remaining  Buffers  set  Approximate  Tangents  is  Approximate  Tangents  visit,Morph  Target,buffers  name,Morph  Target  Morph  Target  set  Name  get  Name  set  Buffer  get  Buffer  get  Buffers  get  Num  Buffers  write  read,0,0
7,get  Target  Num  Buffers,Morph  Target,int,,get  Buffer  get  Buffer  get  Buffer,Morph  Target,buffers  name,Morph  Target  Morph  Target  set  Name  get  Name  set  Buffer  get  Buffer  get  Buffers  get  Num  Buffers  write  read,Morph  Control,logger  max  morph  buffers  min  weight  targets  target  Locator  approximate  Tangents  null  Number  Of  Bones  tmp  Pos  Array  tmp  Norm  Array  tmp  Tan  Array  buffer  Types  Target  Locator,control  Update  control  Render  get  Max  G  P  U  Targets  bind  Morphtarget  Buffer  write  Cpu  Buffer  merge  Morph  Targets  ensure  Tmp  Arrays  Capacity  merge  Target  Buffer  activate  Buffer  ensure  Capacity  get  Remaining  Buffers  set  Approximate  Tangents  is  Approximate  Tangents  visit,1,0
8,get  Remaining  Buffers,Mesh  Renderer,int,,get  Array  get  Buffer  List  ordinal  get  Buffer  Type  ordinal  ordinal  get  Buffer  Type  ordinal  get  Buffer  Type  get  Usage  get  get  Limits,Morph  Control,logger  max  morph  buffers  min  weight  targets  target  Locator  approximate  Tangents  null  Number  Of  Bones  tmp  Pos  Array  tmp  Norm  Array  tmp  Tan  Array  buffer  Types  Target  Locator,control  Update  control  Render  get  Max  G  P  U  Targets  bind  Morphtarget  Buffer  write  Cpu  Buffer  merge  Morph  Targets  ensure  Tmp  Arrays  Capacity  merge  Target  Buffer  activate  Buffer  ensure  Capacity  get  Target  Num  Buffers  set  Approximate  Tangents  is  Approximate  Tangents  visit,Mesh,Mode  list  Mode  mesh  Bound  collision  Tree  buffers  List  buffers  lod  Levels  point  Size  line  Width  vertex  Array  I  D  vert  Count  element  Count  instance  Count  patch  Vertex  Count  max  Num  Weights  element  Lengths  mode  Start  mode  morph  Targets,apply  Skinning  Mode  is  List  Mode  Mesh  clone  deep  Clone  clone  For  Anim  jme  Clone  clone  Fields  generate  Bind  Pose  generate  Bind  Pose  prepare  For  Anim  set  Lod  Levels  get  Num  Lod  Levels  get  Lod  Level  get  Element  Lengths  set  Element  Lengths  get  Mode  Start  set  Mode  Start  get  Mode  set  Mode  get  Max  Num  Weights  set  Max  Num  Weights  get  Point  Size  set  Point  Size  get  Line  Width  set  Line  Width  set  Static  set  Dynamic  set  Streamed  set  Interleaved  compute  Num  Elements  compute  Instance  Count  update  Counts  get  Triangle  Count  get  Triangle  Count  get  Vertex  Count  get  Instance  Count  get  Triangle  get  Triangle  get  Triangle  get  Id  set  Id  create  Collision  Data  clear  Collision  Data  collide  With  set  Buffer  clear  Buffer  set  Buffer  set  Buffer  set  Buffer  set  Buffer  set  Buffer  set  Buffer  set  Buffer  set  Buffer  set  Buffer  get  Buffer  get  Float  Buffer  get  Short  Buffer  get  Indices  As  List  get  Index  Buffer  extract  Vertex  Data  scale  Texture  Coordinates  update  Bound  get  Bound  set  Bound  get  Buffers  get  Buffer  List  is  Animated  is  Animated  By  Bone  is  Animated  By  Joint  set  Patch  Vertex  Count  get  Patch  Vertex  Count  add  Morph  Target  get  Morph  Targets  get  Morph  Target  Names  has  Morph  Targets  get  Morph  Index  write  read,0,0
9,get  Remaining  Buffers,Mesh  Renderer,int,,get  Array  get  Buffer  List  ordinal  get  Buffer  Type  ordinal  ordinal  get  Buffer  Type  ordinal  get  Buffer  Type  get  Usage  get  get  Limits,Mesh,Mode  list  Mode  mesh  Bound  collision  Tree  buffers  List  buffers  lod  Levels  point  Size  line  Width  vertex  Array  I  D  vert  Count  element  Count  instance  Count  patch  Vertex  Count  max  Num  Weights  element  Lengths  mode  Start  mode  morph  Targets,apply  Skinning  Mode  is  List  Mode  Mesh  clone  deep  Clone  clone  For  Anim  jme  Clone  clone  Fields  generate  Bind  Pose  generate  Bind  Pose  prepare  For  Anim  set  Lod  Levels  get  Num  Lod  Levels  get  Lod  Level  get  Element  Lengths  set  Element  Lengths  get  Mode  Start  set  Mode  Start  get  Mode  set  Mode  get  Max  Num  Weights  set  Max  Num  Weights  get  Point  Size  set  Point  Size  get  Line  Width  set  Line  Width  set  Static  set  Dynamic  set  Streamed  set  Interleaved  compute  Num  Elements  compute  Instance  Count  update  Counts  get  Triangle  Count  get  Triangle  Count  get  Vertex  Count  get  Instance  Count  get  Triangle  get  Triangle  get  Triangle  get  Id  set  Id  create  Collision  Data  clear  Collision  Data  collide  With  set  Buffer  clear  Buffer  set  Buffer  set  Buffer  set  Buffer  set  Buffer  set  Buffer  set  Buffer  set  Buffer  set  Buffer  set  Buffer  get  Buffer  get  Float  Buffer  get  Short  Buffer  get  Indices  As  List  get  Index  Buffer  extract  Vertex  Data  scale  Texture  Coordinates  update  Bound  get  Bound  set  Bound  get  Buffers  get  Buffer  List  is  Animated  is  Animated  By  Bone  is  Animated  By  Joint  set  Patch  Vertex  Count  get  Patch  Vertex  Count  add  Morph  Target  get  Morph  Targets  get  Morph  Target  Names  has  Morph  Targets  get  Morph  Index  write  read,Morph  Control,logger  max  morph  buffers  min  weight  targets  target  Locator  approximate  Tangents  null  Number  Of  Bones  tmp  Pos  Array  tmp  Norm  Array  tmp  Tan  Array  buffer  Types  Target  Locator,control  Update  control  Render  get  Max  G  P  U  Targets  bind  Morphtarget  Buffer  write  Cpu  Buffer  merge  Morph  Targets  ensure  Tmp  Arrays  Capacity  merge  Target  Buffer  activate  Buffer  ensure  Capacity  get  Target  Num  Buffers  set  Approximate  Tangents  is  Approximate  Tangents  visit,1,0
