id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
0,fill  Content  Element,Element  Atom  Generator,void,,get  Type  set  Attribute  get  Mode  set  Attribute  get  Value  equals  add  Content  equals  add  Content  encode  equals  append  append  to  String  build  remove  Content  get  Root  Element  add  Content,Atom  Generator,atom  uri  atom  ns  version,Atom  Generator  Atom  Generator  get  Version  get  Feed  Namespace  generate  create  Document  create  Root  Element  populate  Feed  add  Feed  add  Entries  add  Entry  populate  Feed  Header  populate  Entry  check  Feed  Header  Constraints  check  Entries  Constraints  check  Entry  Constraints  generate  Link  Element  fill  Person  Element  generate  Tag  Line  Element  generate  Generator  Element  generate  Simple  Element,Content,serial  Version  U  I  D  type  value  src  text  html  xhtml  xml  base  escaped  mode  modes,Content  clone  equals  hash  Code  to  String  get  Type  set  Type  get  Mode  set  Mode  get  Value  set  Value  get  Src  set  Src,0,0
1,fill  Content  Element,Element  Atom  Generator,void,,get  Type  set  Attribute  get  Mode  set  Attribute  get  Value  equals  add  Content  equals  add  Content  encode  equals  append  append  to  String  build  remove  Content  get  Root  Element  add  Content,Content,serial  Version  U  I  D  type  value  src  text  html  xhtml  xml  base  escaped  mode  modes,Content  clone  equals  hash  Code  to  String  get  Type  set  Type  get  Mode  set  Mode  get  Value  set  Value  get  Src  set  Src,Atom  Generator,atom  uri  atom  ns  version,Atom  Generator  Atom  Generator  get  Version  get  Feed  Namespace  generate  create  Document  create  Root  Element  populate  Feed  add  Feed  add  Entries  add  Entry  populate  Feed  Header  populate  Entry  check  Feed  Header  Constraints  check  Entries  Constraints  check  Entry  Constraints  generate  Link  Element  fill  Person  Element  generate  Tag  Line  Element  generate  Generator  Element  generate  Simple  Element,1,1
2,fill  Content  Element,Element  Content,void,,get  Type  equals  equals  equals  set  Attribute  get  Src  set  Attribute  get  Value  equals  index  Of  index  Of  append  append  to  String  build  remove  Content  get  Root  Element  add  Content  add  Content,Atom  Generator,atom  uri  atom  ns  version,Atom  Generator  Atom  Generator  get  Version  get  Feed  Namespace  generate  create  Document  create  Root  Element  populate  Feed  add  Feed  add  Entries  add  Entry  populate  Feed  Header  populate  Entry  check  Feed  Header  Constraints  check  Entries  Constraints  check  Entry  Constraints  generate  Category  Element  generate  Link  Element  fill  Person  Element  generate  Tag  Line  Element  generate  Generator  Element  generate  Simple  Element  serialize  Entry,Content,serial  Version  U  I  D  type  value  src  text  html  xhtml  xml  base  escaped  mode  modes,Content  clone  equals  hash  Code  to  String  get  Type  set  Type  get  Mode  set  Mode  get  Value  set  Value  get  Src  set  Src,0,0
3,fill  Content  Element,Element  Content,void,,get  Type  equals  equals  equals  set  Attribute  get  Src  set  Attribute  get  Value  equals  index  Of  index  Of  append  append  to  String  build  remove  Content  get  Root  Element  add  Content  add  Content,Content,serial  Version  U  I  D  type  value  src  text  html  xhtml  xml  base  escaped  mode  modes,Content  clone  equals  hash  Code  to  String  get  Type  set  Type  get  Mode  set  Mode  get  Value  set  Value  get  Src  set  Src,Atom  Generator,atom  uri  atom  ns  version,Atom  Generator  Atom  Generator  get  Version  get  Feed  Namespace  generate  create  Document  create  Root  Element  populate  Feed  add  Feed  add  Entries  add  Entry  populate  Feed  Header  populate  Entry  check  Feed  Header  Constraints  check  Entries  Constraints  check  Entry  Constraints  generate  Category  Element  generate  Link  Element  fill  Person  Element  generate  Tag  Line  Element  generate  Generator  Element  generate  Simple  Element  serialize  Entry,1,0
4,output  String,boolean  Wire  Feed  Output,String,,output  J  Dom  get  Encoding  get  Pretty  Format  get  Compact  Format  set  Encoding  output  String,Wire  Feed  Output,cl  Map,get  Feed  Generators  get  Supported  Feed  Types  Wire  Feed  Output  output  output  output  output  output  W  C  Dom  output  J  Dom,Wire  Feed,serial  Version  U  I  D  feed  Type  encoding  style  Sheet  modules  foreign  Markup,Wire  Feed  Wire  Feed  clone  equals  hash  Code  to  String  set  Feed  Type  get  Feed  Type  get  Encoding  set  Encoding  get  Modules  set  Modules  get  Module  get  Foreign  Markup  set  Foreign  Markup  get  Style  Sheet  set  Style  Sheet,0,0
5,output  String,boolean  Wire  Feed  Output,String,,output  J  Dom  get  Encoding  get  Pretty  Format  get  Compact  Format  set  Encoding  output  String,Wire  Feed,serial  Version  U  I  D  feed  Type  encoding  style  Sheet  modules  foreign  Markup,Wire  Feed  Wire  Feed  clone  equals  hash  Code  to  String  set  Feed  Type  get  Feed  Type  get  Encoding  set  Encoding  get  Modules  set  Modules  get  Module  get  Foreign  Markup  set  Foreign  Markup  get  Style  Sheet  set  Style  Sheet,Wire  Feed  Output,cl  Map,get  Feed  Generators  get  Supported  Feed  Types  Wire  Feed  Output  output  output  output  output  output  W  C  Dom  output  J  Dom,1,1
6,output,Wire  Feed  File,void,,output,Wire  Feed  Output,cl  Map,get  Feed  Generators  get  Supported  Feed  Types  Wire  Feed  Output  output  String  output  output  output  output  W  C  Dom  output  J  Dom,Wire  Feed,serial  Version  U  I  D  feed  Type  encoding  style  Sheet  modules  foreign  Markup,Wire  Feed  Wire  Feed  clone  equals  hash  Code  to  String  set  Feed  Type  get  Feed  Type  get  Encoding  set  Encoding  get  Modules  set  Modules  get  Module  get  Foreign  Markup  set  Foreign  Markup  get  Style  Sheet  set  Style  Sheet  output  String,0,0
7,output,Wire  Feed  File,void,,output,Wire  Feed,serial  Version  U  I  D  feed  Type  encoding  style  Sheet  modules  foreign  Markup,Wire  Feed  Wire  Feed  clone  equals  hash  Code  to  String  set  Feed  Type  get  Feed  Type  get  Encoding  set  Encoding  get  Modules  set  Modules  get  Module  get  Foreign  Markup  set  Foreign  Markup  get  Style  Sheet  set  Style  Sheet  output  String,Wire  Feed  Output,cl  Map,get  Feed  Generators  get  Supported  Feed  Types  Wire  Feed  Output  output  String  output  output  output  output  W  C  Dom  output  J  Dom,1,0
8,output,Wire  Feed  File,void,,output,Wire  Feed  Output,cl  Map,get  Feed  Generators  get  Supported  Feed  Types  Wire  Feed  Output  output  String  output  output  output  output  W  C  Dom  output  J  Dom,Wire  Feed,serial  Version  U  I  D  feed  Type  encoding  style  Sheet  modules  foreign  Markup,Wire  Feed  Wire  Feed  clone  equals  hash  Code  to  String  set  Feed  Type  get  Feed  Type  get  Encoding  set  Encoding  get  Modules  set  Modules  get  Module  get  Foreign  Markup  set  Foreign  Markup  get  Style  Sheet  set  Style  Sheet  output  String,0,0
9,output,Wire  Feed  File,void,,output,Wire  Feed,serial  Version  U  I  D  feed  Type  encoding  style  Sheet  modules  foreign  Markup,Wire  Feed  Wire  Feed  clone  equals  hash  Code  to  String  set  Feed  Type  get  Feed  Type  get  Encoding  set  Encoding  get  Modules  set  Modules  get  Module  get  Foreign  Markup  set  Foreign  Markup  get  Style  Sheet  set  Style  Sheet  output  String,Wire  Feed  Output,cl  Map,get  Feed  Generators  get  Supported  Feed  Types  Wire  Feed  Output  output  String  output  output  output  output  W  C  Dom  output  J  Dom,1,0
10,output  W  C  Dom,Wire  Feed,orgwcdom  Document,,output  J  Dom  output,Wire  Feed  Output,cl  Map,get  Feed  Generators  get  Supported  Feed  Types  Wire  Feed  Output  output  String  output  output  output  output  output  J  Dom,Wire  Feed,serial  Version  U  I  D  feed  Type  encoding  style  Sheet  modules  foreign  Markup,Wire  Feed  Wire  Feed  clone  equals  hash  Code  to  String  set  Feed  Type  get  Feed  Type  get  Encoding  set  Encoding  get  Modules  set  Modules  get  Module  get  Foreign  Markup  set  Foreign  Markup  get  Style  Sheet  set  Style  Sheet  output  String,0,0
11,output  W  C  Dom,Wire  Feed,orgwcdom  Document,,output  J  Dom  output,Wire  Feed,serial  Version  U  I  D  feed  Type  encoding  style  Sheet  modules  foreign  Markup,Wire  Feed  Wire  Feed  clone  equals  hash  Code  to  String  set  Feed  Type  get  Feed  Type  get  Encoding  set  Encoding  get  Modules  set  Modules  get  Module  get  Foreign  Markup  set  Foreign  Markup  get  Style  Sheet  set  Style  Sheet  output  String,Wire  Feed  Output,cl  Map,get  Feed  Generators  get  Supported  Feed  Types  Wire  Feed  Output  output  String  output  output  output  output  output  J  Dom,1,0
12,create  Synd  Link,Converter  For  Atom,Synd  Link,,set  Rel  get  Rel  set  Type  get  Type  set  Href  get  Href  Resolved  set  Title  get  Title,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Synd  Enclosure  create  Real  Feed  create  Atom  Persons  create  Synd  Persons  create  Atom  Entries  create  Atom  Entry  create  Atom  Link  create  Atom  Enclosure,Link,serial  Version  U  I  D  href  href  Resolved  rel  type  hreflang  title  length,Link  clone  equals  hash  Code  to  String  get  Rel  set  Rel  get  Type  set  Type  get  Href  set  Href  set  Href  Resolved  get  Href  Resolved  get  Title  set  Title  get  Hreflang  set  Hreflang  get  Length  set  Length,0,0
13,create  Synd  Link,Converter  For  Atom,Synd  Link,,set  Rel  get  Rel  set  Type  get  Type  set  Href  get  Href  Resolved  set  Title  get  Title,Link,serial  Version  U  I  D  href  href  Resolved  rel  type  hreflang  title  length,Link  clone  equals  hash  Code  to  String  get  Rel  set  Rel  get  Type  set  Type  get  Href  set  Href  set  Href  Resolved  get  Href  Resolved  get  Title  set  Title  get  Hreflang  set  Hreflang  get  Length  set  Length,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Synd  Enclosure  create  Real  Feed  create  Atom  Persons  create  Synd  Persons  create  Atom  Entries  create  Atom  Entry  create  Atom  Link  create  Atom  Enclosure,1,1
14,create  Synd  Enclosure,Entry  Link,Synd  Enclosure,,set  Url  get  Href  Resolved  set  Type  get  Type  set  Length  get  Length,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Real  Feed  create  Atom  Persons  create  Synd  Persons  create  Atom  Entries  create  Atom  Entry  create  Atom  Link  create  Atom  Enclosure,Link,serial  Version  U  I  D  href  href  Resolved  rel  type  hreflang  title  length,Link  clone  equals  hash  Code  to  String  get  Rel  set  Rel  get  Type  set  Type  get  Href  set  Href  set  Href  Resolved  get  Href  Resolved  get  Title  set  Title  get  Hreflang  set  Hreflang  get  Length  set  Length  create  Synd  Link,0,0
15,create  Synd  Enclosure,Entry  Link,Synd  Enclosure,,set  Url  get  Href  Resolved  set  Type  get  Type  set  Length  get  Length,Link,serial  Version  U  I  D  href  href  Resolved  rel  type  hreflang  title  length,Link  clone  equals  hash  Code  to  String  get  Rel  set  Rel  get  Type  set  Type  get  Href  set  Href  set  Href  Resolved  get  Href  Resolved  get  Title  set  Title  get  Hreflang  set  Hreflang  get  Length  set  Length  create  Synd  Link,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Real  Feed  create  Atom  Persons  create  Synd  Persons  create  Atom  Entries  create  Atom  Entry  create  Atom  Link  create  Atom  Enclosure,1,0
16,create  Synd  Enclosure,Entry  Link,Synd  Enclosure,,set  Url  get  Href  Resolved  set  Type  get  Type  set  Length  get  Length,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Real  Feed  create  Atom  Persons  create  Synd  Persons  create  Atom  Entries  create  Atom  Entry  create  Atom  Link  create  Atom  Enclosure,Entry,serial  Version  U  I  D  summary  title  created  published  updated  source  alternate  Links  authors  categories  contents  contributors  foreign  Markup  modules  other  Links  id  rights  xml  Base,Entry  set  Alternate  Links  get  Alternate  Links  set  Authors  get  Authors  set  Categories  get  Categories  set  Contents  get  Contents  set  Contributors  get  Contributors  set  Created  get  Created  set  Foreign  Markup  get  Foreign  Markup  set  Id  get  Id  set  Issued  get  Issued  is  Media  Entry  set  Modified  get  Modified  get  Module  set  Modules  get  Modules  set  Other  Links  get  Other  Links  set  Published  get  Published  set  Rights  get  Rights  set  Source  get  Source  set  Summary  get  Summary  set  Title  get  Title  set  Title  Ex  get  Title  Ex  set  Updated  get  Updated  set  Xml  Base  get  Xml  Base  clone  equals  hash  Code  to  String  find  Related  Link,0,0
17,create  Synd  Enclosure,Entry  Link,Synd  Enclosure,,set  Url  get  Href  Resolved  set  Type  get  Type  set  Length  get  Length,Entry,serial  Version  U  I  D  summary  title  created  published  updated  source  alternate  Links  authors  categories  contents  contributors  foreign  Markup  modules  other  Links  id  rights  xml  Base,Entry  set  Alternate  Links  get  Alternate  Links  set  Authors  get  Authors  set  Categories  get  Categories  set  Contents  get  Contents  set  Contributors  get  Contributors  set  Created  get  Created  set  Foreign  Markup  get  Foreign  Markup  set  Id  get  Id  set  Issued  get  Issued  is  Media  Entry  set  Modified  get  Modified  get  Module  set  Modules  get  Modules  set  Other  Links  get  Other  Links  set  Published  get  Published  set  Rights  get  Rights  set  Source  get  Source  set  Summary  get  Summary  set  Title  get  Title  set  Title  Ex  get  Title  Ex  set  Updated  get  Updated  set  Xml  Base  get  Xml  Base  clone  equals  hash  Code  to  String  find  Related  Link,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Real  Feed  create  Atom  Persons  create  Synd  Persons  create  Atom  Entries  create  Atom  Entry  create  Atom  Link  create  Atom  Enclosure,1,0
18,create  Synd  Enclosure,Feed  Link  Converter  For  Atom,Synd  Enclosure,,set  Url  get  Href  Resolved  set  Type  get  Type  set  Length  get  Length,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Atom  Enclosure  create  Synd  Link  create  Atom  Link  create  Real  Feed  create  Synd  Content  create  Atom  Entries  create  Atom  Content  create  Atom  Contents  create  Atom  Entry,Link,serial  Version  U  I  D  href  href  Resolved  rel  type  hreflang  title  length,Link  clone  equals  hash  Code  to  String  get  Rel  set  Rel  get  Type  set  Type  get  Href  set  Href  set  Href  Resolved  get  Href  Resolved  get  Title  set  Title  get  Hreflang  set  Hreflang  get  Length  set  Length  create  Synd  Link,0,0
19,create  Synd  Enclosure,Feed  Link  Converter  For  Atom,Synd  Enclosure,,set  Url  get  Href  Resolved  set  Type  get  Type  set  Length  get  Length,Link,serial  Version  U  I  D  href  href  Resolved  rel  type  hreflang  title  length,Link  clone  equals  hash  Code  to  String  get  Rel  set  Rel  get  Type  set  Type  get  Href  set  Href  set  Href  Resolved  get  Href  Resolved  get  Title  set  Title  get  Hreflang  set  Hreflang  get  Length  set  Length  create  Synd  Link,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Atom  Enclosure  create  Synd  Link  create  Atom  Link  create  Real  Feed  create  Synd  Content  create  Atom  Entries  create  Atom  Content  create  Atom  Contents  create  Atom  Entry,1,0
20,create  Synd  Enclosure,Feed  Link  Converter  For  Atom,Synd  Enclosure,,set  Url  get  Href  Resolved  set  Type  get  Type  set  Length  get  Length,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Atom  Enclosure  create  Synd  Link  create  Atom  Link  create  Real  Feed  create  Synd  Content  create  Atom  Entries  create  Atom  Content  create  Atom  Contents  create  Atom  Entry,Entry,serial  Version  U  I  D  summary  title  created  published  updated  source  alternate  Links  authors  categories  contents  contributors  foreign  Markup  modules  other  Links  id  rights  xml  Base,Entry  set  Alternate  Links  get  Alternate  Links  set  Authors  get  Authors  set  Categories  get  Categories  set  Contents  get  Contents  set  Contributors  get  Contributors  set  Created  get  Created  set  Foreign  Markup  get  Foreign  Markup  set  Id  get  Id  set  Issued  get  Issued  is  Media  Entry  set  Modified  get  Modified  get  Module  set  Modules  get  Modules  set  Other  Links  get  Other  Links  set  Published  get  Published  set  Rights  get  Rights  set  Source  get  Source  set  Summary  get  Summary  set  Title  get  Title  set  Title  Ex  get  Title  Ex  set  Updated  get  Updated  set  Xml  Base  get  Xml  Base  clone  equals  hash  Code  to  String  find  Related  Link,0,0
21,create  Synd  Enclosure,Feed  Link  Converter  For  Atom,Synd  Enclosure,,set  Url  get  Href  Resolved  set  Type  get  Type  set  Length  get  Length,Entry,serial  Version  U  I  D  summary  title  created  published  updated  source  alternate  Links  authors  categories  contents  contributors  foreign  Markup  modules  other  Links  id  rights  xml  Base,Entry  set  Alternate  Links  get  Alternate  Links  set  Authors  get  Authors  set  Categories  get  Categories  set  Contents  get  Contents  set  Contributors  get  Contributors  set  Created  get  Created  set  Foreign  Markup  get  Foreign  Markup  set  Id  get  Id  set  Issued  get  Issued  is  Media  Entry  set  Modified  get  Modified  get  Module  set  Modules  get  Modules  set  Other  Links  get  Other  Links  set  Published  get  Published  set  Rights  get  Rights  set  Source  get  Source  set  Summary  get  Summary  set  Title  get  Title  set  Title  Ex  get  Title  Ex  set  Updated  get  Updated  set  Xml  Base  get  Xml  Base  clone  equals  hash  Code  to  String  find  Related  Link,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Atom  Enclosure  create  Synd  Link  create  Atom  Link  create  Real  Feed  create  Synd  Content  create  Atom  Entries  create  Atom  Content  create  Atom  Contents  create  Atom  Entry,1,1
22,create  Synd  Enclosure,Feed  Link  Converter  For  Atom,Synd  Enclosure,,set  Url  get  Href  Resolved  set  Type  get  Type  set  Length  get  Length,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Atom  Enclosure  create  Synd  Link  create  Atom  Link  create  Real  Feed  create  Synd  Content  create  Atom  Entries  create  Atom  Content  create  Atom  Contents  create  Atom  Entry,Feed,serial  Version  U  I  D  xml  Base  categories  authors  contributors  generator  icon  id  logo  rights  subtitle  title  updated  alternate  Links  other  Links  entries  modules  info  language,Feed  Feed  get  Language  set  Language  get  Title  set  Title  get  Title  Ex  set  Title  Ex  get  Alternate  Links  set  Alternate  Links  get  Other  Links  set  Other  Links  get  Authors  set  Authors  get  Contributors  set  Contributors  get  Tagline  set  Tagline  get  Id  set  Id  get  Generator  set  Generator  get  Copyright  set  Copyright  get  Info  set  Info  get  Modified  set  Modified  get  Entries  set  Entries  get  Modules  set  Modules  get  Module  get  Categories  set  Categories  get  Icon  set  Icon  get  Logo  set  Logo  get  Rights  set  Rights  get  Subtitle  set  Subtitle  get  Updated  set  Updated  get  Xml  Base  set  Xml  Base,0,0
23,create  Synd  Enclosure,Feed  Link  Converter  For  Atom,Synd  Enclosure,,set  Url  get  Href  Resolved  set  Type  get  Type  set  Length  get  Length,Feed,serial  Version  U  I  D  xml  Base  categories  authors  contributors  generator  icon  id  logo  rights  subtitle  title  updated  alternate  Links  other  Links  entries  modules  info  language,Feed  Feed  get  Language  set  Language  get  Title  set  Title  get  Title  Ex  set  Title  Ex  get  Alternate  Links  set  Alternate  Links  get  Other  Links  set  Other  Links  get  Authors  set  Authors  get  Contributors  set  Contributors  get  Tagline  set  Tagline  get  Id  set  Id  get  Generator  set  Generator  get  Copyright  set  Copyright  get  Info  set  Info  get  Modified  set  Modified  get  Entries  set  Entries  get  Modules  set  Modules  get  Module  get  Categories  set  Categories  get  Icon  set  Icon  get  Logo  set  Logo  get  Rights  set  Rights  get  Subtitle  set  Subtitle  get  Updated  set  Updated  get  Xml  Base  set  Xml  Base,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Atom  Enclosure  create  Synd  Link  create  Atom  Link  create  Real  Feed  create  Synd  Content  create  Atom  Entries  create  Atom  Content  create  Atom  Contents  create  Atom  Entry,1,0
24,create  Synd  Link,Link,Synd  Link,,set  Rel  get  Rel  set  Type  get  Type  set  Href  get  Href  Resolved  set  Hreflang  get  Hreflang  set  Length  get  Length  set  Title  get  Title,Converter  For  Atom,type,Converter  For  Atom  Converter  For  Atom  get  Type  copy  Into  create  Synd  Links  create  Synd  Entries  create  Synd  Entry  create  Atom  Enclosure  create  Atom  Link  create  Real  Feed  create  Synd  Content  create  Atom  Entries  create  Atom  Content  create  Atom  Contents  create  Atom  Entry,Link,serial  Version  U  I  D  href  href  Resolved  rel  type  hreflang  title  length,Link  clone  equals  hash  Code  to  String  get  Rel  set  Rel  get  Type  set  Type  get  Href  set  Href  set  Href  Resolved  get  Href  Resolved  get  Title  set  Title  get  Hreflang  set  Hreflang  get  Length  set  Length,0,0
