id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
0,make  Initialized,Frame,void,,make  Initialized  get  Locals  make  Initialized  get  Stack,Frame,locals  stack  subroutines,Frame  Frame  Frame  copy  set  Immutable  get  Locals  get  Stack  get  Subroutines  initialize  With  Parameters  sub  Frame  For  Label  merge  With  merge  Subroutine  Lists  adjust  Locals  For  Subroutines  merge  With  Subroutine  Caller  make  New  Subroutine  Start  Frame  make  Exception  Handler  Start  Frame  annotate,Locals  Array  Execution  Stack  Locals  Array  Execution  Stack  Int  List  int  int  Std  Type  List  int  int  Frame  Int  List  Locals  Array  Int  List  Frame  int  int  int  int  Cst  Type  Exception  With  Context,Type,intern  Table  bt  void  bt  boolean  bt  byte  bt  char  bt  double  bt  float  bt  int  bt  long  bt  short  bt  object  bt  addr  bt  count  boolean  byte  char  double  float  int  long  short  void  known  null  return  address  annotation  class  cloneable  method  handle  method  type  var  handle  object  serializable  string  throwable  boolean  class  byte  class  character  class  double  class  float  class  integer  class  long  class  short  class  void  class  boolean  array  byte  array  char  array  double  array  float  array  int  array  long  array  object  array  short  array  descriptor  basic  Type  new  At  class  Name  array  Type  component  Type  initialized  Type,init  Interns  intern  intern  Return  Type  intern  Class  Name  Type  Type  equals  hash  Code  compare  To  to  String  to  Human  get  Type  get  Frame  Type  get  Basic  Type  get  Basic  Frame  Type  is  Constant  get  Descriptor  get  Class  Name  get  Category  is  Category  is  Category  is  Intlike  is  Primitive  is  Reference  is  Array  is  Array  Or  Known  Null  is  Uninitialized  get  New  At  get  Initialized  Type  get  Array  Type  get  Component  Type  as  Uninitialized  put  Intern  clear  Intern  Table,String  String  String  String  int  int  String  int  Object  Type  int  Type  Frame,0,0
1,make  Initialized,Frame,void,,make  Initialized  get  Locals  make  Initialized  get  Stack,Type,intern  Table  bt  void  bt  boolean  bt  byte  bt  char  bt  double  bt  float  bt  int  bt  long  bt  short  bt  object  bt  addr  bt  count  boolean  byte  char  double  float  int  long  short  void  known  null  return  address  annotation  class  cloneable  method  handle  method  type  var  handle  object  serializable  string  throwable  boolean  class  byte  class  character  class  double  class  float  class  integer  class  long  class  short  class  void  class  boolean  array  byte  array  char  array  double  array  float  array  int  array  long  array  object  array  short  array  descriptor  basic  Type  new  At  class  Name  array  Type  component  Type  initialized  Type,init  Interns  intern  intern  Return  Type  intern  Class  Name  Type  Type  equals  hash  Code  compare  To  to  String  to  Human  get  Type  get  Frame  Type  get  Basic  Type  get  Basic  Frame  Type  is  Constant  get  Descriptor  get  Class  Name  get  Category  is  Category  is  Category  is  Intlike  is  Primitive  is  Reference  is  Array  is  Array  Or  Known  Null  is  Uninitialized  get  New  At  get  Initialized  Type  get  Array  Type  get  Component  Type  as  Uninitialized  put  Intern  clear  Intern  Table,String  String  String  String  int  int  String  int  Object  Type  int  Type  Frame,Frame,locals  stack  subroutines,Frame  Frame  Frame  copy  set  Immutable  get  Locals  get  Stack  get  Subroutines  initialize  With  Parameters  sub  Frame  For  Label  merge  With  merge  Subroutine  Lists  adjust  Locals  For  Subroutines  merge  With  Subroutine  Caller  make  New  Subroutine  Start  Frame  make  Exception  Handler  Start  Frame  annotate,Locals  Array  Execution  Stack  Locals  Array  Execution  Stack  Int  List  int  int  Std  Type  List  int  int  Frame  Int  List  Locals  Array  Int  List  Frame  int  int  int  int  Cst  Type  Exception  With  Context,1,1
2,initialize  With  Parameters,Std  Type  List,void,,size  get  set  get  Category,Frame,locals  stack  subroutines,Frame  Frame  Frame  copy  set  Immutable  get  Locals  get  Stack  get  Subroutines  sub  Frame  For  Label  merge  With  merge  Subroutine  Lists  adjust  Locals  For  Subroutines  merge  With  Subroutine  Caller  make  New  Subroutine  Start  Frame  make  Exception  Handler  Start  Frame  annotate,Locals  Array  Execution  Stack  Locals  Array  Execution  Stack  Int  List  int  int  Std  Type  List  int  int  Frame  Int  List  Locals  Array  Int  List  Frame  int  int  int  int  Cst  Type  Exception  With  Context,Std  Type  List,empty  int  long  float  double  object  return  address  throwable  int  int  long  long  float  float  double  double  object  object  int  object  long  object  float  object  double  object  long  int  intarr  int  longarr  int  floatarr  int  doublearr  int  objectarr  int  booleanarr  int  bytearr  int  chararr  int  shortarr  int  int  intarr  int  long  longarr  int  float  floatarr  int  double  doublearr  int  object  objectarr  int  int  booleanarr  int  int  bytearr  int  int  chararr  int  int  shortarr  int,make  make  make  make  to  Human  hash  Contents  equal  Contents  compare  Contents  Std  Type  List  get  Type  get  Word  Count  with  Added  Type  get  set  with  First,Type  Type  Type  Type  Type  Type  Type  Type  Type  Type  Type  List  Type  List  Type  List  Type  List  Type  List  Type  List  int  int  Type  int  int  Type  Type,0,0
3,initialize  With  Parameters,Std  Type  List,void,,size  get  set  get  Category,Std  Type  List,empty  int  long  float  double  object  return  address  throwable  int  int  long  long  float  float  double  double  object  object  int  object  long  object  float  object  double  object  long  int  intarr  int  longarr  int  floatarr  int  doublearr  int  objectarr  int  booleanarr  int  bytearr  int  chararr  int  shortarr  int  int  intarr  int  long  longarr  int  float  floatarr  int  double  doublearr  int  object  objectarr  int  int  booleanarr  int  int  bytearr  int  int  chararr  int  int  shortarr  int,make  make  make  make  to  Human  hash  Contents  equal  Contents  compare  Contents  Std  Type  List  get  Type  get  Word  Count  with  Added  Type  get  set  with  First,Type  Type  Type  Type  Type  Type  Type  Type  Type  Type  Type  List  Type  List  Type  List  Type  List  Type  List  Type  List  int  int  Type  int  int  Type  Type,Frame,locals  stack  subroutines,Frame  Frame  Frame  copy  set  Immutable  get  Locals  get  Stack  get  Subroutines  sub  Frame  For  Label  merge  With  merge  Subroutine  Lists  adjust  Locals  For  Subroutines  merge  With  Subroutine  Caller  make  New  Subroutine  Start  Frame  make  Exception  Handler  Start  Frame  annotate,Locals  Array  Execution  Stack  Locals  Array  Execution  Stack  Int  List  int  int  Std  Type  List  int  int  Frame  Int  List  Locals  Array  Int  List  Frame  int  int  int  int  Cst  Type  Exception  With  Context,1,0
4,merge  Subroutine  Lists,Int  List,Int  List,,equals  size  size  get  get  add  set  Immutable,Frame,locals  stack  subroutines,Frame  Frame  Frame  copy  set  Immutable  get  Locals  get  Stack  get  Subroutines  initialize  With  Parameters  sub  Frame  For  Label  merge  With  adjust  Locals  For  Subroutines  merge  With  Subroutine  Caller  make  New  Subroutine  Start  Frame  make  Exception  Handler  Start  Frame  annotate,Locals  Array  Execution  Stack  Locals  Array  Execution  Stack  Int  List  int  int  Std  Type  List  int  int  Frame  Int  List  Locals  Array  Int  List  Frame  int  int  int  int  Cst  Type  Exception  With  Context,Int  List,empty  values  size  sorted,make  Immutable  make  Immutable  Int  List  Int  List  hash  Code  equals  to  String  size  get  set  add  insert  remove  Index  grow  If  Needed  top  pop  pop  shrink  mutable  Copy  sort  index  Of  binarysearch  contains,int  int  int  int  Object  int  int  int  int  int  int  int  int  int  int  int  int,0,0
5,merge  Subroutine  Lists,Int  List,Int  List,,equals  size  size  get  get  add  set  Immutable,Int  List,empty  values  size  sorted,make  Immutable  make  Immutable  Int  List  Int  List  hash  Code  equals  to  String  size  get  set  add  insert  remove  Index  grow  If  Needed  top  pop  pop  shrink  mutable  Copy  sort  index  Of  binarysearch  contains,int  int  int  int  Object  int  int  int  int  int  int  int  int  int  int  int  int,Frame,locals  stack  subroutines,Frame  Frame  Frame  copy  set  Immutable  get  Locals  get  Stack  get  Subroutines  initialize  With  Parameters  sub  Frame  For  Label  merge  With  adjust  Locals  For  Subroutines  merge  With  Subroutine  Caller  make  New  Subroutine  Start  Frame  make  Exception  Handler  Start  Frame  annotate,Locals  Array  Execution  Stack  Locals  Array  Execution  Stack  Int  List  int  int  Std  Type  List  int  int  Frame  Int  List  Locals  Array  Int  List  Frame  int  int  int  int  Cst  Type  Exception  With  Context,1,0
6,make  Exception  Handler  Start  Frame,Cst  Type,Frame,,copy  get  Stack  clear  push  get  Locals,Frame,locals  stack  subroutines,Frame  Frame  Frame  copy  set  Immutable  get  Locals  get  Stack  get  Subroutines  initialize  With  Parameters  sub  Frame  For  Label  merge  With  merge  Subroutine  Lists  adjust  Locals  For  Subroutines  merge  With  Subroutine  Caller  make  New  Subroutine  Start  Frame  annotate,Locals  Array  Execution  Stack  Locals  Array  Execution  Stack  Int  List  int  int  Std  Type  List  int  int  Frame  Int  List  Locals  Array  Int  List  Frame  int  int  int  int  Cst  Type  Exception  With  Context,Cst  Type,interns  object  boolean  byte  character  double  float  long  integer  short  void  boolean  array  byte  array  char  array  double  array  float  array  long  array  int  array  short  array  method  handle  var  handle  type  descriptor,init  Interns  intern  Initial  for  Boxed  Primitive  Type  intern  Cst  Type  equals  hash  Code  compare  To  to  String  get  Type  type  Name  is  Category  to  Human  get  Class  Type  get  Descriptor  get  Package  Name  clear  Intern  Table  index  Of,Cst  Type  Type  Type  Type  Object  Constant  Type  Ids  Section,0,0
7,make  Exception  Handler  Start  Frame,Cst  Type,Frame,,copy  get  Stack  clear  push  get  Locals,Cst  Type,interns  object  boolean  byte  character  double  float  long  integer  short  void  boolean  array  byte  array  char  array  double  array  float  array  long  array  int  array  short  array  method  handle  var  handle  type  descriptor,init  Interns  intern  Initial  for  Boxed  Primitive  Type  intern  Cst  Type  equals  hash  Code  compare  To  to  String  get  Type  type  Name  is  Category  to  Human  get  Class  Type  get  Descriptor  get  Package  Name  clear  Intern  Table  index  Of,Cst  Type  Type  Type  Type  Object  Constant  Type  Ids  Section,Frame,locals  stack  subroutines,Frame  Frame  Frame  copy  set  Immutable  get  Locals  get  Stack  get  Subroutines  initialize  With  Parameters  sub  Frame  For  Label  merge  With  merge  Subroutine  Lists  adjust  Locals  For  Subroutines  merge  With  Subroutine  Caller  make  New  Subroutine  Start  Frame  annotate,Locals  Array  Execution  Stack  Locals  Array  Execution  Stack  Int  List  int  int  Std  Type  List  int  int  Frame  Int  List  Locals  Array  Int  List  Frame  int  int  int  int  Cst  Type  Exception  With  Context,1,0
8,annotate,Exception  With  Context,void,,annotate  annotate,Frame,locals  stack  subroutines,Frame  Frame  Frame  copy  set  Immutable  get  Locals  get  Stack  get  Subroutines  initialize  With  Parameters  sub  Frame  For  Label  merge  With  merge  Subroutine  Lists  adjust  Locals  For  Subroutines  merge  With  Subroutine  Caller  make  New  Subroutine  Start  Frame  make  Exception  Handler  Start  Frame,Locals  Array  Execution  Stack  Locals  Array  Execution  Stack  Int  List  int  int  Std  Type  List  int  int  Frame  Int  List  Locals  Array  Int  List  Frame  int  int  int  int  Cst  Type  Exception  With  Context,Exception  With  Context,context,with  Context  Exception  With  Context  Exception  With  Context  Exception  With  Context  print  Stack  Trace  print  Stack  Trace  add  Context  get  Context  print  Context  print  Context,Throwable  String  String  Throwable  String  Throwable  Print  Stream  Print  Writer  String  Print  Stream  Print  Writer,0,0
9,annotate,Exception  With  Context,void,,annotate  annotate,Exception  With  Context,context,with  Context  Exception  With  Context  Exception  With  Context  Exception  With  Context  print  Stack  Trace  print  Stack  Trace  add  Context  get  Context  print  Context  print  Context,Throwable  String  String  Throwable  String  Throwable  Print  Stream  Print  Writer  String  Print  Stream  Print  Writer,Frame,locals  stack  subroutines,Frame  Frame  Frame  copy  set  Immutable  get  Locals  get  Stack  get  Subroutines  initialize  With  Parameters  sub  Frame  For  Label  merge  With  merge  Subroutine  Lists  adjust  Locals  For  Subroutines  merge  With  Subroutine  Caller  make  New  Subroutine  Start  Frame  make  Exception  Handler  Start  Frame,Locals  Array  Execution  Stack  Locals  Array  Execution  Stack  Int  List  int  int  Std  Type  List  int  int  Frame  Int  List  Locals  Array  Int  List  Frame  int  int  int  int  Cst  Type  Exception  With  Context,1,0
