id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
0,add  Call,Phone,void,,add  get  Calls  put  get  Call  History  get  Timestamp  set  Phone,Phone,id  person  number  type  calls  call  History  repair  Timestamps,Phone  Phone  get  Id  set  Id  get  Number  get  Person  set  Person  get  Type  set  Type  get  Calls  get  Call  History  get  Repair  Timestamps,String  Long  Person  Phone  Type,Call,id  phone  timestamp  duration,Call  get  Id  set  Id  get  Phone  set  Phone  get  Timestamp  set  Timestamp  get  Duration  set  Duration,Long  Phone  Date  int  Phone,0,0
1,add  Call,Phone,void,,add  get  Calls  put  get  Call  History  get  Timestamp  set  Phone,Call,id  phone  timestamp  duration,Call  get  Id  set  Id  get  Phone  set  Phone  get  Timestamp  set  Timestamp  get  Duration  set  Duration,Long  Phone  Date  int  Phone,Phone,id  person  number  type  calls  call  History  repair  Timestamps,Phone  Phone  get  Id  set  Id  get  Number  get  Person  set  Person  get  Type  set  Type  get  Calls  get  Call  History  get  Repair  Timestamps,String  Long  Person  Phone  Type,1,1
2,add  Phone,Phone,void,,add  set  Person,Person,id  name  nick  Name  address  created  On  phones  addresses  version,Person  Person  get  Id  get  Name  get  Nick  Name  set  Nick  Name  get  Address  set  Address  get  Created  On  set  Created  On  get  Phones  get  Addresses,String  String  String  Date  Phone,Phone,id  person  number  type  calls  call  History  repair  Timestamps,Phone  Phone  get  Id  set  Id  get  Number  get  Person  set  Person  get  Type  set  Type  get  Calls  get  Call  History  get  Repair  Timestamps,String  Long  Person  Phone  Type,0,0
3,add  Phone,Phone,void,,add  set  Person,Phone,id  person  number  type  calls  call  History  repair  Timestamps,Phone  Phone  get  Id  set  Id  get  Number  get  Person  set  Person  get  Type  set  Type  get  Calls  get  Call  History  get  Repair  Timestamps,String  Long  Person  Phone  Type,Person,id  name  nick  Name  address  created  On  phones  addresses  version,Person  Person  get  Id  get  Name  get  Nick  Name  set  Nick  Name  get  Address  set  Address  get  Created  On  set  Created  On  get  Phones  get  Addresses,String  String  String  Date  Phone,1,0
4,prepare  Statement,Connection  String  Session  Event  Listener  Manager  Table  Generator,Prepared  Statement,,log  Statement  get  Formatter  jdbc  Prepare  Statement  Start  prepare  Statement  jdbc  Prepare  Statement  End,Table  Generator,log  config  prefer  segment  per  entity  table  param  def  table  value  column  param  def  value  column  segment  column  param  def  segment  column  segment  value  param  def  segment  value  segment  length  param  def  segment  length  initial  param  default  initial  value  increment  param  default  increment  size  opt  param  store  Last  Used  Value  identifier  Type  qualified  Table  Name  rendered  Table  Name  segment  Column  Name  segment  Value  segment  Value  Length  value  Column  Name  initial  Value  increment  Size  select  Query  insert  Query  update  Query  optimizer  access  Count,generator  Key  get  Identifier  Type  get  Table  Name  get  Segment  Column  Name  get  Segment  Value  get  Segment  Value  Length  get  Value  Column  Name  get  Initial  Value  get  Increment  Size  get  Optimizer  get  Table  Access  Count  configure  determine  Generator  Table  Name  determine  Segment  Column  Name  determine  Value  Column  Name  determine  Segment  Value  determine  Default  Segment  Value  determine  Segment  Column  Size  determine  Initial  Value  determine  Increment  Size  build  Select  Query  build  Update  Query  build  Insert  Query  generate  Insert  Init  Command  make  Value  generate  get  Next  Value  execute  get  Tenant  Identifier  execute  Update  execute  Query  sql  Create  Strings  sql  Drop  Strings  register  Exportables,Type  Properties  Service  Registry  Properties  Jdbc  Environment  Service  Registry  Properties  Jdbc  Environment  Properties  Jdbc  Environment  Properties  Properties  Properties  Properties  Properties  Dialect  Shared  Session  Contract  Implementor  Object  Connection  Prepared  Statement  Session  Event  Listener  Manager  Prepared  Statement  Session  Event  Listener  Manager  Dialect  Dialect  Database,Sql  Statement  Logger,log  log  slow  log  To  Stdout  format  log  Slow  Query,Sql  Statement  Logger  Sql  Statement  Logger  Sql  Statement  Logger  is  Log  To  Stdout  set  Log  To  Stdout  is  Format  set  Format  get  Log  Slow  Query  log  Statement  log  Statement  log  Slow  Query  log  Slow  Query,boolean  boolean  boolean  boolean  long  boolean  boolean  String  String  Formatter  Statement  long  String  long  Connection  String  Session  Event  Listener  Manager  Table  Generator,0,0
5,prepare  Statement,Connection  String  Session  Event  Listener  Manager  Table  Generator,Prepared  Statement,,log  Statement  get  Formatter  jdbc  Prepare  Statement  Start  prepare  Statement  jdbc  Prepare  Statement  End,Sql  Statement  Logger,log  log  slow  log  To  Stdout  format  log  Slow  Query,Sql  Statement  Logger  Sql  Statement  Logger  Sql  Statement  Logger  is  Log  To  Stdout  set  Log  To  Stdout  is  Format  set  Format  get  Log  Slow  Query  log  Statement  log  Statement  log  Slow  Query  log  Slow  Query,boolean  boolean  boolean  boolean  long  boolean  boolean  String  String  Formatter  Statement  long  String  long  Connection  String  Session  Event  Listener  Manager  Table  Generator,Table  Generator,log  config  prefer  segment  per  entity  table  param  def  table  value  column  param  def  value  column  segment  column  param  def  segment  column  segment  value  param  def  segment  value  segment  length  param  def  segment  length  initial  param  default  initial  value  increment  param  default  increment  size  opt  param  store  Last  Used  Value  identifier  Type  qualified  Table  Name  rendered  Table  Name  segment  Column  Name  segment  Value  segment  Value  Length  value  Column  Name  initial  Value  increment  Size  select  Query  insert  Query  update  Query  optimizer  access  Count,generator  Key  get  Identifier  Type  get  Table  Name  get  Segment  Column  Name  get  Segment  Value  get  Segment  Value  Length  get  Value  Column  Name  get  Initial  Value  get  Increment  Size  get  Optimizer  get  Table  Access  Count  configure  determine  Generator  Table  Name  determine  Segment  Column  Name  determine  Value  Column  Name  determine  Segment  Value  determine  Default  Segment  Value  determine  Segment  Column  Size  determine  Initial  Value  determine  Increment  Size  build  Select  Query  build  Update  Query  build  Insert  Query  generate  Insert  Init  Command  make  Value  generate  get  Next  Value  execute  get  Tenant  Identifier  execute  Update  execute  Query  sql  Create  Strings  sql  Drop  Strings  register  Exportables,Type  Properties  Service  Registry  Properties  Jdbc  Environment  Service  Registry  Properties  Jdbc  Environment  Properties  Jdbc  Environment  Properties  Properties  Properties  Properties  Properties  Dialect  Shared  Session  Contract  Implementor  Object  Connection  Prepared  Statement  Session  Event  Listener  Manager  Prepared  Statement  Session  Event  Listener  Manager  Dialect  Dialect  Database,1,1
6,prepare  Statement,Connection  String  Sql  Statement  Logger  Session  Event  Listener  Manager,Prepared  Statement,,log  Statement  get  Formatter  jdbc  Prepare  Statement  Start  prepare  Statement  jdbc  Prepare  Statement  End,Table  Structure,log  logical  Qualified  Table  Name  logical  Value  Column  Name  Identifier  initial  Value  increment  Size  number  Type  table  Name  Text  value  Column  Name  Text  select  Query  update  Query  apply  Increment  Size  To  Source  Values  access  Counter,Table  Structure  get  Name  get  Initial  Value  get  Increment  Size  get  Times  Accessed  prepare  make  Value  build  Callback  get  Next  Value  execute  get  Tenant  Identifier  execute  Update  execute  Query  sql  Create  Strings  sql  Drop  Strings  is  Physical  Sequence  register  Exportables,Jdbc  Environment  Qualified  Name  Identifier  int  int  Class  Optimizer  Shared  Session  Contract  Implementor  Connection  Connection  String  Sql  Statement  Logger  Session  Event  Listener  Manager  Prepared  Statement  Session  Event  Listener  Manager  Prepared  Statement  Session  Event  Listener  Manager  Dialect  Dialect  Database,Sql  Statement  Logger,log  log  slow  log  To  Stdout  format  log  Slow  Query,Sql  Statement  Logger  Sql  Statement  Logger  Sql  Statement  Logger  is  Log  To  Stdout  set  Log  To  Stdout  is  Format  set  Format  get  Log  Slow  Query  log  Statement  log  Statement  log  Slow  Query  log  Slow  Query,boolean  boolean  boolean  boolean  long  boolean  boolean  String  String  Formatter  Statement  long  String  long  Connection  String  Session  Event  Listener  Manager  Table  Generator,0,0
7,prepare  Statement,Connection  String  Sql  Statement  Logger  Session  Event  Listener  Manager,Prepared  Statement,,log  Statement  get  Formatter  jdbc  Prepare  Statement  Start  prepare  Statement  jdbc  Prepare  Statement  End,Sql  Statement  Logger,log  log  slow  log  To  Stdout  format  log  Slow  Query,Sql  Statement  Logger  Sql  Statement  Logger  Sql  Statement  Logger  is  Log  To  Stdout  set  Log  To  Stdout  is  Format  set  Format  get  Log  Slow  Query  log  Statement  log  Statement  log  Slow  Query  log  Slow  Query,boolean  boolean  boolean  boolean  long  boolean  boolean  String  String  Formatter  Statement  long  String  long  Connection  String  Session  Event  Listener  Manager  Table  Generator,Table  Structure,log  logical  Qualified  Table  Name  logical  Value  Column  Name  Identifier  initial  Value  increment  Size  number  Type  table  Name  Text  value  Column  Name  Text  select  Query  update  Query  apply  Increment  Size  To  Source  Values  access  Counter,Table  Structure  get  Name  get  Initial  Value  get  Increment  Size  get  Times  Accessed  prepare  make  Value  build  Callback  get  Next  Value  execute  get  Tenant  Identifier  execute  Update  execute  Query  sql  Create  Strings  sql  Drop  Strings  is  Physical  Sequence  register  Exportables,Jdbc  Environment  Qualified  Name  Identifier  int  int  Class  Optimizer  Shared  Session  Contract  Implementor  Connection  Connection  String  Sql  Statement  Logger  Session  Event  Listener  Manager  Prepared  Statement  Session  Event  Listener  Manager  Prepared  Statement  Session  Event  Listener  Manager  Dialect  Dialect  Database,1,0
8,determine  Sequence  Name,Properties  Jdbc  Environment  Service  Registry  Sequence  Style  Generator,Qualified  Name,,get  String  get  Setting  get  Service  get  Property  is  Not  Empty  get  Boolean  get  Property  get  String  contains  parse  to  Identifier  get  Identifier  Helper  get  String  to  Identifier  get  Identifier  Helper  get  String  to  Identifier  get  Identifier  Helper,Sequence  Style  Generator,log  sequence  param  def  sequence  name  initial  param  default  initial  value  increment  param  default  increment  size  config  prefer  sequence  per  entity  config  sequence  per  entity  suffix  def  sequence  suffix  opt  param  force  tbl  param  value  column  param  def  value  column  database  Structure  optimizer  identifier  Type,get  Database  Structure  get  Optimizer  get  Identifier  Type  configure  determine  Value  Column  Name  determine  Initial  Value  determine  Increment  Size  determine  Optimization  Strategy  determine  Adjusted  Increment  Size  build  Database  Structure  is  Physical  Sequence  build  Sequence  Structure  build  Table  Structure  generate  generator  Key  sql  Create  Strings  sql  Drop  Strings  supports  Bulk  Insertion  Identifier  Generation  determine  Bulk  Insertion  Identifier  Generation  Select  Fragment  register  Exportables  get  Sequence  Increment  Value,Type  Properties  Service  Registry  Properties  Jdbc  Environment  Properties  Properties  Properties  int  String  int  Type  Properties  Jdbc  Environment  boolean  Qualified  Name  int  int  Jdbc  Environment  boolean  Type  Properties  Jdbc  Environment  Qualified  Name  int  int  Type  Properties  Jdbc  Environment  Qualified  Name  int  int  Shared  Session  Contract  Implementor  Object  Dialect  Dialect  Dialect  Database  Jdbc  Environment  String,Dialect,log  default  batch  size  no  batch  quote  closed  quote  single  quote  pattern  two  single  quotes  replacement  type  Names  hibernate  Type  Names  properties  sql  Functions  sql  Keywords  unique  Delegate  legacy  Limit  Handler  Behavior  legacy  lob  merge  strategy  stream  xfer  lob  merge  strategy  new  locator  lob  merge  strategy  extracter  table  Exporter  sequence  Exporter  index  Exporter  foreign  Key  Exporter  unique  Key  Exporter  auxiliary  Object  Exporter  standard  default  batch  load  sizing  strategy,Dialect  get  Dialect  get  Dialect  instantiate  Dialect  get  Default  Properties  to  String  contribute  Types  get  Type  Name  get  Type  Name  get  Cast  Type  Name  cast  cast  cast  register  Column  Type  register  Column  Type  remap  Sql  Type  Descriptor  get  Sql  Type  Descriptor  Override  merge  Blob  merge  Clob  merge  N  Clob  merge  Blob  merge  Clob  merge  N  Clob  merge  Blob  merge  Clob  merge  N  Clob  get  Lob  Merge  Strategy  get  Hibernate  Type  Name  is  Type  Name  Registered  get  Hibernate  Type  Name  register  Hibernate  Type  register  Hibernate  Type  register  Function  get  Functions  get  Native  Identifier  Generator  Class  get  Native  Identifier  Generator  Strategy  get  Identity  Column  Support  supports  Sequences  supports  Pooled  Sequences  get  Sequence  Next  Val  String  get  Select  Sequence  Next  Val  String  get  Create  Sequence  Strings  get  Create  Sequence  Strings  get  Create  Sequence  String  get  Create  Sequence  String  get  Drop  Sequence  Strings  get  Drop  Sequence  String  get  Query  Sequences  String  get  Sequence  Information  Extractor  get  Select  G  U  I  D  String  get  Limit  Handler  supports  Limit  supports  Limit  Offset  supports  Variable  Limit  bind  Limit  Parameters  In  Reverse  Order  bind  Limit  Parameters  First  use  Max  For  Limit  force  Limit  Usage  get  Limit  String  get  Limit  String  convert  To  First  Row  Value  supports  Lock  Timeouts  is  Lock  Timeout  Parameterized  get  Locking  Strategy  get  For  Update  String  get  For  Update  String  get  For  Update  String  get  For  Update  String  get  Write  Lock  String  get  Write  Lock  String  get  Read  Lock  String  get  Read  Lock  String  for  Update  Of  Columns  supports  Outer  Join  For  Update  get  For  Update  String  get  For  Update  String  get  For  Update  Nowait  String  get  For  Update  Skip  Locked  String  get  For  Update  Nowait  String  get  For  Update  Skip  Locked  String  append  Lock  Hint  append  Lock  Hint  apply  Locks  To  Sql  get  Create  Table  String  get  Alter  Table  String  get  Create  Multiset  Table  String  get  Default  Multi  Table  Bulk  Id  Strategy  register  Result  Set  Out  Parameter  register  Result  Set  Out  Parameter  get  Result  Set  get  Result  Set  get  Result  Set  supports  Current  Timestamp  Selection  is  Current  Timestamp  Select  String  Callable  get  Current  Timestamp  Select  String  get  Current  Timestamp  S  Q  L  Function  Name  build  S  Q  L  Exception  Converter  build  S  Q  L  Exception  Conversion  Delegate  extract  Constraint  Name  get  Violated  Constraint  Name  Extracter  get  Select  Clause  Null  String  supports  Union  All  create  Outer  Join  Fragment  create  Case  Fragment  get  No  Columns  Insert  String  supports  No  Columns  Insert  get  Lowercase  Function  get  Case  Insensitive  Like  supports  Case  Insensitive  Like  transform  Select  String  get  Max  Alias  Length  to  Boolean  Value  String  register  Keyword  get  Keywords  build  Identifier  Helper  open  Quote  close  Quote  quote  get  Table  Exporter  get  Sequence  Exporter  get  Index  Exporter  get  Foreign  Key  Exporter  get  Unique  Key  Exporter  get  Auxiliary  Database  Object  Exporter  can  Create  Catalog  get  Create  Catalog  Command  get  Drop  Catalog  Command  can  Create  Schema  get  Create  Schema  Command  get  Drop  Schema  Command  get  Current  Schema  Command  get  Schema  Name  Resolver  has  Alter  Table  drop  Constraints  qualify  Index  Name  get  Add  Column  String  get  Add  Column  Suffix  String  get  Drop  Foreign  Key  String  get  Table  Type  String  get  Add  Foreign  Key  Constraint  String  get  Add  Foreign  Key  Constraint  String  get  Add  Primary  Key  Constraint  String  has  Self  Referential  Foreign  Key  Bug  get  Null  Column  String  supports  Comment  On  get  Table  Comment  get  Column  Comment  supports  If  Exists  Before  Table  Name  supports  If  Exists  After  Table  Name  supports  If  Exists  Before  Constraint  Name  supports  If  Exists  After  Constraint  Name  supports  If  Exists  After  Alter  Table  get  Drop  Table  String  supports  Column  Check  supports  Table  Check  supports  Cascade  Delete  get  Cascade  Constraints  String  get  Cross  Join  Separator  get  Column  Alias  Extractor  supports  Empty  In  List  are  String  Comparisons  Case  Insensitive  supports  Row  Value  Constructor  Syntax  supports  Row  Value  Constructor  Syntax  In  In  List  use  Input  Stream  To  Insert  Blob  supports  Parameters  In  Insert  Select  replace  Result  Variable  In  Order  By  Clause  With  Position  render  Order  By  Element  requires  Casting  Of  Parameters  In  Select  Clause  supports  Result  Set  Position  Query  Methods  On  Forward  Only  Cursor  supports  Circular  Cascade  Delete  Constraints  supports  Subselect  As  In  Predicate  L  H  S  supports  Expected  Lob  Usage  Pattern  supports  Lob  Value  Change  Propogation  supports  Unbounded  Lob  Locator  Materialization  supports  Subquery  On  Mutating  Table  supports  Exists  In  Select  does  Read  Committed  Cause  Writers  To  Block  Readers  does  Repeatable  Read  Cause  Readers  To  Block  Writers  supports  Bind  As  Callable  Argument  supports  Tuple  Counts  supports  Tuple  Distinct  Counts  requires  Parens  For  Tuple  Distinct  Counts  get  In  Expression  Count  Limit  force  Lob  As  Last  Value  use  Follow  On  Locking  use  Follow  On  Locking  get  Not  Expression  get  Unique  Delegate  supports  Unique  supports  Unique  Constraint  In  Create  Alter  Table  get  Add  Unique  Constraint  String  supports  Not  Null  Unique  get  Query  Hint  String  get  Query  Hint  String  default  Scroll  Mode  supports  Tuples  In  Subqueries  get  Callable  Statement  Support  get  Name  Qualifier  Support  determine  Optimal  Batch  Load  Size  get  Default  Batch  Load  Sizing  Strategy  is  Jdbc  Log  Warnings  Enabled  By  Default  augment  Recognized  Table  Types  supports  Partition  By  supports  Named  Parameters  supports  Nationalized  Types  supports  Non  Query  With  C  T  E  supports  Values  List  supports  Skip  Locked  supports  No  Wait  is  Legacy  Limit  Handler  Behavior  Enabled  inline  Literal  supports  Jdbc  Connection  Lob  Creation  escape  Literal  resolve  Legacy  Limit  Handler  Behavior  add  Sql  Hint  Or  Comment  prepend  Comment  supports  Select  Alias  In  Group  By  Clause,Properties  String  Type  Contributions  Service  Registry  int  int  long  int  int  int  String  int  int  int  int  String  int  int  String  int  int  int  int  long  String  int  String  Sql  Type  Descriptor  int  Blob  Blob  Shared  Session  Contract  Implementor  Clob  Clob  Shared  Session  Contract  Implementor  N  Clob  N  Clob  Shared  Session  Contract  Implementor  Blob  Blob  Shared  Session  Contract  Implementor  Clob  Clob  Shared  Session  Contract  Implementor  N  Clob  N  Clob  Shared  Session  Contract  Implementor  Blob  Blob  Shared  Session  Contract  Implementor  Clob  Clob  Shared  Session  Contract  Implementor  N  Clob  N  Clob  Shared  Session  Contract  Implementor  int  String  int  int  int  int  int  long  String  int  String  String  S  Q  L  Function  String  String  String  String  int  int  String  String  int  int  String  String  String  int  int  String  boolean  int  Lockable  Lock  Mode  Lock  Options  Lock  Mode  int  Lock  Mode  int  String  int  int  String  int  String  String  Lock  Options  String  String  Lock  Mode  String  Lock  Options  String  String  Lock  Options  String  String  Callable  Statement  int  Callable  Statement  String  Callable  Statement  Callable  Statement  int  Callable  Statement  String  S  Q  L  Exception  int  String  boolean  String  Identifier  Helper  Builder  Database  Meta  Data  String  String  String  String  String  String  String  String  String  boolean  String  String  String  String  String  String  String  String  String  Null  Precedence  Query  Parameters  String  String  String  List  String  String  String  int  int  List  String  Database  Meta  Data  String  Database  Meta  Data  String  Service  Registry  String  Query  Parameters  boolean  String  String  Properties  Jdbc  Environment  Service  Registry  Sequence  Style  Generator,0,0
9,determine  Sequence  Name,Properties  Jdbc  Environment  Service  Registry  Sequence  Style  Generator,Qualified  Name,,get  String  get  Setting  get  Service  get  Property  is  Not  Empty  get  Boolean  get  Property  get  String  contains  parse  to  Identifier  get  Identifier  Helper  get  String  to  Identifier  get  Identifier  Helper  get  String  to  Identifier  get  Identifier  Helper,Dialect,log  default  batch  size  no  batch  quote  closed  quote  single  quote  pattern  two  single  quotes  replacement  type  Names  hibernate  Type  Names  properties  sql  Functions  sql  Keywords  unique  Delegate  legacy  Limit  Handler  Behavior  legacy  lob  merge  strategy  stream  xfer  lob  merge  strategy  new  locator  lob  merge  strategy  extracter  table  Exporter  sequence  Exporter  index  Exporter  foreign  Key  Exporter  unique  Key  Exporter  auxiliary  Object  Exporter  standard  default  batch  load  sizing  strategy,Dialect  get  Dialect  get  Dialect  instantiate  Dialect  get  Default  Properties  to  String  contribute  Types  get  Type  Name  get  Type  Name  get  Cast  Type  Name  cast  cast  cast  register  Column  Type  register  Column  Type  remap  Sql  Type  Descriptor  get  Sql  Type  Descriptor  Override  merge  Blob  merge  Clob  merge  N  Clob  merge  Blob  merge  Clob  merge  N  Clob  merge  Blob  merge  Clob  merge  N  Clob  get  Lob  Merge  Strategy  get  Hibernate  Type  Name  is  Type  Name  Registered  get  Hibernate  Type  Name  register  Hibernate  Type  register  Hibernate  Type  register  Function  get  Functions  get  Native  Identifier  Generator  Class  get  Native  Identifier  Generator  Strategy  get  Identity  Column  Support  supports  Sequences  supports  Pooled  Sequences  get  Sequence  Next  Val  String  get  Select  Sequence  Next  Val  String  get  Create  Sequence  Strings  get  Create  Sequence  Strings  get  Create  Sequence  String  get  Create  Sequence  String  get  Drop  Sequence  Strings  get  Drop  Sequence  String  get  Query  Sequences  String  get  Sequence  Information  Extractor  get  Select  G  U  I  D  String  get  Limit  Handler  supports  Limit  supports  Limit  Offset  supports  Variable  Limit  bind  Limit  Parameters  In  Reverse  Order  bind  Limit  Parameters  First  use  Max  For  Limit  force  Limit  Usage  get  Limit  String  get  Limit  String  convert  To  First  Row  Value  supports  Lock  Timeouts  is  Lock  Timeout  Parameterized  get  Locking  Strategy  get  For  Update  String  get  For  Update  String  get  For  Update  String  get  For  Update  String  get  Write  Lock  String  get  Write  Lock  String  get  Read  Lock  String  get  Read  Lock  String  for  Update  Of  Columns  supports  Outer  Join  For  Update  get  For  Update  String  get  For  Update  String  get  For  Update  Nowait  String  get  For  Update  Skip  Locked  String  get  For  Update  Nowait  String  get  For  Update  Skip  Locked  String  append  Lock  Hint  append  Lock  Hint  apply  Locks  To  Sql  get  Create  Table  String  get  Alter  Table  String  get  Create  Multiset  Table  String  get  Default  Multi  Table  Bulk  Id  Strategy  register  Result  Set  Out  Parameter  register  Result  Set  Out  Parameter  get  Result  Set  get  Result  Set  get  Result  Set  supports  Current  Timestamp  Selection  is  Current  Timestamp  Select  String  Callable  get  Current  Timestamp  Select  String  get  Current  Timestamp  S  Q  L  Function  Name  build  S  Q  L  Exception  Converter  build  S  Q  L  Exception  Conversion  Delegate  extract  Constraint  Name  get  Violated  Constraint  Name  Extracter  get  Select  Clause  Null  String  supports  Union  All  create  Outer  Join  Fragment  create  Case  Fragment  get  No  Columns  Insert  String  supports  No  Columns  Insert  get  Lowercase  Function  get  Case  Insensitive  Like  supports  Case  Insensitive  Like  transform  Select  String  get  Max  Alias  Length  to  Boolean  Value  String  register  Keyword  get  Keywords  build  Identifier  Helper  open  Quote  close  Quote  quote  get  Table  Exporter  get  Sequence  Exporter  get  Index  Exporter  get  Foreign  Key  Exporter  get  Unique  Key  Exporter  get  Auxiliary  Database  Object  Exporter  can  Create  Catalog  get  Create  Catalog  Command  get  Drop  Catalog  Command  can  Create  Schema  get  Create  Schema  Command  get  Drop  Schema  Command  get  Current  Schema  Command  get  Schema  Name  Resolver  has  Alter  Table  drop  Constraints  qualify  Index  Name  get  Add  Column  String  get  Add  Column  Suffix  String  get  Drop  Foreign  Key  String  get  Table  Type  String  get  Add  Foreign  Key  Constraint  String  get  Add  Foreign  Key  Constraint  String  get  Add  Primary  Key  Constraint  String  has  Self  Referential  Foreign  Key  Bug  get  Null  Column  String  supports  Comment  On  get  Table  Comment  get  Column  Comment  supports  If  Exists  Before  Table  Name  supports  If  Exists  After  Table  Name  supports  If  Exists  Before  Constraint  Name  supports  If  Exists  After  Constraint  Name  supports  If  Exists  After  Alter  Table  get  Drop  Table  String  supports  Column  Check  supports  Table  Check  supports  Cascade  Delete  get  Cascade  Constraints  String  get  Cross  Join  Separator  get  Column  Alias  Extractor  supports  Empty  In  List  are  String  Comparisons  Case  Insensitive  supports  Row  Value  Constructor  Syntax  supports  Row  Value  Constructor  Syntax  In  In  List  use  Input  Stream  To  Insert  Blob  supports  Parameters  In  Insert  Select  replace  Result  Variable  In  Order  By  Clause  With  Position  render  Order  By  Element  requires  Casting  Of  Parameters  In  Select  Clause  supports  Result  Set  Position  Query  Methods  On  Forward  Only  Cursor  supports  Circular  Cascade  Delete  Constraints  supports  Subselect  As  In  Predicate  L  H  S  supports  Expected  Lob  Usage  Pattern  supports  Lob  Value  Change  Propogation  supports  Unbounded  Lob  Locator  Materialization  supports  Subquery  On  Mutating  Table  supports  Exists  In  Select  does  Read  Committed  Cause  Writers  To  Block  Readers  does  Repeatable  Read  Cause  Readers  To  Block  Writers  supports  Bind  As  Callable  Argument  supports  Tuple  Counts  supports  Tuple  Distinct  Counts  requires  Parens  For  Tuple  Distinct  Counts  get  In  Expression  Count  Limit  force  Lob  As  Last  Value  use  Follow  On  Locking  use  Follow  On  Locking  get  Not  Expression  get  Unique  Delegate  supports  Unique  supports  Unique  Constraint  In  Create  Alter  Table  get  Add  Unique  Constraint  String  supports  Not  Null  Unique  get  Query  Hint  String  get  Query  Hint  String  default  Scroll  Mode  supports  Tuples  In  Subqueries  get  Callable  Statement  Support  get  Name  Qualifier  Support  determine  Optimal  Batch  Load  Size  get  Default  Batch  Load  Sizing  Strategy  is  Jdbc  Log  Warnings  Enabled  By  Default  augment  Recognized  Table  Types  supports  Partition  By  supports  Named  Parameters  supports  Nationalized  Types  supports  Non  Query  With  C  T  E  supports  Values  List  supports  Skip  Locked  supports  No  Wait  is  Legacy  Limit  Handler  Behavior  Enabled  inline  Literal  supports  Jdbc  Connection  Lob  Creation  escape  Literal  resolve  Legacy  Limit  Handler  Behavior  add  Sql  Hint  Or  Comment  prepend  Comment  supports  Select  Alias  In  Group  By  Clause,Properties  String  Type  Contributions  Service  Registry  int  int  long  int  int  int  String  int  int  int  int  String  int  int  String  int  int  int  int  long  String  int  String  Sql  Type  Descriptor  int  Blob  Blob  Shared  Session  Contract  Implementor  Clob  Clob  Shared  Session  Contract  Implementor  N  Clob  N  Clob  Shared  Session  Contract  Implementor  Blob  Blob  Shared  Session  Contract  Implementor  Clob  Clob  Shared  Session  Contract  Implementor  N  Clob  N  Clob  Shared  Session  Contract  Implementor  Blob  Blob  Shared  Session  Contract  Implementor  Clob  Clob  Shared  Session  Contract  Implementor  N  Clob  N  Clob  Shared  Session  Contract  Implementor  int  String  int  int  int  int  int  long  String  int  String  String  S  Q  L  Function  String  String  String  String  int  int  String  String  int  int  String  String  String  int  int  String  boolean  int  Lockable  Lock  Mode  Lock  Options  Lock  Mode  int  Lock  Mode  int  String  int  int  String  int  String  String  Lock  Options  String  String  Lock  Mode  String  Lock  Options  String  String  Lock  Options  String  String  Callable  Statement  int  Callable  Statement  String  Callable  Statement  Callable  Statement  int  Callable  Statement  String  S  Q  L  Exception  int  String  boolean  String  Identifier  Helper  Builder  Database  Meta  Data  String  String  String  String  String  String  String  String  String  boolean  String  String  String  String  String  String  String  String  String  Null  Precedence  Query  Parameters  String  String  String  List  String  String  String  int  int  List  String  Database  Meta  Data  String  Database  Meta  Data  String  Service  Registry  String  Query  Parameters  boolean  String  String  Properties  Jdbc  Environment  Service  Registry  Sequence  Style  Generator,Sequence  Style  Generator,log  sequence  param  def  sequence  name  initial  param  default  initial  value  increment  param  default  increment  size  config  prefer  sequence  per  entity  config  sequence  per  entity  suffix  def  sequence  suffix  opt  param  force  tbl  param  value  column  param  def  value  column  database  Structure  optimizer  identifier  Type,get  Database  Structure  get  Optimizer  get  Identifier  Type  configure  determine  Value  Column  Name  determine  Initial  Value  determine  Increment  Size  determine  Optimization  Strategy  determine  Adjusted  Increment  Size  build  Database  Structure  is  Physical  Sequence  build  Sequence  Structure  build  Table  Structure  generate  generator  Key  sql  Create  Strings  sql  Drop  Strings  supports  Bulk  Insertion  Identifier  Generation  determine  Bulk  Insertion  Identifier  Generation  Select  Fragment  register  Exportables  get  Sequence  Increment  Value,Type  Properties  Service  Registry  Properties  Jdbc  Environment  Properties  Properties  Properties  int  String  int  Type  Properties  Jdbc  Environment  boolean  Qualified  Name  int  int  Jdbc  Environment  boolean  Type  Properties  Jdbc  Environment  Qualified  Name  int  int  Type  Properties  Jdbc  Environment  Qualified  Name  int  int  Shared  Session  Contract  Implementor  Object  Dialect  Dialect  Dialect  Database  Jdbc  Environment  String,1,1
