id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
0,is  Empty  Column  Value,Object  Sql  Chunk,boolean,,is  Id  double  Value  is  Primitive  get  Property  Type  get  Property  Type  char  Value  double  Value  is  Blank,Sql  Chunk,cols  na  cols  only  existing  cols  only  ids  cols  all  cols  all  but  id  cols  na  multi  chunk  raw  chunk  select  columns  chunk  table  chunk  reference  chunk  match  chunk  value  chunk  insert  chunk  update  chunk  Type  db  Entity  Manager  previous  Chunk  next  Chunk  template  Data,Sql  Chunk  get  Previous  Chunk  get  Next  Chunk  insert  Chunk  After  is  Previous  Chunk  Of  Type  is  Previous  Chunk  Of  Same  Type  is  Previous  Macro  Chunk  is  Previous  Raw  Chunk  init  process  lookup  Name  lookup  Type  lookup  Table  Ref  lookup  Table  Ref  find  Column  Ref  resolve  Table  define  Parameter  resolve  Class  append  Missing  Space  separate  By  Comma  Or  Space,Db  Entity  Manager  int  Sql  Chunk  int  Template  Data  String  Builder  String  Class  String  String  boolean  String  String  Db  Entity  Descriptor  String  Builder  String  Object  Db  Entity  Column  Descriptor  Object  String  Builder  String  Builder,Db  Entity  Column  Descriptor,db  Entity  Descriptor  column  Name  column  Name  For  Query  property  Name  property  Type  is  Id  sql  Type  Class  db  Sql  Type,Db  Entity  Column  Descriptor  get  Db  Entity  Descriptor  get  Column  Name  get  Column  Name  For  Query  get  Property  Name  get  Property  Type  is  Id  get  Sql  Type  Class  get  Db  Sql  Type  update  Db  Sql  Type  compare  To  equals  hash  Code  to  String,Db  Entity  Descriptor  String  String  Class  boolean  Sql  Type  extends  int  Object  Object  Object  Sql  Chunk,0,0
1,is  Empty  Column  Value,Object  Sql  Chunk,boolean,,is  Id  double  Value  is  Primitive  get  Property  Type  get  Property  Type  char  Value  double  Value  is  Blank,Db  Entity  Column  Descriptor,db  Entity  Descriptor  column  Name  column  Name  For  Query  property  Name  property  Type  is  Id  sql  Type  Class  db  Sql  Type,Db  Entity  Column  Descriptor  get  Db  Entity  Descriptor  get  Column  Name  get  Column  Name  For  Query  get  Property  Name  get  Property  Type  is  Id  get  Sql  Type  Class  get  Db  Sql  Type  update  Db  Sql  Type  compare  To  equals  hash  Code  to  String,Db  Entity  Descriptor  String  String  Class  boolean  Sql  Type  extends  int  Object  Object  Object  Sql  Chunk,Sql  Chunk,cols  na  cols  only  existing  cols  only  ids  cols  all  cols  all  but  id  cols  na  multi  chunk  raw  chunk  select  columns  chunk  table  chunk  reference  chunk  match  chunk  value  chunk  insert  chunk  update  chunk  Type  db  Entity  Manager  previous  Chunk  next  Chunk  template  Data,Sql  Chunk  get  Previous  Chunk  get  Next  Chunk  insert  Chunk  After  is  Previous  Chunk  Of  Type  is  Previous  Chunk  Of  Same  Type  is  Previous  Macro  Chunk  is  Previous  Raw  Chunk  init  process  lookup  Name  lookup  Type  lookup  Table  Ref  lookup  Table  Ref  find  Column  Ref  resolve  Table  define  Parameter  resolve  Class  append  Missing  Space  separate  By  Comma  Or  Space,Db  Entity  Manager  int  Sql  Chunk  int  Template  Data  String  Builder  String  Class  String  String  boolean  String  String  Db  Entity  Descriptor  String  Builder  String  Object  Db  Entity  Column  Descriptor  Object  String  Builder  String  Builder,1,1
2,detect  Database  And  Configure  Db  Oom,Connection  Provider  Db  Detector,Db  Server,,init  get  Connection  detect  Database  close  Connection  accept,Db  Detector,log,detect  Database,Connection,Db  Oom  Config,column  Alias  Separator  default  Column  Alias  Type  schema  Name  table  Names  column  Names  update  Accepts  Table  Alias  updateable  Primary  Key  entity  Aware  Mode  cache  Entities  In  Result  Set  keys  Generated  By  Database,get  Table  Names  get  Column  Names  get  Column  Alias  Separator  set  Column  Alias  Separator  get  Default  Column  Alias  Type  set  Default  Column  Alias  Type  get  Schema  Name  set  Schema  Name  is  Update  Accepts  Table  Alias  set  Update  Accepts  Table  Alias  is  Updateable  Primary  Key  set  Updateable  Primary  Key  is  Entity  Aware  Mode  set  Entity  Aware  Mode  is  Cache  Entities  In  Result  Set  set  Cache  Entities  In  Result  Set  is  Keys  Generated  By  Database  set  Keys  Generated  By  Database,String  Column  Alias  Type  String  boolean  boolean  boolean  boolean  boolean  Connection  Provider  Db  Detector,0,0
3,detect  Database  And  Configure  Db  Oom,Connection  Provider  Db  Detector,Db  Server,,init  get  Connection  detect  Database  close  Connection  accept,Db  Oom  Config,column  Alias  Separator  default  Column  Alias  Type  schema  Name  table  Names  column  Names  update  Accepts  Table  Alias  updateable  Primary  Key  entity  Aware  Mode  cache  Entities  In  Result  Set  keys  Generated  By  Database,get  Table  Names  get  Column  Names  get  Column  Alias  Separator  set  Column  Alias  Separator  get  Default  Column  Alias  Type  set  Default  Column  Alias  Type  get  Schema  Name  set  Schema  Name  is  Update  Accepts  Table  Alias  set  Update  Accepts  Table  Alias  is  Updateable  Primary  Key  set  Updateable  Primary  Key  is  Entity  Aware  Mode  set  Entity  Aware  Mode  is  Cache  Entities  In  Result  Set  set  Cache  Entities  In  Result  Set  is  Keys  Generated  By  Database  set  Keys  Generated  By  Database,String  Column  Alias  Type  String  boolean  boolean  boolean  boolean  boolean  Connection  Provider  Db  Detector,Db  Detector,log,detect  Database,Connection,1,1
4,maybe  Request  Transaction,Object  Lean  Jtx  Worker,Jtx  Transaction,,get  Transaction  get  Transaction  Manager  request  Transaction  get  Transaction  Manager,Lean  Jtx  Worker,log  tx  Manager,Lean  Jtx  Worker  get  Transaction  Manager  get  Current  Transaction  maybe  Commit  Transaction  mark  Or  Rollback  Transaction,Jtx  Transaction  Manager  Jtx  Transaction  Jtx  Transaction  Throwable,Jtx  Transaction  Mode,propagation  Behavior  isolation  Level  read  only  read  write  read  Only  Mode  default  timeout  timeout  propagation  supports  read  only,Jtx  Transaction  Mode  Jtx  Transaction  Mode  get  Propagation  Behavior  get  Isolation  Level  is  Read  Only  get  Transaction  Timeout  equals  hash  Code  to  String,Jtx  Propagation  Behavior  Jtx  Isolation  Level  boolean  int  Jtx  Propagation  Behavior  boolean  Object  Object  Lean  Jtx  Worker,0,0
5,maybe  Request  Transaction,Object  Lean  Jtx  Worker,Jtx  Transaction,,get  Transaction  get  Transaction  Manager  request  Transaction  get  Transaction  Manager,Jtx  Transaction  Mode,propagation  Behavior  isolation  Level  read  only  read  write  read  Only  Mode  default  timeout  timeout  propagation  supports  read  only,Jtx  Transaction  Mode  Jtx  Transaction  Mode  get  Propagation  Behavior  get  Isolation  Level  is  Read  Only  get  Transaction  Timeout  equals  hash  Code  to  String,Jtx  Propagation  Behavior  Jtx  Isolation  Level  boolean  int  Jtx  Propagation  Behavior  boolean  Object  Object  Lean  Jtx  Worker,Lean  Jtx  Worker,log  tx  Manager,Lean  Jtx  Worker  get  Transaction  Manager  get  Current  Transaction  maybe  Commit  Transaction  mark  Or  Rollback  Transaction,Jtx  Transaction  Manager  Jtx  Transaction  Jtx  Transaction  Throwable,1,1
6,is  New  Tx  Scope,Object  Jtx  Transaction  Manager,boolean,,is  Ignore  Scope  get  Scope  equals  get  Scope,Jtx  Transaction  Manager,log  max  Resources  Per  Transaction  one  Resource  Manager  validate  Existing  Transaction  ignore  Scope  resource  Managers  tx  Stack  total  Transactions,Jtx  Transaction  Manager  get  Max  Resources  Per  Transaction  set  Max  Resources  Per  Transaction  is  Validate  Existing  Transaction  set  Validate  Existing  Transaction  is  Single  Resource  Manager  set  Single  Resource  Manager  is  Ignore  Scope  set  Ignore  Scope  total  Thread  Transactions  total  Thread  Transactions  With  Status  total  Active  Thread  Transactions  is  Associated  With  Thread  remove  Transaction  get  Transaction  associate  Transaction  total  Transactions  create  New  Transaction  request  Transaction  request  Transaction  continue  Tx  prop  Required  prop  Requires  New  prop  Supports  prop  Mandatory  prop  Not  Supported  prop  Never  register  Resource  Manager  lookup  Resource  Manager  close,int  boolean  boolean  boolean  Jtx  Status  Jtx  Transaction  Jtx  Transaction  Jtx  Transaction  Jtx  Transaction  Mode  Object  boolean  Jtx  Transaction  Mode  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Resource  Manager  Class  E,Jtx  Transaction,log  tx  Manager  mode  resources  scope  deadline  start  As  Active  rollback  Cause  status,Jtx  Transaction  get  Transaction  Mode  get  Transaction  Manager  get  Scope  get  Status  is  Start  As  Active  is  Active  is  No  Transaction  is  Committed  is  Rolledback  is  Completed  set  Rollback  Only  set  Rollback  Only  is  Rollback  Only  check  Timeout  commit  rollback  commit  Or  Rollback  commit  All  Resources  rollback  All  Resources  request  Resource  lookup  Resource,Jtx  Transaction  Manager  Jtx  Transaction  Mode  Object  boolean  Throwable  boolean  boolean  Class  E  Class  E  Object  Jtx  Transaction  Manager,0,0
7,is  New  Tx  Scope,Object  Jtx  Transaction  Manager,boolean,,is  Ignore  Scope  get  Scope  equals  get  Scope,Jtx  Transaction,log  tx  Manager  mode  resources  scope  deadline  start  As  Active  rollback  Cause  status,Jtx  Transaction  get  Transaction  Mode  get  Transaction  Manager  get  Scope  get  Status  is  Start  As  Active  is  Active  is  No  Transaction  is  Committed  is  Rolledback  is  Completed  set  Rollback  Only  set  Rollback  Only  is  Rollback  Only  check  Timeout  commit  rollback  commit  Or  Rollback  commit  All  Resources  rollback  All  Resources  request  Resource  lookup  Resource,Jtx  Transaction  Manager  Jtx  Transaction  Mode  Object  boolean  Throwable  boolean  boolean  Class  E  Class  E  Object  Jtx  Transaction  Manager,Jtx  Transaction  Manager,log  max  Resources  Per  Transaction  one  Resource  Manager  validate  Existing  Transaction  ignore  Scope  resource  Managers  tx  Stack  total  Transactions,Jtx  Transaction  Manager  get  Max  Resources  Per  Transaction  set  Max  Resources  Per  Transaction  is  Validate  Existing  Transaction  set  Validate  Existing  Transaction  is  Single  Resource  Manager  set  Single  Resource  Manager  is  Ignore  Scope  set  Ignore  Scope  total  Thread  Transactions  total  Thread  Transactions  With  Status  total  Active  Thread  Transactions  is  Associated  With  Thread  remove  Transaction  get  Transaction  associate  Transaction  total  Transactions  create  New  Transaction  request  Transaction  request  Transaction  continue  Tx  prop  Required  prop  Requires  New  prop  Supports  prop  Mandatory  prop  Not  Supported  prop  Never  register  Resource  Manager  lookup  Resource  Manager  close,int  boolean  boolean  boolean  Jtx  Status  Jtx  Transaction  Jtx  Transaction  Jtx  Transaction  Jtx  Transaction  Mode  Object  boolean  Jtx  Transaction  Mode  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Resource  Manager  Class  E,1,1
8,continue  Tx,Jtx  Transaction  Jtx  Transaction  Mode,void,,get  Transaction  Mode  get  Isolation  Level  get  Isolation  Level  is  Read  Only  is  Read  Only,Jtx  Transaction  Manager,log  max  Resources  Per  Transaction  one  Resource  Manager  validate  Existing  Transaction  ignore  Scope  resource  Managers  tx  Stack  total  Transactions,Jtx  Transaction  Manager  get  Max  Resources  Per  Transaction  set  Max  Resources  Per  Transaction  is  Validate  Existing  Transaction  set  Validate  Existing  Transaction  is  Single  Resource  Manager  set  Single  Resource  Manager  is  Ignore  Scope  set  Ignore  Scope  total  Thread  Transactions  total  Thread  Transactions  With  Status  total  Active  Thread  Transactions  is  Associated  With  Thread  remove  Transaction  get  Transaction  associate  Transaction  total  Transactions  create  New  Transaction  request  Transaction  request  Transaction  prop  Required  prop  Requires  New  prop  Supports  prop  Mandatory  prop  Not  Supported  prop  Never  register  Resource  Manager  lookup  Resource  Manager  close,int  boolean  boolean  boolean  Jtx  Status  Jtx  Transaction  Jtx  Transaction  Jtx  Transaction  Jtx  Transaction  Mode  Object  boolean  Jtx  Transaction  Mode  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Resource  Manager  Class  E,Jtx  Transaction  Mode,propagation  Behavior  isolation  Level  read  only  read  write  read  Only  Mode  default  timeout  timeout  propagation  supports  read  only,Jtx  Transaction  Mode  Jtx  Transaction  Mode  get  Propagation  Behavior  get  Isolation  Level  is  Read  Only  get  Transaction  Timeout  equals  hash  Code  to  String  maybe  Request  Transaction,Jtx  Propagation  Behavior  Jtx  Isolation  Level  boolean  int  Jtx  Propagation  Behavior  boolean  Object  Object  Lean  Jtx  Worker,0,0
9,continue  Tx,Jtx  Transaction  Jtx  Transaction  Mode,void,,get  Transaction  Mode  get  Isolation  Level  get  Isolation  Level  is  Read  Only  is  Read  Only,Jtx  Transaction  Mode,propagation  Behavior  isolation  Level  read  only  read  write  read  Only  Mode  default  timeout  timeout  propagation  supports  read  only,Jtx  Transaction  Mode  Jtx  Transaction  Mode  get  Propagation  Behavior  get  Isolation  Level  is  Read  Only  get  Transaction  Timeout  equals  hash  Code  to  String  maybe  Request  Transaction,Jtx  Propagation  Behavior  Jtx  Isolation  Level  boolean  int  Jtx  Propagation  Behavior  boolean  Object  Object  Lean  Jtx  Worker,Jtx  Transaction  Manager,log  max  Resources  Per  Transaction  one  Resource  Manager  validate  Existing  Transaction  ignore  Scope  resource  Managers  tx  Stack  total  Transactions,Jtx  Transaction  Manager  get  Max  Resources  Per  Transaction  set  Max  Resources  Per  Transaction  is  Validate  Existing  Transaction  set  Validate  Existing  Transaction  is  Single  Resource  Manager  set  Single  Resource  Manager  is  Ignore  Scope  set  Ignore  Scope  total  Thread  Transactions  total  Thread  Transactions  With  Status  total  Active  Thread  Transactions  is  Associated  With  Thread  remove  Transaction  get  Transaction  associate  Transaction  total  Transactions  create  New  Transaction  request  Transaction  request  Transaction  prop  Required  prop  Requires  New  prop  Supports  prop  Mandatory  prop  Not  Supported  prop  Never  register  Resource  Manager  lookup  Resource  Manager  close,int  boolean  boolean  boolean  Jtx  Status  Jtx  Transaction  Jtx  Transaction  Jtx  Transaction  Jtx  Transaction  Mode  Object  boolean  Jtx  Transaction  Mode  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Transaction  Jtx  Transaction  Mode  Object  Jtx  Resource  Manager  Class  E,1,0
