id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
0,adj  Token  Line  Nums,A  S  T  String  Literal,void,,get  First  Token  get  Last  Token  get  Column  get  Column  get  Line  get  Line,A  S  T  String  Literal,,A  S  T  String  Literal  A  S  T  String  Literal  unescape  jjt  Accept  is  Constant,int  Vm  Parser  int  String  Vm  Parser  Visitor  Object,Abstract  Vm  Node,parser  info  state  invalid  first  last  template  Name,Abstract  Vm  Node  Abstract  Vm  Node  jjt  Open  jjt  Close  set  First  Token  get  First  Token  get  Last  Token  jjt  Accept  children  Accept  get  X  Path  Node  Name  to  String  dump  literal  get  Type  set  Info  get  Info  set  Invalid  is  Invalid  get  Line  get  Column  get  Template  Name,int  Vm  Parser  int  Token  Vm  Parser  Visitor  Object  Vm  Parser  Visitor  Object  String  String  boolean  Writer  int  A  S  T  String  Literal,0,0
1,adj  Token  Line  Nums,A  S  T  String  Literal,void,,get  First  Token  get  Last  Token  get  Column  get  Column  get  Line  get  Line,Abstract  Vm  Node,parser  info  state  invalid  first  last  template  Name,Abstract  Vm  Node  Abstract  Vm  Node  jjt  Open  jjt  Close  set  First  Token  get  First  Token  get  Last  Token  jjt  Accept  children  Accept  get  X  Path  Node  Name  to  String  dump  literal  get  Type  set  Info  get  Info  set  Invalid  is  Invalid  get  Line  get  Column  get  Template  Name,int  Vm  Parser  int  Token  Vm  Parser  Visitor  Object  Vm  Parser  Visitor  Object  String  String  boolean  Writer  int  A  S  T  String  Literal,A  S  T  String  Literal,,A  S  T  String  Literal  A  S  T  String  Literal  unescape  jjt  Accept  is  Constant,int  Vm  Parser  int  String  Vm  Parser  Visitor  Object,1,1
2,handle  If,Abstract  Vm  Node  Object,void,,get  First  Child  Of  Type  get  Num  Children  add  Violation  get  Num  Children  get  Child  is  Blank  to  String  get  First  Token  get  Child  add  Violation,Empty  If  Stmt  Rule,,visit  visit  visit,A  S  T  If  Statement  Object  A  S  T  Else  If  Statement  Object  A  S  T  Else  Statement  Object  Abstract  Vm  Node  Object,Abstract  Vm  Node,parser  info  state  invalid  first  last  template  Name,Abstract  Vm  Node  Abstract  Vm  Node  jjt  Open  jjt  Close  set  First  Token  get  First  Token  get  Last  Token  jjt  Accept  children  Accept  get  X  Path  Node  Name  to  String  dump  literal  get  Type  set  Info  get  Info  set  Invalid  is  Invalid  get  Line  get  Column  get  Template  Name  adj  Token  Line  Nums,int  Vm  Parser  int  Token  Vm  Parser  Visitor  Object  Vm  Parser  Visitor  Object  String  String  boolean  Writer  int  A  S  T  String  Literal,0,0
3,handle  If,Abstract  Vm  Node  Object,void,,get  First  Child  Of  Type  get  Num  Children  add  Violation  get  Num  Children  get  Child  is  Blank  to  String  get  First  Token  get  Child  add  Violation,Abstract  Vm  Node,parser  info  state  invalid  first  last  template  Name,Abstract  Vm  Node  Abstract  Vm  Node  jjt  Open  jjt  Close  set  First  Token  get  First  Token  get  Last  Token  jjt  Accept  children  Accept  get  X  Path  Node  Name  to  String  dump  literal  get  Type  set  Info  get  Info  set  Invalid  is  Invalid  get  Line  get  Column  get  Template  Name  adj  Token  Line  Nums,int  Vm  Parser  int  Token  Vm  Parser  Visitor  Object  Vm  Parser  Visitor  Object  String  String  boolean  Writer  int  A  S  T  String  Literal,Empty  If  Stmt  Rule,,visit  visit  visit,A  S  T  If  Statement  Object  A  S  T  Else  If  Statement  Object  A  S  T  Else  Statement  Object  Abstract  Vm  Node  Object,1,0
6,is  Last  Method  Name,String  String  Apex  C  R  U  D  Violation  Rule,boolean,,get  First  Child  Of  Type  size  get  Names  equals  Ignore  Case  get  get  Names  size  get  Names  is  Method  Name,Apex  C  R  U  D  Violation  Rule,void  or  string  pattern  select  from  pattern  is  createable  is  deletable  is  updateable  is  mergeable  is  accessible  any  s  object  type  get  describe  esapi  isauthorized  to  view  esapi  isauthorized  to  create  esapi  isauthorized  to  update  esapi  isauthorized  to  delete  reserved  keys  fls  with  security  enforced  var  To  Type  Mapping  type  To  D  M  L  Operation  Mapping  checked  Type  To  D  M  L  Operation  Via  E  S  A  P  I  class  Methods  class  Name,Apex  C  R  U  D  Violation  Rule  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  add  Variable  To  Mapping  get  Simple  Type  visit  collect  C  R  U  D  Method  Level  Checks  is  With  Security  Enforced  get  Type  extract  Object  And  Fields  check  For  C  R  U  D  get  Previous  Method  Calls  recursively  Evaluate  C  R  U  D  Method  Calls  map  Call  To  Method  Decl  find  Constructorl  Methods  resolve  Method  Calls  is  Proper  E  S  A  P  I  Check  For  D  M  L  extract  Object  Type  From  E  S  A  P  I  validate  C  R  U  D  Check  Present  check  For  Accessibility  get  Types  From  S  O  Q  L  Query  get  Return  Type  is  Method  A  Getter,A  S  T  User  Class  Object  A  S  T  Method  Call  Expression  Object  A  S  T  Dml  Insert  Statement  Object  A  S  T  Dml  Delete  Statement  Object  A  S  T  Dml  Update  Statement  Object  A  S  T  Dml  Upsert  Statement  Object  A  S  T  Dml  Merge  Statement  Object  A  S  T  Assignment  Expression  Object  A  S  T  Variable  Declaration  Object  A  S  T  Field  Declaration  Object  A  S  T  Return  Statement  Object  String  String  String  A  S  T  Property  Object  A  S  T  Method  Call  Expression  Apex  Node  A  S  T  Method  Call  Expression  List  String  String  String  Apex  Node  Object  String  Apex  Node  Apex  Node  Set  A  S  T  Method  Call  Expression  A  S  T  Block  Statement  Apex  Node  Set  A  S  T  Method  Call  Expression  List  A  S  T  Method  Call  Expression  A  S  T  Method  Call  Expression  String  String  A  S  T  Method  Call  Expression  String  Apex  Node  Object  String  String  A  S  T  Soql  Expression  Object  A  S  T  Soql  Expression  A  S  T  Method  A  S  T  Method,A  S  T  Method  Call  Expression,,A  S  T  Method  Call  Expression  jjt  Accept  get  Method  Name  get  Full  Method  Name  get  Input  Parameters  Size,Method  Call  Expression  Apex  Parser  Visitor  Object  String  String  Apex  C  R  U  D  Violation  Rule,0,0
7,is  Last  Method  Name,String  String  Apex  C  R  U  D  Violation  Rule,boolean,,get  First  Child  Of  Type  size  get  Names  equals  Ignore  Case  get  get  Names  size  get  Names  is  Method  Name,A  S  T  Method  Call  Expression,,A  S  T  Method  Call  Expression  jjt  Accept  get  Method  Name  get  Full  Method  Name  get  Input  Parameters  Size,Method  Call  Expression  Apex  Parser  Visitor  Object  String  String  Apex  C  R  U  D  Violation  Rule,Apex  C  R  U  D  Violation  Rule,void  or  string  pattern  select  from  pattern  is  createable  is  deletable  is  updateable  is  mergeable  is  accessible  any  s  object  type  get  describe  esapi  isauthorized  to  view  esapi  isauthorized  to  create  esapi  isauthorized  to  update  esapi  isauthorized  to  delete  reserved  keys  fls  with  security  enforced  var  To  Type  Mapping  type  To  D  M  L  Operation  Mapping  checked  Type  To  D  M  L  Operation  Via  E  S  A  P  I  class  Methods  class  Name,Apex  C  R  U  D  Violation  Rule  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  add  Variable  To  Mapping  get  Simple  Type  visit  collect  C  R  U  D  Method  Level  Checks  is  With  Security  Enforced  get  Type  extract  Object  And  Fields  check  For  C  R  U  D  get  Previous  Method  Calls  recursively  Evaluate  C  R  U  D  Method  Calls  map  Call  To  Method  Decl  find  Constructorl  Methods  resolve  Method  Calls  is  Proper  E  S  A  P  I  Check  For  D  M  L  extract  Object  Type  From  E  S  A  P  I  validate  C  R  U  D  Check  Present  check  For  Accessibility  get  Types  From  S  O  Q  L  Query  get  Return  Type  is  Method  A  Getter,A  S  T  User  Class  Object  A  S  T  Method  Call  Expression  Object  A  S  T  Dml  Insert  Statement  Object  A  S  T  Dml  Delete  Statement  Object  A  S  T  Dml  Update  Statement  Object  A  S  T  Dml  Upsert  Statement  Object  A  S  T  Dml  Merge  Statement  Object  A  S  T  Assignment  Expression  Object  A  S  T  Variable  Declaration  Object  A  S  T  Field  Declaration  Object  A  S  T  Return  Statement  Object  String  String  String  A  S  T  Property  Object  A  S  T  Method  Call  Expression  Apex  Node  A  S  T  Method  Call  Expression  List  String  String  String  Apex  Node  Object  String  Apex  Node  Apex  Node  Set  A  S  T  Method  Call  Expression  A  S  T  Block  Statement  Apex  Node  Set  A  S  T  Method  Call  Expression  List  A  S  T  Method  Call  Expression  A  S  T  Method  Call  Expression  String  String  A  S  T  Method  Call  Expression  String  Apex  Node  Object  String  String  A  S  T  Soql  Expression  Object  A  S  T  Soql  Expression  A  S  T  Method  A  S  T  Method,1,1
8,get  Type,A  S  T  Method  Call  Expression,String,,get  First  Child  Of  Type  size  get  Names  to  String  append  append  append  get  Defining  Type  get  get  Names,Apex  C  R  U  D  Violation  Rule,void  or  string  pattern  select  from  pattern  is  createable  is  deletable  is  updateable  is  mergeable  is  accessible  any  s  object  type  get  describe  esapi  isauthorized  to  view  esapi  isauthorized  to  create  esapi  isauthorized  to  update  esapi  isauthorized  to  delete  reserved  keys  fls  with  security  enforced  var  To  Type  Mapping  type  To  D  M  L  Operation  Mapping  checked  Type  To  D  M  L  Operation  Via  E  S  A  P  I  class  Methods  class  Name,Apex  C  R  U  D  Violation  Rule  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  add  Variable  To  Mapping  get  Simple  Type  visit  collect  C  R  U  D  Method  Level  Checks  is  With  Security  Enforced  extract  Object  And  Fields  check  For  C  R  U  D  get  Previous  Method  Calls  recursively  Evaluate  C  R  U  D  Method  Calls  map  Call  To  Method  Decl  find  Constructorl  Methods  resolve  Method  Calls  is  Proper  E  S  A  P  I  Check  For  D  M  L  extract  Object  Type  From  E  S  A  P  I  validate  C  R  U  D  Check  Present  check  For  Accessibility  get  Types  From  S  O  Q  L  Query  get  Return  Type  is  Method  A  Getter,A  S  T  User  Class  Object  A  S  T  Method  Call  Expression  Object  A  S  T  Dml  Insert  Statement  Object  A  S  T  Dml  Delete  Statement  Object  A  S  T  Dml  Update  Statement  Object  A  S  T  Dml  Upsert  Statement  Object  A  S  T  Dml  Merge  Statement  Object  A  S  T  Assignment  Expression  Object  A  S  T  Variable  Declaration  Object  A  S  T  Field  Declaration  Object  A  S  T  Return  Statement  Object  String  String  String  A  S  T  Property  Object  A  S  T  Method  Call  Expression  Apex  Node  A  S  T  Method  Call  Expression  List  String  String  String  Apex  Node  Object  String  Apex  Node  Apex  Node  Set  A  S  T  Method  Call  Expression  A  S  T  Block  Statement  Apex  Node  Set  A  S  T  Method  Call  Expression  List  A  S  T  Method  Call  Expression  A  S  T  Method  Call  Expression  String  String  A  S  T  Method  Call  Expression  String  Apex  Node  Object  String  String  A  S  T  Soql  Expression  Object  A  S  T  Soql  Expression  A  S  T  Method  A  S  T  Method,A  S  T  Method  Call  Expression,,A  S  T  Method  Call  Expression  jjt  Accept  get  Method  Name  get  Full  Method  Name  get  Input  Parameters  Size  is  Last  Method  Name,Method  Call  Expression  Apex  Parser  Visitor  Object  String  String  Apex  C  R  U  D  Violation  Rule,0,0
9,get  Type,A  S  T  Method  Call  Expression,String,,get  First  Child  Of  Type  size  get  Names  to  String  append  append  append  get  Defining  Type  get  get  Names,A  S  T  Method  Call  Expression,,A  S  T  Method  Call  Expression  jjt  Accept  get  Method  Name  get  Full  Method  Name  get  Input  Parameters  Size  is  Last  Method  Name,Method  Call  Expression  Apex  Parser  Visitor  Object  String  String  Apex  C  R  U  D  Violation  Rule,Apex  C  R  U  D  Violation  Rule,void  or  string  pattern  select  from  pattern  is  createable  is  deletable  is  updateable  is  mergeable  is  accessible  any  s  object  type  get  describe  esapi  isauthorized  to  view  esapi  isauthorized  to  create  esapi  isauthorized  to  update  esapi  isauthorized  to  delete  reserved  keys  fls  with  security  enforced  var  To  Type  Mapping  type  To  D  M  L  Operation  Mapping  checked  Type  To  D  M  L  Operation  Via  E  S  A  P  I  class  Methods  class  Name,Apex  C  R  U  D  Violation  Rule  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  add  Variable  To  Mapping  get  Simple  Type  visit  collect  C  R  U  D  Method  Level  Checks  is  With  Security  Enforced  extract  Object  And  Fields  check  For  C  R  U  D  get  Previous  Method  Calls  recursively  Evaluate  C  R  U  D  Method  Calls  map  Call  To  Method  Decl  find  Constructorl  Methods  resolve  Method  Calls  is  Proper  E  S  A  P  I  Check  For  D  M  L  extract  Object  Type  From  E  S  A  P  I  validate  C  R  U  D  Check  Present  check  For  Accessibility  get  Types  From  S  O  Q  L  Query  get  Return  Type  is  Method  A  Getter,A  S  T  User  Class  Object  A  S  T  Method  Call  Expression  Object  A  S  T  Dml  Insert  Statement  Object  A  S  T  Dml  Delete  Statement  Object  A  S  T  Dml  Update  Statement  Object  A  S  T  Dml  Upsert  Statement  Object  A  S  T  Dml  Merge  Statement  Object  A  S  T  Assignment  Expression  Object  A  S  T  Variable  Declaration  Object  A  S  T  Field  Declaration  Object  A  S  T  Return  Statement  Object  String  String  String  A  S  T  Property  Object  A  S  T  Method  Call  Expression  Apex  Node  A  S  T  Method  Call  Expression  List  String  String  String  Apex  Node  Object  String  Apex  Node  Apex  Node  Set  A  S  T  Method  Call  Expression  A  S  T  Block  Statement  Apex  Node  Set  A  S  T  Method  Call  Expression  List  A  S  T  Method  Call  Expression  A  S  T  Method  Call  Expression  String  String  A  S  T  Method  Call  Expression  String  Apex  Node  Object  String  String  A  S  T  Soql  Expression  Object  A  S  T  Soql  Expression  A  S  T  Method  A  S  T  Method,1,0
10,get  Return  Type,A  S  T  Method,String,,to  String  append  append  append  get  Defining  Type  get  Return  Type,Apex  C  R  U  D  Violation  Rule,void  or  string  pattern  select  from  pattern  is  createable  is  deletable  is  updateable  is  mergeable  is  accessible  any  s  object  type  get  describe  esapi  isauthorized  to  view  esapi  isauthorized  to  create  esapi  isauthorized  to  update  esapi  isauthorized  to  delete  reserved  keys  fls  with  security  enforced  var  To  Type  Mapping  type  To  D  M  L  Operation  Mapping  checked  Type  To  D  M  L  Operation  Via  E  S  A  P  I  class  Methods  class  Name,Apex  C  R  U  D  Violation  Rule  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  add  Variable  To  Mapping  get  Simple  Type  visit  collect  C  R  U  D  Method  Level  Checks  is  With  Security  Enforced  get  Type  extract  Object  And  Fields  check  For  C  R  U  D  get  Previous  Method  Calls  recursively  Evaluate  C  R  U  D  Method  Calls  map  Call  To  Method  Decl  find  Constructorl  Methods  resolve  Method  Calls  is  Proper  E  S  A  P  I  Check  For  D  M  L  extract  Object  Type  From  E  S  A  P  I  validate  C  R  U  D  Check  Present  check  For  Accessibility  get  Types  From  S  O  Q  L  Query  is  Method  A  Getter,A  S  T  User  Class  Object  A  S  T  Method  Call  Expression  Object  A  S  T  Dml  Insert  Statement  Object  A  S  T  Dml  Delete  Statement  Object  A  S  T  Dml  Update  Statement  Object  A  S  T  Dml  Upsert  Statement  Object  A  S  T  Dml  Merge  Statement  Object  A  S  T  Assignment  Expression  Object  A  S  T  Variable  Declaration  Object  A  S  T  Field  Declaration  Object  A  S  T  Return  Statement  Object  String  String  String  A  S  T  Property  Object  A  S  T  Method  Call  Expression  Apex  Node  A  S  T  Method  Call  Expression  List  String  String  String  Apex  Node  Object  String  Apex  Node  Apex  Node  Set  A  S  T  Method  Call  Expression  A  S  T  Block  Statement  Apex  Node  Set  A  S  T  Method  Call  Expression  List  A  S  T  Method  Call  Expression  A  S  T  Method  Call  Expression  String  String  A  S  T  Method  Call  Expression  String  Apex  Node  Object  String  String  A  S  T  Soql  Expression  Object  A  S  T  Soql  Expression  A  S  T  Method  A  S  T  Method,A  S  T  Method,,A  S  T  Method  jjt  Accept  get  Image  get  Canonical  Name  get  End  Line  get  End  Column  get  Qualified  Name  get  Signature  has  Suppress  Warnings  Annotation  For  is  Constructor  get  Modifiers  get  Arity  is  Overridden  Method,Method  Apex  Parser  Visitor  Object  Rule  Method  Naming  Conventions  Rule,0,0
11,get  Return  Type,A  S  T  Method,String,,to  String  append  append  append  get  Defining  Type  get  Return  Type,A  S  T  Method,,A  S  T  Method  jjt  Accept  get  Image  get  Canonical  Name  get  End  Line  get  End  Column  get  Qualified  Name  get  Signature  has  Suppress  Warnings  Annotation  For  is  Constructor  get  Modifiers  get  Arity  is  Overridden  Method,Method  Apex  Parser  Visitor  Object  Rule  Method  Naming  Conventions  Rule,Apex  C  R  U  D  Violation  Rule,void  or  string  pattern  select  from  pattern  is  createable  is  deletable  is  updateable  is  mergeable  is  accessible  any  s  object  type  get  describe  esapi  isauthorized  to  view  esapi  isauthorized  to  create  esapi  isauthorized  to  update  esapi  isauthorized  to  delete  reserved  keys  fls  with  security  enforced  var  To  Type  Mapping  type  To  D  M  L  Operation  Mapping  checked  Type  To  D  M  L  Operation  Via  E  S  A  P  I  class  Methods  class  Name,Apex  C  R  U  D  Violation  Rule  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  add  Variable  To  Mapping  get  Simple  Type  visit  collect  C  R  U  D  Method  Level  Checks  is  With  Security  Enforced  get  Type  extract  Object  And  Fields  check  For  C  R  U  D  get  Previous  Method  Calls  recursively  Evaluate  C  R  U  D  Method  Calls  map  Call  To  Method  Decl  find  Constructorl  Methods  resolve  Method  Calls  is  Proper  E  S  A  P  I  Check  For  D  M  L  extract  Object  Type  From  E  S  A  P  I  validate  C  R  U  D  Check  Present  check  For  Accessibility  get  Types  From  S  O  Q  L  Query  is  Method  A  Getter,A  S  T  User  Class  Object  A  S  T  Method  Call  Expression  Object  A  S  T  Dml  Insert  Statement  Object  A  S  T  Dml  Delete  Statement  Object  A  S  T  Dml  Update  Statement  Object  A  S  T  Dml  Upsert  Statement  Object  A  S  T  Dml  Merge  Statement  Object  A  S  T  Assignment  Expression  Object  A  S  T  Variable  Declaration  Object  A  S  T  Field  Declaration  Object  A  S  T  Return  Statement  Object  String  String  String  A  S  T  Property  Object  A  S  T  Method  Call  Expression  Apex  Node  A  S  T  Method  Call  Expression  List  String  String  String  Apex  Node  Object  String  Apex  Node  Apex  Node  Set  A  S  T  Method  Call  Expression  A  S  T  Block  Statement  Apex  Node  Set  A  S  T  Method  Call  Expression  List  A  S  T  Method  Call  Expression  A  S  T  Method  Call  Expression  String  String  A  S  T  Method  Call  Expression  String  Apex  Node  Object  String  String  A  S  T  Soql  Expression  Object  A  S  T  Soql  Expression  A  S  T  Method  A  S  T  Method,1,0
