id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
0,init  Web  App,Servlet  Context  Handler  Web  Server,void,,set  Init  Parameter  get  Absolute  Path  get  String  get  Boolean  set  Welcome  Files  get  String  is  Empty  set  Init  Parameter  set  Welcome  Files  add  Servlet,Web  Server,logger  server,init  Server  Web  Server  handle  Error  Page  init  Client  Proxy  do  Scope  init  Api  start  stop,Config  Config  Http  Servlet  Request  Writer  int  String  Config  Handler  List  String  Request  Http  Servlet  Request  Http  Servlet  Response  Config  Servlet  Context  Handler,Config,properties  use  Environment  Variables,Config  Config  has  Key  has  Key  get  String  get  String  get  String  get  String  get  Boolean  get  Boolean  get  Integer  get  Integer  get  Integer  get  Integer  get  Long  get  Long  get  Long  get  Long  get  Double  get  Double  get  Double  get  Double  set  String  set  String  get  Environment  Variable  Name,String  Config  Key  String  Config  Key  String  Config  Key  String  String  String  Config  Key  String  Config  Key  String  Config  Key  int  String  int  Config  Key  String  Config  Key  long  String  long  Config  Key  String  Config  Key  double  String  double  Config  Key  String  String  String  String  Servlet  Context  Handler  Web  Server,0,0
1,init  Web  App,Servlet  Context  Handler  Web  Server,void,,set  Init  Parameter  get  Absolute  Path  get  String  get  Boolean  set  Welcome  Files  get  String  is  Empty  set  Init  Parameter  set  Welcome  Files  add  Servlet,Config,properties  use  Environment  Variables,Config  Config  has  Key  has  Key  get  String  get  String  get  String  get  String  get  Boolean  get  Boolean  get  Integer  get  Integer  get  Integer  get  Integer  get  Long  get  Long  get  Long  get  Long  get  Double  get  Double  get  Double  get  Double  set  String  set  String  get  Environment  Variable  Name,String  Config  Key  String  Config  Key  String  Config  Key  String  String  String  Config  Key  String  Config  Key  String  Config  Key  int  String  int  Config  Key  String  Config  Key  long  String  long  Config  Key  String  Config  Key  double  String  double  Config  Key  String  String  String  String  Servlet  Context  Handler  Web  Server,Web  Server,logger  server,init  Server  Web  Server  handle  Error  Page  init  Client  Proxy  do  Scope  init  Api  start  stop,Config  Config  Http  Servlet  Request  Writer  int  String  Config  Handler  List  String  Request  Http  Servlet  Request  Http  Servlet  Response  Config  Servlet  Context  Handler,1,1
2,init  Api,Config  Servlet  Context  Handler,void,,add  Servlet  has  Key  set  Init  Parameter  get  Absolute  Path  get  String  set  Init  Parameter  get  String  set  Init  Parameter  add  Servlet  add  Filter  all  Of  register  Classes  register  Classes  packages  get  Name  get  Package  add  Servlet,Web  Server,logger  server,init  Server  Web  Server  handle  Error  Page  init  Client  Proxy  do  Scope  start  stop,Config  Config  Http  Servlet  Request  Writer  int  String  Config  Handler  List  String  Request  Http  Servlet  Request  Http  Servlet  Response  Config  Servlet  Context  Handler,Config,properties  use  Environment  Variables,Config  Config  has  Key  has  Key  get  String  get  String  get  String  get  String  get  Boolean  get  Boolean  get  Integer  get  Integer  get  Integer  get  Integer  get  Long  get  Long  get  Long  get  Long  get  Double  get  Double  get  Double  get  Double  set  String  set  String  get  Environment  Variable  Name  init  Web  App,String  Config  Key  String  Config  Key  String  Config  Key  String  String  String  Config  Key  String  Config  Key  String  Config  Key  int  String  int  Config  Key  String  Config  Key  long  String  long  Config  Key  String  Config  Key  double  String  double  Config  Key  String  String  String  String  Servlet  Context  Handler  Web  Server,0,0
3,init  Api,Config  Servlet  Context  Handler,void,,add  Servlet  has  Key  set  Init  Parameter  get  Absolute  Path  get  String  set  Init  Parameter  get  String  set  Init  Parameter  add  Servlet  add  Filter  all  Of  register  Classes  register  Classes  packages  get  Name  get  Package  add  Servlet,Config,properties  use  Environment  Variables,Config  Config  has  Key  has  Key  get  String  get  String  get  String  get  String  get  Boolean  get  Boolean  get  Integer  get  Integer  get  Integer  get  Integer  get  Long  get  Long  get  Long  get  Long  get  Double  get  Double  get  Double  get  Double  set  String  set  String  get  Environment  Variable  Name  init  Web  App,String  Config  Key  String  Config  Key  String  Config  Key  String  String  String  Config  Key  String  Config  Key  String  Config  Key  int  String  int  Config  Key  String  Config  Key  long  String  long  Config  Key  String  Config  Key  double  String  double  Config  Key  String  String  String  String  Servlet  Context  Handler  Web  Server,Web  Server,logger  server,init  Server  Web  Server  handle  Error  Page  init  Client  Proxy  do  Scope  start  stop,Config  Config  Http  Servlet  Request  Writer  int  String  Config  Handler  List  String  Request  Http  Servlet  Request  Http  Servlet  Response  Config  Servlet  Context  Handler,1,0
4,add  Cell  Tower,Network,void,,get  Cell  Towers  set  Cell  Towers  add  get  Cell  Towers,Network,home  Mobile  Country  Code  home  Mobile  Network  Code  radio  Type  carrier  consider  Ip  cell  Towers  wifi  Access  Points,Network  Network  Network  get  Home  Mobile  Country  Code  set  Home  Mobile  Country  Code  get  Home  Mobile  Network  Code  set  Home  Mobile  Network  Code  get  Radio  Type  set  Radio  Type  get  Carrier  set  Carrier  get  Consider  Ip  set  Consider  Ip  get  Cell  Towers  set  Cell  Towers  get  Wifi  Access  Points  set  Wifi  Access  Points  add  Wifi  Access  Point,Cell  Tower  Wifi  Access  Point  Integer  Integer  String  String  Boolean  Collection  Cell  Tower  Collection  Wifi  Access  Point  Wifi  Access  Point,Cell  Tower,radio  Type  cell  Id  location  Area  Code  mobile  Country  Code  mobile  Network  Code  signal  Strength,from  from  from  Lac  Cid  from  Cid  Lac  get  Radio  Type  set  Radio  Type  get  Cell  Id  set  Cell  Id  get  Location  Area  Code  set  Location  Area  Code  get  Mobile  Country  Code  set  Mobile  Country  Code  get  Mobile  Network  Code  set  Mobile  Network  Code  get  Signal  Strength  set  Signal  Strength  set  Operator,int  int  int  long  int  int  int  long  int  int  long  long  int  String  Long  Integer  Integer  Integer  Integer  long  Network,0,0
5,add  Cell  Tower,Network,void,,get  Cell  Towers  set  Cell  Towers  add  get  Cell  Towers,Cell  Tower,radio  Type  cell  Id  location  Area  Code  mobile  Country  Code  mobile  Network  Code  signal  Strength,from  from  from  Lac  Cid  from  Cid  Lac  get  Radio  Type  set  Radio  Type  get  Cell  Id  set  Cell  Id  get  Location  Area  Code  set  Location  Area  Code  get  Mobile  Country  Code  set  Mobile  Country  Code  get  Mobile  Network  Code  set  Mobile  Network  Code  get  Signal  Strength  set  Signal  Strength  set  Operator,int  int  int  long  int  int  int  long  int  int  long  long  int  String  Long  Integer  Integer  Integer  Integer  long  Network,Network,home  Mobile  Country  Code  home  Mobile  Network  Code  radio  Type  carrier  consider  Ip  cell  Towers  wifi  Access  Points,Network  Network  Network  get  Home  Mobile  Country  Code  set  Home  Mobile  Country  Code  get  Home  Mobile  Network  Code  set  Home  Mobile  Network  Code  get  Radio  Type  set  Radio  Type  get  Carrier  set  Carrier  get  Consider  Ip  set  Consider  Ip  get  Cell  Towers  set  Cell  Towers  get  Wifi  Access  Points  set  Wifi  Access  Points  add  Wifi  Access  Point,Cell  Tower  Wifi  Access  Point  Integer  Integer  String  String  Boolean  Collection  Cell  Tower  Collection  Wifi  Access  Point  Wifi  Access  Point,1,1
6,add  Wifi  Access  Point,Wifi  Access  Point,void,,add,Network,home  Mobile  Country  Code  home  Mobile  Network  Code  radio  Type  carrier  consider  Ip  cell  Towers  wifi  Access  Points,Network  Network  Network  get  Home  Mobile  Country  Code  set  Home  Mobile  Country  Code  get  Home  Mobile  Network  Code  set  Home  Mobile  Network  Code  get  Radio  Type  set  Radio  Type  get  Carrier  set  Carrier  get  Consider  Ip  set  Consider  Ip  get  Cell  Towers  set  Cell  Towers  get  Wifi  Access  Points  set  Wifi  Access  Points,Cell  Tower  Wifi  Access  Point  Integer  Integer  String  String  Boolean  Collection  Cell  Tower  Collection  Wifi  Access  Point  Wifi  Access  Point,Wifi  Access  Point,mac  Address  signal  Strength  channel,from  from  get  Mac  Address  set  Mac  Address  get  Signal  Strength  set  Signal  Strength  get  Channel  set  Channel,String  int  String  int  int  String  Integer  Integer,0,0
7,add  Wifi  Access  Point,Wifi  Access  Point,void,,add,Wifi  Access  Point,mac  Address  signal  Strength  channel,from  from  get  Mac  Address  set  Mac  Address  get  Signal  Strength  set  Signal  Strength  get  Channel  set  Channel,String  int  String  int  int  String  Integer  Integer,Network,home  Mobile  Country  Code  home  Mobile  Network  Code  radio  Type  carrier  consider  Ip  cell  Towers  wifi  Access  Points,Network  Network  Network  get  Home  Mobile  Country  Code  set  Home  Mobile  Country  Code  get  Home  Mobile  Network  Code  set  Home  Mobile  Network  Code  get  Radio  Type  set  Radio  Type  get  Carrier  set  Carrier  get  Consider  Ip  set  Consider  Ip  get  Cell  Towers  set  Cell  Towers  get  Wifi  Access  Points  set  Wifi  Access  Points,Cell  Tower  Wifi  Access  Point  Integer  Integer  String  String  Boolean  Collection  Cell  Tower  Collection  Wifi  Access  Point  Wifi  Access  Point,1,0
8,new  Event,boolean  Motion  Event  Handler,Map  Event,,get  Motion  Position  get  Device  Id  get  Id  set  Motion  State  set  Motion  Position  singleton  Map,Motion  Event  Handler,identity  Manager  device  Manager  trips  Config,Motion  Event  Handler  update  Motion  State  update  Motion  State  update  Motion  State  analyze  Position,Identity  Manager  Device  Manager  Trips  Config  Device  State  Device  State  Position  Device  State  Position  boolean  Position,Device  State,motion  State  motion  Position  overspeed  State  overspeed  Position  overspeed  Geofence  Id,set  Motion  State  get  Motion  State  set  Motion  Position  get  Motion  Position  set  Overspeed  State  get  Overspeed  State  set  Overspeed  Position  get  Overspeed  Position  set  Overspeed  Geofence  Id  get  Overspeed  Geofence  Id,boolean  Position  boolean  Position  long  boolean  Motion  Event  Handler,0,0
9,new  Event,boolean  Motion  Event  Handler,Map  Event,,get  Motion  Position  get  Device  Id  get  Id  set  Motion  State  set  Motion  Position  singleton  Map,Device  State,motion  State  motion  Position  overspeed  State  overspeed  Position  overspeed  Geofence  Id,set  Motion  State  get  Motion  State  set  Motion  Position  get  Motion  Position  set  Overspeed  State  get  Overspeed  State  set  Overspeed  Position  get  Overspeed  Position  set  Overspeed  Geofence  Id  get  Overspeed  Geofence  Id,boolean  Position  boolean  Position  long  boolean  Motion  Event  Handler,Motion  Event  Handler,identity  Manager  device  Manager  trips  Config,Motion  Event  Handler  update  Motion  State  update  Motion  State  update  Motion  State  analyze  Position,Identity  Manager  Device  Manager  Trips  Config  Device  State  Device  State  Position  Device  State  Position  boolean  Position,1,1
